G	c	dx1dt	d2x1dt2	dx2dt	m2	m1	Fc	d2	W	Fg	d1	p
1.000000000000000000e+00	1.000000000000000000e+00	4.629302474423911740e+00	2.370699739312849275e+00	3.949354150846201783e+00	7.040814096632677099e+00	6.129453521159459406e+00	3.408482741200270993e+01	4.244560773150163335e+00	6.745075572639234629e+00	1.199057109231315366e+00	8.667354651246814701e-01	4.833994869557590732e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.706536727141150678e+00	5.992986801803766639e+00	3.131759590892654099e+00	8.562265066812367209e+00	8.367745723827281878e+00	9.315238877787868432e+01	5.623384943225475219e+00	2.414682079963405670e+00	2.504087912687833040e+00	3.531420054147064835e+00	1.263311997541759411e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.736324742773260432e+00	9.531454682977139825e+00	8.885044532352530666e+00	2.387165469284266983e+00	7.897061018674393473e+00	9.282547188984653985e+01	8.409669395616944598e+00	8.952850838721406745e+00	8.131309921519523698e+00	2.003409144068212022e+00	7.169267854154385304e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.298100110689214937e+00	7.928795872065919070e+00	3.366929814024524070e+00	6.960220047928677545e+00	2.305301188903738030e+00	7.432750708410112850e+01	3.716749806315229332e+00	6.483001869044376697e+00	7.677665170001898964e+00	2.988699554077805409e+00	1.186981102824341008e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.680440664052745170e+00	8.697789803598476865e+00	3.584756638081188829e+00	6.394787423233350587e+00	2.841915211644484351e+00	7.025893187142135332e+01	8.781168121247066694e+00	2.211278868576548540e+00	4.156125846579678651e+00	8.788003819268451977e+00	3.620119093539111788e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.307565464767649566e+00	7.023547571733995909e+00	7.814216957687353471e+00	7.998575157310193084e+00	3.520686452875811057e+00	9.037071086134841380e+01	1.442287036924659427e+00	9.693425062216002530e+00	4.768871594920836010e+00	3.687954852172395936e-01	1.182566422657932890e+03
1.000000000000000000e+00	1.000000000000000000e+00	1.054635011063992600e+00	7.322974035521393255e+00	4.986848354742477341e+00	9.406311486909984865e+00	4.459899696878581565e+00	9.437766121437965694e+01	8.419640307986327343e+00	5.757661001251996424e+00	5.547458080436706851e+00	3.383528404737616402e+00	2.738666490773954365e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.737460583966752736e+00	8.355288829197055733e+00	8.252370859276940251e+00	1.395905023156521985e+00	4.968350703065066654e+00	4.870346471052965853e+01	8.564644712152107431e+00	2.159277830767097228e+00	7.006868526215651594e-01	1.059582196317901737e+00	8.324213917182095201e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.532752830851846326e+00	3.511768796202549225e+00	1.352631842063758194e+00	7.218231103676568949e+00	7.299243692956877361e+00	4.370441616001955509e+01	1.752763579987955955e+00	6.660025785146042487e+00	3.011099846017126325e+00	1.610389811365516399e+00	3.318920227247828336e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.937875459762010699e+00	5.384468609548628493e+00	5.294009462549668754e+00	1.044525906966250250e+00	2.071931062110187405e+00	1.414670731484105737e+01	4.927966472083626037e+00	3.281512320016656048e+00	2.964212340659272193e+00	1.679398252733576680e+00	2.383064593769444173e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.457380777874639932e-01	3.183573884766340178e+00	1.158365920618600775e+00	6.124500762420490574e+00	1.357265882658931888e+00	2.433633705272700709e+01	2.641329654890850698e+00	8.349760770095764784e+00	3.581158243407409181e+00	1.485145057763420207e+00	6.337187967077285577e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.396172426732116278e+00	9.897547718018389062e+00	1.865884069202902396e+00	3.861311295667164689e+00	4.525299165594772077e+00	8.197413808458369999e+01	7.243834492892264443e+00	8.102171681978523665e+00	8.230048924760867024e+00	9.366078913802516226e+00	1.779475762130418204e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.704881572523648359e+00	9.574173023429887408e+00	9.236757055290196305e+00	3.606110971016487365e+00	7.097563963920148211e+00	1.074512086133498912e+02	5.446196222700307565e+00	9.341206607648548044e+00	3.130918532038958535e+00	4.380909738444371260e-01	1.896641610497397778e+03
1.000000000000000000e+00	1.000000000000000000e+00	3.363754473623769226e+00	1.330439041284316559e+00	1.959182025389068382e+00	4.296027688864377581e+00	2.671122550931642969e+00	1.343936703234379948e+01	6.689572073485503978e+00	5.431937451143092233e+00	2.394376442128586024e+00	2.499040894148284675e+00	6.572340540100867656e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.579676869228509251e+00	7.412657658924625359e+00	5.525502729657130629e+00	6.496029692837592684e+00	6.574393223345213144e+00	1.015917522644855495e+02	2.636246545293018162e+00	5.386211057623647491e+00	5.588654853813879164e+00	7.796453895112460675e-01	3.269176697848790809e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.794480917856724034e+00	9.605413942400884864e+00	5.217077694647389130e+00	4.246093592332691458e+00	3.522890140474242315e+00	6.545182891827991511e+01	2.638104582595661718e+00	8.116792919372146642e+00	9.056604714408299728e+00	1.590005086018067448e+00	1.527606065608362655e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.874981540179126771e+00	2.272966505950427152e+00	4.425147487077640385e+00	7.509434990654093589e+00	8.726308026484726810e+00	4.190953763531511811e+01	1.081659117430984640e+00	1.681063985232883695e+00	3.657071675422501222e+00	9.149435874754434650e-01	1.260175359807578985e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.143289338309464220e+00	5.696239071250557728e+00	9.330837480186847444e+00	4.483726789008963820e+00	9.081306605254628295e+00	8.410770357490915217e+01	3.941464695200525004e+00	6.103405896948713938e+00	1.391046208799010753e+00	2.845502930222404414e-01	2.345090351701730924e+03
1.000000000000000000e+00	1.000000000000000000e+00	4.710914272903221622e+00	9.357852228615493928e+00	1.199791737021213445e+00	1.604542453071605923e+00	3.827975990024497399e+00	6.017909101158463159e+01	6.285408975222269490e+00	5.321987425059789167e+00	4.244971713646971345e+00	7.177472285386242490e+00	8.818192734141813816e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.561559615227150477e+00	1.706220769181087338e+00	7.390570359089355001e+00	7.690695248775779369e+00	3.110884108943859250e+00	1.686268662404032170e+01	8.848019867948716310e+00	1.930150159676465638e+00	7.453829024134178916e+00	1.054448080478414340e+01	1.331633166376441295e+02
