G	c	dx1dt	d2x1dt2	dx2dt	d1	m1	p	d2	m2	Fc	Fg	W
1.000000000000000000e+00	1.000000000000000000e+00	4.373592022685600433e+00	2.675611147559617375e+00	3.365195733443324233e+00	8.190509734953811405e-01	7.064330147792238890e+00	3.080064872440532397e+01	6.146275190964225033e+00	1.956507005089167706e+01	4.545206423166971987e+00	6.839476340461601467e+00	1.596052081930126931e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.559819779210151580e+00	5.877911440640550822e+00	3.221443462572319838e+00	8.138966325797344359e-01	8.176577353921857139e+00	7.811431864154045002e+01	8.253167503608347388e+00	2.163404265695049489e+01	5.258187759247899606e+00	2.548954375259358418e+00	1.373383811364133233e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.581236585907878300e+00	8.841473373777027689e+00	9.143155232859863091e+00	4.279513321898900657e-01	3.253124705569705011e+00	2.464737597070518405e+01	7.846045329311383654e+00	7.208411648103263403e+00	8.705686093469887865e+00	8.858813744798760936e+00	2.448000456273898617e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.379792359908970312e+00	7.591911869239832633e+00	3.249615580798893344e+00	4.215776026361097717e-01	6.621676129391878440e+00	4.237438716172106723e+01	2.383553915933779521e+00	1.913694839409811266e+01	4.056915851785933391e+00	6.523151987354167680e+00	3.244607685042737444e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.400130490730375321e+00	8.257113476177220690e+00	3.452988573829296914e+00	1.453887616413609973e-01	6.151287484952616680e+00	1.476335959062914505e+01	2.350415291752496749e+00	1.799735373409441053e+01	8.824459610869540782e+00	2.417577109320038886e+00	8.993073484208626012e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.400370213310085266e+00	6.928633471898766771e+00	7.825827872985522404e+00	1.736062224869737991e-01	8.506205246825429001e+00	2.042693649471369000e+01	3.397725986456993752e+00	2.483796566302326880e+01	1.788410699821809002e+00	9.661878337391955895e+00	1.704963928521384398e-02
1.000000000000000000e+00	1.000000000000000000e+00	1.526830248927960598e+00	7.228438393056968891e+00	5.048633064163622564e+00	1.049645260056220747e-01	9.159946602334814614e+00	1.388541220125615538e+01	4.243012282933199764e+00	2.686445203088561584e+01	7.998196591126721877e+00	5.667025117030682679e+00	2.450364391456227864e-02
1.000000000000000000e+00	1.000000000000000000e+00	8.792259236222520258e+00	8.647250584910212368e+00	7.992886522824621309e+00	5.081509330168918481e-01	1.121167723198254418e+00	9.756110466023033112e+00	4.671112828583330767e+00	1.712911370106898534e+00	8.625883584741831811e+00	1.662543366578318027e+00	3.364326513479964120e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.405400287224565226e+00	3.253241077499511746e+00	1.587891746953643990e+00	9.858813582411251053e-01	7.061186235977530146e+00	4.530110593739421176e+01	7.112810004975044009e+00	1.899588301460978101e+01	2.632381870176022431e+00	6.648152143615200238e+00	1.271718929493635963e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.369342849234466364e+00	5.406399338826175516e+00	5.383774378540814531e+00	6.813267287883610912e-01	1.462086541464202361e+00	1.080965221821018396e+01	1.511955496776855590e+00	3.919725914655393773e+00	4.876997272720967835e+00	3.286051975918032664e+00	7.552478349836087901e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.191314833827371578e+00	2.988997339019431099e+00	1.308132051329933043e+00	1.979253841634258937e-01	5.933291805363944071e+00	7.023739232259593734e+00	1.313634160803166973e+00	1.765340602797807179e+01	2.481925104777023439e+00	8.233465878855053433e+00	5.534435708455228559e-02
1.000000000000000000e+00	1.000000000000000000e+00	9.729259264772268878e+00	9.888782104691522079e+00	1.561651507606492073e+00	4.920630888950763282e-01	3.591085976246704892e+00	3.488754186184387152e+01	4.529341116120954247e+00	9.181676865366044993e+00	7.362866629228308035e+00	8.363417559037007010e+00	1.880563375226971923e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.491013608065799190e+00	9.496643095719592864e+00	9.149736399544996956e+00	4.477960694938450392e-01	3.761940007941912523e+00	3.197115875962974485e+01	7.277720054844547093e+00	8.821501861709039716e+00	5.827902990214465895e+00	9.817834796815859022e+00	1.297180580216293455e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.910456616251539952e+00	1.350377256712585794e+00	2.241891856060299837e+00	1.074011910416377225e+00	4.175803961521652674e+00	1.215927347495710542e+01	2.735742919909356807e+00	1.195292190908763530e+01	6.721018632788476665e+00	5.513432902266090174e+00	2.122729781434874141e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.643417729750074052e+00	7.353397220238094611e+00	5.798748111687483053e+00	1.787451227536741294e-01	6.596012860773909914e+00	1.742317686042720482e+01	6.766904988427285161e+00	1.842945280586872414e+01	2.771882325241536105e+00	5.092879802509663101e+00	4.333412609913576963e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.646585841136603001e+00	9.329794147097604906e+00	4.703265423592249306e+00	1.411112925786276728e-01	4.013120747393020160e+00	1.060433778002380478e+01	3.340611972660874063e+00	1.134584079461041739e+01	2.910486067311106151e+00	7.781367685911566134e+00	4.777571360046586890e-02
1.000000000000000000e+00	1.000000000000000000e+00	3.745300127336214313e+00	2.633747824535162874e+00	4.126575699271543662e+00	7.123121595690888874e-01	7.586032476599259944e+00	2.837617745325900032e+01	8.971342138727978366e+00	2.061908472758618061e+01	1.382855696681138724e+00	2.197129528821187616e+00	2.902734909897611293e-01
