G	c	dx1dt	d2x1dt2	dx2dt	m1	m2	d2	d1	Fg	Fc	p	W
1.000000000000000000e+00	1.000000000000000000e+00	4.359198804341400724e+00	2.670183147708707683e+00	3.380940964539272731e+00	7.084670504584518191e+00	6.219227409249849181e+00	4.616981282281581223e+00	1.572155178080935123e+01	6.899564804082904956e+00	1.174149575885370167e+00	-4.404659722228548624e+00	1.188495435638099593e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.586898932817316421e+00	5.915863225391715829e+00	3.226822848851464531e+00	8.118467095624289698e+00	8.240766619925544489e+00	5.260937660889593026e+00	1.564021845911782194e+01	2.597489300517441979e+00	1.632484810074381620e+00	-5.116768404395864422e+01	1.479388419677149500e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.580119997408214516e+00	8.891968349709687303e+00	9.154308875449986616e+00	3.189517433744827990e+00	7.785083071848438507e+00	8.694258633418957771e+00	1.074886900139560986e+01	8.853078352359752046e+00	1.393863995869492944e+00	-9.250920787220836772e+00	1.805982683513962002e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.486612180838475794e+00	7.599455777073647056e+00	3.264980434393840447e+00	6.626763828577174387e+00	2.298566519770745220e+00	4.017930484268439351e+00	3.410203547736156793e+01	6.610594485279080779e+00	1.033848055554744905e+00	-2.589278165512189034e+00	2.874883102874699716e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.408536236279643639e+00	8.265745583233178095e+00	3.421686957449098454e+00	6.149183962500944567e+00	2.301185821780269869e+00	8.797075804107748809e+00	6.923908795507340130e+01	2.462323444422481966e+00	1.168313070099071815e+00	-2.948449872856560905e+00	3.927512866936794467e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.530637820098621926e+00	6.969130439159263446e+00	7.879946870716355356e+00	8.487501121341773924e+00	3.391229401489571860e+00	1.770807793049666623e+00	1.345308176879918349e+01	9.637206433070737432e+00	1.019156867953904477e+00	-8.895772463738998992e-01	9.893297000070074887e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.541804464954970033e+00	7.182724591050465790e+00	4.988253419206065686e+00	9.139112723832143459e+00	4.294337465739364923e+00	8.070348225223421323e+00	5.198647345307322354e+01	5.590201262486921507e+00	1.092869346600699121e+00	-1.344792320048580070e+00	2.468848831591584769e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.784020441308214799e+00	8.737085045730905719e+00	7.967675815312704302e+00	1.202021655610217454e+00	4.615048154309911332e+00	8.623985739033633635e+00	5.974903758296221667e+00	1.633510234065791655e+00	-6.641617170289176864e-01	1.617085516493736108e+01	1.035444968740716405e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.361354206411188983e+00	3.133124997788197419e+00	1.622038569099551575e+00	7.089241603313586992e+00	7.201907005759282221e+00	2.563822086363942265e+00	7.782527264093812569e+00	6.663981402340095173e+00	1.159281618294294880e+00	-8.126813192787581741e+00	4.028703128875810080e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.294559612136035653e+00	5.485791366242122713e+00	5.325586898746898612e+00	1.573202409845798622e+00	1.437289905690196656e+00	4.887127989874214151e+00	1.474840766687159466e+01	3.311276543654855242e+00	1.460780468033227697e+00	-4.917875545704773366e+00	1.766481669320940568e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.131600530210902678e+00	2.988371238678842801e+00	1.215666349659427325e+00	6.008421830900613436e+00	1.439049172829825807e+00	2.534829736885894302e+00	3.392168567805354940e+01	8.307175163799769280e+00	1.034098728102752718e+00	-5.019661249360565791e-02	8.097801847235447781e+01
