G	c	dx1dt	d2x1dt2	dx2dt	m2	p	m1	Fc	Fg	d1	d2	W
1.000000000000000000e+00	1.000000000000000000e+00	4.365199139457232924e+00	2.671886586410185505e+00	3.356164478229948234e+00	7.052139095563060955e+00	3.084200419890445133e+01	6.154878417298478510e+00	4.912758015856745430e+01	0.000000000000000000e+00	1.056965703776248944e+01	4.551010851858322326e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.558990987207220513e+00	5.876049048206354541e+00	3.219051738996618894e+00	8.170142286320738023e+00	7.802256999911284652e+01	8.242108689681218792e+00	1.453895922957512425e+02	0.000000000000000000e+00	1.227176664322243838e+01	5.253719437356037858e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.589520177032698989e+00	8.853318809212328944e+00	9.159686730010035305e+00	3.254848284447012574e+00	2.464710770828284936e+01	7.848843253413464005e+00	2.082535082064787559e+02	0.000000000000000000e+00	4.878031941969280361e+00	8.696530443432356705e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.393110484036770735e+00	7.588460035143265614e+00	3.248730092345808451e+00	6.614817028598324100e+00	4.229424088443904139e+01	2.384317058566439052e+00	5.401285298241340627e+01	0.000000000000000000e+00	9.934299141887089846e+00	4.064550988203313509e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.399887263376756064e+00	8.262273326255741068e+00	3.452029495315450003e+00	6.160385892730295687e+00	1.478135477241138851e+01	2.345524857000421459e+00	5.819706614767092390e+01	0.000000000000000000e+00	9.212320699750417674e+00	8.830678703572651500e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.404134742324605334e+00	6.936905625443538170e+00	7.836417098006274173e+00	8.498287646996105948e+00	2.041573634983371832e+01	3.410864077593033006e+00	7.086677943923096734e+01	0.000000000000000000e+00	1.273809470356137119e+01	1.799337830646060121e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.515364590278825752e+00	7.226994618547831983e+00	5.063866870185295355e+00	9.155920393814723113e+00	1.398348231971098521e+01	4.254700317086139272e+00	9.214386474242702718e+01	0.000000000000000000e+00	1.375064108338090030e+01	7.990677913012383726e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.799382016507578896e+00	8.643311244065829513e+00	7.984719173165085948e+00	1.112741053597847030e+00	9.714781463225520497e+00	4.678312202964433730e+00	1.211100145225344562e+02	0.000000000000000000e+00	1.671752271252017641e+00	8.617675171052175287e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.412843401149317835e+00	3.248894415147467019e+00	1.578850064362233629e+00	7.070019577972002089e+00	4.527259335587169886e+01	7.112840299626165042e+00	6.941863887519733112e+01	0.000000000000000000e+00	1.058668927831977236e+01	2.635962269427020388e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.375336649967596969e+00	5.399302803958046404e+00	5.385970232889911280e+00	1.465761321214995805e+00	1.085639354443136817e+01	1.503777095409589482e+00	2.449899927520588960e+01	0.000000000000000000e+00	2.211997593738291190e+00	4.867680919708067933e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.185269212697951824e+00	2.990998563881107408e+00	1.293864515186638586e+00	5.936310844742738624e+00	7.043940178417138043e+00	1.304100148712630691e+00	1.169693541783799695e+01	0.000000000000000000e+00	8.919281182622386339e+00	2.485482858345392287e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.731433549041442532e+00	9.880858298058075917e+00	1.555637973415921582e+00	3.591939611616764783e+00	3.494083505521343369e+01	4.528218779065047883e+00	1.342725411076373234e+02	0.000000000000000000e+00	5.380758377048833196e+00	7.352621021533578549e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.500666948962734892e+00	9.486692557636958512e+00	9.152408169402649563e+00	3.763077397587175188e+00	3.199795134234733496e+01	7.277591451955983892e+00	2.074005293189127883e+02	0.000000000000000000e+00	5.643974488535905998e+00	5.815511109992309358e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.909508981792487958e+00	1.356881567386562848e+00	2.248116334214782075e+00	4.172242290836678080e+00	1.213818757680891025e+01	2.744463866139024155e+00	1.113384483763707422e+01	0.000000000000000000e+00	6.264818453131444365e+00	6.714636934782323152e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.637175090572816849e+00	7.348040995026840605e+00	5.786515071492047468e+00	6.599313812512714428e+00	1.737545159361939540e+01	6.772897693124122043e+00	1.493435095355161479e+02	0.000000000000000000e+00	9.903465533384245845e+00	2.755338922993169515e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.644762138877613467e+00	9.328360177412056586e+00	4.702721844463183309e+00	4.008037714705738885e+00	1.061173068923527474e+01	3.332151140581913307e+00	9.332940417268146405e+01	0.000000000000000000e+00	6.003208613383002934e+00	2.909554303727169167e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.733480893400627387e+00	2.625078557455822637e+00	4.123294940393868124e+00	7.598242246203957606e+00	2.833195194751645118e+01	8.971059754109139917e+00	7.050764978166280628e+01	0.000000000000000000e+00	1.139262281537133603e+01	1.385657016264917329e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.723337275764564858e+00	6.106075204458422334e+00	9.097508893072104641e+00	4.648281460333716808e+00	2.654906808068052726e+01	9.067486283002645919e+00	1.661182822684491214e+02	0.000000000000000000e+00	6.957643142876759335e+00	3.901933746610304787e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.893479999448049789e+00	9.239142923269975327e+00	1.201348211771952501e+00	1.615297292406683072e+00	7.919833297261617666e+00	3.672945093456264409e+00	1.019103436856175904e+02	0.000000000000000000e+00	2.411131821424020494e+00	6.036588672566437275e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.619675188993521697e+00	1.298653875389027101e+00	6.969875814054750762e+00	8.055554360207063169e+00	2.917918193331594878e+01	3.070724978362709301e+00	1.212425775288442509e+01	0.000000000000000000e+00	1.209855414102379711e+01	8.721113881396927781e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.505399196849892540e+00	7.284520605866596554e+00	9.669089179732344164e+00	3.576209901550470693e+00	2.325872276559305973e+01	4.695876737854012717e+00	1.024346152601580826e+02	0.000000000000000000e+00	5.348142984766720787e+00	7.000037425581122186e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.253242561337372329e+00	3.668597595783949394e+00	6.043533249188643985e+00	4.890977974818873086e+00	1.102925364311461642e+01	3.166617620313685766e+00	3.479954816799838824e+01	0.000000000000000000e+00	7.344140332902634682e+00	4.919060894372832671e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.626407571668317065e+00	9.318476576044735893e+00	9.420681499173436890e+00	7.169287551943595460e+00	2.599935434029268677e+01	7.048961606036476368e+00	1.970963019451041589e+02	0.000000000000000000e+00	1.073935780115825978e+01	9.577877996919555770e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.298853066658552713e+00	9.733725890825573046e+00	1.457152292835720786e+00	3.992785051634235138e+00	1.719203611799257914e+01	8.440283549621458548e+00	2.464461322371590200e+02	0.000000000000000000e+00	5.984917642021716944e+00	7.468592666583486306e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.096526239001746283e+00	9.501571741828488626e+00	4.771051009279839050e+00	1.504095406126780832e+00	7.689797605593337693e+00	7.062042708525757106e+00	2.011009383674962123e+02	0.000000000000000000e+00	2.267332773475598362e+00	9.380719459299259100e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.073516490773528176e+00	5.266084145662294880e+00	3.344136851407524258e+00	4.377835658047215972e+00	3.522152996636950206e+01	8.416453945533744374e+00	1.330433462141241989e+02	0.000000000000000000e+00	6.541237238007953536e+00	5.740132963576360936e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.793462568920394684e+00	8.755498436258237760e+00	7.588786584276144609e+00	9.492419032250351663e+00	2.657696547202625581e+01	4.572239527641839274e+00	1.201917868811060117e+02	0.000000000000000000e+00	1.425482076808204468e+01	3.334079366434863356e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.632017114716871831e+00	8.605691083078250259e+00	9.832546754814002199e+00	6.768582456222335786e+00	3.817641096395181677e+01	2.403850838551941038e+00	6.202090086087832077e+01	0.000000000000000000e+00	1.016122976934505395e+01	1.474884991560218017e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.324857495186838818e+00	3.872067986965213038e+00	3.313296877068082402e+00	7.050426741854222357e+00	4.462462760005502815e+01	7.633826951326474486e+00	8.884769411170159970e+01	0.000000000000000000e+00	1.057438844325501570e+01	7.545191966252509985e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.421673679444686034e+00	8.463113443518290424e+00	6.886492078177496090e+00	6.694400557997031598e+00	9.449852726893572807e+00	4.239600105756340831e+00	1.077623269219973565e+02	0.000000000000000000e+00	1.004686668460580456e+01	2.093597024684345609e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.471540441834883417e+00	1.327609440977102873e+00	2.784519875144303214e+00	2.785375317265117889e+00	1.801690419130132170e+01	7.042517109457588909e+00	2.813087078066777380e+01	0.000000000000000000e+00	4.181629475492404602e+00	3.723001643295106966e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.536796530324421095e+00	6.358613694545651285e+00	6.097178301299451597e+00	4.768292263433193234e+00	1.209478523759344704e+01	3.437567151541847998e+00	6.576784795015457519e+01	0.000000000000000000e+00	7.148130245663628202e+00	5.790879203622358418e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.580082185581574317e+00	3.070675954590091017e+00	5.163664431795510268e+00	7.766404215533701638e+00	1.229888660092409225e+01	1.731875842691985135e+00	1.608606814642843830e+01	0.000000000000000000e+00	1.163917695990331858e+01	6.079968225325407261e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.541320471907484446e+00	2.083328178065188663e+00	9.750331814843512745e+00	1.912192254707570926e+00	1.823057398830441045e+01	9.931592635774441291e+00	6.222086189980142734e+01	0.000000000000000000e+00	2.873563275388236526e+00	6.398979214084802969e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.684285234387612462e+00	1.696063763647850386e+00	6.488537415746214343e+00	3.514743384033899076e+00	3.395350445368463710e+01	2.410895935191493589e+00	1.193965927972872620e+01	0.000000000000000000e+00	5.251129262717666002e+00	2.492090785439923906e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.274208097164647668e+00	7.266154436832379382e+00	4.147114644679414042e+00	3.477538986153435374e+00	2.886132949091455302e+01	9.896135059443807336e+00	2.158707837715859057e+02	0.000000000000000000e+00	5.231852485000887398e+00	4.407844115376426508e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.747095421770347823e+00	4.060015536051921892e+00	2.035975948736031160e+00	4.891926276837802234e+00	1.829073278838214733e+01	9.799349976964302655e+00	1.193491379553316705e+02	0.000000000000000000e+00	7.330279044054567095e+00	6.549684422228059688e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.883361026994204490e+00	7.513869810149838457e+00	2.357747169768722451e+00	9.829633525833569863e+00	1.848119009269334967e+01	8.134701279263062190e+00	1.839914462532567825e+02	0.000000000000000000e+00	1.473591375499672651e+01	9.728884967899364966e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.158179414776252969e+00	1.598712738812461120e+00	3.027675414904658968e+00	1.612348099176532212e+00	1.149588988253384869e+01	6.913441550174288963e+00	3.315504908926007488e+01	0.000000000000000000e+00	2.421823736330977361e+00	7.550327054472743882e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.956096485615447911e+00	3.836699336257157533e+00	3.258885061724403620e+00	5.667202695730419570e+00	2.816823505732708810e+01	6.201809228603160307e+00	7.152717420469680576e+01	0.000000000000000000e+00	8.507709656716082591e+00	9.292574850216967164e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.101838230171926725e+00	5.859302414962705541e+00	8.643299754812700186e+00	2.612709871217459678e+00	5.462731678297103599e+00	8.787153285710038730e+00	1.545742508611537289e+02	0.000000000000000000e+00	3.927117450073628557e+00	7.859155751843747595e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.456697087246835665e+00	8.111857171820242129e+00	6.044554819103721499e+00	9.738493234556466760e+00	5.314498306562796870e+01	3.603798476643395254e+00	8.790246858100249483e+01	0.000000000000000000e+00	1.461000477669083608e+01	6.328543688630847264e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.296938425051449073e+00	3.870486037057490059e+00	5.704461638034238113e+00	2.024147525294864636e+00	2.686555715852822157e+00	5.207485403155855508e+00	6.064144194922980802e+01	0.000000000000000000e+00	3.028348373011227945e+00	2.727316554317349873e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.188119454436925793e+00	6.625774461667038651e+00	2.037459012421622973e+00	4.635670434897131820e+00	4.250342656775988814e+01	6.583156208382722419e+00	1.308464422572877481e+02	0.000000000000000000e+00	6.951202425726454415e+00	6.996693791152123865e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.328888674415638071e+00	8.976314653792208276e+00	8.746072965534738231e+00	7.646595083831684292e+00	2.542693268760045910e+01	4.702893040385307089e+00	1.264058271211781346e+02	0.000000000000000000e+00	1.145263562120775269e+01	6.608154899603310817e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.969208597687375217e+00	6.540788350726854716e+00	7.507117946321259616e+00	7.335474324408161273e+00	5.114635186532973421e+01	4.848281515478233494e+00	9.511766470302524112e+01	0.000000000000000000e+00	1.102178759828916732e+01	6.419255804679463218e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.799471737535425220e+00	3.096797661319711459e+00	1.613565669025404770e+00	4.803324720177970519e+00	1.831693784035078565e+01	3.977121057214653366e+00	3.694043663125551546e+01	0.000000000000000000e+00	7.184238785557109708e+00	5.404579591284865536e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.663418887425293313e+00	1.223489968236604941e+00	7.369609504143278755e+00	4.113628850849336160e+00	2.339184644856684514e+01	6.080093537157934769e+00	2.224548851945469252e+01	0.000000000000000000e+00	6.177368619551181439e+00	5.758863067217713905e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.921902998072672730e+00	8.824033056284878995e+00	5.898480607848053836e+00	4.576421236584768515e+00	2.708520607335279706e+01	8.652677807262739051e+00	2.291844236078753170e+02	0.000000000000000000e+00	6.877031257377248963e+00	4.022643133930381865e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.665268132705524540e+00	1.187616765895430193e+00	1.735576636717749421e+00	3.383982141831658463e+00	9.027058029242265746e+00	2.819591673571532731e+00	9.907766045616153150e+00	0.000000000000000000e+00	5.056654856256398212e+00	5.669734158090436793e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.717111212767809647e+00	8.874859216202327872e+00	5.125025275106294131e+00	2.848581007503277363e+00	2.773479939207756928e+01	9.403852598867922907e+00	2.503948491486191585e+02	0.000000000000000000e+00	4.275240908175470977e+00	2.776257762123451656e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.970899468121058540e+00	5.772106942853491240e+00	5.360800070028867381e+00	5.361469187342978060e+00	4.261767537559791919e+01	7.203549590590322182e+00	1.245302627088882446e+02	0.000000000000000000e+00	8.015508053466236404e+00	8.246285955778143162e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.470402559735971337e+00	9.450841116466442315e+00	2.495750157030458993e+00	3.417850781276128735e+00	3.227252240799881378e+01	8.401029377954913002e+00	2.385934814908893031e+02	0.000000000000000000e+00	5.122211004198289785e+00	2.668221639572562420e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.051792090928655554e+00	8.192337702291373702e+00	9.508957606907717519e+00	3.587478114559694564e+00	3.248266937679502320e+01	6.006827101567048466e+00	1.476272517674949256e+02	0.000000000000000000e+00	5.388413580332590769e+00	1.770721729742756878e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.385055985831794345e+00	9.980811891052749019e+00	8.655169853812708425e+00	6.911379378007171503e+00	4.411684783556940204e+01	8.016701514524577021e+00	2.401192391593268383e+02	0.000000000000000000e+00	1.036781513474465122e+01	4.913207135128084602e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.293346547973460048e+00	4.167211354741525042e+00	7.014949706959339615e+00	9.713383292093102028e+00	9.032743991263041039e+01	1.154935142839459417e+00	1.427987491793323471e+01	0.000000000000000000e+00	1.455873490189175001e+01	6.921853473586831562e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.785119154849784229e+00	7.894974533743065237e+00	5.154592217375265406e+00	6.432421718703607461e+00	1.157574117076001130e+01	8.356899488732695502e+00	1.982188287305183394e+02	0.000000000000000000e+00	9.641173572960207494e+00	4.943940836783401238e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.762924269761961149e+00	4.617904611608389054e+00	4.709685600997630672e+00	1.698920339996090378e+00	4.658015446828505546e+00	1.357976728857477333e+00	1.881452723481110212e+01	0.000000000000000000e+00	2.547142597755652105e+00	3.489173735568793067e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.405608066053255722e+00	5.309837425368549191e+00	6.858272289701633717e+00	1.680869486014570979e+00	2.302655206065109983e+00	9.013701498318352989e+00	1.437332053417454460e+02	0.000000000000000000e+00	2.524024233220574231e+00	6.019037389390240023e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.925808715417980377e+00	6.633604721963429540e+00	5.906380589765284128e+00	9.558513694593642640e+00	3.755011995315058471e+01	9.929491185626609706e+00	1.979383998283553865e+02	0.000000000000000000e+00	1.435840847123631647e+01	4.125439091068528796e+00	0.000000000000000000e+00
