G	c	dx1dt	d2x1dt2	dx2dt	d1	Fc	W	Fg	d2	m1	m2	p
1.000000000000000000e+00	1.000000000000000000e+00	5.338102072069635717e+00	3.331742766565950475e+00	2.889955549028279336e+00	6.517782727427256617e+00	6.845933343442956343e+00	3.972768527724914289e+00	7.564662048882734524e+00	1.525024082723051455e+00	7.656509252184735992e+00	1.369270115739439131e+00	-1.170218276286023418e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.725192012894217086e+00	6.242438722053079481e+00	3.920077956623448934e+00	7.609680522873169650e+00	7.975846759394341845e+00	4.002457762407138020e+00	8.545918524285699647e+00	1.401988299905378321e+00	2.481274783363782710e+00	2.633858186070792140e+00	-1.014606836133352274e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.737161266651150449e+00	9.012590745027113215e+00	9.126222766674196407e+00	3.867849476105488460e+00	7.798624793636090402e+00	8.372605845147427672e+00	1.096542166970807841e+01	6.963673453866188190e-01	8.800073717924595584e+00	9.200485089806363703e+00	1.712046682147916954e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.942566564424075715e+00	7.825202247417346157e+00	2.627214375107203903e+00	5.870332978282993608e+00	2.146428331779571153e+00	4.072925662396499114e+00	3.693098756852572606e+00	9.893755974347390181e-01	6.117052858184369057e+00	6.907161669947619487e+00	6.796905099901362490e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.599235796012567157e+00	7.617793803267475461e+00	2.916002922604973957e+00	6.186143482711313979e+00	1.808006261284422544e+00	9.172871994165085141e+00	4.835020327860735989e+00	1.639728531422464108e-01	1.327565583072765953e+00	5.017926266432049864e+00	1.367636229554538261e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.790096873580623305e+00	8.359724941673928100e+00	8.129990527991816762e+00	9.414704253914868204e+00	2.852369589212673695e+00	1.477394800807530384e+00	2.697979789800565964e+00	1.221850517455247975e-01	9.863912651234672424e+00	4.768631148053049884e+00	4.431975686500569367e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.496102560459960484e+00	7.524293643758776184e+00	5.627118521497850523e+00	9.807722379184202310e+00	4.417835251627511894e+00	7.681734692283456845e+00	4.165226916012988667e+00	1.998243326483044036e-01	5.323024077593904835e+00	5.883251086883171332e+00	2.509898004796516346e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.984868240611964652e+00	8.992079583018030675e+00	8.256346617413944600e+00	1.339673484332449815e+00	4.661726304384762543e+00	9.193345243239662068e+00	1.325100920335448151e+01	1.095770840957335013e+00	5.628794836564701143e-01	2.364752690083969933e-01	-4.773364123114221869e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.983161735912373658e+00	3.231050057656962515e+00	1.856775465749737064e+00	7.057380384162310172e+00	7.532613758945637450e+00	1.906053125614973309e+00	8.176127101012848897e+00	1.979385227253360746e+00	6.554357323614081743e+00	2.278091496715280329e+00	-2.108897293153428976e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.171529765448116933e+00	4.126651750108165650e+00	4.940708376220707798e+00	1.865294194103179093e+00	1.378273193839442357e+00	4.783544158787368161e+00	4.410596913787732554e+00	1.446481073699521058e+00	3.176445993239704002e+00	2.574465821817580213e+00	-1.415791701221467669e+01
