G c dx1dt d2x1dt2 dx2dt d1 d2 W p m1 m2 Fg Fc
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 6.14796290e+00 4.54271968e+00 1.19254090e+00 9.15470296e-01 6.83431259e+00 8.71825244e-02 -8.96511368e-02
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 8.24889096e+00 5.26092093e+00 5.45255041e-01 1.83881762e-01 2.55147726e+00 1.53527322e-02 -4.90244592e-02
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 7.84144837e+00 8.69092654e+00 4.75325716e-01 5.73570368e-01 8.85155107e+00 3.59651560e-02 -6.52325792e-02
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 2.38509914e+00 4.06003947e+00 1.76512520e+00 8.96918258e-01 6.51804615e+00 3.30553503e-01 -1.56539155e-01
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 2.34324523e+00 8.82684716e+00 9.62931583e+00 1.38083226e+01 2.41483495e+00 8.10105208e+01 -6.54492439e-02
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 3.41356931e+00 1.79320988e+00 1.85645500e+00 6.05027110e+00 9.66104252e+00 2.66834822e+00 -2.34001196e-02
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 4.24967254e+00 7.99118593e+00 1.13051031e+01 3.74744419e+01 5.66528917e+00 8.88223222e+01 -2.39550464e-02
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 4.67610023e+00 8.62792870e+00 2.32728964e-01 2.11423832e-01 1.65608607e+00 5.07698535e-02 -1.08357539e-01
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 7.11727495e+00 2.63635888e+00 4.08333516e-01 1.01177956e-01 6.64149614e+00 1.38820162e-03 -4.61730968e-02
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 1.51012389e+00 4.87311879e+00 6.41887996e-01 4.69109664e-01 3.27879016e+00 3.27677305e-01 -2.38867529e-01
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 5.93972799e+00 1.31205434e+00 2.48949797e+00 9.50851551e+00 1.04492261e+01 8.23324107e+00 1.19800711e+01 -1.90284127e-01
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 3.58869456e+00 4.52719507e+00 7.35943716e+00 5.99618833e-01 9.63832886e-02 8.36039866e+00 2.38794276e-03 -1.43765343e-01
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 3.76098940e+00 7.27447323e+00 5.81812991e+00 3.54221419e-01 3.81999961e-01 9.81052620e+00 1.73636866e-02 -4.48462607e-02
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 4.17662653e+00 2.74091809e+00 6.71791012e+00 3.51652584e+00 2.72185634e+00 5.51682578e+00 1.42624796e+00 -3.57376327e-01
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 6.59163204e+00 6.77354033e+00 2.76838270e+00 1.02185198e+00 2.24483867e+00 5.09461192e+00 3.84998301e-01 -3.74556764e-02
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 4.00644969e+00 3.33845324e+00 2.90571276e+00 1.31557688e+00 2.33265413e+00 7.78128045e+00 5.55207310e-01 -9.62665167e-02
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 4.12608994e+00 7.59429146e+00 8.97477498e+00 1.37347593e+00 3.10902714e-01 3.43164988e-01 2.19223591e+00 2.23746021e-02 -1.81953288e-02
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.09850011e+00 4.64074647e+00 9.06120950e+00 3.89860782e+00 3.48900871e-01 5.54705781e-01 5.92223962e+00 3.28142440e-02 -2.81989062e-02
1.00000000e+00 1.00000000e+00 4.88750517e+00 9.23939468e+00 1.19641057e+00 1.61517880e+00 3.67558484e+00 6.03770195e+00 5.42848442e-01 1.32883668e-01 5.91622840e+00 3.96879861e-03 -2.69475878e-01
1.00000000e+00 1.00000000e+00 3.62106226e+00 1.30551381e+00 6.97410718e+00 8.05383858e+00 3.06994379e+00 8.72141423e+00 6.31863719e+00 1.21695927e+01 1.80525811e+00 9.67650120e+01 -2.12113088e-02
1.00000000e+00 1.00000000e+00 6.50667605e+00 7.27678241e+00 9.67054991e+00 3.57182492e+00 4.70173575e+00 7.00234703e+00 8.17553894e-01 1.21508980e+00 4.76185677e+00 4.29083084e-01 -8.25018325e-02
1.00000000e+00 1.00000000e+00 2.25544475e+00 3.67614107e+00 6.04151365e+00 4.89490192e+00 3.16478427e+00 4.91856691e+00 3.37292182e+00 9.03482705e+00 8.67956319e+00 6.70239315e+00 -8.62284131e-02
1.00000000e+00 1.00000000e+00 3.62930184e+00 9.31956576e+00 9.43140216e+00 7.16899495e+00 7.05145459e+00 9.57808103e+00 2.68308839e+00 6.97249408e+00 8.70538260e+00 2.87430481e+00 -6.54904825e-02
1.00000000e+00 1.00000000e+00 4.29725659e+00 9.73952421e+00 1.47032091e+00 3.99210541e+00 8.43458216e+00 7.47320681e+00 8.23102919e-01 2.81627455e-01 1.89313898e+00 2.13449526e-02 -1.50912010e-01
1.00000000e+00 1.00000000e+00 5.10462986e+00 9.49839840e+00 4.76913987e+00 1.50927091e+00 7.05782918e+00 9.37148683e+00 3.92590964e-01 3.66788832e-01 1.81648794e+00 5.35664419e-02 -1.31731537e-01
1.00000000e+00 1.00000000e+00 8.06658365e+00 5.26792795e+00 3.34142012e+00 4.36528942e+00 8.41915403e+00 5.74829176e+00 3.69482394e-01 1.53050654e-01 3.36425929e+00 6.67117153e-03 -5.94388630e-02
1.00000000e+00 1.00000000e+00 2.79706404e+00 8.75838386e+00 7.57738868e+00 9.50003724e+00 4.57292946e+00 3.33013847e+00 2.47337911e+00 6.70050976e+00 8.87289456e+00 3.09498305e+00 -3.27117118e-02
1.00000000e+00 1.00000000e+00 5.62810995e+00 8.60094459e+00 9.83167381e+00 6.77560958e+00 2.40685274e+00 1.47544018e+00 7.38002592e-01 1.28920736e+00 2.16012327e+00 1.79920260e+00 -1.91697726e-02
1.00000000e+00 1.00000000e+00 6.33173112e+00 3.87190426e+00 3.30877056e+00 7.04331234e+00 7.64155853e+00 7.53476366e+00 1.09683721e+00 5.73173844e-01 7.47997122e+00 3.63926199e-02 -9.98587094e-02
1.00000000e+00 1.00000000e+00 1.41805371e+00 8.46023927e+00 6.88757141e+00 6.69053938e+00 4.24427055e+00 2.09172698e+00 2.32525394e+00 1.12938970e+01 1.91049058e+00 2.23065479e+01 -6.79875413e-03
1.00000000e+00 1.00000000e+00 6.46790367e+00 1.33306871e+00 2.78287869e+00 2.79092925e+00 7.04143743e+00 3.72497615e+00 2.28269274e-01 9.82150835e-02 6.60824068e+00 1.34082700e-03 -5.70840481e-02
1.00000000e+00 1.00000000e+00 2.53471711e+00 6.36642891e+00 6.08797229e+00 4.76500478e+00 3.43579548e+00 5.79223817e+00 3.16922411e+00 7.61195340e+00 4.20460569e+00 1.01664461e+01 -7.05135343e-02
1.00000000e+00 1.00000000e+00 1.58546434e+00 3.07007954e+00 5.17539238e+00 7.75845819e+00 1.73106671e+00 6.07974929e+00 1.71866333e+01 5.61019060e+01 8.10022567e+00 3.55877709e+02 -2.09789509e-02
1.00000000e+00 1.00000000e+00 9.53996984e+00 2.08510197e+00 9.74804797e+00 1.91235608e+00 9.93323616e+00 6.40524877e+00 1.29260848e-01 1.32080181e-01 3.10321404e+00 5.39908073e-03 -3.32937584e-02
1.00000000e+00 1.00000000e+00 9.69068830e+00 1.69257881e+00 6.47674545e+00 3.50067498e+00 2.40581357e+00 2.49629797e+00 3.74827650e-01 2.50515052e-01 6.75281646e+00 3.74347862e-02 -6.28205721e-02
1.00000000e+00 1.00000000e+00 8.27557613e+00 7.26659898e+00 4.14555735e+00 3.48687198e+00 9.89578895e+00 4.41763664e+00 1.88095035e-01 9.42241048e-02 3.12114281e+00 2.37880156e-03 -3.58128783e-02
1.00000000e+00 1.00000000e+00 3.74152392e+00 4.05887467e+00 2.02686206e+00 4.88817035e+00 9.79551939e+00 6.55474804e+00 8.74231277e-01 4.73589437e-01 7.42294255e+00 1.15411470e-02 -1.14720949e-01
1.00000000e+00 1.00000000e+00 1.87904903e+00 7.52290094e+00 2.36122146e+00 9.82331867e+00 8.14436294e+00 9.72836978e+00 6.24457768e+00 7.84696441e+00 8.86310231e+00 1.60287109e+00 -1.76654405e-01
1.00000000e+00 1.00000000e+00 7.15809724e+00 1.58820707e+00 3.02785237e+00 1.60752292e+00 6.93480666e+00 7.54868024e+00 2.44453495e-01 1.03403051e-01 2.14121619e+00 5.15429683e-03 -1.06510493e-01
1.00000000e+00 1.00000000e+00 4.96137244e+00 3.83761304e+00 3.25869995e+00 5.66830895e+00 6.20026345e+00 9.30343381e+00 1.71429205e+00 1.12597139e+00 8.79936120e+00 1.15290960e-01 -1.74449584e-01
1.00000000e+00 1.00000000e+00 2.09834411e+00 5.85542163e+00 8.65554452e+00 2.61428214e+00 8.79491391e+00 7.85990852e+00 1.11342673e+00 4.59281897e+00 6.34217729e+00 7.93533736e-01 -7.08316287e-02
1.00000000e+00 1.00000000e+00 5.45659219e+00 8.11650848e+00 6.05100509e+00 9.73608891e+00 3.60495569e+00 6.32545272e+00 3.13079561e+00 3.47184828e+00 2.14399442e+00 8.50980074e+00 -4.62101304e-02
1.00000000e+00 1.00000000e+00 1.30949669e+00 3.86877253e+00 5.71051820e+00 2.01973154e+00 5.20913091e+00 2.72821032e+00 8.07796224e-01 3.52267789e+00 4.84787670e+00 6.43477603e-01 -6.06955843e-02
1.00000000e+00 1.00000000e+00 9.18388362e+00 6.63302239e+00 2.03291985e+00 4.63240902e+00 6.57450972e+00 7.00017087e+00 5.37063696e-01 1.18882979e-01 2.44774264e+00 8.06559863e-03 -9.43389153e-02
1.00000000e+00 1.00000000e+00 3.32901983e+00 8.97379973e+00 8.74125724e+00 7.64096486e+00 4.70071428e+00 6.61041609e+00 3.22772675e+00 8.47528440e+00 7.30313100e+00 6.96549521e+00 -4.92393676e-02
1.00000000e+00 1.00000000e+00 6.96270056e+00 6.54276869e+00 7.50532873e+00 7.34098985e+00 4.84737809e+00 6.42222253e+00 1.39686797e+00 1.50573089e+00 7.82981321e+00 4.15924156e-01 -7.95543542e-02
1.00000000e+00 1.00000000e+00 3.80539968e+00 3.09663527e+00 1.60901526e+00 4.80455773e+00 3.97256201e+00 5.40807281e+00 1.71879857e+00 7.26749712e-01 1.95216868e+00 2.59168364e-01 -2.21760162e-01
