G	c	dx1dt	d2x1dt2	dx2dt	d1	d2	W	p	m1	m2	Fg	Fc
1.000000000000000000e+00	1.000000000000000000e+00	4.359198804341400724e+00	2.670183147708707683e+00	3.380940964539272731e+00	7.084670504584518191e+00	6.219227409249849181e+00	4.616981282281581223e+00	1.200220545270086925e+00	9.712756386648658813e-01	6.939663699725011625e+00	4.884936664754314650e-01	-8.959999661401463200e-02
1.000000000000000000e+00	1.000000000000000000e+00	9.586898932817316421e+00	5.915863225391715829e+00	3.226822848851464531e+00	8.118467095624289698e+00	8.240766619925544489e+00	5.260937660889593026e+00	5.459974456854809199e-01	2.232324219565065271e-01	2.467378129703412082e+00	-1.437620235617558528e-01	-5.020238725872033098e-02
1.000000000000000000e+00	1.000000000000000000e+00	7.580119997408214516e+00	8.891968349709687303e+00	9.154308875449986616e+00	3.189517433744827990e+00	7.785083071848438507e+00	8.694258633418957771e+00	4.688210933817156256e-01	5.748765384745178064e-01	8.926109144494443370e+00	-2.099966469175254535e-02	-6.480059937298190964e-02
1.000000000000000000e+00	1.000000000000000000e+00	6.486612180838475794e+00	7.599455777073647056e+00	3.264980434393840447e+00	6.626763828577174387e+00	2.298566519770745220e+00	4.017930484268439351e+00	1.790240915696570401e+00	9.760679333926250978e-01	6.425361481404013198e+00	-1.226460314274567809e-01	-1.581314278110786675e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.408536236279643639e+00	8.265745583233178095e+00	3.421686957449098454e+00	6.149183962500944567e+00	2.301185821780269869e+00	8.797075804107748809e+00	9.609958658560364242e+00	1.384893596065191801e+01	2.342637636861281791e+00	8.030914292082714212e+01	-6.576467894110862855e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.530637820098621926e+00	6.969130439159263446e+00	7.879946870716355356e+00	8.487501121341773924e+00	3.391229401489571860e+00	1.770807793049666623e+00	1.862343060725942578e+00	6.029885876026035874e+00	9.569812273115873680e+00	2.655273362046307817e+00	-2.322083342927303007e-02
1.000000000000000000e+00	1.000000000000000000e+00	1.541804464954970033e+00	7.182724591050465790e+00	4.988253419206065686e+00	9.139112723832143459e+00	4.294337465739364923e+00	8.070348225223421323e+00	1.133626019656612804e+01	3.741022482372683555e+01	5.678907800006099293e+00	8.842629401531063138e+01	-2.172455411164685851e-02
1.000000000000000000e+00	1.000000000000000000e+00	8.784020441308214799e+00	8.737085045730905719e+00	7.967675815312704302e+00	1.202021655610217454e+00	4.615048154309911332e+00	8.623985739033633635e+00	2.175940064593191448e-01	1.921164065285269618e-01	1.592239442073297706e+00	4.351289722891180656e-01	-1.080586525109797913e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.361354206411188983e+00	3.133124997788197419e+00	1.622038569099551575e+00	7.089241603313586992e+00	7.201907005759282221e+00	2.563822086363942265e+00	4.019745881795704912e-01	1.204079206446345557e-01	6.568149878462754998e+00	-1.150521877440150997e-01	-4.604217215409824038e-02
1.000000000000000000e+00	1.000000000000000000e+00	7.294559612136035653e+00	5.485791366242122713e+00	5.325586898746898612e+00	1.573202409845798622e+00	1.437289905690196656e+00	4.887127989874214151e+00	6.921214974297330569e-01	4.968928403608533495e-01	3.289820270534169921e+00	4.555148949836503869e-01	-2.389266708050748755e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.131600530210902678e+00	2.988371238678842801e+00	1.215666349659427325e+00	6.008421830900613436e+00	1.439049172829825807e+00	2.534829736885894302e+00	9.518676375510146670e+00	1.051245640562411943e+01	8.257816655068420886e+00	1.254658677640749076e+01	-1.915433785661135035e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.681581658741173158e+00	9.944787146550597257e+00	1.567361759433568258e+00	3.680899009813482614e+00	4.621183166844911483e+00	7.358043046436238299e+00	5.887767137875543622e-01	4.546241621400234217e-02	8.362566374299369443e+00	-6.129152807170721307e-01	-1.436848146817872041e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.513352649419289264e+00	9.516775070028330674e+00	9.064264572274712606e+00	3.702824696602768029e+00	7.282162482060938302e+00	5.898733609803107569e+00	3.714126412663552035e-01	3.615694142474029094e-01	9.801701835899711668e+00	-2.828186747453073080e-01	-4.474972836333696025e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.882574304372880203e+00	1.374091733215347721e+00	2.181492933621320685e+00	4.208737102683922870e+00	2.651169081558188978e+00	6.760565648132291550e+00	3.504357983986525316e+00	2.667069612469010753e+00	5.616314432236760190e+00	1.501181399921379445e+00	-3.582851490183300291e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.646541769651306719e+00	7.381010589733135951e+00	5.833562630758079237e+00	6.568258953104088249e+00	6.770521410218030667e+00	2.710825605222531465e+00	9.883334308366725773e-01	2.182554558274222956e+00	5.102545091392575394e+00	5.144658499096418369e-01	-3.856917122232644130e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.720025220027544766e+00	9.372243810175449497e+00	4.688552891680000556e+00	3.916404322463208132e+00	3.317382214550583797e+00	2.875460161112637358e+00	1.344971205700940198e+00	2.303446514266224820e+00	7.825108290062472882e+00	1.012345781840382930e+00	-9.671836287101312490e-02
1.000000000000000000e+00	1.000000000000000000e+00	3.733427730699347080e+00	2.606884738974546867e+00	4.197070049890573529e+00	7.675275728011094145e+00	8.905365218824428553e+00	1.385887111917115444e+00	2.872765590072430819e-01	3.602206583246845284e-01	2.200010558570666852e+00	3.816042839109403673e-01	-1.813440375038542426e-02
1.000000000000000000e+00	1.000000000000000000e+00	5.835338264697727872e+00	6.169074557294291772e+00	9.031974460449967879e+00	4.624847790974027539e+00	9.077060642789202660e+00	3.807197672552654399e+00	4.014135005199720996e-01	5.905928779984134236e-01	5.862517570149126556e+00	7.297028376031318431e-02	-2.862821826629946206e-02
1.000000000000000000e+00	1.000000000000000000e+00	4.823866646724216167e+00	9.179063890185597430e+00	1.191222847760915027e+00	1.558062187586774394e+00	3.630721427809218582e+00	6.056155087414038185e+00	5.323675522404169858e-01	8.876398775105581729e-02	5.946141077687155274e+00	1.296582064302679027e-01	-2.704618891197129726e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.612912213089021662e+00	1.305217261903687920e+00	6.996170846615738625e+00	8.031396681685693650e+00	3.031003240954921907e+00	8.624770640099782781e+00	6.364329061367273610e+00	1.213194326657926325e+01	1.769584181938460343e+00	9.690216457777755465e+01	-2.093989161426668133e-02
1.000000000000000000e+00	1.000000000000000000e+00	6.477486768205534595e+00	7.323288718880913706e+00	9.605918154393366493e+00	3.528722318970904936e+00	4.690641480885077819e+00	7.058494435673138945e+00	7.882386651175050662e-01	1.132288208435577870e+00	4.756907324666449277e+00	-1.797647508679751094e-01	-8.199622673972511988e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.306131381137167757e+00	3.731495447658788045e+00	6.098483947037141917e+00	4.857349444663392468e+00	3.133469285610020805e+00	4.968341581093262072e+00	3.394886614822055115e+00	9.044799222655555582e+00	8.696176422645386594e+00	6.637612535029022709e+00	-8.611460238139534429e-02
1.000000000000000000e+00	1.000000000000000000e+00	3.508077396458197939e+00	9.345200161291145946e+00	9.459600068391155858e+00	7.156998726524049559e+00	7.164650698279015906e+00	9.605774246098651048e+00	2.693791904093405964e+00	6.938433243412460705e+00	8.599773736950128367e+00	2.977238135211419223e+00	-6.601871561865636784e-02
1.000000000000000000e+00	1.000000000000000000e+00	4.219150731613230398e+00	9.717639175981688027e+00	1.381461684875688434e+00	4.085800934397087580e+00	8.405402063031177207e+00	7.436126903629286744e+00	8.410463992944661182e-01	3.589956154143019162e-01	1.805585612551872332e+00	2.113057260538835636e-01	-1.503538849989916604e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.098819918288827857e+00	9.548283650301360836e+00	4.767055899530318719e+00	1.473200657514446288e+00	7.081843739005361016e+00	9.380824464008670205e+00	4.133248041916771087e-01	3.858541084378829811e-01	1.865960514112680046e+00	-3.293633698384386133e-01	-1.319103135490697076e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.150549005706675842e+00	5.230690063603534945e+00	3.362731306051983449e+00	4.455111970452214187e+00	8.427080564338005786e+00	5.720126944888456855e+00	3.588213132577144360e-01	1.450745917585434253e-01	3.328152946511027110e+00	-5.189451874911756857e-01	-6.055455159858759429e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.809287297864017319e+00	8.855817474530459421e+00	7.544807806628886837e+00	9.545987962553420303e+00	4.592143580997953833e+00	3.273586084261218332e+00	2.445345305762981702e+00	6.670683690698051116e+00	8.839368002452916429e+00	2.997824813740415095e+00	-3.173942868394664940e-02
1.000000000000000000e+00	1.000000000000000000e+00	5.554960025764976272e+00	8.596234216100159031e+00	9.749960826729342500e+00	6.797061247458810129e+00	2.430224961802974093e+00	1.456856127272918355e+00	7.369119976611532286e-01	1.219671759603327299e+00	2.169177151909301049e+00	2.614210098012426542e+00	-1.883808454122953141e-02
1.000000000000000000e+00	1.000000000000000000e+00	6.266936764999224252e+00	3.786252484718652500e+00	3.324146084021809777e+00	7.083810886012008368e+00	7.689565831013511321e+00	7.573071767021349210e+00	1.101614240215082807e+00	5.095372076433833941e-01	7.458991480918427897e+00	-3.029915251442896751e-01	-9.997063662023238095e-02
1.000000000000000000e+00	1.000000000000000000e+00	1.508601081920214249e+00	8.393777167996910649e+00	7.009668540306413398e+00	6.691278612350965105e+00	4.258783728928828616e+00	2.094130705660706582e+00	2.315147616147400278e+00	1.126495352857530641e+01	1.933206467402270867e+00	2.279286324228875671e+01	-8.272834568486087808e-03
1.000000000000000000e+00	1.000000000000000000e+00	6.434285935507342735e+00	1.335496673493035358e+00	2.761510776548731005e+00	2.860547970338617407e+00	7.053687386783742852e+00	3.804564713556870981e+00	2.342141342002521942e-01	6.570046531605723550e-02	6.605459767389131542e+00	6.578402371493106138e-01	-5.778293255686246799e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.483681018715544919e+00	6.374207607616792615e+00	6.174620319773945099e+00	4.795697550264026887e+00	3.438980695454725289e+00	5.834250271884121375e+00	3.176284278154464236e+00	7.565469558244781290e+00	4.215409252676504792e+00	1.018528121136017006e+01	-6.861956271760090431e-02
1.000000000000000000e+00	1.000000000000000000e+00	1.665424307765898115e+00	3.179654609054587411e+00	5.133853612725724602e+00	7.668343570576892532e+00	1.723527161694437870e+00	6.115886256346414029e+00	1.716714166743528125e+01	5.611944934027991394e+01	8.062046120793288750e+00	3.555960729785563785e+02	-2.239419192198629019e-02
1.000000000000000000e+00	1.000000000000000000e+00	9.594693534029087090e+00	2.027328634422461473e+00	9.759949648864109761e+00	1.928393309291505764e+00	9.883571004404283045e+00	6.316980156951604641e+00	1.377206407077456451e-01	1.560050349569289951e-01	3.113745171613412577e+00	2.178413847590325303e-01	-3.352959337429760323e-02
1.000000000000000000e+00	1.000000000000000000e+00	9.759644344482065748e+00	1.694774153608260114e+00	6.519346235668837863e+00	3.543114389499698369e+00	2.402498101192453106e+00	2.480653658602193445e+00	3.691043014066572314e-01	2.291783861075084583e-01	6.812930870193302901e+00	1.182121001959976075e-01	-6.283589955230178825e-02
1.000000000000000000e+00	1.000000000000000000e+00	8.224156928001372435e+00	7.207661717112581634e+00	4.145092776683743985e+00	3.471227259040158941e+00	9.908930658237913747e+00	4.359243249407757759e+00	1.731023163148413535e-01	1.842519738340977487e-01	3.090258558624629170e+00	-3.535164136111929589e-01	-3.551218264850820872e-02
1.000000000000000000e+00	1.000000000000000000e+00	3.658980490438113353e+00	4.031467513223194743e+00	2.010422134973366859e+00	4.895005054392289168e+00	9.817425083881294867e+00	6.544708171881824299e+00	8.910958713677183951e-01	3.923274478400012311e-01	7.472733847747373481e+00	-2.613766592881687223e-01	-1.161257084235124692e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.886256411862021976e+00	7.616582926759750016e+00	2.401315691428555166e+00	9.790142365896180365e+00	8.154182957662019504e+00	9.690335401153214789e+00	6.227935496399879867e+00	7.849670332404691031e+00	8.860297542346181388e+00	1.790772558039784190e+00	-1.764909796143732945e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.176235301794404720e+00	1.524990916102277216e+00	3.132291930405720848e+00	1.532946871218794360e+00	6.922117721779774691e+00	7.527964151065975607e+00	2.346722442457555291e-01	9.323418196071046882e-02	2.181170372945875791e+00	3.918443629626712221e-01	-1.080925251385917996e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.981105816162866518e+00	3.870271124348746206e+00	3.275297312538285599e+00	5.584381229398310609e+00	6.197154337409773284e+00	9.361651111863507069e+00	1.715835289433477628e+00	1.100351480036453333e+00	8.806366075846506547e+00	-1.842916096468752429e-02	-1.743581689075065222e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.178347991888324842e+00	5.877279678321312595e+00	8.627049475341191709e+00	2.531074879247309006e+00	8.764757074419119220e+00	7.885981588468631287e+00	1.142862772480911948e+00	4.560362041229675256e+00	6.340359809599886987e+00	7.648942400615281745e-01	-7.144375795169613519e-02
1.000000000000000000e+00	1.000000000000000000e+00	5.362755358096586100e+00	8.115163785905549432e+00	6.040527670225922741e+00	9.772306813703870887e+00	3.622016837610169571e+00	6.380704834434849815e+00	3.134924804730110814e+00	3.471524489754859388e+00	2.163018943738005628e+00	8.786793133715933735e+00	-4.702255467509536963e-02
