G c dx1dt d2x1dt2 dx2dt m1 m2 d2 d1 Fc Fg p W
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 6.14796290e+00 4.54271968e+00 1.73747686e+00 6.83431259e+00 7.84186180e+00 -2.60307617e+00 5.92931240e+01
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 8.24889096e+00 5.26092093e+00 1.73689698e+00 2.55147726e+00 2.52711638e+00 -2.74966614e+00 3.96257378e+01
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 7.84144837e+00 8.69092654e+00 1.20224854e+00 8.85155107e+00 3.67340500e+00 1.56746716e+00 6.17217974e+01
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 2.38509914e+00 4.06003947e+00 3.75849660e+00 6.51804615e+00 1.81018346e+01 -2.69824837e+00 9.49946772e+01
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 2.34324523e+00 8.82684716e+00 7.71683023e+00 2.41483495e+00 6.33347480e+00 3.05070176e-01 7.70922547e+01
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 3.41356931e+00 1.79320988e+00 1.48760876e+00 9.66104252e+00 2.40437859e+01 7.57182884e+00 1.09674057e+02
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 4.24967254e+00 7.99118593e+00 5.73829135e+00 5.66528917e+00 1.22043512e+01 2.76186188e+00 1.43737461e+02
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 4.67610023e+00 8.62792870e+00 6.82329152e-01 1.65608607e+00 3.92908602e-01 -1.54286860e-01 1.22546191e+01
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 7.11727495e+00 2.63635888e+00 8.72477391e-01 6.64149614e+00 6.59381613e+00 -9.86247194e+00 2.86068458e+01
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 1.51012389e+00 4.87311879e+00 1.57747253e+00 3.27879016e+00 3.18412189e+00 -1.20388733e+00 2.34184322e+01
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 5.93972799e+00 1.31205434e+00 2.48949797e+00 3.75668912e+00 8.23324107e+00 3.72722462e+01 3.22796074e-01 1.00525810e+02
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 3.58869456e+00 4.52719507e+00 7.35943716e+00 1.94460159e+00 8.36039866e+00 6.62726407e+00 -6.90314108e+00 5.43852169e+01
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 3.76098940e+00 7.27447323e+00 5.81812991e+00 1.00268085e+00 9.81052620e+00 5.07215902e+00 6.87972305e-01 6.39533844e+01
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 4.17662653e+00 2.74091809e+00 6.71791012e+00 3.41226319e+00 5.51682578e+00 8.40657042e+00 -2.67869664e+00 6.58853943e+01
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 6.59163204e+00 6.77354033e+00 2.76838270e+00 8.98011932e-01 5.09461192e+00 4.95779246e+00 2.18706882e+00 5.19023900e+01
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 4.00644969e+00 3.33845324e+00 2.90571276e+00 1.16237382e+00 7.78128045e+00 9.33824930e+00 1.70956929e+00 4.59640245e+01
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 4.12608994e+00 7.59429146e+00 8.97477498e+00 1.37347593e+00 3.87403455e-01 2.19223591e+00 1.85503018e+00 3.23935995e-01 3.38825688e+01
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.09850011e+00 4.64074647e+00 9.06120950e+00 3.89860782e+00 6.65564219e-01 5.92223962e+00 3.03310641e+00 3.27115031e+00 5.40487246e+01
1.00000000e+00 1.00000000e+00 4.88750517e+00 9.23939468e+00 1.19641057e+00 1.61517880e+00 3.67558484e+00 6.03770195e+00 8.84391522e-01 5.91622840e+00 2.59979490e+00 -2.36350534e+00 1.76292037e+01
1.00000000e+00 1.00000000e+00 3.62106226e+00 1.30551381e+00 6.97410718e+00 8.05383858e+00 3.06994379e+00 8.72141423e+00 7.62672623e+00 1.80525811e+00 4.73600118e+00 4.63657410e+00 9.74729615e+01
1.00000000e+00 1.00000000e+00 6.50667605e+00 7.27678241e+00 9.67054991e+00 3.57182492e+00 4.70173575e+00 7.00234703e+00 1.77318611e+00 4.76185677e+00 3.61749779e+00 2.07040877e+00 5.98724861e+01
1.00000000e+00 1.00000000e+00 2.25544475e+00 3.67614107e+00 6.04151365e+00 4.89490192e+00 3.16478427e+00 4.91856691e+00 2.53581293e+00 8.67956319e+00 1.34244887e+01 8.93910862e+00 9.56018624e+01
1.00000000e+00 1.00000000e+00 3.62930184e+00 9.31956576e+00 9.43140216e+00 7.16899495e+00 7.05145459e+00 9.57808103e+00 3.24591253e+00 8.70538260e+00 8.85049220e+00 5.41972711e+00 1.52384406e+02
1.00000000e+00 1.00000000e+00 4.29725659e+00 9.73952421e+00 1.47032091e+00 3.99210541e+00 8.43458216e+00 7.47320681e+00 1.17902815e+00 1.89313898e+00 8.96026649e-01 -5.49491127e-01 1.25658685e+01
1.00000000e+00 1.00000000e+00 5.10462986e+00 9.49839840e+00 4.76913987e+00 1.50927091e+00 7.05782918e+00 9.37148683e+00 6.68010519e-01 1.81648794e+00 3.88444143e-01 -6.41596077e-02 1.08382232e+01
1.00000000e+00 1.00000000e+00 8.06658365e+00 5.26792795e+00 3.34142012e+00 4.36528942e+00 8.41915403e+00 5.74829176e+00 9.93486881e-01 3.36425929e+00 1.74435168e+00 -3.01763340e+00 2.46133083e+01
1.00000000e+00 1.00000000e+00 2.79706404e+00 8.75838386e+00 7.57738868e+00 9.50003724e+00 4.57292946e+00 3.33013847e+00 2.30606659e+00 8.87289456e+00 1.84330044e+01 4.84282457e+00 1.33369932e+02
