G	c	dx1dt	d2x1dt2	dx2dt	m1	m2	d2	d1	Fc	Fg	p	W
1.000000000000000000e+00	1.000000000000000000e+00	4.373592022685600433e+00	2.675611147559617375e+00	3.365195733443324233e+00	7.049306731756622924e+00	6.158028135257465507e+00	4.536529394589734920e+00	1.736667808359697807e+00	6.836954947400884386e+00	7.845229050019819184e+00	-2.603021236374977398e+00	5.925928694282315945e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.559819779210151580e+00	5.877911440640550822e+00	3.221443462572319838e+00	8.177107344915103937e+00	8.255375712946438682e+00	5.267902003112375553e+00	1.738947063603166532e+00	2.562938550123859738e+00	2.523415447233232634e+00	-2.749692979252854830e+00	3.967446328568156844e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.581236585907878300e+00	8.841473373777027689e+00	9.143155232859863091e+00	3.250777522832180910e+00	7.840355248070585148e+00	8.682367161394417110e+00	1.204452224042948938e+00	8.856384025446107700e+00	3.693390621102368154e+00	1.567544422651831137e+00	6.177115417491667415e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.379792359908970312e+00	7.591911869239832633e+00	3.249615580798893344e+00	6.629977775253193428e+00	2.382894782751060703e+00	4.071655492226863515e+00	3.757755852608767100e+00	6.517564152314371917e+00	1.809760497000325685e+01	-2.698194052473092519e+00	9.500825825523972412e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.400130490730375321e+00	8.257113476177220690e+00	3.452988573829296914e+00	6.144449247817163950e+00	2.348853431317468043e+00	8.824590911085904210e+00	7.720267404358234664e+00	2.414852346363961288e+00	6.330241866674342077e+00	3.050993479657949647e-01	7.709274594536807967e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.400370213310085266e+00	6.928633471898766771e+00	7.825827872985522404e+00	8.496566886481696557e+00	3.424367723261525498e+00	1.794008761114281647e+00	1.480013809313240003e+00	9.658187400239281573e+00	2.403728742449808209e+01	7.571837731692102835e+00	1.096085481777385127e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.526830248927960598e+00	7.228438393056968891e+00	5.048633064163622564e+00	9.152104111061541758e+00	4.254867622425461349e+00	7.980805892493511244e+00	5.735098565112020097e+00	5.660121402796109535e+00	1.221384419836486224e+01	2.761880347558405724e+00	1.435755980285486828e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.792259236222520258e+00	8.647250584910212368e+00	7.992886522824621309e+00	1.103910975296034547e+00	4.687929925985145019e+00	8.627587810329838902e+00	6.799382983567060501e-01	1.653079227570352083e+00	3.901393516467429601e-01	-1.542181652186523089e-01	1.217574350252820814e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.405400287224565226e+00	3.253241077499511746e+00	1.587891746953643990e+00	7.056734226986692171e+00	7.112250950362235535e+00	2.637612374445747587e+00	8.703369917844200332e-01	6.637295819854966972e+00	6.588430939206487480e+00	-9.862401131309793456e+00	2.857915730479790994e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.369342849234466364e+00	5.406399338826175516e+00	5.383774378540814531e+00	1.460809324129306308e+00	1.505660732621778797e+00	4.872646089153040094e+00	1.578350563141846408e+00	3.282344339975056258e+00	3.189373667180893435e+00	-1.203810076485216207e+00	2.349628426199965148e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.191314833827371578e+00	2.988997339019431099e+00	1.308132051329933043e+00	5.937974549772476962e+00	1.305578239670098117e+00	2.486408805629983565e+00	3.757446452327487751e+00	8.227414006114381451e+00	3.726199193212431737e+01	3.227984655883304188e-01	1.005184940110049752e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.729259264772268878e+00	9.888782104691522079e+00	1.561651507606492073e+00	3.589841541540777392e+00	4.529601317244285497e+00	7.354244136288627942e+00	1.945630358642886915e+00	8.367651031552265195e+00	6.631907846840473297e+00	-6.903108963988795921e+00	5.434839679147506786e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.491013608065799190e+00	9.496643095719592864e+00	9.149736399544996956e+00	3.766458962549396716e+00	7.275429733387385411e+00	5.824332182984757189e+00	1.004237308436006115e+00	9.814617166540870130e+00	5.085392555727747954e+00	6.880500561849013375e-01	6.389017716484555365e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.910456616251539952e+00	1.350377256712585794e+00	2.241891856060299837e+00	4.174213477519445270e+00	2.740090420146628958e+00	6.718079133500286737e+00	3.409782324067587744e+00	5.516937304888224425e+00	8.410779596037004424e+00	-2.678732734515908209e+00	6.593198864206061671e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.643417729750074052e+00	7.353397220238094611e+00	5.798748111687483053e+00	6.586857655268589795e+00	6.777948319587530079e+00	2.776835545493351987e+00	8.948310910673646923e-01	5.094613653176133461e+00	4.962531233718345369e+00	2.187050393181466212e+00	5.199875296711432071e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.646585841136603001e+00	9.329794147097604906e+00	4.703265423592249306e+00	3.998639733225114234e+00	3.345165669712116596e+00	2.902824382822793758e+00	1.163408670298974990e+00	7.778248962526427057e+00	9.344712741561394864e+00	1.709570218043461765e+00	4.603946549889706574e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.745300127336214313e+00	2.633747824535162874e+00	4.126575699271543662e+00	7.596890224593946250e+00	8.966464776338881393e+00	1.371090567874053701e+00	3.857578242643969202e-01	2.193705109658560470e+00	1.867731137606902125e+00	3.239880548784402903e-01	3.392556955490282888e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.723947151008893286e+00	6.118490776344041926e+00	9.096069066875619669e+00	4.648234221204042171e+00	9.057957824464409669e+00	3.903082317161201242e+00	6.614634724461122550e-01	5.928158603133646842e+00	3.042094384342586277e+00	3.271203271113557687e+00	5.394404342625037430e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.886636930738381679e+00	9.235580163641998297e+00	1.193489625094213302e+00	1.622033921158680725e+00	3.680052119430257562e+00	6.028798016569496987e+00	8.869278480239125573e-01	5.912403383853730432e+00	2.603061087214406655e+00	-2.363518700131642891e+00	1.760425564190776981e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.634597906222856167e+00	1.310077257615969604e+00	6.968167337083897905e+00	8.057681712495694981e+00	3.067396041756753178e+00	8.714756951094219772e+00	7.630369050910962514e+00	1.796916795067247330e+00	4.742715944256921112e+00	4.636486796604059712e+00	9.761110485287321126e+01
