G c dx1dt d2x1dt2 dx2dt d2x2dt2 m1 Fg Fc m2 d2 d1 W
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 6.14796290e+00 4.64726867e+00 4.54271968e+00 4.94346348e-01 6.83431259e+00 -1.25818571e+01 3.11547144e+02
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 8.24889096e+00 1.18675253e+01 5.26092093e+00 2.17155902e-01 2.55147726e+00 1.69345843e+00 4.80899117e+01
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 7.84144837e+00 4.26818567e+01 8.69092654e+00 3.22266939e+00 8.85155107e+00 4.59239716e+00 8.00374067e+01
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 2.38509914e+00 5.46597930e+00 4.06003947e+00 3.11455503e-01 6.51804615e+00 -2.95651227e+00 7.31858935e+01
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 2.34324523e+00 6.29804145e+00 8.82684716e+00 2.05958047e+00 2.41483495e+00 -7.93360216e-01 8.99185322e+00
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 3.41356931e+00 5.56832853e+00 1.79320988e+00 6.87913680e-01 9.66104252e+00 -9.12696148e+00 3.86529386e+02
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 4.24967254e+00 6.71282084e+00 7.99118593e+00 2.89350211e+00 5.66528917e+00 -6.10998244e+00 1.54405180e+02
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 4.67610023e+00 7.28574318e+01 8.62792870e+00 7.06508850e+00 1.65608607e+00 7.91910387e+00 9.19658764e+01
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 7.11727495e+00 6.54098257e+00 2.63635888e+00 9.24465593e-02 6.64149614e+00 -1.13177814e+01 2.76227617e+02
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 1.51012389e+00 1.11310349e+01 4.87311879e+00 2.42847415e+00 3.27879016e+00 6.46024185e+00 7.33598567e+00
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 5.93972799e+00 1.31205434e+00 1.32134119e+00 2.48949797e+00 4.60592253e-01 8.23324107e+00 -1.58345722e+01 3.77832086e+02
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 3.58869456e+00 4.52719507e+00 2.49502909e+01 7.35943716e+00 3.29635958e-01 8.36039866e+00 -1.49536120e+00 3.69019713e+01
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 3.76098940e+00 7.27447323e+00 3.67362284e+01 5.81812991e+00 1.66828331e+00 9.81052620e+00 4.30386157e+00 6.82919264e+01
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 4.17662653e+00 2.74091809e+00 1.77823370e+00 6.71791012e+00 1.24497300e+00 5.51682578e+00 -1.21656420e+01 1.24221304e+02
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 6.59163204e+00 6.77354033e+00 1.51060366e+01 2.76838270e+00 9.22635829e-01 5.09461192e+00 -2.49139581e+00 6.59658291e+01
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 4.00644969e+00 3.33845324e+00 1.55442049e+01 2.90571276e+00 1.28595894e+00 7.78128045e+00 -2.00677566e+00 4.02204597e+01
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 4.12608994e+00 7.59429146e+00 8.97477498e+00 6.20476128e+00 1.37347593e+00 1.99623769e-01 2.19223591e+00 -4.66410552e-01 3.83292462e+01
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.09850011e+00 4.64074647e+00 9.06120950e+00 2.38658355e+01 3.89860782e+00 1.33561825e+00 5.92223962e+00 4.02279753e+00 6.65922803e+01
1.00000000e+00 1.00000000e+00 4.88750517e+00 9.23939468e+00 1.19641057e+00 1.61517880e+00 3.67558484e+00 4.20512936e+01 6.03770195e+00 9.15048421e-01 5.91622840e+00 -4.01357880e-01 6.68503277e+00
1.00000000e+00 1.00000000e+00 3.62106226e+00 1.30551381e+00 6.97410718e+00 8.05383858e+00 3.06994379e+00 9.95265539e-01 8.72141423e+00 2.08562689e+00 1.80525811e+00 8.20705140e+00 -2.23861010e+01
1.00000000e+00 1.00000000e+00 6.50667605e+00 7.27678241e+00 9.67054991e+00 3.57182492e+00 4.70173575e+00 1.91574384e+01 7.00234703e+00 2.91370415e+00 4.76185677e+00 6.30974162e+00 3.13480599e+01
1.00000000e+00 1.00000000e+00 2.25544475e+00 3.67614107e+00 6.04151365e+00 4.89490192e+00 3.16478427e+00 4.75359613e+00 4.91856691e+00 2.69158537e+00 8.67956319e+00 -7.85043602e+00 1.67893135e+02
