G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	m1	Fg	Fc	m2	d2	d1	W
1.000000000000000000e+00	1.000000000000000000e+00	4.359198804341400724e+00	2.670183147708707683e+00	3.380940964539272731e+00	7.084670504584518191e+00	6.219227409249849181e+00	4.865337139048059534e+00	4.562390254412920676e+00	5.189792315571678527e-01	6.939663699725011625e+00	-1.258147675128145515e+01	3.115984180420235816e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.586898932817316421e+00	5.915863225391715829e+00	3.226822848851464531e+00	8.118467095624289698e+00	8.240766619925544489e+00	1.186757443009371293e+01	5.262822518692792606e+00	2.345255691020819433e-01	2.467378129703412082e+00	1.693307626578139935e+00	4.690890049286781505e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.580119997408214516e+00	8.891968349709687303e+00	9.154308875449986616e+00	3.189517433744827990e+00	7.785083071848438507e+00	4.269164135974706653e+01	8.674265658052847883e+00	3.223245943133950409e+00	8.926109144494443370e+00	4.592343170727636092e+00	8.047051720550712162e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.486612180838475794e+00	7.599455777073647056e+00	3.264980434393840447e+00	6.626763828577174387e+00	2.298566519770745220e+00	5.342326675096623845e+00	4.124370638585022952e+00	3.463927445691957208e-01	6.425361481404013198e+00	-2.956941796728994376e+00	7.158945302065640703e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.408536236279643639e+00	8.265745583233178095e+00	3.421686957449098454e+00	6.149183962500944567e+00	2.301185821780269869e+00	6.210618154495395338e+00	8.777265874948964708e+00	2.077507502359821512e+00	2.342637636861281791e+00	-7.940249575174657126e-01	8.675592548634208256e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.530637820098621926e+00	6.969130439159263446e+00	7.879946870716355356e+00	8.487501121341773924e+00	3.391229401489571860e+00	5.502545020694379119e+00	1.808291505854332737e+00	6.789154940834105645e-01	9.569812273115873680e+00	-9.126973871894833223e+00	3.867091414403639646e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.541804464954970033e+00	7.182724591050465790e+00	4.988253419206065686e+00	9.139112723832143459e+00	4.294337465739364923e+00	6.945280145957952733e+00	8.070991437278022929e+00	2.865156226135108675e+00	5.678907800006099293e+00	-6.110357781715594960e+00	1.566415104536855551e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.784020441308214799e+00	8.737085045730905719e+00	7.967675815312704302e+00	1.202021655610217454e+00	4.615048154309911332e+00	7.284585333367239457e+01	8.589162155704006096e+00	7.056566062170280595e+00	1.592239442073297706e+00	7.919468152181492471e+00	9.226554520454205033e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.361354206411188983e+00	3.133124997788197419e+00	1.622038569099551575e+00	7.089241603313586992e+00	7.201907005759282221e+00	6.327978984676155605e+00	2.620071179399379613e+00	1.009348053581675397e-01	6.568149878462754998e+00	-1.131789175814418691e+01	2.763588843324615141e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.294559612136035653e+00	5.485791366242122713e+00	5.325586898746898612e+00	1.573202409845798622e+00	1.437289905690196656e+00	1.117217277846341261e+01	5.001786429343178852e+00	2.440737845830256436e+00	3.289820270534169921e+00	6.460363010013850271e+00	7.276689065180744542e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.131600530210902678e+00	2.988371238678842801e+00	1.215666349659427325e+00	6.008421830900613436e+00	1.439049172829825807e+00	1.454457480254113699e+00	2.515523919648419149e+00	4.885025691336492559e-01	8.257816655068420886e+00	-1.583403527617963746e+01	3.765695384265985695e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.681581658741173158e+00	9.944787146550597257e+00	1.567361759433568258e+00	3.680899009813482614e+00	4.621183166844911483e+00	2.494619709915019001e+01	7.331666253237824726e+00	3.071591150990176100e-01	8.362566374299369443e+00	-1.495944362957688512e+00	3.698271039573400287e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.513352649419289264e+00	9.516775070028330674e+00	9.064264572274712606e+00	3.702824696602768029e+00	7.282162482060938302e+00	3.697292037641366846e+01	5.862163352294080809e+00	1.659265118279750206e+00	9.801701835899711668e+00	4.303577067616444651e+00	6.838871140363897894e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.882574304372880203e+00	1.374091733215347721e+00	2.181492933621320685e+00	4.208737102683922870e+00	2.651169081558188978e+00	1.903491241319605010e+00	6.686743482904008218e+00	1.220789740560957348e+00	5.616314432236760190e+00	-1.216557098069636744e+01	1.233101032004347815e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.646541769651306719e+00	7.381010589733135951e+00	5.833562630758079237e+00	6.568258953104088249e+00	6.770521410218030667e+00	1.493702075391867012e+01	2.682528589251094164e+00	8.951431697251269748e-01	5.102545091392575394e+00	-2.491273105167868707e+00	6.484941977897589993e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.720025220027544766e+00	9.372243810175449497e+00	4.688552891680000556e+00	3.916404322463208132e+00	3.317382214550583797e+00	1.545536843914533698e+01	2.981003121817897838e+00	1.273066486285070020e+00	7.825108290062472882e+00	-2.006342400083360733e+00	3.976743085166268799e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.733427730699347080e+00	2.606884738974546867e+00	4.197070049890573529e+00	7.675275728011094145e+00	8.905365218824428553e+00	6.241206594356132342e+00	1.312960108821849436e+00	2.071522657538046042e-01	2.200010558570666852e+00	-4.660700866233511430e-01	3.839033071688302812e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.835338264697727872e+00	6.169074557294291772e+00	9.031974460449967879e+00	4.624847790974027539e+00	9.077060642789202660e+00	2.359741049573310079e+01	4.033113197561407404e+00	1.351459075257099629e+00	5.862517570149126556e+00	4.022835588495425441e+00	6.616184453789789188e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.823866646724216167e+00	9.179063890185597430e+00	1.191222847760915027e+00	1.558062187586774394e+00	3.630721427809218582e+00	4.210548105760096860e+01	6.010856293113667981e+00	8.955736737042370166e-01	5.946141077687155274e+00	-4.012387559583602270e-01	5.696440831708779129e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.612912213089021662e+00	1.305217261903687920e+00	6.996170846615738625e+00	8.031396681685693650e+00	3.031003240954921907e+00	7.114725821373349968e-01	8.838448978896074948e+00	2.069008156646531038e+00	1.769584181938460343e+00	8.207181388434740654e+00	-2.211397339782066140e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.477486768205534595e+00	7.323288718880913706e+00	9.605918154393366493e+00	3.528722318970904936e+00	4.690641480885077819e+00	1.932231470780892479e+01	6.927259266062385734e+00	2.877154926109315003e+00	4.756907324666449277e+00	6.309164575234725625e+00	3.185498904975123580e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.306131381137167757e+00	3.731495447658788045e+00	6.098483947037141917e+00	4.857349444663392468e+00	3.133469285610020805e+00	4.899758965021005608e+00	4.974827338159967027e+00	2.695987159436388669e+00	8.696176422645386594e+00	-7.850497416809875340e+00	1.680072436105970723e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.508077396458197939e+00	9.345200161291145946e+00	9.459600068391155858e+00	7.156998726524049559e+00	7.164650698279015906e+00	1.841485165831856108e+01	9.605496914855276458e+00	3.456914859352085312e+00	8.599773736950128367e+00	-3.023588253380621538e+00	1.469242492662604889e+02
