G c dx1dt d2x1dt2 dx2dt d2x2dt2 p d2 Fg d1 W m1 m2 Fc
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 6.14796290e+00 4.54271968e+00 6.83431259e+00 8.59151880e+00 2.84167385e+01 1.34919509e+00 4.11449022e+01 -3.55806987e+01
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 8.24889096e+00 5.26092093e+00 2.55147726e+00 4.31181527e+01 1.92363564e+01 2.68095275e+00 6.04707800e+02 -4.13897850e+00
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 7.84144837e+00 8.69092654e+00 8.85155107e+00 2.73633402e+00 3.77961404e+02 8.48121225e+00 4.17927557e+01 -1.35979971e+02
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 2.38509914e+00 4.06003947e+00 6.51804615e+00 3.03175155e+00 4.08068414e+01 7.90091521e+00 4.55978757e+01 -1.67915121e+01
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 2.34324523e+00 8.82684716e+00 2.41483495e+00 1.52685560e+01 6.51358592e+00 4.15578422e+00 4.38970559e+02 -1.91000187e+00
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 3.41356931e+00 1.79320988e+00 9.66104252e+00 6.87048629e-01 4.28359024e+01 4.39129565e+00 1.04457097e+00 2.68304538e+03
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 4.24967254e+00 7.99118593e+00 5.66528917e+00 1.08718319e+01 9.51312698e+00 5.80198990e+00 2.40708723e+02 -7.76364325e+00
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 4.67610023e+00 8.62792870e+00 1.65608607e+00 3.38245207e+00 2.09823172e+02 1.00216904e+00 5.86064429e+01 -3.91749062e+01
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 7.11727495e+00 2.63635888e+00 6.64149614e+00 1.25691444e+01 1.91382825e+01 3.17119902e+00 6.34529337e+01 -1.90869500e+01
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 1.51012389e+00 4.87311879e+00 3.27879016e+00 6.10879654e-01 1.77630573e+02 2.87408628e+00 -7.06629412e+00 2.37550827e+02
