G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	p	d2	Fg	d1	W	m1	m2	Fc
1.000000000000000000e+00	1.000000000000000000e+00	3.834422548126843466e+00	3.379057645324374359e+00	2.781714954348343483e+00	7.665232046378427810e+00	5.689610408540100472e+00	5.371929608609761431e+00	6.854757610417476776e+00	8.837331229026473167e+00	3.173230419752290032e+01	1.014775325565509423e+00	1.188729249210081562e+01	-8.144226157133896038e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.996087123480485559e+00	5.598239071238995557e+00	1.956209375359605485e+00	7.895887836038704144e+00	7.350712843872029723e+00	5.190119632309173170e+00	2.503514715215152453e+00	4.387297233368937555e+01	2.030486201277253144e+01	3.203197699591786130e+00	5.999639864421935727e+02	2.539209109719820390e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.201462977641917007e+00	8.812775324570379709e+00	8.835912409178174443e+00	3.612579844845905885e+00	7.198455952353358001e+00	8.639010090563145283e+00	9.584080536534493433e+00	1.581787331604883162e+00	3.965774848739067693e+02	8.494731222772580637e+00	5.735929361688592110e+01	-1.202604892036718240e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.634540886554984418e+00	7.346261252343285086e+00	3.258885308620617760e+00	7.173361585952536146e+00	2.977409228263726337e+00	3.655625740083006114e+00	5.505977140474617393e+00	3.354975606285723888e+00	3.532596327398427150e+01	7.943900306822839319e+00	2.360616861788567888e+01	-3.032712205634888747e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.444589427961565864e+00	7.712392312058497623e+00	3.795809612423449941e+00	6.980175192984190424e+00	1.833644291567024132e+00	7.730303479399724509e+00	3.292866787709659349e+00	1.370751722476750167e+01	5.258484410162100886e+00	4.016307162790154983e+00	4.356291800597094834e+02	3.212669286773944322e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.323000452885815470e+00	6.355877670639471511e+00	7.516727365002721761e+00	7.762874721549931856e+00	2.512590546693540539e+00	1.997810475909933547e+00	1.004533253596632036e+01	1.823264406714243835e+00	4.934280505722587407e+01	4.337466732309697370e+00	-1.212557546107551154e+01	2.651671189580564260e+03
1.000000000000000000e+00	1.000000000000000000e+00	2.175562718422400454e+00	7.402239456940162832e+00	4.736206572165935214e+00	8.397933934846971482e+00	4.206469178451150981e+00	7.646001345954701378e+00	5.748048048944344401e+00	1.025996052435971251e+01	3.712756301768457945e+00	5.815304911864751958e+00	2.696519984674501984e+02	-4.576834164557317308e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.025802491972740427e+00	8.628080274044680920e+00	8.559467277908964888e+00	1.740187981118531013e+00	4.989137595577486373e+00	7.525397156015257494e+00	8.762801068772116952e-01	3.206771371991109287e+00	2.259232276217902040e+02	1.067804068961776931e+00	6.503971628153760776e+01	-4.872903053080300140e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.401237957567217585e+00	3.671211929680712416e+00	8.532678427494073681e-01	7.608320142803094654e+00	7.138328103507203259e+00	2.548476777046057684e+00	5.731928113260904567e+00	1.349486998289116535e+01	1.917682531731709972e+01	3.144108290005323880e+00	7.717471150782492373e+01	-2.103065494895230358e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.771346644912648038e+00	5.270161006776257651e+00	5.297986960205702367e+00	1.132556193291348379e+00	1.840419746307088600e+00	4.769901636347943175e+00	2.973647518364489706e+00	1.436875938470098646e+00	1.823159571647348969e+02	2.042521633837182993e+00	-2.344921061615925950e+00	2.434876704472151232e+02
