G c dx1dt d2x1dt2 dx2dt d2x2dt2 m2 m1 Fg Fc d2 p W d1
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 6.14796290e+00 4.54271968e+00 6.83431259e+00 9.24932710e+00 5.75849296e-01 1.34919509e+00 7.48241132e+00 4.53846528e-01
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 8.24889096e+00 5.26092093e+00 2.55147726e+00 4.00060331e+00 1.14763888e-01 2.68095275e+00 7.18554704e+00 4.09194891e-01
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 7.84144837e+00 8.69092654e+00 8.85155107e+00 7.98637296e+00 2.72497580e-01 8.48121225e+00 1.86178779e+00 9.41921275e+00
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 2.38509914e+00 4.06003947e+00 6.51804615e+00 3.82907269e+00 1.33894950e-01 7.90091521e+00 9.30315164e+00 7.26392578e-01
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 2.34324523e+00 8.82684716e+00 2.41483495e+00 6.41061341e-01 3.47252496e-01 4.15578422e+00 6.11624982e+00 5.67254461e-01
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 3.41356931e+00 1.79320988e+00 9.66104252e+00 1.83908413e+01 9.40690350e-01 4.39129565e+00 4.27352969e+00 2.32369003e+00
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 4.24967254e+00 7.99118593e+00 5.66528917e+00 3.01277232e+00 9.16902104e-01 5.80198990e+00 7.80884725e+00 1.03739066e+00
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 4.67610023e+00 8.62792870e+00 1.65608607e+00 8.97553134e-01 2.10223375e-01 1.00216904e+00 3.31628913e+00 5.58771626e-01
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 7.11727495e+00 2.63635888e+00 6.64149614e+00 1.79297874e+01 1.52621939e-01 3.17119902e+00 7.24158853e+00 4.28417329e-01
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 1.51012389e+00 4.87311879e+00 3.27879016e+00 1.01605965e+00 2.70435382e-01 2.87408628e+00 1.35740087e+00 4.22161860e+00
