G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	m2	m1	Fg	Fc	d2	p	W	d1
1.000000000000000000e+00	1.000000000000000000e+00	4.371148243395853505e+00	2.668646117851522614e+00	3.354627198875521632e+00	7.058495520339398865e+00	6.131911266242104475e+00	4.549500287374828034e+00	6.829945960820952955e+00	9.244183448430980832e+00	5.754306177135202205e-01	1.340117866677534852e+00	7.488481429591848482e+00	4.538980810098423024e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.561111975517363248e+00	5.874210300810489116e+00	3.219620247044574946e+00	8.178285910467007369e+00	8.257631868010268050e+00	5.249838536086436136e+00	2.562044451618440188e+00	3.996278102676284583e+00	1.131370396567949049e-01	2.671299555562144601e+00	7.170714006359277803e+00	4.101451288916224680e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.585364477249744830e+00	8.850668771869278473e+00	9.160141125529097650e+00	3.251835430244137903e+00	7.844122842913853866e+00	8.694153170902698236e+00	8.849095688247020419e+00	7.986252150895862378e+00	2.718835025877125444e-01	8.481982023853095853e+00	1.851116216263670733e+00	9.422713074379236886e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.397003429284578324e+00	7.594731068824657427e+00	3.243996888367696840e+00	6.617700732421536891e+00	2.386895669029795108e+00	4.052849030783360007e+00	6.518881310962625797e+00	3.826984942135729373e+00	1.334649962072760598e-01	7.905133434279089322e+00	9.305987869133010904e+00	7.238410859345989490e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.396263077866895852e+00	8.258474750386117336e+00	3.441161445110390904e+00	6.132406856002159401e+00	2.342908739007152796e+00	8.826807353929270406e+00	2.417290046674053450e+00	6.295777688350525647e-01	3.481505278589029917e-01	4.152198151762990896e+00	6.119084656750321649e+00	5.654162353784332185e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.410398150884621504e+00	6.926326742241668555e+00	7.841658913377901108e+00	8.490164141692817523e+00	3.414459492823562314e+00	1.791499795914855531e+00	9.654859160013124608e+00	1.838776236561881561e+01	9.408386552099379241e-01	4.400216181937435245e+00	4.270100485716197269e+00	2.321164295766013463e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.526406560353067876e+00	7.230722153534522967e+00	5.054375378583181089e+00	9.154168272841376464e+00	4.246419192752820315e+00	7.994816336432989168e+00	5.672009929347987089e+00	3.012005705113689480e+00	9.171618861726861249e-01	5.805915439652600263e+00	7.809642306711792159e+00	1.036136290819586803e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.786297607840326762e+00	8.657429061088553368e+00	7.991253690885628203e+00	1.118067594461311653e+00	4.679458705610151092e+00	8.629180576632826671e+00	1.659551857129155428e+00	8.927163098313815048e-01	2.111142585144616113e-01	9.973172845728817126e-01	3.302673908863581698e+00	5.641570462195072411e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.424706766327412666e+00	3.253429196007331825e+00	1.581322320894104516e+00	7.069823195390565473e+00	7.110155253413815934e+00	2.643738435477109849e+00	6.649973405484283617e+00	1.793507608609046855e+01	1.525494264768289532e-01	3.171363793082269122e+00	7.245390976487843027e+00	4.305799236070705915e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.372308190818839257e+00	5.411292248382873815e+00	5.381351724487666743e+00	1.468173731833857687e+00	1.511137395058080424e+00	4.869816673591293110e+00	3.275095342393652409e+00	1.023139784113919371e+00	2.710041944919355239e-01	2.887316389658163729e+00	1.358744011097382964e+00	4.217347637113502579e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.180511235347150745e+00	2.993307992007356422e+00	1.303114482764994309e+00	5.937561992056496152e+00	1.315113201437969392e+00	2.493388299467628855e+00	8.233780292459133676e+00	4.338608433651371499e+00	7.353708386172252975e-01	3.247709568707972227e+00	8.554426851272205923e+00	3.290742802407232159e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.721573079340139145e+00	9.889938253500840659e+00	1.561118716335033296e+00	3.585537665034652210e+00	4.526112929578110844e+00	7.360327145833402085e+00	8.360612746631328918e+00	5.144716953038732221e+00	3.153873450134043327e-02	8.255974247009282507e+00	5.033649715291192983e+00	5.200006714956784126e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.490792964453152791e+00	9.483204281048660533e+00	9.156053683687670031e+00	3.768598698167433536e+00	7.276493327544531375e+00	5.809158412567721363e+00	9.811961695235961400e+00	1.224956944883652277e+01	2.282298788931912126e-01	3.515340823044184937e+00	6.732889182901673486e+00	1.004465742258477512e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.910362434640460627e+00	1.351064026583833400e+00	2.258851264423829885e+00	4.177713203084373106e+00	2.735518343210939118e+00	6.712870424387717527e+00	5.508912996432513864e+00	2.247630942984742752e+00	1.141525470993168145e+00	2.727467670294946522e+00	2.990984934016312380e+00	3.026015836521092073e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.636980249315863833e+00	7.347503039691585691e+00	5.795834500703461956e+00	6.580249873075485034e+00	6.768279521895500750e+00	2.767560442069706195e+00	5.095214845466590425e+00	1.247297948026706038e+01	5.984553497094425856e-01	5.545140083789594776e+00	7.083583858272247014e+00	1.235506569659207576e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.649028825189483349e+00	9.316804543439884512e+00	4.707470043647191460e+00	4.002803567019016739e+00	3.339742625826005007e+00	2.911814997040589326e+00	7.773520800780874040e+00	8.936866170890422012e+00	3.790550166067762072e-01	8.788742308104003698e+00	7.961975387534988791e+00	1.112016170975340223e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.741607401032248426e+00	2.618739225695607686e+00	4.120620063758051899e+00	7.589645614420069464e+00	8.978471004618393536e+00	1.376019998350617390e+00	2.194185168353808724e+00	1.431916333242121908e+01	8.413637729199854309e-01	3.178123815903857174e+00	5.265377151457498073e+00	1.899729104895937715e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.720709907575792563e+00	6.100487368203969751e+00	9.096605125747968756e+00	4.637789337834485437e+00	9.050997204449151567e+00	3.892202699859971471e+00	5.910660238015932322e+00	1.378210831214540910e+01	5.216904749076163306e-01	1.718690382672774408e+00	6.552631283390573103e+00	7.795001538586427969e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.877032546332435992e+00	9.239181478533213365e+00	1.200601402443759014e+00	1.618226046737610391e+00	3.678428259203796902e+00	6.036932149859516095e+00	5.906156175797351082e+00	3.615643377992171281e+00	5.282760958693169528e-02	4.207996615611214963e+00	5.105076999681179117e+00	2.106063728886751751e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.620253869435841043e+00	1.310068732615741860e+00	6.976581312459445350e+00	8.053256940516828166e+00	3.066984999726559025e+00	8.732484280195668802e+00	1.809710834571209404e+00	6.390527673324510882e-01	2.950344245237729535e+00	7.733058773856079426e+00	9.045552817135368073e+00	9.124245496557760404e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.493862529436888131e+00	7.282939569023331394e+00	9.679011180491688293e+00	3.571408818694318033e+00	4.700685545287034195e+00	7.002957221279919153e+00	4.758882089352379552e+00	3.206125885465468617e+00	4.089514910298243100e-01	5.953061157718848584e+00	5.486625180274358193e+00	2.887417543051449265e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.257359465962405665e+00	3.678448580563762338e+00	6.043835707147670711e+00	4.902012243339338049e+00	3.157487985655059504e+00	4.916771142844758025e+00	8.674189459849324990e+00	5.567604248662529898e+00	1.457059727475706890e+00	8.351243200432163505e+00	8.564664816316337692e+00	3.196482732517019087e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.624001564569603762e+00	9.314206236108333314e+00	9.441606774471495100e+00	7.165224744648674537e+00	7.046815875259312634e+00	9.580778802380313763e+00	8.712295720025144519e+00	6.402902763538077302e+00	5.590544682773945784e-01	9.635385649044993173e+00	8.209484618906055076e+00	2.375461120501955570e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.298140746715873206e+00	9.728775830610825182e+00	1.473302700123801268e+00	4.002197021909851493e+00	8.439844594316038950e+00	7.477394922152705625e+00	1.894921194398203834e+00	2.133058932083899073e+00	7.040575439647639433e-02	8.138218992197669976e+00	4.685073859306525534e+00	5.223577521974125393e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.111742039822794403e+00	9.488624665799131108e+00	4.775004788517383858e+00	1.505636869978973058e+00	7.058008185085990149e+00	9.368984208151754700e+00	1.821231918414446316e+00	1.366211336341893290e+00	1.964816524877955328e-01	6.440662288412283942e+00	3.069227052255875332e+00	2.105479899941495425e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.061448728916912998e+00	5.260868402283175982e+00	3.339633783197498484e+00	4.365772283325933145e+00	8.417069055987452586e+00	5.751048975878013003e+00	3.363354969774063008e+00	4.923641733763695072e+00	1.568573438382501184e-01	5.439488586655232716e+00	4.652197858013664700e+00	1.487897808980181980e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.802807886777941349e+00	8.753438995063067551e+00	7.577467569005429837e+00	9.498514979365848987e+00	4.572294954011900003e+00	3.328334122888733759e+00	8.887471149379969404e+00	1.216457718598916848e+01	6.179152534001581820e-01	1.368813374239440606e+00	8.436385012168795328e+00	2.821667761659919504e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.625764311756420888e+00	8.600055884225406899e+00	9.836703727565740962e+00	6.776277694104872573e+00	2.409517451322531922e+00	1.479386540992227550e+00	2.156834847861537785e+00	3.526733708938169176e+00	4.057347889163817056e-01	9.867070306806004609e+00	3.045439521053025622e+00	7.394937545554506997e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.341219951970768598e+00	3.866262306502062707e+00	3.317676863391544551e+00	7.045719083382454784e+00	7.643957880572208374e+00	7.535694627277722546e+00	7.489460891220527827e+00	7.590176024325062443e+00	2.696645382983757777e-01	4.455853430011405436e+00	5.715887753048597197e+00	1.322636606799508341e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.416077391232545946e+00	8.462125045690775949e+00	6.891598002320525218e+00	6.692887893029316970e+00	4.243861881837512229e+00	2.094371142447475354e+00	1.910156762269787034e+00	3.888864141520318896e+00	1.147840790068612282e+00	2.367297659136918142e+00	8.258203535068458834e+00	4.691524311681612436e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.463354662266982409e+00	1.331776536328148408e+00	2.782419444457830071e+00	2.786852343146594357e+00	7.047390721337284170e+00	3.720811132107016306e+00	6.599240508182750098e+00	1.248569082772406524e+01	6.450213577770532725e-01	6.997111716985352281e+00	4.183742723800810914e+00	6.996586863324753658e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.538436656836420724e+00	6.366487577436872769e+00	6.095577454079976754e+00	4.758926021275242668e+00	3.441081539425145053e+00	5.787732444734753123e+00	4.207232280734539032e+00	2.487354891388116940e+00	7.561142779975892347e-01	3.554255398583026082e+00	6.782852409570605978e+00	9.924685321267359139e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.583105711333000931e+00	3.076422931414508621e+00	5.163289037687908589e+00	7.772008798669682861e+00	1.733318325907275970e+00	6.084936458783561264e+00	8.101937908946002409e+00	2.285712320471867898e+00	2.125731846923230695e+00	6.277074254482007731e+00	3.209732718129898910e+00	6.588765278984073603e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.535415655238530519e+00	2.078536157045717037e+00	9.740194886681653230e+00	1.909736091067554709e+00	9.933533627536407451e+00	6.404813187128403307e+00	3.097495081090784641e+00	4.810192195292899875e+00	9.802172790620262699e-01	6.274438709384519974e+00	1.980439931057091485e+00	2.960729206652894874e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.688102083085071925e+00	1.694908128780800549e+00	6.480509196657413540e+00	3.504460079435780084e+00	2.409393963760731339e+00	2.497861722016174291e+00	6.747799790432426725e+00	6.514983416211050482e+00	7.901853624344861160e-01	5.015183607029322310e+00	8.148818785463882719e+00	4.703126418103824591e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.275334705665301271e+00	7.266521244753707087e+00	4.145635251426960544e+00	3.478169214029537493e+00	9.897500748274195459e+00	4.415955699412462465e+00	3.121008460266127216e+00	6.986848678863985640e+00	1.383495847351417785e-01	8.519292972197700209e+00	1.893413095273451585e+00	5.147640138874072235e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.748788213577006978e+00	4.057019433879654358e+00	2.030205495381181002e+00	4.886656701372183775e+00	9.801297512726742767e+00	6.559678617214911966e+00	7.424845101014256876e+00	1.110946913188487528e+01	2.668874182379150639e-01	3.389102386174083659e+00	3.430724815184602594e+00	9.884382941241002252e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.868581149527295926e+00	7.527825758788524446e+00	2.361577095895100342e+00	9.822630091980053990e+00	8.149262803954744783e+00	9.725035224799038147e+00	8.849662446390283321e+00	7.418005337414244948e+00	3.338929108654846156e-01	5.037785295569543464e+00	8.698104519284145297e+00	3.665862383057958418e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.158222159657699812e+00	1.593097162645152221e+00	3.031004933170999838e+00	1.610082445482429181e+00	6.929260284046838692e+00	7.547936307135083567e+00	2.146944938544759651e+00	1.968220210778268475e+00	5.330126884718956459e-01	5.846352571072822357e+00	4.119886270537032935e+00	5.404936039690671379e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.964754611336930523e+00	3.832347564289316111e+00	3.254203101413370991e+00	5.653571283644152068e+00	6.194348265184273394e+00	9.307745908365658849e+00	8.796671240032809536e+00	5.853827884461932918e+00	3.425045270178415091e-01	6.978719381927747989e+00	9.757742426798047930e+00	1.210035534627733389e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.099391113459581071e+00	5.854408242301130549e+00	8.658694545372885187e+00	2.615181521512744744e+00	8.791094240264550663e+00	7.866343632404073638e+00	6.334932877263986128e+00	7.098846981965704295e+00	1.408734981896816896e+00	8.063411815914086844e+00	9.816805932205767249e+00	2.426409189854603188e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.463681585019009468e+00	8.118072904387942046e+00	6.056495900506083885e+00	9.729864927854784185e+00	3.610272666591004764e+00	6.322579282041874471e+00	2.149113614585042686e+00	1.206647353829938929e+00	2.720761750388361322e-01	4.561068272964710069e+00	3.400682383280319687e+00	1.991616422551684806e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.309094310104132797e+00	3.867253750940913282e+00	5.717257655115718151e+00	2.021487345103772704e+00	5.200544837015383060e+00	2.738961499857154536e+00	4.847748223398465228e+00	9.261675404267665002e+00	2.254031209489241405e+00	6.815189680480896683e+00	1.366438262319563002e+00	1.469524809872018523e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.182884770572199429e+00	6.636276954786524129e+00	2.044037995161812393e+00	4.626798980988558796e+00	6.576659942932838732e+00	7.001889370441228166e+00	2.454358313726169971e+00	2.304480780007250651e+00	6.587929448934833065e-02	2.349309077389212241e+00	7.355194002833022715e+00	1.954639820365953462e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.332225700526372236e+00	8.975364044990298495e+00	8.742605066545250381e+00	7.636333810993180649e+00	4.702689033329815693e+00	6.604694397408716000e+00	7.305513363765553159e+00	5.203776382927663313e+00	5.847060187893107219e-01	9.388211021180064009e+00	5.058947909234121632e+00	3.628218793127137687e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.963238077052491093e+00	6.552963513595044809e+00	7.506841171573137572e+00	7.339508601016957456e+00	4.853710973405315876e+00	6.424247216116524939e+00	7.829804971437829941e+00	5.901947696270359422e+00	3.295288581396885186e-01	4.436382701744889800e+00	1.905122850751207464e+00	5.355349269239812138e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.803286667279965005e+00	3.088122088831249279e+00	1.600604832425155166e+00	4.798861075505100438e+00	3.973544305452961112e+00	5.405971607215278141e+00	1.951337862768094400e+00	1.435224378672437906e+00	2.733568046699618170e-01	7.559904577150238225e+00	7.367796299469656418e+00	1.071470943359865036e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.683405721020385215e+00	1.218925899520062028e+00	7.367581611421198495e+00	4.116143263509976613e+00	6.070769958426521562e+00	5.760290818027783644e+00	5.557884521005072465e+00	5.868508710158860886e+00	2.129054716746862752e+00	1.183437350250172937e+00	1.282482315311749055e+00	1.116089590172082602e+01
