G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	m2	m1	Fg	Fc	d1	d2	p	W
1.000000000000000000e+00	1.000000000000000000e+00	3.981976142208585756e+00	2.497397483010381336e+00	3.113434985953923206e+00	7.211396641650365424e+00	6.379630689092919305e+00	4.933476851406415342e+00	7.219533840143535386e+00	1.282852665047164109e+01	1.141843591097420951e+00	3.159484482747288436e-01	7.447932064060278634e+00	-7.368111154664531171e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.797315832349330122e+00	5.754607470307798067e+00	3.100108736986941338e+00	8.340752394986088447e+00	7.840961942425487052e+00	5.571209937906282939e+00	2.669892966166773185e+00	4.716408718688025026e+00	2.296107287238439376e+00	2.059618501512394673e-01	7.567868470785132473e+00	-9.694300882530407648e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.778035869979146533e+00	8.650684702963170380e+00	9.412725387700339397e+00	2.858403589835201597e+00	7.567516277733031593e+00	8.582616070643421580e+00	8.134739599402909249e+00	1.877064890949638709e+01	8.660227740102596883e+00	1.101554968568605020e+00	1.344886913260771255e+00	6.849496618414971636e+03
1.000000000000000000e+00	1.000000000000000000e+00	6.138590601194753305e+00	7.363997258807949642e+00	3.277083738595444551e+00	7.092582113844516201e+00	2.570851323071614125e+00	4.396557777996606298e+00	6.304925098109999126e+00	1.750115393378750284e+01	7.546905842027664235e+00	1.148992505260400865e+00	9.438574213988088601e+00	-2.288592636512030367e+03
1.000000000000000000e+00	1.000000000000000000e+00	2.606488036566102728e+00	7.583360625402582933e+00	3.228982266471424278e+00	6.076492013036455475e+00	1.879648940989756101e+00	8.856505498006647770e+00	2.228363946852339517e+00	1.183591054079641758e+01	4.398016728828931576e+00	1.684818990698386587e+00	6.258100712548391620e+00	2.018424814092715224e+03
1.000000000000000000e+00	1.000000000000000000e+00	2.836770901198951478e+00	6.953237034778015691e+00	7.947543503460601677e+00	8.683743418360341693e+00	3.634652166976417131e+00	1.561850721178568158e+00	9.554930024701102198e+00	1.438964769244895692e+01	4.516255446553586239e+00	1.911154521387160132e+00	4.463307137958208770e+00	4.276457880532920512e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.917271634467541119e+00	7.249312431800464473e+00	5.272001818007001184e+00	9.350645826761205370e+00	4.372179343143410613e+00	7.860579355093335607e+00	5.763087784389728796e+00	1.664308747074698047e+01	5.781852571653840478e+00	3.797434129216101795e+00	7.672103208794314178e+00	1.056675366612906373e+03
1.000000000000000000e+00	1.000000000000000000e+00	9.229727731249131040e+00	8.420973180863780883e+00	7.983834021336429387e+00	4.355709938441203466e-01	4.878160138523202072e+00	9.004624623275010009e+00	1.792443045187733563e+00	4.257176727197793831e+00	1.253218727054828063e+00	1.560182642985066537e-01	3.419010857530867753e+00	-1.546875408670508421e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.560358954275859134e+00	3.347255771237423350e+00	1.523482017838779790e+00	6.888369051898290074e+00	6.989465135497464843e+00	3.207702123335179234e+00	5.926889587757151467e+00	8.871112259065238703e+00	3.999960986084710513e+00	5.028662428376132754e-01	7.471779713300320758e+00	-9.812172626599321745e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.324575708277617281e+00	5.793385378214922277e+00	5.668606386725871360e+00	1.693983786227002852e+00	1.648977060189060762e+00	4.960847411715223920e+00	3.214350649948901406e+00	1.318999776593743789e+01	3.001617514355299665e+00	3.626495643245810641e-01	7.327018047920083044e-01	-3.719814163768147068e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.076343122312520828e+00	2.997443894126642583e+00	1.253052475427164358e+00	5.956577786717837775e+00	9.927848738962627984e-01	2.334091716310649822e+00	8.101088120468348919e+00	2.356861614017573103e+01	2.955215538595187041e+00	2.674455271742557372e+00	8.469644972209732003e+00	3.903468676263814359e+03
1.000000000000000000e+00	1.000000000000000000e+00	9.724483509331390607e+00	1.025903363041996919e+01	2.007872484962405224e+00	3.775177043864006432e+00	4.414305728640218085e+00	7.325171171845051177e+00	8.736025861791764768e+00	2.150580885710197521e+01	8.650819728662543895e+00	8.200358747700476902e-01	4.790615713156959110e+00	-1.286934792961314315e+03
1.000000000000000000e+00	1.000000000000000000e+00	8.254918330133444115e+00	1.011908788272410398e+01	8.948767292278407837e+00	3.785990143713539258e+00	7.284370045727297516e+00	5.608984593547371666e+00	9.971610204396483823e+00	1.875892641069728839e+01	3.566768897030439867e+00	4.270989947752744098e-01	6.908301122967820618e+00	2.961122259668711649e+03
1.000000000000000000e+00	1.000000000000000000e+00	2.813820214340592596e+00	2.058726448293183076e+00	2.037611738154768481e+00	4.509381789826401921e+00	2.496146025324421203e+00	6.548726361874570578e+00	5.467030711846391888e+00	1.845582553739463449e+01	3.287502824558441006e+00	9.766088628155228379e-01	3.361673499048197122e+00	-2.769686332884056696e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.981491803209221914e+00	7.019659429358442893e+00	5.542263596096864475e+00	6.622497452493989911e+00	6.832941167374655400e+00	2.572238639239167846e+00	5.155450638607577574e+00	7.427448053292473595e+00	5.403221947754056842e+00	2.109352254682387073e+00	6.929121834570273641e+00	1.098465244978258397e+03
1.000000000000000000e+00	1.000000000000000000e+00	2.215201116585241436e+00	8.998156671870296108e+00	4.633919074789661252e+00	4.391906136324283949e+00	3.026831381720061387e+00	2.883948054370082392e+00	7.322428778659240578e+00	1.393722962814154265e+01	9.133169989628511232e+00	3.362349711319291057e+00	7.657387191675889326e+00	5.469626903340551507e+03
1.000000000000000000e+00	1.000000000000000000e+00	3.321251160427472815e+00	2.501556445490585645e+00	4.126781267714350498e+00	7.329028328976512796e+00	9.047941328264979433e+00	1.406579826859227556e+00	2.372116376556081985e+00	2.558272987618058547e+00	3.172105461768359724e+00	7.412260371465575481e-01	5.290426819617840337e+00	1.050593960504849065e+03
1.000000000000000000e+00	1.000000000000000000e+00	5.947562292419612540e+00	6.147310205577336539e+00	8.732515132254132340e+00	4.606198289200661655e+00	9.535597893150690396e+00	3.857965882678012992e+00	5.814657393357892445e+00	8.659117796415651824e+00	2.416350070130664385e+00	3.594535972573527638e-01	6.249416765302061805e+00	9.393450353814836262e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.792742966760538792e+00	9.680734289528896142e+00	1.223123565844941751e+00	1.454564067766533464e+00	3.333335226741139579e+00	5.976991072698759844e+00	5.696630273001244582e+00	1.442891385057246367e+01	4.132436413566810351e+00	7.812202320470047479e-01	5.046040158720513702e+00	-6.662765689377175704e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.099953508303131322e+00	1.479985840176750500e+00	7.130191620801743291e+00	8.159030226018192167e+00	3.063799601097846548e+00	8.930023942062060627e+00	2.162714684543026511e+00	6.023508869881315952e+00	8.530512391512694137e+00	2.203874859124321350e+00	8.957571387018608888e+00	3.691420184206226622e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.490078079743141437e+00	6.942078724495452491e+00	9.265953225348841471e+00	3.496398209703735827e+00	4.261088270378367682e+00	6.939472954398306470e+00	4.836267738271152972e+00	1.123197058662266912e+01	6.073677826784650513e+00	9.508805235251451826e-01	5.636825887599640872e+00	1.316059865956315889e+03
1.000000000000000000e+00	1.000000000000000000e+00	2.200206295675890544e+00	3.506003798658754445e+00	5.897627299676813095e+00	4.832779596938806321e+00	2.937931412888767913e+00	4.873301584678855214e+00	8.498573311587826140e+00	2.132016494641507975e+01	8.577336478971348654e+00	3.570584889114601701e+00	8.661041883435975919e+00	1.128678873321317496e+03
1.000000000000000000e+00	1.000000000000000000e+00	3.512643720839092154e+00	9.307883075085184643e+00	9.588075082211606315e+00	6.978236704268409696e+00	7.242628618454798328e+00	9.529648955060675775e+00	8.540994326038733320e+00	2.058477931634606506e+01	1.009043163721439740e+01	2.707191256856118500e+00	8.255571944731624257e+00	2.394606667719110192e+03
1.000000000000000000e+00	1.000000000000000000e+00	4.482819234235550176e+00	9.325302765508338254e+00	1.169551231916972078e+00	3.867398693649067631e+00	8.317301582023000961e+00	7.896544555806826793e+00	1.992661471243070359e+00	3.728488439160538626e+00	7.923579289930922975e+00	1.963100668650156866e+00	5.134730977163398435e+00	-3.524880668669959960e+03
1.000000000000000000e+00	1.000000000000000000e+00	4.743846542551984236e+00	9.502200387905705981e+00	4.681903705472790556e+00	1.506489229735102464e+00	7.260022647430623977e+00	9.236742227589786580e+00	1.894867356322800012e+00	3.536075203686554591e+00	6.693041282171944495e+00	1.349300534261167028e+00	3.143297041557611582e+00	-1.835448919207528161e+04
1.000000000000000000e+00	1.000000000000000000e+00	8.070097703872628259e+00	4.937355335614464380e+00	3.641848643687165765e+00	3.818174411162885917e+00	8.516077935714804426e+00	5.911861160803359994e+00	3.372262579654925041e+00	5.742142611661808616e+00	5.361889598524952838e+00	6.201178080058797892e-01	4.542372788044613863e+00	-5.184620993291998730e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.739971623644648968e+00	8.299222922001542102e+00	8.073007362979220503e+00	8.877021644817597590e+00	4.555358076860617444e+00	3.124851718087743535e+00	8.545594886088911935e+00	1.505819150226315628e+01	1.400980612184860252e+00	4.991164321157304240e-01	8.356572738019441005e+00	4.946939986525785571e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.638346041034701273e+00	8.337533260034804883e+00	9.953126735072739706e+00	6.791618539543251565e+00	2.126494901286799966e+00	1.571433203808346946e+00	1.873048690199319521e+00	3.419526170389449504e+00	9.881080712387584342e+00	1.800766552323601166e+00	2.843153302721659781e+00	3.168907105763299114e+03
1.000000000000000000e+00	1.000000000000000000e+00	5.862974785071174644e+00	3.986232967172222974e+00	3.262042676725477541e+00	6.293782721036878414e+00	7.828249460717588981e+00	7.684600351602760782e+00	7.276438066099769841e+00	1.444611811391781764e+01	4.604201991032240038e+00	7.550189415092457557e-01	5.445991862394151006e+00	-4.098110656439613990e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.276616846468731303e+00	8.572647201990674759e+00	6.749144152486040049e+00	6.638261797212708260e+00	4.327100578722695268e+00	2.389149082531337953e+00	1.857140912825257395e+00	3.169655551158811146e+00	2.511648549988971357e+00	1.700263247443884573e+00	7.881243887720454921e+00	1.169040788047822588e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.473253518508827575e+00	1.359953749601928275e+00	3.034322028373562130e+00	2.688842798106129361e+00	6.625279605186305432e+00	3.619567925013631005e+00	6.597004526178692707e+00	1.116887053166139232e+01	6.846764246028902434e+00	1.052196805104403943e+00	4.486319052333173296e+00	-3.050134323674035954e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.681163267955267049e+00	6.642253971695806669e+00	6.400886049171659486e+00	4.911717504338738216e+00	3.173109447108474868e+00	5.486668190379631938e+00	4.161095334252989275e+00	1.179726167322944619e+01	3.591939001158917399e+00	1.473710231531255133e+00	6.586717073877748518e+00	3.491454195264348073e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.085127759336848907e+00	3.316411412919597623e+00	4.856120605286975866e+00	7.576563800920288472e+00	9.769289069991380359e-01	5.864695044178914074e+00	8.069152299834090769e+00	3.745686122003151297e+01	5.648580894113487183e+00	4.026125360407767140e+00	3.295641268895039389e+00	5.959431256028259440e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.758071925086213128e+00	2.141952231880476010e+00	9.999400951287189088e+00	2.337174714446729862e+00	9.561311256554093418e+00	6.669831223803216247e+00	3.614892106931324012e+00	4.190609403064571303e+00	6.545353660246608030e+00	6.474833617194465374e-01	1.902873929409225395e+00	7.107402051749325437e+03
1.000000000000000000e+00	1.000000000000000000e+00	9.815484021676251558e+00	1.711043438521590687e+00	6.309150542813473983e+00	3.730246182924526810e+00	2.320466361607531169e+00	3.067341214978389186e+00	6.983803122841607980e+00	1.331952658786531352e+01	5.463963942805912133e+00	4.618182476966388172e-01	8.141599010578106643e+00	-2.640481969540132923e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.619656851800050035e+00	7.302633404879072643e+00	3.908248977067783514e+00	3.077541212314420349e+00	9.608229416691063562e+00	4.646534737794595138e+00	3.444324670868076588e+00	4.882604538069894140e+00	8.575977958744884333e+00	9.787432951072130294e-01	2.201001858148341039e+00	-2.040349092522805904e+03
1.000000000000000000e+00	1.000000000000000000e+00	3.659304872213639648e+00	4.017806013439720658e+00	1.984443572381249909e+00	4.811206670743484182e+00	9.569017158926937938e+00	6.208531809745426955e+00	7.549217238436105148e+00	1.337240396971408529e+01	2.955788372161415545e+00	1.001015940829031559e+00	3.489939627029772673e+00	-4.322909776567308882e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.299565997709576148e+00	6.918090578278300207e+00	2.634988599145048571e+00	1.023667999682090191e+01	8.523081100196737481e+00	9.947996087283524247e+00	8.882795038824125911e+00	1.987362729686793728e+01	5.236109951379004812e+00	2.748117276496191863e+00	8.447855866365397759e+00	5.872636427397173065e+03
1.000000000000000000e+00	1.000000000000000000e+00	7.460989748631664753e+00	1.904051021974448643e+00	3.113273789341598263e+00	1.418695749210140855e+00	7.215001288903038379e+00	7.289789830613042199e+00	2.252720312481497622e+00	3.803601509138119674e+00	5.635251696119279785e+00	8.143363720368417269e-01	3.966520455234197939e+00	-2.125209242754291381e+02
1.000000000000000000e+00	1.000000000000000000e+00	4.840711021487945409e+00	3.948187111330116572e+00	3.336646803513283466e+00	5.653992649363884127e+00	6.011072378566008290e+00	9.207660840808582492e+00	8.860781797887726796e+00	2.171962605367109234e+01	7.021313128750740873e+00	1.391316153163399294e+00	9.988667855467616263e+00	-1.718436987032601110e+03
1.000000000000000000e+00	1.000000000000000000e+00	2.618996103729242630e+00	5.517090679007901066e+00	8.752847519989911618e+00	2.994335625978162607e+00	9.011031817687381817e+00	7.911267693233084763e+00	6.561938456942722375e+00	1.222724872692922027e+01	8.238823363896385032e+00	3.714227459704710910e+00	9.947547078929067865e+00	9.226394272391664799e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.577539790915639450e+00	8.513666791520542176e+00	6.180117320837367423e+00	9.589766558724974743e+00	3.935823146933583150e+00	6.422933602529493413e+00	1.878766961388232737e+00	5.798722840887090335e+00	4.699204292157492802e+00	8.284918174481646913e-01	3.662542809210279415e+00	4.413026361291265857e+03
1.000000000000000000e+00	1.000000000000000000e+00	1.902947974091245609e+00	3.704665035292525666e+00	5.679003037726258363e+00	2.323687140795203554e+00	5.377590980460744241e+00	2.746161676864614432e+00	5.044999921336560611e+00	6.866650087004977365e+00	7.103083028990468506e+00	5.119731878747576737e+00	1.304665357039905382e+00	6.886841342085161841e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.265929421870495730e+00	6.603045602678417225e+00	2.207373328568163817e+00	4.386100545500088543e+00	6.655921841346850165e+00	6.835280385953685034e+00	2.493180756532234366e+00	4.864921608248229390e+00	2.394591985804119805e+00	2.677103169245938497e-01	6.970140555064679333e+00	-6.051636500114641848e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.176952928764269934e+00	9.258515252821599262e+00	8.559130479499772903e+00	6.859377966630447077e+00	4.999839709255779141e+00	6.901172202963102187e+00	6.811623244062777083e+00	1.756381381981666934e+01	9.440132026588241132e+00	2.905503728869880398e+00	5.195128076171971365e+00	2.371322427560827691e+03
1.000000000000000000e+00	1.000000000000000000e+00	6.754993286638034888e+00	6.604002166832462883e+00	7.685060599756354804e+00	7.673514370825961883e+00	5.056954307366724244e+00	6.277506306418334070e+00	7.853128563911239368e+00	1.749681998154930795e+01	4.644301491313611585e+00	5.695253646504778722e-01	1.974764547669977555e+00	4.199940355091905076e+03
1.000000000000000000e+00	1.000000000000000000e+00	3.709130005270057318e+00	3.468080459432582696e+00	1.845613983066145769e+00	4.923309604303947040e+00	3.642178947242059373e+00	5.752196971922725055e+00	1.596891835717223485e+00	5.250970078598784951e+00	7.546626216479723759e+00	2.004995716871675882e+00	7.442737419652160291e+00	-1.226493872970357870e+03
1.000000000000000000e+00	1.000000000000000000e+00	5.526010952753497740e+00	1.121667256112970135e+00	7.563535312527572607e+00	4.255287302544791928e+00	6.026631142778865247e+00	5.385019274171020776e+00	5.409745199758027034e+00	1.053156347584687857e+01	9.993538574411268138e-01	2.787278106399345701e-01	9.089908280990550704e-01	3.844556565796455061e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.264449895189753370e+00	9.301302868430516568e+00	6.099189935066897661e+00	4.282680513988201376e+00	8.504816173827542514e+00	4.069104656907381212e+00	8.288327395198082925e+00	1.214443980068976536e+01	2.967403394283120388e+00	4.963842403784995971e-01	8.659600949832340078e+00	-3.722138004941042163e+04
1.000000000000000000e+00	1.000000000000000000e+00	2.655849221801713789e+00	9.750727664087837088e-01	1.863869413796811925e+00	3.104203462202056674e+00	3.127628551333323959e+00	5.337469960742662778e+00	9.015552273443931952e+00	2.910563123954904796e+01	5.082261101816328619e+00	1.984155887670976393e+00	1.995523474953242893e+00	-6.753967948939507551e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.289482179774799064e+00	9.238821961648799430e+00	5.448672913735648216e+00	3.159383689479389190e+00	9.251820916377775816e+00	2.549206760509397096e+00	5.607043790602372013e+00	7.199884644556246549e+00	8.882669139024043758e+00	9.162211172399115089e-01	2.253205990003234405e+00	-2.460491435483027544e+03
1.000000000000000000e+00	1.000000000000000000e+00	8.033837668577703539e+00	5.130376441624881600e+00	4.735113593140624744e+00	5.413185903113596709e+00	6.996933262388648878e+00	8.105845703651976208e+00	9.571135572285678350e+00	2.112933289303385465e+01	5.377337941345649241e+00	7.879063888328948773e-01	2.697708105671819290e+00	-1.238720131928955198e+03
1.000000000000000000e+00	1.000000000000000000e+00	9.489456238516146058e+00	9.145582303369991450e+00	2.727675243853632026e+00	3.385012113255800870e+00	8.689073098635196502e+00	3.089108382293867194e+00	6.026572462379549577e+00	7.000497585607253548e+00	9.220662317801245678e+00	1.009378644320906959e+00	9.630702313585649321e+00	-1.804057150109377972e+03
1.000000000000000000e+00	1.000000000000000000e+00	8.926633688194399951e+00	8.271930721779517270e+00	1.005667272435595372e+01	3.646952928224821644e+00	6.076436954786400335e+00	2.123499574466361839e+00	4.424295276272541599e+00	6.165978632999562059e+00	5.217075776069013848e+00	5.911579940378457465e-01	7.498730520133475963e+00	8.021278826603183916e+03
1.000000000000000000e+00	1.000000000000000000e+00	6.453514345177021383e+00	9.870019976320216770e+00	8.478083834804813534e+00	7.319109908601088677e+00	8.590788732329885491e+00	5.166028561408241515e+00	8.708482335821788212e+00	1.448660360393866320e+01	5.151190453747345188e+00	9.300966172350112471e-01	8.613231233197277348e+00	2.042981318735574632e+03
1.000000000000000000e+00	1.000000000000000000e+00	9.284931425948864003e+00	4.135614429282417959e+00	6.818631010065601572e+00	9.912715793361352112e+00	9.109743472687501509e-01	6.933897541526330421e+00	5.410893173911516918e+00	3.775441505420010202e+01	2.371636605190859726e+00	2.598496964047913860e-01	4.673660029469282939e+00	-1.467008446370151660e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.967939219450724364e+00	7.916280127791891275e+00	5.515790317623038064e+00	6.304263177527995587e+00	8.224120206096852570e+00	4.991037686129012663e+00	5.133357570069772891e+00	8.229169765681604076e+00	8.495777936519644413e+00	4.492960769954869704e+00	4.207281327778470192e+00	2.534661477895385815e+03
1.000000000000000000e+00	1.000000000000000000e+00	2.919443943655003260e+00	4.286119385605593024e+00	4.450033285181893561e+00	1.312934864823192216e+00	1.666814720736978117e+00	3.838193847898922595e+00	4.958433789370210398e+00	1.919072907124046168e+01	3.573617859374992545e+00	1.210606561194425446e+00	2.964720521681534660e+00	4.081978086929401570e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.505793950324357811e+00	5.008476067518281560e+00	6.674690233802963668e+00	1.839420309286645905e+00	8.660860735744627448e+00	6.215915025872428501e+00	8.590710966501401202e+00	1.452162258685535257e+01	9.046345448652452603e+00	6.532031378075882522e+00	5.130747475439846994e+00	1.343075945489103333e+03
1.000000000000000000e+00	1.000000000000000000e+00	3.576482506420158192e+00	6.712115725485547024e+00	5.955806645232845753e+00	9.312719703661416659e+00	1.028707950608773558e+01	4.127960892968945750e+00	8.689973073033650408e+00	1.232160974269088705e+01	9.081615691620273267e+00	2.254138191925163515e+00	6.238002471386462133e+00	4.595008938973855948e+03
1.000000000000000000e+00	1.000000000000000000e+00	5.071534273316266273e+00	8.677748330500516971e+00	1.339881441204211265e+00	3.355584596851299839e+00	3.317759831895543243e+00	9.803616634371614680e+00	4.377719254692172157e+00	1.597215484132077279e+01	9.704401814734112008e+00	1.949516612926777359e+00	6.450734830660975305e+00	-4.174695193483097682e+03
1.000000000000000000e+00	1.000000000000000000e+00	3.021067520261369932e+00	1.022977023093453219e+01	5.854102859228891731e+00	2.184735086006091453e+00	3.059059807903032446e+00	9.527239058933178129e+00	3.940463930211695054e+00	1.682409488194802094e+01	5.716369218141856834e+00	1.577156864559464244e+00	3.501523264838350968e+00	2.317779428411733988e+03
1.000000000000000000e+00	1.000000000000000000e+00	8.423806888326279108e+00	7.861069123961776484e+00	8.039305872388659679e+00	6.627534271719770054e+00	7.386320123803510995e+00	5.587844335858710210e+00	5.408180444146009513e+00	1.026260873164599374e+01	7.126831470692318149e+00	8.314123642305506490e-01	1.000029295388851835e+01	-3.061692325370580511e+04
1.000000000000000000e+00	1.000000000000000000e+00	3.914609367228546688e+00	4.959827295418611115e+00	5.232723483896478456e+00	6.717232135957328154e+00	3.289528064364601434e+00	3.825054479146928088e+00	6.454804290384048571e+00	1.426159393912158713e+01	7.327278102946793936e+00	1.972774539276648031e+00	2.703563121307957395e+00	5.459035418275543634e+03
1.000000000000000000e+00	1.000000000000000000e+00	3.635665819571904045e+00	4.915395660446983506e+00	1.546149851423977539e+00	6.501347968893715468e+00	8.417073388630004871e+00	7.483529625684377073e+00	3.153223896230578305e+00	6.393531121433618125e+00	2.381171487521792862e+00	5.546766578659705349e-01	9.669113929078188008e+00	-1.347497458365028251e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.921719477362346495e+00	7.471023080511788983e+00	8.535874296452456989e+00	3.890916696544629794e+00	2.450199373152621707e+00	1.238200557722652251e+00	8.223952350692050217e+00	1.364796286771170131e+01	6.575257738076141223e+00	1.128313202690339967e+00	7.732603929188908154e-01	2.457366574015685273e+03
1.000000000000000000e+00	1.000000000000000000e+00	2.222647310235205342e+00	2.598150436448297462e+00	3.133993581937343453e+00	1.414478682773755658e+00	1.841740991270989003e+00	5.398277772082396453e+00	5.375990540608494683e+00	2.005675334131422360e+01	1.307234563332190680e+00	3.726786733536758822e-01	5.374047190019499709e+00	1.559420178256393967e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.630505593399250941e+00	2.323867688925552066e+00	3.181394181895912165e+00	9.602913054562723261e+00	9.586626952647689492e+00	4.256173315281274405e+00	3.872508181962755369e+00	6.321317350452722472e+00	5.695980586408701640e+00	6.791865861526351633e-01	4.271680215819637638e+00	-2.053316669461243293e+02
