G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	Fg	p	m1	Fc	m2	d2	d1	W
1.000000000000000000e+00	1.000000000000000000e+00	4.376050480105588392e+00	2.663655680038583995e+00	3.351366896968903220e+00	7.057219572076340874e+00	6.158244695692650872e+00	1.459253650575063510e+00	4.549825098561659509e+00	6.831353839211971923e+00	4.682382868243673890e+00	1.351982686206623097e+00	6.434862955679284902e+00	5.755906062428949033e-02
1.000000000000000000e+00	1.000000000000000000e+00	9.562532146658343279e+00	5.878994403714364658e+00	3.223575904624613297e+00	8.160559473385012197e+00	8.243633489208592735e+00	1.618304957426560886e+00	5.263142511319516714e+00	2.555969716467507258e+00	3.665676276316517601e+01	2.679464307947452273e+00	9.582506911837568309e-01	3.884958797917058559e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.577405860840228158e+00	8.859050706963932598e+00	9.160882466994927142e+00	3.259598306187190708e+00	7.842748763041559101e+00	1.102770219347485181e+01	8.686325512904518931e+00	8.841417502751518498e+00	6.284990767149201929e+01	8.484217925598203536e+00	2.434203745178448175e-01	5.418946254201596702e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.393222075968081342e+00	7.573086081477681475e+00	3.250322580663896233e+00	6.628941221729101052e+00	2.378160614452956789e+00	5.822095351312222000e-01	4.056303881325618477e+00	6.515137106815733326e+00	5.084015043173128134e+00	7.895690987161854579e+00	1.429629657535190224e-01	2.319841472347198952e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.399780928618334030e+00	8.264733845810601665e+00	3.439683782784355159e+00	6.150207825175903587e+00	2.343325267972913295e+00	6.562620652669820531e-01	8.830588698273093229e+00	2.412196898742632989e+00	3.449305080152696235e+01	4.156170801915128443e+00	5.326027687262968602e-01	1.394501781590916367e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.408588896394383561e+00	6.937041039083749361e+00	7.845139582574477188e+00	8.497491725068099910e+00	3.415672738796523777e+00	1.569525754202317103e+00	1.798925014361009600e+00	9.652141399006110234e+00	1.541051313547261659e+00	4.395540804832704040e+00	1.217818424310907061e-01	1.284709817618851524e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.522382056433097430e+00	7.224646728729810619e+00	5.044118290683420547e+00	9.155975507423443460e+00	4.248829949825195129e+00	1.169619959910183304e+00	7.994212547278721104e+00	5.673420177171281331e+00	1.417455143018697150e+01	5.785462262805141087e+00	3.896773654987608082e-01	9.366805883192452775e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.795741052243878144e+00	8.637351813432520231e+00	7.988931413453061126e+00	1.114999651401896497e+00	4.679988683247164438e+00	1.683502849631987175e+01	8.638335373874545198e+00	1.648692314729674813e+00	5.693627901625733330e+02	9.997802646249689396e-01	4.046312098757650411e+00	1.978367529776443520e-02
1.000000000000000000e+00	1.000000000000000000e+00	6.409033304329875058e+00	3.244507250278414023e+00	1.583311277167616771e+00	7.076591970652854613e+00	7.117814276548012131e+00	7.993909173523306988e-01	2.645328824270795298e+00	6.638295699785770054e+00	3.895589848132279265e+00	3.171078070102508306e+00	7.435944917951621269e-01	9.351993224750616562e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.379213617776896328e+00	5.400618901894805646e+00	5.403039971558833088e+00	1.461363024171929759e+00	1.507278324190710395e+00	2.769910385584229751e+00	4.875538392154016520e+00	3.283729369721472668e+00	2.479475629934047731e+01	2.873037809919602559e+00	8.215553503548828074e-01	1.977701039313590203e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.178551416668409457e+00	2.992130720075585337e+00	1.303859029888169152e+00	5.945564287527935754e+00	1.308966937387141760e+00	1.404914238285508710e-01	2.484897365219928211e+00	8.236755414249797624e+00	5.870312296825205278e-01	3.262129389796973200e+00	5.434883918170853034e-01	2.342550451037403447e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.732478489723693116e+00	9.878183246667543216e+00	1.559180042139524769e+00	3.588227834480009815e+00	4.531612075073352841e+00	9.812357073269014629e-01	7.352250332185446879e+00	8.354370433944389163e+00	3.293697222988129880e+01	8.247149446957065422e+00	1.918340579452693928e-01	6.997986750339982853e-01
