G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	d1	d2	Fc	p	W	Fg	m1	m2
1.000000000000000000e+00	1.000000000000000000e+00	4.376050480105588392e+00	2.663655680038583995e+00	3.351366896968903220e+00	7.057219572076340874e+00	6.158244695692650872e+00	-1.362206287676404948e+01	-6.441564340592975668e+02	4.539735691323622646e+00	6.842338735214126721e+00	-7.222850894971317359e+01	1.344383552216104727e+00	-2.455443435795614278e+03
1.000000000000000000e+00	1.000000000000000000e+00	9.562532146658343279e+00	5.878994403714364658e+00	3.223575904624613297e+00	8.160559473385012197e+00	8.243633489208592735e+00	-5.054292286463228834e+01	-2.660990963741310225e+03	5.265451706732668491e+00	2.543607220274156866e+00	-1.001378829500137329e+02	2.679248351005637296e+00	-1.472502009371733220e+04
1.000000000000000000e+00	1.000000000000000000e+00	7.577405860840228158e+00	8.859050706963932598e+00	9.160882466994927142e+00	3.259598306187190708e+00	7.842748763041559101e+00	1.694680477835682098e+01	1.009812832426633804e+03	8.680706534299238442e+00	8.849729976913222274e+00	2.813365552528957636e+01	8.478613256286683608e+00	3.326443699980115980e+03
1.000000000000000000e+00	1.000000000000000000e+00	6.393222075968081342e+00	7.573086081477681475e+00	3.250322580663896233e+00	6.628941221729101052e+00	2.378160614452956789e+00	3.508663530778117234e+01	1.508574035550537928e+03	4.057105612928945781e+00	6.514259426697264210e+00	1.864954684504058946e+02	7.900377908469290666e+00	2.646536894319940984e+03
1.000000000000000000e+00	1.000000000000000000e+00	2.399780928618334030e+00	8.264733845810601665e+00	3.439683782784355159e+00	6.150207825175903587e+00	2.343325267972913295e+00	1.597076228194492487e+01	6.771035465795322352e+02	8.824186606393546128e+00	2.408527332221137573e+00	1.343248542098905851e+01	4.152207916350765693e+00	1.163136343783544589e+03
1.000000000000000000e+00	1.000000000000000000e+00	2.408588896394383561e+00	6.937041039083749361e+00	7.845139582574477188e+00	8.497491725068099910e+00	3.415672738796523777e+00	-3.361829689386669884e+01	-4.474058690567827398e+03	1.784232833213798886e+00	9.659519249903276261e+00	-7.691799315349469452e+02	4.383101074681308162e+00	-4.219668888665031773e+03
1.000000000000000000e+00	1.000000000000000000e+00	1.522382056433097430e+00	7.224646728729810619e+00	5.044118290683420547e+00	9.155975507423443460e+00	4.248829949825195129e+00	-3.618791466695038395e+01	-3.344067182632489221e+03	7.999386293959284799e+00	5.660588264393029867e+00	-1.176605521863541384e+02	5.816563732711265367e+00	-6.047379807813181287e+03
1.000000000000000000e+00	1.000000000000000000e+00	8.795741052243878144e+00	8.637351813432520231e+00	7.988931413453061126e+00	1.114999651401896497e+00	4.679988683247164438e+00	6.048384531134059827e+00	1.081335679077887022e+02	8.620471876636630171e+00	1.656154907495335893e+00	6.107075467759683907e-01	9.948866404129090846e-01	1.089323090958618195e+03
1.000000000000000000e+00	1.000000000000000000e+00	6.409033304329875058e+00	3.244507250278414023e+00	1.583311277167616771e+00	7.076591970652854613e+00	7.117814276548012131e+00	-1.921988010203989461e+01	-4.307041638212708676e+02	2.633131140307516382e+00	6.641643977801026111e+00	-1.710639699688268536e+02	3.172168253446215669e+00	-4.069085453638680974e+03
1.000000000000000000e+00	1.000000000000000000e+00	7.379213617776896328e+00	5.400618901894805646e+00	5.403039971558833088e+00	1.461363024171929759e+00	1.507278324190710395e+00	2.630058664475533714e+00	4.182800862637991912e+01	4.878100130753255215e+00	3.275410252394462596e+00	1.285061683255208420e+00	2.864621284749156782e+00	1.049098130797639499e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.178551416668409457e+00	2.992130720075585337e+00	1.303859029888169152e+00	5.945564287527935754e+00	1.308966937387141760e+00	-3.977315092433908461e+00	-6.184304712840803830e+01	2.493042291302328906e+00	8.231225559018513493e+00	-3.891790643101899860e+01	3.243679619514521217e+00	-1.220804516787775498e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.732478489723693116e+00	9.878183246667543216e+00	1.559180042139524769e+00	3.588227834480009815e+00	4.531612075073352841e+00	9.678858671233466993e+00	1.081450652978296603e+02	7.353357513697454273e+00	8.359142892504456412e+00	1.965614347215324287e+01	8.253675104119507111e+00	1.210855523039178252e+03
1.000000000000000000e+00	1.000000000000000000e+00	8.497944509141287739e+00	9.490314854603212780e+00	9.162707364795755538e+00	3.760287431086229759e+00	7.270912331221567548e+00	1.681403014672391549e+01	1.158128848879185171e+03	5.821874168924852100e+00	9.814931584044735757e+00	5.327060116999357575e+01	3.517996065796819671e+00	3.219490429742285869e+03
1.000000000000000000e+00	1.000000000000000000e+00	2.914929053850585650e+00	1.363404093749103430e+00	2.257455239756435361e+00	4.168308712513414171e+00	2.745904242290583497e+00	-5.376763369302143936e+00	-1.008051897171963560e+02	6.719499929927801318e+00	5.516018356778956466e+00	-9.359164329941524585e+00	2.730429989416748526e+00	-2.544949649893686114e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.649006688809603105e+00	7.345012717754658915e+00	5.790749576792093123e+00	6.590090368007836652e+00	6.780200377436074177e+00	1.244995268733050722e+02	9.506594095972481227e+03	2.781182153979494753e+00	5.099098115667239917e+00	7.552093795122449364e+02	5.540505263749254894e+00	2.609979595202506971e+04
1.000000000000000000e+00	1.000000000000000000e+00	2.647777766686205680e+00	9.334152245170653117e+00	4.704501957345954999e+00	4.001051120379443660e+00	3.329363842526603445e+00	8.367824389112572092e+00	3.152394794231354922e+02	2.907928849994464215e+00	7.784467143490097385e+00	4.486086167570558558e+01	8.790005140680898776e+00	7.788809555794769039e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.743361419487843733e+00	2.627154911724737474e+00	4.121532965377671331e+00	7.591780441828267278e+00	8.980945971009687057e+00	-1.845781383511823037e+01	-1.156221731582576922e+03	1.372701051889221979e+00	2.195344910999180943e+00	-1.118987351173089166e+02	3.167075196449891994e+00	-5.209085115625744038e+03
1.000000000000000000e+00	1.000000000000000000e+00	5.722233684701656387e+00	6.101441831916686098e+00	9.095778387050506453e+00	4.634801574812615677e+00	9.072432515096814143e+00	6.624004904666823279e+01	5.594009153630345281e+03	3.893908895748037224e+00	5.929789196132853490e+00	2.334912301409776489e+02	1.714832916462871282e+00	1.441347492844947737e+04
1.000000000000000000e+00	1.000000000000000000e+00	4.894180744782930859e+00	9.242929115263267548e+00	1.185310854123672986e+00	1.612748690365848336e+00	3.676957491358654462e+00	5.234595606983947214e+00	2.049089589678943568e+01	6.033618896625420724e+00	5.910139160380016854e+00	4.189126938161135350e+00	4.212603926189205872e+00	6.360220491283778301e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.621020644779410436e+00	1.304859208471634391e+00	6.966796783463580667e+00	8.051640152171465559e+00	3.073206970346877842e+00	-4.254707960406118872e+00	-4.779491628459837784e+02	8.716883911771345694e+00	1.802684098213263253e+00	-3.522734633178284724e+00	7.722209356042733397e+00	-4.115449914145392540e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.504576746422732647e+00	7.274248575828696772e+00	9.680531017412809192e+00	3.572348690698197604e+00	4.707384263977086647e+00	1.376793501934177399e+01	9.502399118910275320e+02	7.009869125442953042e+00	4.771448726760527670e+00	1.692040303466178131e+01	5.956417677011429213e+00	1.525854448050037945e+03
1.000000000000000000e+00	1.000000000000000000e+00	2.262513616317438636e+00	3.677503804460518388e+00	6.050577046901822520e+00	4.886160672770053282e+00	3.163283732180992125e+00	-2.224955882919020311e+01	-1.316550162985353381e+03	4.918665496195600007e+00	8.678163444961324302e+00	-9.608984429168964425e+01	8.351909761306552937e+00	-1.556572962315706263e+03
1.000000000000000000e+00	1.000000000000000000e+00	3.626641354903261227e+00	9.322206220002698274e+00	9.431765421992796661e+00	7.161169817575535390e+00	7.052447460881377417e+00	5.406596765005645011e+01	7.311330091499519767e+03	9.581182077694192500e+00	8.690068947711161229e+00	1.760996979541536689e+02	9.634483077833001730e+00	1.305788932007942822e+04
1.000000000000000000e+00	1.000000000000000000e+00	4.289610481688938215e+00	9.743460653510574332e+00	1.479503037977942359e+00	3.994064587820899348e+00	8.427423783627851606e+00	2.015577693208021870e+01	2.366859805909764134e+02	7.481514245507744576e+00	1.892034876956942391e+00	1.014723423114547529e+01	8.138085002445786031e+00	4.545218453211828091e+03
1.000000000000000000e+00	1.000000000000000000e+00	5.101832524972954808e+00	9.504953204099630071e+00	4.768255994465308234e+00	1.504954078090194880e+00	7.058584317777951256e+00	9.725085837625636387e+00	1.394803050909376054e+02	9.358547870242716726e+00	1.817221981297136857e+00	1.392727934160405967e+00	6.438670275787149677e+00	2.281676007801241667e+03
1.000000000000000000e+00	1.000000000000000000e+00	8.069934047575687330e+00	5.270198473648513904e+00	3.340076093129196178e+00	4.371106253165115696e+00	8.421867220090190287e+00	8.985460436599068146e+01	2.620159429477765570e+03	5.755307892185336449e+00	3.350022771574679759e+00	1.146647213141759494e+02	5.439056841968903377e+00	1.695417746395094946e+04
1.000000000000000000e+00	1.000000000000000000e+00	2.804598183835611547e+00	8.750730993313927897e+00	7.577700712108843106e+00	9.501256709578253634e+00	4.575740973095392405e+00	-1.125823422506664002e+02	-1.620823784635386619e+04	3.330442387451792108e+00	8.880150875819508016e+00	-1.424800826138123966e+03	1.359121563110095465e+00	-2.137570047903165687e+04
1.000000000000000000e+00	1.000000000000000000e+00	5.628711416515850274e+00	8.598309626550477702e+00	9.830984036481428490e+00	6.778894211315714458e+00	2.412656052964121667e+00	2.027321830820731563e+01	2.701262952850955571e+03	1.477826933850689972e+00	2.156240831532007185e+00	1.006229377003322725e+02	9.866904250137555010e+00	1.624713383888637054e+03
1.000000000000000000e+00	1.000000000000000000e+00	6.338865609824294367e+00	3.888276896258488602e+00	3.307582320889692173e+00	7.050948947146500778e+00	7.637338222900480034e+00	-2.629884996529634122e+01	-1.226223890161150848e+03	7.530218890479369875e+00	7.481758530916021499e+00	-9.199376485441919726e+01	4.456312705546247699e+00	-6.040241875726098442e+03
1.000000000000000000e+00	1.000000000000000000e+00	1.410702847676184701e+00	8.464269726605829547e+00	6.893884855913435139e+00	6.688862799100994572e+00	4.241369468743555693e+00	3.633761373255266847e+01	3.348910757299865054e+03	2.087584231323683870e+00	1.909261290210175765e+00	1.109610564795893595e+02	2.370440431123653990e+00	4.980503085704300247e+03
1.000000000000000000e+00	1.000000000000000000e+00	6.465504591168895310e+00	1.346249424262548011e+00	2.783707686764122613e+00	2.787819337784100959e+00	7.051762159763577564e+00	-1.991659189639909044e+01	-3.091950862775951236e+02	3.727658046740597975e+00	6.601232332292129357e+00	-4.919652178739249138e+01	6.991677547827119810e+00	-1.807796836451782156e+03
1.000000000000000000e+00	1.000000000000000000e+00	2.533155252302045302e+00	6.374191927133206370e+00	6.091906366028230657e+00	4.769723633359052251e+00	3.434976649179749764e+00	2.388692182362465388e+01	1.385887569797775313e+03	5.805320503720333036e+00	4.198782361737387170e+00	4.119540520059312172e+01	3.560432019999979936e+00	2.050178861642426909e+03
1.000000000000000000e+00	1.000000000000000000e+00	1.584844308981955940e+00	3.071424722583883771e+00	5.181087303860546278e+00	7.761216378208172451e+00	1.732156283618351944e+00	-4.004444855841318152e+00	-3.220856120286663895e+02	6.085253647834462321e+00	8.095139025505600827e+00	-2.082049649790652524e+01	6.275733138034055969e+00	-2.108865485923284666e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.540424984812686304e+00	2.086778744472279623e+00	9.750191396694434687e+00	1.911341990703539606e+00	9.932871159793737803e+00	2.298575810114551246e+02	8.569487514022690448e+03	6.412191657050565929e+00	3.109119855853354153e+00	1.063961209172919951e+02	6.266198345679220516e+00	2.747164882073114131e+04
