G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	d1	W	Fc	d2	m1	m2	Fg	p
1.000000000000000000e+00	1.000000000000000000e+00	3.834422548126843466e+00	3.379057645324374359e+00	2.781714954348343483e+00	7.665232046378427810e+00	5.689610408540100472e+00	5.371929608609761431e+00	1.477425288456032382e-01	7.201005435996589199e+01	7.050319623219840182e+00	1.014775325565509423e+00	-5.035243130133981726e-01	-2.245696531530931139e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.996087123480485559e+00	5.598239071238995557e+00	1.956209375359605485e+00	7.895887836038704144e+00	7.350712843872029723e+00	5.190119632309173170e+00	1.297412431094877583e-01	1.123848715789941792e+02	2.621089732938231887e+00	3.203197699591786130e+00	-1.067158047072884197e-01	-1.173042082136893072e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.201462977641917007e+00	8.812775324570379709e+00	8.835912409178174443e+00	3.612579844845905885e+00	7.198455952353358001e+00	8.639010090563145283e+00	1.141111974376404214e-01	1.758220503756643183e+01	1.006437710531503171e+01	8.494731222772580637e+00	-1.748691802445045962e-01	-3.934850668295996456e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.634540886554984418e+00	7.346261252343285086e+00	3.258885308620617760e+00	7.173361585952536146e+00	2.977409228263726337e+00	3.655625740083006114e+00	3.034542833104242887e-01	1.449477414108145013e+01	6.160970365217725231e+00	7.943900306822839319e+00	-3.980294242022285323e-01	-3.164327418261670744e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.444589427961565864e+00	7.712392312058497623e+00	3.795809612423449941e+00	6.980175192984190424e+00	1.833644291567024132e+00	7.730303479399724509e+00	7.684784352003929397e-01	-1.595513292667913419e+00	2.333065870976056111e+00	4.016307162790154983e+00	-5.052759520270152516e-01	-1.111996449112672991e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.323000452885815470e+00	6.355877670639471511e+00	7.516727365002721761e+00	7.762874721549931856e+00	2.512590546693540539e+00	1.997810475909933547e+00	6.222995582032204986e-02	1.427367886482506698e+01	1.008496316180412933e+01	4.337466732309697370e+00	-1.287407281186973840e-01	-6.831509690440236682e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.175562718422400454e+00	7.402239456940162832e+00	4.736206572165935214e+00	8.397933934846971482e+00	4.206469178451150981e+00	7.646001345954701378e+00	2.521309306570456155e-01	5.924908258640549263e+00	5.287398645099159467e+00	5.815304911864751958e+00	-8.917905018608947298e-02	-6.394791202236265093e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.025802491972740427e+00	8.628080274044680920e+00	8.559467277908964888e+00	1.740187981118531013e+00	4.989137595577486373e+00	7.525397156015257494e+00	1.183737625656925557e-01	4.628112197176177389e+00	2.704994632462078386e+00	1.067804068961776931e+00	-2.063998225084429539e+00	5.904380493191418111e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.401237957567217585e+00	3.671211929680712416e+00	8.532678427494073681e-01	7.608320142803094654e+00	7.138328103507203259e+00	2.548476777046057684e+00	1.139883256778241316e-01	1.027151264846138474e+02	6.644007180461910522e+00	3.144108290005323880e+00	-1.152800519080094122e-01	-1.546053929577449537e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.771346644912648038e+00	5.270161006776257651e+00	5.297986960205702367e+00	1.132556193291348379e+00	1.840419746307088600e+00	4.769901636347943175e+00	3.853488419312496860e-01	6.083327933094715867e+00	3.584040010327424586e+00	2.042521633837182993e+00	-1.710641085863256361e+00	-4.850315202349334776e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.385187843058794943e+00	2.874248481585815362e+00	1.831085077880877154e+00	4.187421777508051335e+00	1.941184109496682408e+00	2.316591299008185167e+00	9.869026597251909783e-01	4.970389625870322625e+00	8.243584068691312439e+00	3.543815919569188733e+00	-4.768521822825403156e+00	-1.195537212039448960e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.049915767695214441e+01	1.031501235689700202e+01	1.172717938566450346e+00	3.632481794372484529e+00	4.838367537688808895e+00	7.387235023338297069e+00	6.928315866428134129e-01	2.007212612582796396e+01	8.914515246434252305e+00	8.187443276215111254e+00	-1.881814052502382317e+00	1.744370481809744966e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.419610956943881064e+00	9.289524811679489957e+00	8.311172149663237363e+00	2.939510892447154244e+00	7.190561468176143833e+00	4.915122935946683036e+00	7.257079369017611914e-02	2.608942579191120714e+01	9.232362222392808349e+00	1.745173679120511689e+00	-4.304415191156453213e-01	-1.415270034307889446e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.452879169147202720e+00	5.539747402460877268e-01	3.195671201023772223e+00	3.728561728627052929e+00	2.444431089979910876e+00	7.215588600883662274e+00	6.888688925305485045e-01	3.034508345124988793e+01	6.371876184234305462e+00	1.875549341353642152e+00	-7.886621947113903186e-01	-2.124311479935019165e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.460131803675833506e+00	7.821680140164778194e+00	6.233129162408696189e+00	6.689718314449638825e+00	7.193393588282400941e+00	2.959593690538687927e+00	4.814595851208416238e-02	9.221606812437784129e+00	5.220661841744963283e+00	5.285482286539259889e+00	-1.012398120768231990e-01	-3.085056754110891575e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.675459304006237993e+00	8.950530763675443424e+00	5.158361083063930153e+00	4.177319262668759414e+00	3.488415522885807363e+00	3.540886600989551880e+00	1.506413526157277250e-01	3.564510105446709431e+00	8.139467563525778715e+00	9.473746514664091123e+00	-1.528170737415411318e-01	-3.490250906263940323e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.650583909460790810e+00	2.662388145077461132e+00	4.076776345996551143e+00	8.450316483021357072e+00	8.505919942518794130e+00	1.022578815909666483e+00	6.075279538674339952e-02	9.664844831659249280e+01	1.790576013566637759e+00	3.496748551236808833e+00	4.068955787305384569e-02	-5.896755816451612731e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.846590283685879186e+00	5.762967709807773176e+00	9.452232067302572815e+00	4.438970177198963363e+00	9.770501363909502857e+00	4.087983780888552410e+00	4.105322990600630828e-04	3.850678318086320218e+01	6.105692385073440143e+00	1.339795671477475025e+00	-2.760556254738666948e-01	-1.114121781291097335e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.929561589288815604e+00	8.698376827711539860e+00	-1.786953965404307620e-01	1.086669553199455684e+00	3.818383742279965354e+00	4.965893984278914708e+00	9.065892801576275195e-01	5.115686633393399241e+00	5.389663199777174007e+00	4.105783586263451745e+00	-9.056486732673361573e+00	5.771158868194498304e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.034888382260707118e+00	2.492253417155874118e-01	6.732648673143790674e+00	8.550403166154453061e+00	3.425582359086301487e+00	8.217555132505681925e+00	2.631104823552423699e-01	6.942824063849300842e+01	2.444782763596116126e+00	8.318839994093885082e+00	1.430021986656572833e-02	-5.595605817907063511e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.388168657632354197e+00	7.465465546335014579e+00	1.019376491215606251e+01	3.775947372030714178e+00	4.488205296462520089e+00	6.202930542502865130e+00	8.712772303028225307e-02	1.829176735655761021e+01	4.060229423919079927e+00	5.627010912293378020e+00	-7.061813418299729694e-02	-4.452817992896335397e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.716296792201634780e+00	1.788053567304908054e+00	5.270743781235477599e+00	4.698324971352037416e+00	3.780678902222939897e+00	5.014508551939800718e+00	1.940220812235330383e-01	4.803422111116933735e+00	8.763430130593972578e+00	7.771095077948465324e+00	-1.968927828540015523e-01	-9.600388424993987257e+01
