G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	Fc	Fg	m1	m2	d1	d2	W	p
1.000000000000000000e+00	1.000000000000000000e+00	4.374739754671117531e+00	2.691978523706527682e+00	3.386301623862065124e+00	7.125152217701943513e+00	6.221693446417200235e+00	1.629286801306632526e+01	4.608528489826033692e+00	-1.186960551282811949e+01	6.887009615252392969e+00	1.131399148203416694e+01	0.000000000000000000e+00	1.734681199432084497e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.594132609297359338e+00	5.881152358039933858e+00	3.170110324091506282e+00	8.162058304608546422e+00	8.248907571244490811e+00	1.146984116331127623e+01	5.307325449243943893e+00	-7.433034158288001514e+00	2.530583560764433582e+00	1.698975016683990802e+01	0.000000000000000000e+00	3.840338253460768669e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.622439913424772229e+00	8.854515274899503297e+00	9.090303587885577130e+00	3.198193201534814900e+00	7.844756635118780963e+00	2.858923510112842070e+00	8.692466849946201890e+00	-3.087424070488326233e+00	8.844070897436219880e+00	1.829951169574049175e+02	0.000000000000000000e+00	3.046505772799058676e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.397102410846837728e+00	7.609231916196361745e+00	3.248870671749068073e+00	6.537867626908808738e+00	2.343291281945850013e+00	2.167657005525662761e+00	4.153377234575449606e+00	-3.674926667890881404e+00	6.458535548857488706e+00	4.696655501860522008e+01	0.000000000000000000e+00	2.540478524342997346e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.410681469277284883e+00	8.232995363018888568e+00	3.451087060261535555e+00	6.103913676562982005e+00	2.313686773542334318e+00	1.677244077792402255e+00	8.874740727173110244e+00	-6.670812114704798290e+00	2.322735519071927879e+00	7.654805291283893531e+00	0.000000000000000000e+00	9.791092329832634888e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.442944033228654721e+00	6.974753783924563244e+00	7.826452633308568885e+00	8.473271174376220571e+00	3.391327423735940982e+00	4.205461604693151223e+00	1.769170473310570202e+00	-2.328228972125661489e+00	9.659325632409505147e+00	1.902613295680479411e+01	0.000000000000000000e+00	9.580228502697337944e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.476283170609872020e+00	7.170637392593227410e+00	5.031674322623379325e+00	9.199173171749055911e+00	4.328268733768231513e+00	5.487554454717911590e+00	7.915457529129422909e+00	-1.009857767141395080e+01	5.613285861192510495e+00	7.854864310009075368e+00	0.000000000000000000e+00	6.280493509049958512e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.887351864941223312e+00	8.619870893532700862e+00	8.084858086989127557e+00	1.048735161130183835e+00	4.672185465739331356e+00	5.483149707461006939e-01	8.605160294137627730e+00	-1.198231013671061218e+00	1.706557088781259557e+00	1.136165035056858272e+02	0.000000000000000000e+00	3.560687462465426023e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.299236112840349122e+00	3.281008863865833902e+00	1.611819036603065580e+00	7.150289692823540655e+00	7.045256877862809297e+00	1.546686746438387594e+01	2.659035939683334515e+00	-5.841492472865573049e+00	6.626206103179740126e+00	1.962368035175143532e+01	0.000000000000000000e+00	2.567278720759863120e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.451424458098204084e+00	5.341800634668111059e+00	5.496954733651928215e+00	1.394137120758092152e+00	1.524032907983170038e+00	5.820863807134746271e-01	4.905882279698015047e+00	-1.306577943067574132e+00	3.295576787634443505e+00	8.906268409214118265e+01	0.000000000000000000e+00	2.942975133592737436e+01
