G c dx1dt d2x1dt2 dx2dt d2x2dt2 m1 d1 d2 m2 p W Fg Fc
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 6.14796290e+00 4.54271968e+00 6.83431259e+00 4.08650786e+00 1.32938598e+00 5.02443975e-01 1.34919509e+00 6.41967614e-02
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 8.24889096e+00 5.26092093e+00 2.55147726e+00 1.70084852e+01 4.12382350e+00 2.96643390e+00 2.68095275e+00 1.75566373e-01
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 7.84144837e+00 8.69092654e+00 8.85155107e+00 7.69915365e+00 1.96370703e+00 5.34433552e+00 8.48121225e+00 8.18704620e-02
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 2.38509914e+00 4.06003947e+00 6.51804615e+00 1.48565942e+00 1.24578421e+00 1.42749426e+00 7.90091521e+00 1.16443008e-01
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 2.34324523e+00 8.82684716e+00 2.41483495e+00 8.56516818e+00 7.31051798e+00 9.82439752e+00 4.15578422e+00 5.58647912e-01
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 3.41356931e+00 1.79320988e+00 9.66104252e+00 6.33601001e-01 3.71224922e-01 3.02777260e-01 4.39129565e+00 4.90604661e-02
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 4.24967254e+00 7.99118593e+00 5.66528917e+00 5.99438482e+00 2.82110434e+00 2.22812085e+00 5.80198990e+00 2.03431965e-01
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 4.67610023e+00 8.62792870e+00 1.65608607e+00 2.43616924e+01 1.04196622e+01 8.11733914e+01 1.00216904e+00 2.85121311e-01
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 7.11727495e+00 2.63635888e+00 6.64149614e+00 2.82522049e+00 7.93905114e-01 3.64810939e-01 3.17119902e+00 1.04251427e-01
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 1.51012389e+00 4.87311879e+00 3.27879016e+00 2.24442942e+00 2.97251032e+00 1.09550999e+01 2.87408628e+00 1.49110561e-01
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 5.93972799e+00 1.31205434e+00 2.48949797e+00 8.23324107e+00 3.96727921e-01 6.04743126e-01 3.04511778e-01 3.25434652e+00 1.08762187e-01
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 3.58869456e+00 4.52719507e+00 7.35943716e+00 8.36039866e+00 3.98516972e+00 1.76054694e+00 4.85136578e+00 8.25315258e+00 7.37648755e-02
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 3.76098940e+00 7.27447323e+00 5.81812991e+00 9.81052620e+00 4.31412438e+00 1.18609946e+00 2.99491244e+00 3.51706471e+00 2.99126921e-02
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 4.17662653e+00 2.74091809e+00 6.71791012e+00 5.51682578e+00 3.33765141e+00 2.43542587e+00 7.90019298e-01 2.72369190e+00 2.93483620e-01
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 6.59163204e+00 6.77354033e+00 2.76838270e+00 5.09461192e+00 3.68070271e+00 1.08678845e+00 1.21185269e+00 5.53837115e+00 1.25572150e-01
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 4.00644969e+00 3.33845324e+00 2.90571276e+00 7.78128045e+00 1.24665680e+00 7.46846943e-01 1.73870069e+00 8.79080533e+00 9.28183391e-02
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 4.12608994e+00 7.59429146e+00 8.97477498e+00 1.37347593e+00 2.19223591e+00 5.62286083e+00 1.25303661e+00 4.33146964e-01 3.17214733e+00 4.18432738e-01
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.09850011e+00 4.64074647e+00 9.06120950e+00 3.89860782e+00 5.92223962e+00 5.96499035e+00 1.31659915e+00 1.73386007e+00 1.70682619e+00 4.43876675e-02
1.00000000e+00 1.00000000e+00 4.88750517e+00 9.23939468e+00 1.19641057e+00 1.61517880e+00 3.67558484e+00 6.03770195e+00 5.91622840e+00 3.75105291e+00 2.04106452e+00 1.16756118e+01 4.20764262e+00 7.48457408e-02
1.00000000e+00 1.00000000e+00 3.62106226e+00 1.30551381e+00 6.97410718e+00 8.05383858e+00 3.06994379e+00 8.72141423e+00 1.80525811e+00 1.48312595e+01 9.66223522e+00 1.56623222e+00 7.72886642e+00 2.67896816e+00
1.00000000e+00 1.00000000e+00 6.50667605e+00 7.27678241e+00 9.67054991e+00 3.57182492e+00 4.70173575e+00 7.00234703e+00 4.76185677e+00 6.91393860e+00 2.94101539e+00 5.99165120e+00 5.95621490e+00 1.46234692e-01
1.00000000e+00 1.00000000e+00 2.25544475e+00 3.67614107e+00 6.04151365e+00 4.89490192e+00 3.16478427e+00 4.91856691e+00 8.67956319e+00 1.79343163e+00 1.13336738e+00 8.51175050e-01 8.35114033e+00 1.93785881e-01
1.00000000e+00 1.00000000e+00 3.62930184e+00 9.31956576e+00 9.43140216e+00 7.16899495e+00 7.05145459e+00 9.57808103e+00 8.70538260e+00 7.75834981e+00 2.20049628e+00 2.86060598e+00 9.63632933e+00 1.02399946e-01
1.00000000e+00 1.00000000e+00 4.29725659e+00 9.73952421e+00 1.47032091e+00 3.99210541e+00 8.43458216e+00 7.47320681e+00 1.89313898e+00 3.32956943e+01 7.89504296e+00 1.92615059e+01 8.13396229e+00 6.17585997e-01
