G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	m1	d1	d2	m2	p	W	Fg	Fc
1.000000000000000000e+00	1.000000000000000000e+00	4.376050480105588392e+00	2.663655680038583995e+00	3.351366896968903220e+00	7.057219572076340874e+00	6.158244695692650872e+00	4.538754077912353857e+00	6.841357912569420385e+00	4.082432108469634002e+00	1.333577195271303140e+00	5.045515339885352502e-01	1.344383552216104727e+00	6.411569880415676770e-02
1.000000000000000000e+00	1.000000000000000000e+00	9.562532146658343279e+00	5.878994403714364658e+00	3.223575904624613297e+00	8.160559473385012197e+00	8.243633489208592735e+00	5.248985476934725725e+00	2.553680051696839204e+00	1.701467366859175456e+01	4.119713802280270620e+00	2.965308565053960344e+00	2.679248351005637296e+00	1.750539616435943802e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.577405860840228158e+00	8.859050706963932598e+00	9.160882466994927142e+00	3.259598306187190708e+00	7.842748763041559101e+00	8.685479483166165693e+00	8.846988957331053172e+00	7.685194413423474202e+00	1.962756063757534086e+00	5.346607957668182642e+00	8.478613256286683608e+00	8.223566681107059850e-02
1.000000000000000000e+00	1.000000000000000000e+00	6.393222075968081342e+00	7.573086081477681475e+00	3.250322580663896233e+00	6.628941221729101052e+00	2.378160614452956789e+00	4.057026247663830354e+00	6.514342156073490209e+00	1.481652141908803566e+00	1.243806800906193777e+00	1.423544492176925358e+00	7.900377908469290666e+00	1.167243964737990775e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.399780928618334030e+00	8.264733845810601665e+00	3.439683782784355159e+00	6.150207825175903587e+00	2.343325267972913295e+00	8.825491637635892062e+00	2.418544843204886163e+00	8.561534199911882581e+00	7.307224171670469559e+00	9.824689794823770583e+00	4.152207916350765693e+00	5.584591627945472148e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.408588896394383561e+00	6.937041039083749361e+00	7.845139582574477188e+00	8.497491725068099910e+00	3.415672738796523777e+00	1.787012320523241771e+00	9.666709317072049501e+00	6.213394892634868105e-01	3.704294775218124336e-01	3.059868045545995341e-01	4.383101074681308162e+00	4.948066267999644274e-02
1.000000000000000000e+00	1.000000000000000000e+00	1.522382056433097430e+00	7.224646728729810619e+00	5.044118290683420547e+00	9.155975507423443460e+00	4.248829949825195129e+00	7.988493277182023178e+00	5.668290188847479705e+00	6.005585481122207803e+00	2.818649549207751459e+00	2.215625148417929680e+00	5.816563732711265367e+00	2.039078801315252210e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.795741052243878144e+00	8.637351813432520231e+00	7.988931413453061126e+00	1.114999651401896497e+00	4.679988683247164438e+00	8.621723899153668214e+00	1.666404726625881905e+00	2.435150732139178587e+01	1.041969814661621285e+01	8.117158536905431276e+01	9.948866404129090846e-01	2.850841482970766783e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.409033304329875058e+00	3.244507250278414023e+00	1.583311277167616771e+00	7.076591970652854613e+00	7.117814276548012131e+00	2.635668612339264083e+00	6.650390218549922849e+00	2.820811805377498871e+00	7.939823142041833037e-01	3.647194949655249707e-01	3.172168253446215669e+00	1.041034376772118214e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.379213617776896328e+00	5.400618901894805646e+00	5.403039971558833088e+00	1.461363024171929759e+00	1.507278324190710395e+00	4.867231617384105036e+00	3.281189297716768483e+00	2.251233302118949897e+00	2.970745348149379961e+00	1.095430720537051883e+01	2.864621284749156782e+00	1.498525636318719656e-01
