G	c	dx1dt	d2x1dt2	p	m2	d1	d2	Fc	m1	Fg	W
1.000000000000000000e+00	1.000000000000000000e+00	4.754306154671096962e+00	2.954795102857464606e+00	1.599537611025468209e+00	5.632455322091463046e+00	5.741403792582970844e+00	5.813673311662488175e+01	5.310579849837500532e+00	6.822351147998304555e+00	-4.915247419178547794e+00	2.107510218598444283e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.193708014449132548e+00	4.978924504546673013e+00	3.890048901718493823e+00	8.535359980195131868e+00	6.803609187410531334e+00	2.043294223839761230e+02	6.040378997893316004e+00	3.400518681995665204e+00	-5.627527985220942952e+01	3.504955675854498054e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.545502408391375759e+00	9.162151647861989545e+00	9.653808685360397490e+00	3.800122262881023172e+00	7.293151370248018850e+00	2.475190463260967988e+01	8.612686069550784751e+00	9.679152655906824165e+00	-1.805369854038065824e+00	-2.049556681198980073e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.146693247347147171e+00	7.186625451765987549e+00	2.507212040874460257e+00	7.027412625366961763e+00	2.688531431437466868e+00	3.360515083823850802e+01	3.682293795381183177e+00	7.203537226044636199e+00	-4.800072774153253619e+00	3.313079021343704085e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.641748283234871097e+00	7.683902744402566931e+00	3.074578064966484892e+00	4.871722255426336190e+00	2.497918722687129556e+00	1.115325493703905657e+01	8.545583951850744597e+00	2.866342694655994450e+00	-1.951562007599429478e+02	2.871559563175392071e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.071062467390601736e+00	6.523587340739246621e+00	8.634407379664661875e+00	7.814464811788345067e+00	3.939343582393980636e+00	6.546791191708381419e+00	2.020954485372158604e+00	9.833681899070393584e+00	-5.114011308594394123e+00	-4.379938261009895655e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.907006926461922713e+00	8.080282737664202131e+00	4.409990278489807736e+00	9.415071340136073275e+00	4.437691327559587506e+00	7.558914976002532704e+00	7.360435924323953216e+00	6.291932239955387196e+00	-2.186084755611615194e+01	3.687868179196828322e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.496117376471465477e+00	8.828246442591471066e+00	8.254583225584521955e+00	2.075981971913712698e+00	5.077004987614191833e+00	8.928277453992743418e-01	8.379003761676839801e+00	5.622082234915097843e-01	2.263111179612956647e+01	1.267675188816691190e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.739627354595851827e+00	2.740522143331960869e+00	1.316620926159381977e+00	7.036105910930396057e+00	7.533820497828559226e+00	2.045615810504322667e+02	3.293181041382671648e+00	7.179918948352496777e+00	-4.132614519162189914e+00	6.324722538689170506e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.044291166229757373e+00	5.836158305483505337e+00	5.614606836469034690e+00	2.057402001150979043e+00	1.521276608608663983e+00	5.045860571569894759e+00	5.238955933303473422e+00	2.668988065836630508e+00	-8.115126036813364863e-01	-7.236569181904756988e+03
1.000000000000000000e+00	1.000000000000000000e+00	1.475649932941291542e+00	3.452481343700120053e+00	1.330206870356937410e+00	5.379764741748747525e+00	1.327032767898320254e+00	1.151813805183972050e+01	1.198797766781321439e+00	7.736739850130213370e+00	1.248509532036674585e-01	-6.566904578340020748e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.953416716172428735e+00	9.676884434784422950e+00	1.407488083511695187e+00	3.700820740280154286e+00	2.942752857410152245e+00	1.033461696196781645e+02	6.628322939119248858e+00	8.738926894977566917e+00	-3.500408267706678345e+00	-1.806483178378976504e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.681859350000953768e+00	1.003013728643115066e+01	9.372465319781220217e+00	3.612305559550969214e+00	6.916835300391520391e+00	2.962049536294152219e+01	7.002533924785538488e+00	1.031573522009908750e+01	-3.165900309335424989e+00	-1.956939447872356368e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.858512726646287305e+00	1.914911802053490320e+00	1.980964864944235071e+00	4.819513297843222688e+00	2.406800820746564984e+00	1.426200789619823794e+01	7.365042079697609267e+00	5.185157837291447080e+00	4.726459283261258193e+00	1.028365094251863354e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.665106857007771612e+00	7.823785782629857799e+00	4.806594921828363454e+00	6.299398366994702236e+00	6.714275506115187753e+00	2.344218990133435199e+01	2.448578313841934140e+00	5.446126645549616008e+00	-7.008770288328419085e+00	1.999419205506203241e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.159473625552993603e+00	8.952416110459029852e+00	4.187604511070081692e+00	4.914279615844835192e+00	2.831702523545892802e+00	3.492487679588638372e+00	2.089132019924318406e+00	8.087503012966145377e+00	8.741413611383777038e-01	-5.501246746177575631e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.080543349898945849e+00	1.969253178731785514e+00	3.547498921548409179e+00	7.427715140170112917e+00	9.485461213877176334e+00	6.150589358515392746e+01	6.879738140648549161e-01	2.023250643532803927e+00	-1.379138853720934321e+01	1.478114981469205986e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.807780828261956962e+00	5.169738611736012679e+00	8.212761408937538476e+00	4.061589464328135612e+00	8.581055614634555795e+00	1.904083855981979312e+01	4.177942753502083661e+00	6.005931096471323727e+00	-8.652490209349291916e+00	-1.698330591929481016e+05
1.000000000000000000e+00	1.000000000000000000e+00	5.184376964432770407e+00	8.874721676833111417e+00	1.400380414337051960e+00	1.054186742834234636e+00	4.276074156557692518e+00	2.438012304917733886e+01	7.122280510934051456e+00	7.048183449758006702e+00	6.464619517323235698e-01	-3.434766308192246953e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.503121976649959279e+00	1.100894845333132865e+00	6.878711433759707283e+00	7.716895405485121984e+00	2.546407649611265978e+00	1.779180461863536067e+01	9.771061815779253479e+00	1.652091309809063047e+00	6.713342351966437249e+00	1.194571540392253972e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.964184118651953526e+00	7.117433554151809894e+00	9.865983832932124997e+00	3.772426926809682612e+00	4.372860040638386181e+00	1.158343041408177321e+01	6.137897542491121960e+00	4.627444174536948118e+00	-8.678264336427016445e+00	5.867011764121057240e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.552692723055931756e+00	3.649881016227745523e+00	6.329054402201029106e+00	4.564696859038746446e+00	2.794494022890143814e+00	8.703087219693806276e+00	4.756301451689427751e+00	8.761163768874320468e+00	-3.377802370338835569e+00	-1.276014242198039739e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.684526188473862707e+00	1.028365428061048625e+01	9.849097891366172419e+00	6.724839743387040158e+00	6.781158510339643897e+00	2.055791780709881778e+01	9.107889191761701753e+00	8.605859985616527652e+00	-4.186325351986782017e+00	1.414475836358875540e+03
