G c dx1dt d2x1dt2 d1 d2 p W Fc Fg m2 m1
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 -4.95126469e+00 7.05432695e+00 3.70001796e+02 6.14796290e+00 1.39292406e+01 4.54271968e+00 -3.73731314e-01
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 -5.27115631e+00 8.17013257e+00 9.36927479e+02 8.24889096e+00 4.08407906e+01 5.26092093e+00 -2.44150297e-01
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 -2.55894875e+00 3.25421109e+00 2.96313316e+02 7.84144837e+00 2.98447761e+01 8.69092654e+00 -5.88535664e-01
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 -5.21048983e+00 6.62386690e+00 5.07753287e+02 2.38509914e+00 3.35573599e+01 4.06003947e+00 -9.93716500e-02
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 -4.76329440e+00 6.14571385e+00 1.77303925e+02 2.34324523e+00 9.73851613e+00 8.82684716e+00 -5.55664206e-01
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 -2.68556726e+00 8.49547339e+00 2.45072389e+02 3.41356931e+00 7.59656548e+00 1.79320988e+00 -6.70782150e-02
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 -3.31248297e+00 9.15478354e+00 1.67285635e+02 4.24967254e+00 6.37169983e-01 7.99118593e+00 -6.72452646e-01
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 -2.66773560e+00 1.10941094e+00 1.17095023e+02 4.67610023e+00 4.34213114e+01 8.62792870e+00 -9.19167598e-01
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.71570436e+00 7.06617927e+00 5.43533486e+02 7.11727495e+00 2.42256607e+01 2.63635888e+00 2.66359104e-01
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 -3.18058850e+00 1.46652219e+00 1.29745914e+02 1.51012389e+00 4.12156714e+01 4.87311879e+00 -1.80398686e-01
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 3.73495121e+00 5.93972799e+00 8.44814959e+01 1.31205434e+00 4.48745402e+00 2.48949797e+00 1.44406565e-01
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 7.17176300e+00 3.58869456e+00 4.18981038e+02 4.52719507e+00 4.93207419e+01 7.35943716e+00 5.70302625e-01
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 -2.55882022e+00 3.76098940e+00 3.83259131e+02 7.27447323e+00 3.64029561e+01 5.81812991e+00 -2.82574019e-01
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 -1.77972680e+01 4.17662653e+00 1.45900524e+02 2.74091809e+00 1.19844758e+01 6.71791012e+00 -2.24608782e+00
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 -3.05491182e+00 6.59163204e+00 2.08540099e+02 6.77354033e+00 2.27146757e+00 2.76838270e+00 -2.74695125e-01
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 -3.48155807e+00 4.00644969e+00 1.27435898e+02 3.33845324e+00 9.22693705e+00 2.90571276e+00 -2.65020725e-01
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 4.12608994e+00 -3.88138796e+00 7.59429146e+00 3.40665958e+02 8.97477498e+00 4.47953116e+00 1.37347593e+00 -1.40443918e-01
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.09850011e+00 -2.56349932e+00 4.64074647e+00 3.18697206e+02 9.06120950e+00 1.62144283e+01 3.89860782e+00 -2.84151970e-01
1.00000000e+00 1.00000000e+00 4.88750517e+00 9.23939468e+00 1.19641057e+00 2.97766628e+00 1.61517880e+00 9.47303369e+01 3.67558484e+00 2.19738613e+01 6.03770195e+00 6.97565611e-01
1.00000000e+00 1.00000000e+00 3.62106226e+00 1.30551381e+00 6.97410718e+00 -2.80416442e+00 8.05383858e+00 3.49961411e+02 3.06994379e+00 1.55864860e+01 8.72141423e+00 -2.14536234e-01
1.00000000e+00 1.00000000e+00 6.50667605e+00 7.27678241e+00 9.67054991e+00 -2.52147500e+00 3.57182492e+00 2.78888492e+02 4.70173575e+00 2.96365848e+01 7.00234703e+00 -2.97663730e-01
1.00000000e+00 1.00000000e+00 2.25544475e+00 3.67614107e+00 6.04151365e+00 -2.98972819e+00 4.89490192e+00 1.32482170e+02 3.16478427e+00 7.20309994e+00 4.91856691e+00 -3.51282868e-01
1.00000000e+00 1.00000000e+00 3.62930184e+00 9.31956576e+00 9.43140216e+00 -2.53825643e+00 7.16899495e+00 3.12221358e+02 7.05145459e+00 7.67290184e+00 9.57808103e+00 -5.49073023e-01
1.00000000e+00 1.00000000e+00 4.29725659e+00 9.73952421e+00 1.47032091e+00 5.55174237e+00 3.99210541e+00 2.05861216e+02 8.43458216e+00 8.91437522e+00 7.47320681e+00 1.69990772e+00
1.00000000e+00 1.00000000e+00 5.10462986e+00 9.49839840e+00 4.76913987e+00 -3.44449186e+00 1.50927091e+00 9.24512319e+01 7.05782918e+00 1.65121208e+01 9.37148683e+00 -2.46429163e+00
1.00000000e+00 1.00000000e+00 8.06658365e+00 5.26792795e+00 3.34142012e+00 -4.98191442e+00 4.36528942e+00 4.22555668e+02 8.41915403e+00 3.15611939e+01 5.74829176e+00 -5.70584001e-01
1.00000000e+00 1.00000000e+00 2.79706404e+00 8.75838386e+00 7.57738868e+00 -2.71718150e+00 9.50003724e+00 3.18866551e+02 4.57292946e+00 7.63652532e+00 3.33013847e+00 -1.29767662e-01
