G	c	dx1dt	d2x1dt2	d1	d2	p	W	Fc	Fg	m2	m1
1.000000000000000000e+00	1.000000000000000000e+00	4.368810192862030206e+00	2.700982189449057991e+00	3.280749526426190332e+00	-4.943122061806412226e+00	6.994601571740171941e+00	3.695419052138869915e+02	6.128343107576733395e+00	1.390785043352368788e+01	4.585213620210994101e+00	-3.734694103093237905e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.625787250571052667e+00	5.878793255867136303e+00	3.176512999284300864e+00	-5.216703399517526485e+00	8.183582773658031329e+00	9.348620312005574533e+02	8.359414427578714779e+00	4.094512855397186257e+01	5.267391889160375484e+00	-2.440769726291075192e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.590525684356630443e+00	8.944028527010070562e+00	9.178957974553304311e+00	-2.544671889442080559e+00	3.198012713017155395e+00	3.004658486642733806e+02	7.901630060829553770e+00	3.001318514211952859e+01	8.680533367465161021e+00	-5.871373056504304300e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.298812076367537927e+00	7.675987333820215142e+00	3.246441010656107018e+00	-5.184618945030583959e+00	6.585588322463244104e+00	5.028217495782959077e+02	2.374810937353895035e+00	3.333606393752167918e+01	4.045217999175319434e+00	-9.991702697310489434e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.427445514021145723e+00	8.283141374496185705e+00	3.430498789817138849e+00	-4.697591697111533016e+00	6.164876220969461862e+00	1.855480090172579253e+02	2.391064519319904491e+00	1.013425473766109164e+01	8.791841872226466847e+00	-5.582676444131822180e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.360445206380347383e+00	6.946476231649425515e+00	7.784258512904956184e+00	-2.671927914512363778e+00	8.363976419575394061e+00	2.481360945303403014e+02	3.346452101477004781e+00	7.704357542563074368e+00	1.864266678832743107e+00	-6.755645079480762649e-02
1.000000000000000000e+00	1.000000000000000000e+00	1.456896311481373107e+00	7.234156930255618789e+00	5.134726732598976717e+00	-3.317571485711311663e+00	9.243693859914868582e+00	1.610770321888485910e+02	4.263304166470966550e+00	7.492784724939965946e-01	7.991877892846448894e+00	-6.745902657539756264e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.750438045007744137e+00	8.495054512148843884e+00	7.944124717829846638e+00	-2.701693228530754887e+00	1.111773344208471848e+00	1.163122452416570667e+02	4.625012080456359698e+00	4.306264658865394779e+01	8.558296917135800541e+00	-9.186212798624884268e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.439397115138578265e+00	3.169430562296456699e+00	1.602187498104066909e+00	7.799598632414989297e+00	6.996186165567719328e+00	5.429449319806320773e+02	7.025298212535846076e+00	2.439712313433022217e+01	2.615294130642066062e+00	2.641590980924870546e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.440781247615286809e+00	5.410425405035935498e+00	5.361202309009680533e+00	-3.158743940415767781e+00	1.411454879117332473e+00	1.311143627658093465e+02	1.552857170139269272e+00	4.132495453934987495e+01	4.880159700559334013e+00	-1.816977031857556490e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.211398110789569271e+00	3.025155449615928749e+00	1.304525616118844544e+00	3.695804593637257440e+00	5.993409531392163814e+00	8.102663581159328032e+01	1.361544823607162558e+00	4.837953827557103459e+00	2.538753187404430456e+00	1.439303484188094451e-01
