G c dx1dt d2x1dt2 d1 Fc W d2 m2 m1 Fg p
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 2.36697441e+01 1.83139576e+00 6.14796290e+00 4.54271968e+00 2.04492447e+00 4.36802868e+00
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 2.63307784e+01 9.24200386e-01 8.24889096e+00 5.26092093e+00 6.35602405e-01 1.00784984e+00
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 2.97965044e+01 5.98581696e-01 7.84144837e+00 8.69092654e+00 8.87134428e-02 5.69042546e-01
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 2.15005142e+01 6.83510901e-01 2.38509914e+00 4.06003947e+00 6.77969578e-01 2.41296464e+00
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 2.11876406e+01 5.13068028e-01 2.34324523e+00 8.82684716e+00 2.47059482e-01 9.88098817e+00
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 6.65585030e+01 6.11532906e-01 3.41356931e+00 1.79320988e+00 2.13389360e+00 2.27056665e+00
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 4.62102217e+01 5.00885262e-01 4.24967254e+00 7.99118593e+00 4.51360232e-01 1.13251190e+01
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 8.86463167e+00 6.23351642e-01 4.67610023e+00 8.62792870e+00 3.05950980e-02 2.90143963e-01
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 1.12231802e+01 1.59848104e+00 7.11727495e+00 2.63635888e+00 2.37804118e+00 1.30542676e+00
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 7.90182797e+00 9.77530559e-01 1.51012389e+00 4.87311879e+00 1.35751791e-01 1.25493026e+00
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 5.93972799e+00 7.73662876e+00 1.08808325e+00 1.31205434e+00 2.48949797e+00 -3.10633680e+00 2.06921130e+01
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 3.58869456e+00 5.61228346e+00 5.50184165e-01 4.52719507e+00 7.35943716e+00 1.07215210e-01 6.59801574e-01
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 3.76098940e+00 3.44429042e+01 5.65247030e-01 7.27447323e+00 5.81812991e+00 1.43977777e-01 4.00445209e-01
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 4.17662653e+00 9.41080973e+00 3.29624281e+00 2.74091809e+00 6.71791012e+00 -7.35912726e+00 2.31826460e+01
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 6.59163204e+00 3.81773231e+01 5.91826289e-01 6.77354033e+00 2.76838270e+00 7.46755122e-01 1.20951773e+00
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 4.00644969e+00 1.88297543e+01 4.67067990e-01 3.33845324e+00 2.90571276e+00 3.39311902e-01 1.22892770e+00
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 4.12608994e+00 7.59429146e+00 3.13347295e+01 1.80318853e+00 8.97477498e+00 1.37347593e+00 6.21614538e+00 1.12123242e+00
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.09850011e+00 4.64074647e+00 4.22238323e+01 8.35721158e-01 9.06120950e+00 3.89860782e+00 4.25177757e-01 5.83167680e-01
1.00000000e+00 1.00000000e+00 4.88750517e+00 9.23939468e+00 1.19641057e+00 1.61517880e+00 1.93241699e+00 5.39092959e-01 3.67558484e+00 6.03770195e+00 6.07992504e-02 5.85291546e-01
1.00000000e+00 1.00000000e+00 3.62106226e+00 1.30551381e+00 6.97410718e+00 8.05383858e+00 5.61683334e+01 3.60133858e+00 3.06994379e+00 8.72141423e+00 -1.40136802e+00 4.55111038e+01
1.00000000e+00 1.00000000e+00 6.50667605e+00 7.27678241e+00 9.67054991e+00 3.57182492e+00 3.45415112e+01 7.14699326e-01 4.70173575e+00 7.00234703e+00 1.56538847e-01 1.16861043e+00
1.00000000e+00 1.00000000e+00 2.25544475e+00 3.67614107e+00 6.04151365e+00 4.89490192e+00 2.95726167e+01 1.13078736e+00 3.16478427e+00 4.91856691e+00 9.34685005e-01 7.62811472e+00
1.00000000e+00 1.00000000e+00 3.62930184e+00 9.31956576e+00 9.43140216e+00 7.16899495e+00 6.76136744e+01 5.04734701e-01 7.05145459e+00 9.57808103e+00 1.80293522e-01 2.70849563e+00
1.00000000e+00 1.00000000e+00 4.29725659e+00 9.73952421e+00 1.47032091e+00 3.99210541e+00 5.86967608e+00 4.99751131e-01 8.43458216e+00 7.47320681e+00 1.15298137e-01 8.22693229e-01
1.00000000e+00 1.00000000e+00 5.10462986e+00 9.49839840e+00 4.76913987e+00 1.50927091e+00 7.19792405e+00 5.28208990e-01 7.05782918e+00 9.37148683e+00 3.46918618e-02 4.14740153e-01
1.00000000e+00 1.00000000e+00 8.06658365e+00 5.26792795e+00 3.34142012e+00 4.36528942e+00 1.45862659e+01 1.01334515e+00 8.41915403e+00 5.74829176e+00 3.19788231e-01 7.48826384e-01
1.00000000e+00 1.00000000e+00 2.79706404e+00 8.75838386e+00 7.57738868e+00 9.50003724e+00 7.19854747e+01 5.04640106e-01 4.57292946e+00 3.33013847e+00 8.53996142e-01 2.49633259e+00
1.00000000e+00 1.00000000e+00 5.62810995e+00 8.60094459e+00 9.83167381e+00 6.77560958e+00 6.66155832e+01 5.92349423e-01 2.40685274e+00 1.47544018e+00 1.58742219e+00 8.74310819e-01
1.00000000e+00 1.00000000e+00 6.33173112e+00 3.87190426e+00 3.30877056e+00 7.04331234e+00 2.33047045e+01 1.33826640e+00 7.64155853e+00 7.53476366e+00 6.33704681e-01 2.93572077e+00
1.00000000e+00 1.00000000e+00 1.41805371e+00 8.46023927e+00 6.88757141e+00 6.69053938e+00 4.60815678e+01 4.15906150e-01 4.24427055e+00 2.09172698e+00 9.29294772e-01 1.93417483e+00
1.00000000e+00 1.00000000e+00 6.46790367e+00 1.33306871e+00 2.78287869e+00 2.79092925e+00 7.76681755e+00 3.89819492e+00 7.04143743e+00 3.72497615e+00 1.59974141e+00 1.77967624e+00
1.00000000e+00 1.00000000e+00 2.53471711e+00 6.36642891e+00 6.08797229e+00 4.76500478e+00 2.90092170e+01 6.75818679e-01 3.43579548e+00 5.79223817e+00 3.30412241e-01 4.28364170e+00
1.00000000e+00 1.00000000e+00 1.58546434e+00 3.07007954e+00 5.17539238e+00 7.75845819e+00 4.01530654e+01 1.19844898e+00 1.73106671e+00 6.07974929e+00 -1.80776512e+00 4.11946063e+01
1.00000000e+00 1.00000000e+00 9.53996984e+00 2.08510197e+00 9.74804797e+00 1.91235608e+00 1.86417388e+01 2.60454332e+00 9.93323616e+00 6.40524877e+00 3.15506473e-01 6.73330955e-01
1.00000000e+00 1.00000000e+00 9.69068830e+00 1.69257881e+00 6.47674545e+00 3.50067498e+00 2.26729808e+01 3.21330024e+00 2.40581357e+00 2.49629797e+00 1.18097849e+01 2.40886756e+00
1.00000000e+00 1.00000000e+00 8.27557613e+00 7.26659898e+00 4.14555735e+00 3.48687198e+00 1.44550277e+01 7.36677492e-01 9.89578895e+00 4.41763664e+00 2.28313487e-01 2.77130757e-01
1.00000000e+00 1.00000000e+00 3.74152392e+00 4.05887467e+00 2.02686206e+00 4.88817035e+00 9.90764704e+00 1.16647702e+00 9.79551939e+00 6.55474804e+00 4.18975072e-01 2.03954140e+00
1.00000000e+00 1.00000000e+00 1.87904903e+00 7.52290094e+00 2.36122146e+00 9.82331867e+00 2.31950308e+01 5.20541019e-01 8.14436294e+00 9.72836978e+00 3.19708634e-01 6.50111766e+00
1.00000000e+00 1.00000000e+00 7.15809724e+00 1.58820707e+00 3.02785237e+00 1.60752292e+00 4.86734208e+00 3.31476575e+00 6.93480666e+00 7.54868024e+00 3.13998592e-01 1.62061215e+00
1.00000000e+00 1.00000000e+00 4.96137244e+00 3.83761304e+00 3.25869995e+00 5.66830895e+00 1.84713181e+01 1.30120476e+00 6.20026345e+00 9.30343381e+00 4.16822093e-01 4.46128996e+00
1.00000000e+00 1.00000000e+00 2.09834411e+00 5.85542163e+00 8.65554452e+00 2.61428214e+00 2.26280354e+01 6.93969108e-01 8.79491391e+00 7.85990852e+00 1.19683134e-01 1.54536751e+00
1.00000000e+00 1.00000000e+00 5.45659219e+00 8.11650848e+00 6.05100509e+00 9.73608891e+00 5.89131236e+01 6.24741195e-01 3.60495569e+00 6.32545272e+00 5.68412646e-01 3.91187398e+00
1.00000000e+00 1.00000000e+00 1.30949669e+00 3.86877253e+00 5.71051820e+00 2.01973154e+00 1.15337137e+01 8.79356779e-01 5.20913091e+00 2.72821032e+00 4.25340123e-01 1.42068217e+00
1.00000000e+00 1.00000000e+00 9.18388362e+00 6.63302239e+00 2.03291985e+00 4.63240902e+00 9.41731624e+00 8.15741827e-01 6.57450972e+00 7.00017087e+00 2.23248845e-01 8.76210640e-01
1.00000000e+00 1.00000000e+00 3.32901983e+00 8.97379973e+00 8.74125724e+00 7.64096486e+00 6.67916394e+01 5.14164022e-01 4.70071428e+00 6.61041609e+00 3.14602347e-01 3.31916194e+00
1.00000000e+00 1.00000000e+00 6.96270056e+00 6.54276869e+00 7.50532873e+00 7.34098985e+00 5.50965420e+01 8.01875634e-01 4.84737809e+00 6.42222253e+00 4.54646971e-01 2.24022879e+00
1.00000000e+00 1.00000000e+00 3.80539968e+00 3.09663527e+00 1.60901526e+00 4.80455773e+00 7.73060669e+00 1.53437656e+00 3.97256201e+00 5.40807281e+00 9.41505841e-01 5.27456849e+00
1.00000000e+00 1.00000000e+00 5.68061219e+00 1.21960703e+00 7.37051588e+00 4.11871751e+00 3.03570728e+01 4.18321523e+00 6.07808635e+00 5.75790944e+00 2.63966877e+00 5.74652148e+00
1.00000000e+00 1.00000000e+00 5.92039251e+00 8.83088987e+00 5.89184396e+00 4.57851141e+00 2.69758748e+01 5.81254804e-01 8.65517075e+00 4.00998274e+00 2.75064395e-01 4.16521299e-01
1.00000000e+00 1.00000000e+00 2.66369010e+00 1.19142470e+00 1.73552811e+00 3.37848637e+00 5.86345807e+00 3.66142057e+00 2.81375540e+00 5.67381423e+00 -1.28344814e+02 1.87286666e+01
