G	c	dx1dt	d2x1dt2	d1	Fc	W	d2	m2	m1	Fg	p
1.000000000000000000e+00	1.000000000000000000e+00	4.365199139457232924e+00	2.671886586410185505e+00	3.356164478229948234e+00	7.052139095563060955e+00	2.367847022346482788e+01	1.832957268238839976e+00	6.145140650786507841e+00	4.547856830343945944e+00	2.044233551233499480e+00	4.375696297859426487e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.558990987207220513e+00	5.876049048206354541e+00	3.219051738996618894e+00	8.170142286320738023e+00	2.627474255146757542e+01	9.226689646292300928e-01	8.245959210392964422e+00	5.259864256330250676e+00	6.365697517676550676e-01	1.001189949871688079e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.589520177032698989e+00	8.853318809212328944e+00	9.159686730010035305e+00	3.254848284447012574e+00	2.974973753371073570e+01	6.002514440285279251e-01	7.836086323422342126e+00	8.686686634731104917e+00	8.852165854147960034e-02	5.742249967771255736e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.393110484036770735e+00	7.588460035143265614e+00	3.248730092345808451e+00	6.614817028598324100e+00	2.148153548775845323e+01	6.833343087728042109e-01	2.367491524495710209e+00	4.059414064345844508e+00	6.778819270071859693e-01	2.417136860542520083e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.399887263376756064e+00	8.262273326255741068e+00	3.452029495315450003e+00	6.160385892730295687e+00	2.119381323066583889e+01	5.135827626451470174e-01	2.351460920070128857e+00	8.824981947965222062e+00	2.466945569059556809e-01	9.884531554750534355e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.404134742324605334e+00	6.936905625443538170e+00	7.836417098006274173e+00	8.498287646996105948e+00	6.655137280408661127e+01	6.109220706121127886e-01	3.408120888573418217e+00	1.803924086139575111e+00	2.133594925512850793e+00	2.276233735982334139e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.515364590278825752e+00	7.226994618547831983e+00	5.063866870185295355e+00	9.155920393814723113e+00	4.625426882376330440e+01	5.020205227482864574e-01	4.247426109365330049e+00	7.984462425424242227e+00	4.524384003193605563e-01	1.132464918943598065e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.799382016507578896e+00	8.643311244065829513e+00	7.984719173165085948e+00	1.112741053597847030e+00	8.820457137092819977e+00	6.238511005161133660e-01	4.668175508171026777e+00	8.628668244926700481e+00	3.104093577049357733e-02	2.806615710021088672e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.412843401149317835e+00	3.248894415147467019e+00	1.578850064362233629e+00	7.070019577972002089e+00	1.120079055677976676e+01	1.597479705928195770e+00	7.122569003946172650e+00	2.636258274058211892e+00	2.377306689115676441e+00	1.305059977310582875e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.375336649967596969e+00	5.399302803958046404e+00	5.385970232889911280e+00	1.465761321214995805e+00	7.947125789870771229e+00	9.760974670684199328e-01	1.510905139947840814e+00	4.872474655911181785e+00	1.364649519345798867e-01	1.249901355512172518e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.185269212697951824e+00	2.990998563881107408e+00	1.293864515186638586e+00	5.936310844742738624e+00	7.740536037035029793e+00	1.086287211512572570e+00	1.307553171342218157e+00	2.488902079436277948e+00	-3.105771073050222597e+00	2.068839985276864013e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.731433549041442532e+00	9.880858298058075917e+00	1.555637973415921582e+00	3.591939611616764783e+00	5.638651236923503340e+00	5.504153162024701951e-01	4.525058615740952028e+00	7.358800374596198957e+00	1.070818846294160492e-01	6.534980567251770234e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.500666948962734892e+00	9.486692557636958512e+00	9.152408169402649563e+00	3.763077397587175188e+00	3.450403012552217064e+01	5.659511174983961057e-01	7.283614188607859141e+00	5.822919707943311707e+00	1.441231847928138576e-01	3.980233610329865224e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.909508981792487958e+00	1.356881567386562848e+00	2.248116334214782075e+00	4.172242290836678080e+00	9.390134775521811861e+00	3.297043438270481630e+00	2.740520629306023359e+00	6.721251118535853664e+00	-7.359134345123150567e+00	2.317961898115861885e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.637175090572816849e+00	7.348040995026840605e+00	5.786515071492047468e+00	6.599313812512714428e+00	3.817436359245017741e+01	5.916811830400326988e-01	6.772550436888358227e+00	2.770680924672747736e+00	7.476903399651884108e-01	1.197454936074004106e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.644762138877613467e+00	9.328360177412056586e+00	4.702721844463183309e+00	4.008037714705738885e+00	1.882163614215890135e+01	4.656449901377197609e-01	3.333325584088047577e+00	2.889067747019610888e+00	3.389343736227871107e-01	1.232480332823627345e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.733480893400627387e+00	2.625078557455822637e+00	4.123294940393868124e+00	7.598242246203957606e+00	3.127648380373694437e+01	1.802349640356992966e+00	8.964455295175161709e+00	1.375120658763442805e+00	6.216214604950057954e+00	1.132497403549744153e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.723337275764564858e+00	6.106075204458422334e+00	9.097508893072104641e+00	4.648281460333716808e+00	4.221458266188550112e+01	8.371384414726620316e-01	9.060337777682530458e+00	3.889524683788411874e+00	4.249747694280627264e-01	5.862434737131310136e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.893479999448049789e+00	9.239142923269975327e+00	1.201348211771952501e+00	1.615297292406683072e+00	1.958672113413074234e+00	5.384969101726186924e-01	3.677357740450069912e+00	6.041247779012819841e+00	6.011983298921829560e-02	5.842619948004900143e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.619675188993521697e+00	1.298653875389027101e+00	6.969875814054750762e+00	8.055554360207063169e+00	5.618444264329676940e+01	3.601514970573807872e+00	3.075933169292262015e+00	8.729503588561694727e+00	-1.400328944490460081e+00	4.551082603970841234e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.505399196849892540e+00	7.284520605866596554e+00	9.669089179732344164e+00	3.576209901550470693e+00	3.455995950620136625e+01	7.133763742463493651e-01	4.689488306516256699e+00	6.997265515132367497e+00	1.559786556032654314e-01	1.166474523955231879e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.253242561337372329e+00	3.668597595783949394e+00	6.043533249188643985e+00	4.890977974818873086e+00	2.956142675816545307e+01	1.131201326373872051e+00	3.158655928920725220e+00	4.917130733731297276e+00	9.347893702377968461e-01	7.628571553299820174e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.626407571668317065e+00	9.318476576044735893e+00	9.420681499173436890e+00	7.169287551943595460e+00	6.759412309686949527e+01	5.041717908328610109e-01	7.048291323534543018e+00	9.574792856476733505e+00	1.794682401062571431e-01	2.708307866424444654e+00
