G	c	dx1dt	d2x1dt2	p	d1	Fg	m2	m1	d2	Fc	W
1.000000000000000000e+00	1.000000000000000000e+00	4.754306154671096962e+00	2.954795102857464606e+00	1.599537611025468209e+00	5.632455322091463046e+00	1.491403053498541187e+00	6.368932913293668285e+00	5.310579849837500532e+00	-2.007759434770332163e+01	7.624485709059140248e+00	1.310292662330030851e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.193708014449132548e+00	4.978924504546673013e+00	3.890048901718493823e+00	8.535359980195131868e+00	1.680882103866817356e+00	8.853223599764280749e+00	6.040378997893316004e+00	-6.266969143985702928e+00	2.585985335777877037e+00	-2.337664992419400534e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.545502408391375759e+00	9.162151647861989545e+00	9.653808685360397490e+00	3.800122262881023172e+00	2.055759297924271323e+01	8.326891087001360603e+00	8.612686069550784751e+00	4.120669955574166465e+01	9.261197029220912924e+00	3.874289399291396876e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.146693247347147171e+00	7.186625451765987549e+00	2.507212040874460257e+00	7.027412625366961763e+00	3.568827367123219130e+00	2.723591433350957658e+00	3.682293795381183177e+00	2.261057760924217064e+01	6.542281023207079826e+00	-4.972937999880649329e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.641748283234871097e+00	7.683902744402566931e+00	3.074578064966484892e+00	4.871722255426336190e+00	1.572199898469137214e+00	2.492808532834507318e+00	8.545583951850744597e+00	1.268397617724813919e+01	2.493844568788785132e+00	5.173984356256514872e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.071062467390601736e+00	6.523587340739246621e+00	8.634407379664661875e+00	7.814464811788345067e+00	2.976806195917530040e+00	3.096923406075631657e+00	2.020954485372158604e+00	-7.751013112009649930e+00	9.046968012878208398e+00	1.219611702364737056e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.907006926461922713e+00	8.080282737664202131e+00	4.409990278489807736e+00	9.415071340136073275e+00	1.111328576109194888e+00	3.687112407394502078e+00	7.360435924323953216e+00	2.554464388881384806e+01	5.543168748465693518e+00	-5.710009161448620318e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.496117376471465477e+00	8.828246442591471066e+00	8.254583225584521955e+00	2.075981971913712698e+00	6.392851531457405656e+01	4.027365427147108434e+00	8.379003761676839801e+00	-8.037066164139581304e+00	6.797733655137447872e-01	8.229149400327995068e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.739627354595851827e+00	2.740522143331960869e+00	1.316620926159381977e+00	7.036105910930396057e+00	2.042816377968468267e+00	7.331866334563707177e+00	3.293181041382671648e+00	9.907747570342255727e-01	6.566709798891046113e+00	6.280228671211790470e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.044291166229757373e+00	5.836158305483505337e+00	5.614606836469034690e+00	2.057402001150979043e+00	2.710394097499817789e+01	1.781534448209436405e+00	5.238955933303473422e+00	-3.705628471881456054e+00	3.996864322290631932e+00	2.137946589054448765e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.475649932941291542e+00	3.452481343700120053e+00	1.330206870356937410e+00	5.379764741748747525e+00	2.815629696345887667e-01	1.908116290688317562e+00	1.198797766781321439e+00	7.811169796551850730e+00	8.656417433764175939e+00	-6.295735204915239080e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.953416716172428735e+00	9.676884434784422950e+00	1.407488083511695187e+00	3.700820740280154286e+00	1.949891208324463054e+00	4.833167483472248449e+00	6.628322939119248858e+00	1.294437362205505693e+01	8.421459172513712232e+00	-6.061289635792871167e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.681859350000953768e+00	1.003013728643115066e+01	9.372465319781220217e+00	3.612305559550969214e+00	2.016094762540399898e+01	7.846877433636374022e+00	7.002533924785538488e+00	-1.019464834930852959e+01	9.700618251834002947e+00	-2.086578921537313818e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.858512726646287305e+00	1.914911802053490320e+00	1.980964864944235071e+00	4.819513297843222688e+00	1.087578385766171163e+00	2.669810020396692352e+00	7.365042079697609267e+00	3.883857380217027089e+00	5.222903635641243270e+00	-1.911121290467040623e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.665106857007771612e+00	7.823785782629857799e+00	4.806594921828363454e+00	6.299398366994702236e+00	2.230862551276321604e+00	7.193414203984261235e+00	2.448578313841934140e+00	-1.195124317737821684e+00	4.594962665417602565e+00	1.726464387603184392e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.159473625552993603e+00	8.952416110459029852e+00	4.187604511070081692e+00	4.914279615844835192e+00	2.377023771535677454e+00	2.792957469501446965e+00	2.089132019924318406e+00	-2.397404169119045747e+01	8.226618294190302549e+00	1.296335772261624868e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.080543349898945849e+00	1.969253178731785514e+00	3.547498921548409179e+00	7.427715140170112917e+00	2.769068627419368323e+00	8.941992060032752931e+00	6.879738140648549161e-01	-2.987978178183737121e+00	1.357211298285232459e+00	-1.363709796016341080e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.807780828261956962e+00	5.169738611736012679e+00	8.212761408937538476e+00	4.061589464328135612e+00	1.052602114481102014e+01	8.063608832841669738e+00	4.177942753502083661e+00	-2.704297971306559134e+00	5.074717029452345152e+00	-3.976412450902341078e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.184376964432770407e+00	8.874721676833111417e+00	1.400380414337051960e+00	1.054186742834234636e+00	4.488166080109821543e+00	3.692788837634522814e+00	7.122280510934051456e+00	1.495178052835124305e+01	6.408179113985192465e+00	7.396655870551382961e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.503121976649959279e+00	1.100894845333132865e+00	6.878711433759707283e+00	7.716895405485121984e+00	2.378975845918509080e+00	3.737078607100476457e+00	9.771061815779253479e+00	1.096425769827152230e+01	1.918325615283018371e+00	-3.491558720648551883e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.964184118651953526e+00	7.117433554151809894e+00	9.865983832932124997e+00	3.772426926809682612e+00	1.714122093016520054e+01	4.739979125324435216e+00	6.137897542491121960e+00	9.586328382818525284e+00	4.786240744390793722e+00	8.153156104018319184e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.552692723055931756e+00	3.649881016227745523e+00	6.329054402201029106e+00	4.564696859038746446e+00	2.248618280864840280e+00	3.557958582753033561e+00	4.756301451689427751e+00	1.450821697553946166e+01	8.792199583133450957e+00	-5.435846665631110142e+01
