G c dx1dt d2x1dt2 m1 m2 W p Fc Fg d1 d2
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.17311643e-01 7.05432695e+00 1.61394445e+00 6.14796290e+00 4.38106691e-01 3.27872405e+00 1.19401492e-01
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 6.98877994e-01 8.17013257e+00 8.54935749e-01 8.24889096e+00 5.96267420e-01 3.25208518e+00 8.39611705e-02
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 1.20824958e+00 3.25421109e+00 4.28865903e-01 7.84144837e+00 3.44915004e-01 1.71352899e+00 8.23357613e-01
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 7.02129647e-01 6.62386690e+00 1.03693539e+00 2.38509914e+00 1.71974970e-01 1.68324273e+00 5.67677101e-01
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 7.29829095e-01 6.14571385e+00 2.55627496e+00 2.34324523e+00 1.65351217e-01 5.82189881e-01 1.84437422e+00
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 1.13260856e+00 8.49547339e+00 3.53396326e+00 3.41356931e+00 1.64494488e-01 6.93875951e-01 3.74632320e+00
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.13796990e-01 9.15478354e+00 6.01199702e+00 4.24967254e+00 2.56444839e-01 4.21203183e-01 2.57687044e+00
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.14226868e+00 1.10941094e+00 1.26132702e-01 4.67610023e+00 2.22824313e-01 2.03536473e+00 9.58982014e-01
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 4.18617181e-01 7.06617927e+00 1.10236202e+00 7.11727495e+00 6.25285351e-01 3.94826687e+00 2.36607272e-02
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 9.46272243e-01 1.46652219e+00 1.98913763e-01 1.51012389e+00 8.84033033e-02 2.72817479e+00 1.23757140e+00
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 3.56732189e-01 5.93972799e+00 5.01132725e+00 1.31205434e+00 1.19780926e-01 7.92581766e-01 4.46818969e-01
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 4.13512396e-01 3.58869456e+00 3.68858564e-01 4.52719507e+00 3.99018825e-01 1.96767657e+00 7.25953349e-02
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 1.20833554e+00 3.76098940e+00 4.42887021e-01 7.27447323e+00 3.19941216e-01 1.78843854e+00 8.50569167e-01
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 5.46019983e-01 4.17662653e+00 1.43474817e+00 2.74091809e+00 2.21402229e-01 4.29725901e+00 1.04453332e-01
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 9.82342466e-01 6.59163204e+00 2.50021631e+00 6.77354033e+00 3.82952464e-01 7.17377246e-01 1.17087927e+00
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 8.78490043e-01 4.00644969e+00 1.51150243e+00 3.33845324e+00 2.08006031e-01 5.68365787e-01 2.17594833e+00
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 4.12608994e+00 8.14942384e-01 7.59429146e+00 2.03154773e+00 8.97477498e+00 5.90868080e-01 2.84794405e+00 1.31555974e-01
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.09850011e+00 1.20521907e+00 4.64074647e+00 8.10921241e-01 9.06120950e+00 4.00093141e-01 1.87279760e+00 6.46187843e-01
1.00000000e+00 1.00000000e+00 4.88750517e+00 9.23939468e+00 1.19641057e+00 3.32502033e-01 1.61517880e+00 3.30471017e-01 3.67558484e+00 3.40501680e-01 1.05797086e+00 1.02299707e-01
1.00000000e+00 1.00000000e+00 3.62106226e+00 1.30551381e+00 6.97410718e+00 1.07508086e+00 8.05383858e+00 2.22416462e+00 3.06994379e+00 1.57747209e-01 5.54733660e+00 4.40265654e-01
1.00000000e+00 1.00000000e+00 6.50667605e+00 7.27678241e+00 9.67054991e+00 1.23423236e+00 3.57182492e+00 5.48947710e-01 4.70173575e+00 2.00024282e-01 1.78833877e+00 1.41951534e+00
1.00000000e+00 1.00000000e+00 2.25544475e+00 3.67614107e+00 6.04151365e+00 1.00344754e+00 4.89490192e+00 2.17026018e+00 3.16478427e+00 1.75215196e-01 1.22707192e+00 1.56108412e+00
1.00000000e+00 1.00000000e+00 3.62930184e+00 9.31956576e+00 9.43140216e+00 1.22236490e+00 7.16899495e+00 1.97530965e+00 7.05145459e+00 3.04636590e-01 7.78856425e-01 2.09913811e+00
1.00000000e+00 1.00000000e+00 4.29725659e+00 9.73952421e+00 1.47032091e+00 3.93643307e-01 3.99210541e+00 9.28989305e-01 8.43458216e+00 7.52719306e-01 8.82436657e-01 7.77620842e-02
1.00000000e+00 1.00000000e+00 5.10462986e+00 9.49839840e+00 4.76913987e+00 8.85704881e-01 1.50927091e+00 2.95667061e-01 7.05782918e+00 4.36916923e-01 1.07484012e+00 5.56819049e-01
1.00000000e+00 1.00000000e+00 8.06658365e+00 5.26792795e+00 3.34142012e+00 7.15398746e-01 4.36528942e+00 5.41157150e-01 8.41915403e+00 6.00847546e-01 3.06252619e+00 9.27109415e-02
1.00000000e+00 1.00000000e+00 2.79706404e+00 8.75838386e+00 7.57738868e+00 1.11617762e+00 9.50003724e+00 3.39643180e+00 4.57292946e+00 2.24536522e-01 6.38716933e-01 2.89567584e+00
1.00000000e+00 1.00000000e+00 5.62810995e+00 8.60094459e+00 9.83167381e+00 1.24202582e+00 6.77560958e+00 1.20388721e+00 2.40685274e+00 1.01351791e-01 1.30871903e+00 3.87669959e+00
1.00000000e+00 1.00000000e+00 6.33173112e+00 3.87190426e+00 3.30877056e+00 7.10893139e-01 7.04331234e+00 1.11238336e+00 7.64155853e+00 5.47265863e-01 3.27060314e+00 9.41155062e-02
1.00000000e+00 1.00000000e+00 1.41805371e+00 8.46023927e+00 6.88757141e+00 1.06887034e+00 6.69053938e+00 4.71811421e+00 4.24427055e+00 2.19553677e-01 3.35227804e-01 5.17425763e+00
1.00000000e+00 1.00000000e+00 6.46790367e+00 1.33306871e+00 2.78287869e+00 6.33705370e-01 2.79092925e+00 4.31504456e-01 7.04143743e+00 5.34482119e-01 9.70378137e+00 2.58094848e-02
1.00000000e+00 1.00000000e+00 2.53471711e+00 6.36642891e+00 6.08797229e+00 1.00727767e+00 4.76500478e+00 1.87989608e+00 3.43579548e+00 1.89488383e-01 7.96275950e-01 2.24145989e+00
1.00000000e+00 1.00000000e+00 1.58546434e+00 3.07007954e+00 5.17539238e+00 9.26212200e-01 7.75845819e+00 4.89349272e+00 1.73106671e+00 1.03266573e-01 1.03284903e+00 2.68103897e+00
1.00000000e+00 1.00000000e+00 9.53996984e+00 2.08510197e+00 9.74804797e+00 1.23800080e+00 1.91235608e+00 2.00457246e-01 9.93323616e+00 4.20506558e-01 9.15060267e+00 1.32769440e-01
1.00000000e+00 1.00000000e+00 9.69068830e+00 1.69257881e+00 6.47674545e+00 1.03821072e+00 3.50067498e+00 3.61241109e-01 2.40581357e+00 1.28549205e-01 1.14507971e+01 2.44086999e-01
1.00000000e+00 1.00000000e+00 8.27557613e+00 7.26659898e+00 4.14555735e+00 8.17216286e-01 3.48687198e+00 4.21344922e-01 9.89578895e+00 6.50254333e-01 2.27770272e+00 1.50304671e-01
1.00000000e+00 1.00000000e+00 3.74152392e+00 4.05887467e+00 2.02686206e+00 5.05019782e-01 4.88817035e+00 1.30646508e+00 9.79551939e+00 8.13561540e-01 1.84362624e+00 5.66803124e-02
1.00000000e+00 1.00000000e+00 1.87904903e+00 7.52290094e+00 2.36122146e+00 5.64802994e-01 9.82331867e+00 5.22781393e+00 8.14436294e+00 6.49375850e-01 4.99554371e-01 3.27788588e-01
1.00000000e+00 1.00000000e+00 7.15809724e+00 1.58820707e+00 3.02785237e+00 6.70780213e-01 1.60752292e+00 2.24574055e-01 6.93480666e+00 5.12104568e-01 9.01406043e+00 3.24907785e-02
1.00000000e+00 1.00000000e+00 4.96137244e+00 3.83761304e+00 3.25869995e+00 7.03921710e-01 5.66830895e+00 1.14248809e+00 6.20026345e+00 4.46445936e-01 2.58565540e+00 1.43082970e-01
1.00000000e+00 1.00000000e+00 2.09834411e+00 5.85542163e+00 8.65554452e+00 1.18119726e+00 2.61428214e+00 1.24587865e+00 8.79491391e+00 4.00072200e-01 7.16718367e-01 1.62194715e+00
1.00000000e+00 1.00000000e+00 5.45659219e+00 8.11650848e+00 6.05100509e+00 1.00423243e+00 9.73608891e+00 1.78428011e+00 3.60495569e+00 1.99427664e-01 1.34456637e+00 1.25365947e+00
1.00000000e+00 1.00000000e+00 1.30949669e+00 3.86877253e+00 5.71051820e+00 9.75280189e-01 2.01973154e+00 1.54237239e+00 5.20913091e+00 2.96549980e-01 6.76957190e-01 1.57935022e+00
1.00000000e+00 1.00000000e+00 9.18388362e+00 6.63302239e+00 2.03291985e+00 5.06147176e-01 4.63240902e+00 5.04406329e-01 6.57450972e+00 5.45630551e-01 2.76913994e+00 5.65182619e-02
1.00000000e+00 1.00000000e+00 3.32901983e+00 8.97379973e+00 8.74125724e+00 1.18595817e+00 7.64096486e+00 2.29525964e+00 4.70071428e+00 2.12587669e-01 7.41942083e-01 2.97241478e+00
1.00000000e+00 1.00000000e+00 6.96270056e+00 6.54276869e+00 7.50532873e+00 1.11146184e+00 7.34098985e+00 1.05433083e+00 4.84737809e+00 2.39282246e-01 2.12836519e+00 8.08558099e-01
1.00000000e+00 1.00000000e+00 3.80539968e+00 3.09663527e+00 1.60901526e+00 4.22923388e-01 4.80455773e+00 1.26256323e+00 3.97256201e+00 3.48057479e-01 2.45776422e+00 6.96964990e-02
1.00000000e+00 1.00000000e+00 5.68061219e+00 1.21960703e+00 7.37051588e+00 1.10250284e+00 4.11871751e+00 7.25048177e-01 6.07808635e+00 3.03059179e-01 9.31547955e+00 1.43517718e-01
1.00000000e+00 1.00000000e+00 5.92039251e+00 8.83088987e+00 5.89184396e+00 9.90905023e-01 4.57851141e+00 7.73345922e-01 8.65517075e+00 4.85216074e-01 1.34083713e+00 5.03073682e-01
1.00000000e+00 1.00000000e+00 2.66369010e+00 1.19142470e+00 1.73552811e+00 4.48716128e-01 3.37848637e+00 1.26834813e+00 2.81375540e+00 2.42496299e-01 4.47143677e+00 6.18970423e-02
1.00000000e+00 1.00000000e+00 9.72626165e+00 8.87231505e+00 5.12470577e+00 9.21319786e-01 2.84799645e+00 2.92815118e-01 9.40989735e+00 5.63903893e-01 2.19249691e+00 2.28852394e-01
1.00000000e+00 1.00000000e+00 7.97619541e+00 5.76043421e+00 5.36226658e+00 9.43872694e-01 5.34735728e+00 6.70414528e-01 7.20178888e+00 4.22555883e-01 2.76930354e+00 2.53776192e-01
1.00000000e+00 1.00000000e+00 9.45549047e+00 9.45160929e+00 2.49197086e+00 5.86900474e-01 3.41680380e+00 3.61356591e-01 8.40945891e+00 6.60189023e-01 2.00082128e+00 8.69222721e-02
1.00000000e+00 1.00000000e+00 9.05344615e+00 8.18904912e+00 9.51128332e+00 1.22636962e+00 3.58715498e+00 3.96219840e-01 6.00571623e+00 2.58122474e-01 2.21111048e+00 8.78385690e-01
1.00000000e+00 1.00000000e+00 6.38109981e+00 9.98140699e+00 8.64977834e+00 1.18087498e+00 6.91080457e+00 1.08301151e+00 8.01565031e+00 3.64767763e-01 1.27859726e+00 9.96635534e-01
1.00000000e+00 1.00000000e+00 9.29686812e+00 4.15640634e+00 7.02120104e+00 1.07842602e+00 9.71683599e+00 1.04517305e+00 1.14580358e+00 5.86634865e-02 4.47351262e+00 1.47721234e+00
1.00000000e+00 1.00000000e+00 1.79643252e+00 7.90469460e+00 5.16066005e+00 9.24794775e-01 6.43273481e+00 3.58083854e+00 8.36542382e+00 4.99697078e-01 4.54522941e-01 1.25518246e+00
1.00000000e+00 1.00000000e+00 2.76384576e+00 4.61737822e+00 4.70588987e+00 8.79121667e-01 1.69281520e+00 6.12485410e-01 1.36124973e+00 8.47664073e-02 1.19714939e+00 2.53866028e+00
1.00000000e+00 1.00000000e+00 1.40704560e+00 5.31888058e+00 6.85876120e+00 1.06678413e+00 1.68025252e+00 1.19417063e+00 9.00922039e+00 4.67085968e-01 5.29075838e-01 1.53503079e+00
1.00000000e+00 1.00000000e+00 3.92797298e+00 6.64754917e+00 5.90888682e+00 9.92349144e-01 9.56280899e+00 2.43454042e+00 9.92766473e+00 5.55756659e-01 1.18178080e+00 4.99788364e-01
1.00000000e+00 1.00000000e+00 4.49809561e+00 8.86309403e+00 1.56045795e+00 4.12794559e-01 3.67561711e+00 8.17149619e-01 3.64660716e+00 3.21550818e-01 1.01501701e+00 1.74029845e-01
1.00000000e+00 1.00000000e+00 3.44214129e+00 9.85675122e+00 5.61252384e+00 9.66632907e-01 1.82860287e+00 5.31239924e-01 2.89286701e+00 1.66077420e-01 6.98433228e-01 2.68513678e+00
1.00000000e+00 1.00000000e+00 8.45863758e+00 7.91446072e+00 8.25763256e+00 1.15834554e+00 6.39140128e+00 7.55606470e-01 7.88827027e+00 3.68844325e-01 2.13751458e+00 5.67286983e-01
1.00000000e+00 1.00000000e+00 4.21077994e+00 4.75990104e+00 5.13315890e+00 9.22138801e-01 6.61283900e+00 1.57045467e+00 3.27723707e+00 1.96244815e-01 1.76927205e+00 8.16354007e-01
1.00000000e+00 1.00000000e+00 3.52841059e+00 4.79221302e+00 1.46760920e+00 3.93059990e-01 6.83654338e+00 1.93757025e+00 8.79006145e+00 7.84727857e-01 1.47255999e+00 4.45660717e-02
1.00000000e+00 1.00000000e+00 5.88426475e+00 7.63824071e+00 8.07650379e+00 1.14751559e+00 3.40661825e+00 5.78936944e-01 1.92558333e+00 9.11960980e-02 1.54073823e+00 3.12385466e+00
1.00000000e+00 1.00000000e+00 2.26831802e+00 3.14899431e+00 2.81227404e+00 6.38262956e-01 1.13599616e+00 5.00809915e-01 2.13359677e+00 1.61410986e-01 1.44066187e+00 5.83959690e-01
1.00000000e+00 1.00000000e+00 8.21977283e+00 1.99426702e+00 3.32758751e+00 7.13493711e-01 9.68513833e+00 1.17827324e+00 9.81236400e+00 7.01314888e-01 8.24340247e+00 2.93521205e-02
1.00000000e+00 1.00000000e+00 1.67095579e+00 4.19159942e+00 2.48235718e+00 5.85298904e-01 3.25803741e+00 1.94980467e+00 7.06455008e+00 5.55234819e-01 7.97287921e-01 2.57954013e-01
1.00000000e+00 1.00000000e+00 9.88198243e+00 3.58515092e+00 3.97193558e+00 7.96622792e-01 7.08423659e+00 7.16884152e-01 8.62198502e+00 5.76416681e-01 5.51272883e+00 6.65703791e-02
1.00000000e+00 1.00000000e+00 7.95020292e+00 3.66677308e+00 7.81076355e+00 1.13111249e+00 7.35966883e+00 9.25720878e-01 3.91896440e+00 1.89174402e-01 4.33634847e+00 5.19880820e-01
1.00000000e+00 1.00000000e+00 2.78844113e+00 3.10246976e+00 5.67447274e+00 9.72116320e-01 6.49006675e+00 2.32748925e+00 7.08835375e+00 4.04777952e-01 1.79756217e+00 4.32926774e-01
1.00000000e+00 1.00000000e+00 1.04969905e+00 1.37883871e+00 2.84393147e+00 6.43137382e-01 3.81616655e+00 3.63548632e+00 6.34817645e+00 4.78533517e-01 1.52258426e+00 1.89231118e-01
1.00000000e+00 1.00000000e+00 8.33915286e+00 1.16086541e+00 8.90047070e+00 1.19465631e+00 3.43986628e+00 4.12495891e-01 6.42835108e+00 2.87612886e-01 1.43671312e+01 1.15129419e-01
1.00000000e+00 1.00000000e+00 7.36171609e+00 9.88950151e+00 8.91623669e+00 1.19550754e+00 6.37901454e+00 8.66511892e-01 7.14279214e+00 3.19240136e-01 1.48879417e+00 1.00237733e+00
1.00000000e+00 1.00000000e+00 7.56106451e+00 4.84995820e+00 8.83520583e+00 1.19111335e+00 8.79486070e+00 1.16317758e+00 6.17823256e+00 2.77638326e-01 3.11799162e+00 5.46299203e-01
1.00000000e+00 1.00000000e+00 7.94143312e+00 4.45893982e+00 3.14916590e+00 6.88405028e-01 9.52060356e+00 1.19885207e+00 4.86156132e+00 3.54244411e-01 3.56202749e+00 1.25189106e-01
1.00000000e+00 1.00000000e+00 1.66640187e+00 7.11682554e+00 5.06115410e+00 9.15122247e-01 1.95315224e+00 1.17207756e+00 3.48330425e+00 2.09942183e-01 4.68299203e-01 2.83931676e+00
1.00000000e+00 1.00000000e+00 4.22619156e+00 2.96428499e+00 9.86490691e+00 1.24361359e+00 2.39345751e+00 5.66339098e-01 7.91723198e+00 3.32693705e-01 2.85140705e+00 5.43432817e-01
1.00000000e+00 1.00000000e+00 2.04282154e+00 9.54965066e+00 7.94811229e+00 1.13966853e+00 9.50262633e+00 4.65171635e+00 3.03645187e+00 1.45130840e-01 4.27831679e-01 6.97273577e+00
1.00000000e+00 1.00000000e+00 8.76793083e+00 8.07710513e+00 1.24450679e+00 3.43572538e-01 7.62881706e+00 8.70081802e-01 7.23118876e+00 6.65441091e-01 2.17105775e+00 2.72354553e-02
1.00000000e+00 1.00000000e+00 6.60968314e+00 1.80469902e+00 1.58684132e+00 4.18314093e-01 8.94694442e+00 1.35361170e+00 3.09999540e+00 2.72401058e-01 7.32497005e+00 2.92327110e-02
1.00000000e+00 1.00000000e+00 3.97808222e+00 4.75822698e+00 5.17538239e+00 9.26211240e-01 2.82369371e+00 7.09812806e-01 6.62797153e+00 3.95391185e-01 1.67208594e+00 4.32527038e-01
1.00000000e+00 1.00000000e+00 1.57202515e+00 8.91206477e+00 9.18298185e+00 1.20964142e+00 6.28827284e+00 4.00010956e+00 7.72370440e+00 3.39138670e-01 3.52785846e-01 4.07665142e+00
1.00000000e+00 1.00000000e+00 3.79884090e+00 9.50258820e+00 5.84831618e+00 9.87197859e-01 7.31025635e+00 1.92433865e+00 2.96842500e+00 1.67023733e-01 7.99538150e-01 2.43259482e+00
1.00000000e+00 1.00000000e+00 3.92664990e+00 5.20661360e+00 5.48031257e+00 9.54732293e-01 7.12100697e+00 1.81350697e+00 1.53948971e+00 8.93988265e-02 1.50833159e+00 2.25327046e+00
1.00000000e+00 1.00000000e+00 7.56645561e+00 6.52070250e+00 1.94926330e+00 4.90426150e-01 4.67336522e+00 6.17642587e-01 2.17876369e+00 1.82722483e-01 2.32074860e+00 1.89062719e-01
1.00000000e+00 1.00000000e+00 6.73801724e+00 2.50330551e+00 6.91102094e+00 1.07056150e+00 1.13855403e+00 1.68974638e-01 6.45397271e+00 3.33253930e-01 5.38329597e+00 2.12950393e-01
1.00000000e+00 1.00000000e+00 8.98491468e+00 9.92051764e+00 8.39892845e+00 1.16660465e+00 6.24633451e+00 6.95202429e-01 8.64501766e+00 4.00262084e-01 1.81138021e+00 6.25708537e-01
1.00000000e+00 1.00000000e+00 5.24993433e+00 3.08504531e+00 4.42378007e+00 8.48786148e-01 3.27791385e+00 6.24372354e-01 1.40497139e+00 8.98568070e-02 3.40347307e+00 7.85239271e-01
1.00000000e+00 1.00000000e+00 2.07634821e+00 9.48458597e+00 7.98050666e+00 1.14166201e+00 5.05228822e+00 2.43325671e+00 7.60736133e+00 3.62760402e-01 4.37836342e-01 2.73540831e+00
1.00000000e+00 1.00000000e+00 7.41920309e+00 6.84681984e+00 9.68028989e+00 1.23470803e+00 9.61822914e+00 1.29639653e+00 4.07186781e+00 1.73120431e-01 2.16719682e+00 1.35444261e+00
1.00000000e+00 1.00000000e+00 7.84706544e+00 6.46963115e+00 2.83389813e+00 6.41596290e-01 4.59131786e+00 5.85099984e-01 5.30675533e+00 4.00484229e-01 2.42581540e+00 1.41240506e-01
1.00000000e+00 1.00000000e+00 6.05149478e+00 5.61419660e+00 5.70996668e+00 9.75231926e-01 8.55821446e+00 1.41423149e+00 9.35973595e+00 5.32864366e-01 2.15578299e+00 2.75976972e-01
1.00000000e+00 1.00000000e+00 7.93870462e+00 3.07602831e+00 3.58424162e+00 7.47944754e-01 2.69686545e+00 3.39711021e-01 3.98774354e+00 2.77381957e-01 5.16165902e+00 1.30241763e-01
