G	c	dx1dt	d2x1dt2	m1	m2	W	p	Fc	Fg	d1	d2
1.000000000000000000e+00	1.000000000000000000e+00	4.161943116752802041e+00	2.734555616788662213e+00	3.842519124416313492e+00	7.802781393935702692e-01	6.880667023867019338e+00	1.302117351438326631e+00	5.932054669401844116e+00	4.481043429057001704e-01	2.807133861510917150e+00	7.399249803224441924e-02
1.000000000000000000e+00	1.000000000000000000e+00	8.620865810779672955e+00	5.827883696239981148e+00	3.791689030089961499e+00	5.734653267615215100e-01	7.139375656130640735e+00	8.019016692441128802e-01	8.239113527999919029e+00	5.300635572082664781e-01	2.866868282917354627e+00	1.708091621718449971e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.306263395295191643e+00	9.024883893503329091e+00	8.701958664211391081e+00	1.101452093575492563e+00	3.300780537005412185e+00	5.343199281879564833e-01	8.548610128904700289e+00	3.449191097246433468e-01	1.700564386340616574e+00	8.431336917334043557e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.086177652912054370e+00	7.839932606925028580e+00	3.158912372967828119e+00	5.731544743759303673e-01	7.343914997412244183e+00	1.250386189156859507e+00	1.622900925248003556e+00	1.513419925675216771e-01	2.074833785037291101e+00	3.510493583670530326e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.937451263341116281e+00	7.323422347987421865e+00	4.127704678782187386e+00	7.486053715214993076e-01	5.173679963328959630e+00	2.583539184486368878e+00	2.696183921141555473e+00	2.160185151403267723e-01	9.090346045741451997e-01	1.990533910305027021e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.137628550495702662e+00	6.214269200005397842e+00	7.156163704007957982e+00	1.052303134377318594e+00	8.565104593271163580e+00	3.730517505225519947e+00	3.307082767738164009e+00	1.318894143368032901e-01	5.285225901593525455e-01	3.830202645633645098e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.760152374161480626e-01	7.654048949235193078e+00	5.671540273001339116e+00	1.023489669486437048e+00	9.516656067025216714e+00	6.066935299378148905e+00	4.995087948826332003e+00	2.603378189351634453e-01	8.041812472100167142e-01	2.596963173323082241e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.431815204628085425e+00	9.490769513975205740e+00	7.666539329109244072e+00	1.208301267217682939e+00	1.551335623771314065e+00	1.415122503820607780e-01	5.392602597368909123e+00	2.085163121635603689e-01	1.948505282333826027e+00	9.762535783257733080e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.458044229940509418e+00	2.708827915379085294e+00	1.116065393388980365e+00	4.366056852276078426e-01	6.662238738273676297e+00	1.014866177136286796e+00	6.895512543457253507e+00	6.066601763282276627e-01	3.859075737309528797e+00	9.449734146234958776e-02
1.000000000000000000e+00	1.000000000000000000e+00	8.393906807243755708e+00	5.548857884359371440e+00	5.370517671418248540e+00	9.735932945229166524e-01	8.698433149961741773e-01	-1.424811380564746377e-01	1.449782028254569255e+00	1.009929778758254515e-01	2.753723765183335725e+00	1.482276746967693848e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.327638277009413503e-01	3.439877763581683290e+00	6.857528693977256173e-01	2.881532567149383550e-01	5.621934721593703443e+00	5.186405922471235996e+00	1.798337555331785742e+00	1.058275758425830243e-01	1.020708698410373483e+00	5.394412588181257684e-01
