G c dx1dt d2x1dt2 d1 d2 m1 p Fg W Fc m2
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 -4.95126469e+00 7.05432695e+00 7.05432695e+00 -2.18746147e+00 6.14796290e+00 -3.23658556e-01 -2.67737037e+00
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 -5.27115631e+00 8.17013257e+00 8.17013257e+00 -1.04542329e+00 8.24889096e+00 -1.00780065e-01 -3.22271463e+00
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 -2.55894875e+00 3.25421109e+00 3.25421109e+00 -3.06908930e+00 7.84144837e+00 -2.07998195e-01 -2.13005878e+00
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 -5.21048983e+00 6.62386690e+00 6.62386690e+00 -1.29193418e+00 2.38509914e+00 -1.30441086e-01 -1.46205568e+00
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 -4.76329440e+00 6.14571385e+00 6.14571385e+00 -3.70032951e+00 2.34324523e+00 -2.78376428e-01 -1.40187782e+00
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 -2.68556726e+00 8.49547339e+00 8.49547339e+00 -2.06192068e+01 3.41356931e+00 -2.12456433e-01 -9.57471455e-01
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 -3.31248297e+00 9.15478354e+00 9.15478354e+00 -1.83225143e+01 4.24967254e+00 -4.06725606e-01 -1.31653391e+00
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 -2.66773560e+00 1.10941094e+00 1.10941094e+00 -7.55584711e-01 4.67610023e+00 -6.64085006e-02 -1.00978192e+00
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.71570436e+00 7.06617927e+00 7.06617927e+00 4.53847496e-01 7.11727495e+00 7.31130802e-02 -7.78582552e+01
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 -3.18058850e+00 1.46652219e+00 1.46652219e+00 -6.73947825e-01 1.51012389e+00 -5.53234240e-02 -1.01295086e+00
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 3.73495121e+00 5.93972799e+00 5.93972799e+00 3.49528850e+00 1.31205434e+00 -6.07397658e-01 9.58113224e-01
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 7.17176300e+00 3.58869456e+00 3.58869456e+00 1.60867028e-01 4.52719507e+00 1.67255372e-02 -5.94804184e+00
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 -2.55882022e+00 3.76098940e+00 3.76098940e+00 -3.17015743e+00 7.27447323e+00 -1.92435201e-01 -2.13703351e+00
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 -1.77972680e+01 4.17662653e+00 4.17662653e+00 -3.63290203e-01 2.74091809e+00 -1.03550245e-01 -3.07646983e+00
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 -3.05491182e+00 6.59163204e+00 6.59163204e+00 -9.48028554e+00 6.77354033e+00 -5.02963383e-01 -2.12649140e+00
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 -3.48155807e+00 4.00644969e+00 4.00644969e+00 -4.08084559e+00 3.33845324e+00 -2.88589980e-01 -1.68266001e+00
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 4.12608994e+00 -3.88138796e+00 7.59429146e+00 7.59429146e+00 -4.31925317e+00 8.97477498e+00 -5.60238182e-01 -2.85969235e+00
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.09850011e+00 -2.56349932e+00 4.64074647e+00 4.64074647e+00 -5.75632452e+00 9.06120950e+00 -3.33065965e-01 -2.40807102e+00
1.00000000e+00 1.00000000e+00 4.88750517e+00 9.23939468e+00 1.19641057e+00 2.97766628e+00 1.61517880e+00 1.61517880e+00 2.65563016e-01 3.67558484e+00 5.63275244e-02 -2.12066730e+00
1.00000000e+00 1.00000000e+00 3.62106226e+00 1.30551381e+00 6.97410718e+00 -2.80416442e+00 8.05383858e+00 8.05383858e+00 -1.10632332e+01 3.06994379e+00 -2.05305865e-01 -9.43646606e-01
1.00000000e+00 1.00000000e+00 6.50667605e+00 7.27678241e+00 9.67054991e+00 -2.52147500e+00 3.57182492e+00 3.57182492e+00 -4.21073081e+00 4.70173575e+00 -1.76713758e-01 -1.72041895e+00
1.00000000e+00 1.00000000e+00 2.25544475e+00 3.67614107e+00 6.04151365e+00 -2.98972819e+00 4.89490192e+00 4.89490192e+00 -8.77113614e+00 3.16478427e+00 -2.45392368e-01 -1.38576169e+00
1.00000000e+00 1.00000000e+00 3.62930184e+00 9.31956576e+00 9.43140216e+00 -2.53825643e+00 7.16899495e+00 7.16899495e+00 -1.46793204e+01 7.05145459e+00 -3.42200636e-01 -1.85175624e+00
1.00000000e+00 1.00000000e+00 4.29725659e+00 9.73952421e+00 1.47032091e+00 5.55174237e+00 3.99210541e+00 3.99210541e+00 4.92066207e-01 8.43458216e+00 1.19268477e-01 -6.05174869e+00
1.00000000e+00 1.00000000e+00 5.10462986e+00 9.49839840e+00 4.76913987e+00 -3.44449186e+00 1.50927091e+00 1.50927091e+00 -8.18743446e-01 7.05782918e+00 -1.31819014e-01 -1.37996832e+00
1.00000000e+00 1.00000000e+00 8.06658365e+00 5.26792795e+00 3.34142012e+00 -4.98191442e+00 4.36528942e+00 4.36528942e+00 -7.25919089e-01 8.41915403e+00 -8.39912547e-02 -3.00160278e+00
1.00000000e+00 1.00000000e+00 2.79706404e+00 8.75838386e+00 7.57738868e+00 -2.71718150e+00 9.50003724e+00 9.50003724e+00 -1.89432203e+01 4.57292946e+00 -2.88877524e-01 -1.14965816e+00
1.00000000e+00 1.00000000e+00 5.62810995e+00 8.60094459e+00 9.83167381e+00 -2.51074650e+00 6.77560958e+00 6.77560958e+00 -9.42845193e+00 2.40685274e+00 -1.14068492e-01 -7.88132926e-01
1.00000000e+00 1.00000000e+00 6.33173112e+00 3.87190426e+00 3.30877056e+00 -5.05630346e+00 7.04331234e+00 7.04331234e+00 -1.45585460e+00 7.64155853e+00 -1.91749245e-01 -3.08386657e+00
1.00000000e+00 1.00000000e+00 1.41805371e+00 8.46023927e+00 6.88757141e+00 -2.81840236e+00 6.69053938e+00 6.69053938e+00 -2.30601201e+01 4.24427055e+00 -3.02381626e-01 -1.41087902e+00
1.00000000e+00 1.00000000e+00 6.46790367e+00 1.33306871e+00 2.78287869e+00 -7.10934839e+00 2.79092925e+00 2.79092925e+00 -3.37815645e-01 7.04143743e+00 -5.01587984e-02 -2.41513664e+00
1.00000000e+00 1.00000000e+00 2.53471711e+00 6.36642891e+00 6.08797229e+00 -2.97848021e+00 4.76500478e+00 4.76500478e+00 -7.68496310e+00 3.43579548e+00 -2.58152563e-01 -1.48039856e+00
1.00000000e+00 1.00000000e+00 1.58546434e+00 3.07007954e+00 5.17539238e+00 -3.25968684e+00 7.75845819e+00 7.75845819e+00 -1.55387595e+01 1.73106671e+00 -1.64434237e-01 -6.64965288e-01
1.00000000e+00 1.00000000e+00 9.53996984e+00 2.08510197e+00 9.74804797e+00 -2.51625907e+00 1.91235608e+00 1.91235608e+00 -1.55315236e+00 9.93323616e+00 -1.23380012e-01 -1.66826277e+00
1.00000000e+00 1.00000000e+00 9.69068830e+00 1.69257881e+00 6.47674545e+00 -2.89350624e+00 3.50067498e+00 3.50067498e+00 -1.61718449e+00 2.40581357e+00 -8.78999842e-02 -1.26816585e+00
1.00000000e+00 1.00000000e+00 8.27557613e+00 7.26659898e+00 4.14555735e+00 -3.86431745e+00 3.48687198e+00 3.48687198e+00 -9.04019693e-01 9.89578895e+00 -1.00079647e-01 -2.64569326e+00
1.00000000e+00 1.00000000e+00 3.74152392e+00 4.05887467e+00 2.02686206e+00 -1.50908885e+02 4.88817035e+00 4.88817035e+00 -3.50943486e-02 9.79551939e+00 -9.34342593e-03 -4.81041453e+00
1.00000000e+00 1.00000000e+00 1.87904903e+00 7.52290094e+00 2.36122146e+00 -1.30735393e+01 9.82331867e+00 9.82331867e+00 -1.88839857e+00 8.14436294e+00 -6.34964635e-01 -5.15311395e+00
1.00000000e+00 1.00000000e+00 7.15809724e+00 1.58820707e+00 3.02785237e+00 -5.89160946e+00 1.60752292e+00 1.60752292e+00 -2.30828974e-01 6.93480666e+00 -3.13640608e-02 -1.51189853e+00
1.00000000e+00 1.00000000e+00 4.96137244e+00 3.83761304e+00 3.25869995e+00 -5.17788206e+00 5.66830895e+00 5.66830895e+00 -1.43804971e+00 6.20026345e+00 -2.22162038e-01 -2.83302964e+00
1.00000000e+00 1.00000000e+00 2.09834411e+00 5.85542163e+00 8.65554452e+00 -2.60100267e+00 2.61428214e+00 2.61428214e+00 -8.29200084e+00 8.79491391e+00 -4.50174009e-01 -2.01289553e+00
1.00000000e+00 1.00000000e+00 5.45659219e+00 8.11650848e+00 6.05100509e+00 -2.98740927e+00 9.73608891e+00 9.73608891e+00 -7.22812781e+00 3.60495569e+00 -2.43193080e-01 -9.93290042e-01
1.00000000e+00 1.00000000e+00 1.30949669e+00 3.86877253e+00 5.71051820e+00 -3.07801654e+00 2.01973154e+00 2.01973154e+00 -5.72300084e+00 5.20913091e+00 -4.12998519e-01 -1.61009208e+00
1.00000000e+00 1.00000000e+00 9.18388362e+00 6.63302239e+00 2.03291985e+00 -1.23507248e+02 4.63240902e+00 4.63240902e+00 -1.66049791e-02 6.57450972e+00 -1.80603693e-03 -4.51313756e+00
1.00000000e+00 1.00000000e+00 3.32901983e+00 8.97379973e+00 8.74125724e+00 -2.59336113e+00 7.64096486e+00 7.64096486e+00 -1.54729357e+01 4.70071428e+00 -2.54176768e-01 -1.31984887e+00
1.00000000e+00 1.00000000e+00 6.96270056e+00 6.54276869e+00 7.50532873e+00 -2.72656878e+00 7.34098985e+00 7.34098985e+00 -5.80443780e+00 4.84737809e+00 -2.32763688e-01 -1.44580984e+00
1.00000000e+00 1.00000000e+00 3.80539968e+00 3.09663527e+00 1.60901526e+00 8.23057823e+00 4.80455773e+00 4.80455773e+00 4.93642961e-01 3.97256201e+00 1.44953890e-01 -1.63421324e+01
1.00000000e+00 1.00000000e+00 5.68061219e+00 1.21960703e+00 7.37051588e+00 -2.74480741e+00 4.11871751e+00 4.11871751e+00 -3.89388274e+00 6.07808635e+00 -2.57457870e-01 -2.04218117e+00
1.00000000e+00 1.00000000e+00 5.92039251e+00 8.83088987e+00 5.89184396e+00 -3.02779044e+00 4.57851141e+00 4.57851141e+00 -3.00974165e+00 8.65517075e+00 -3.00432124e-01 -2.54372896e+00
