G	c	dx1dt	d2x1dt2	d1	d2	m1	p	Fg	W	Fc	m2
1.000000000000000000e+00	1.000000000000000000e+00	4.210991016248676111e+00	2.624562638077771570e+00	3.334793027915063046e+00	-4.983685300548362562e+00	7.027725059243007166e+00	7.033335995477552061e+00	-2.139719463706888369e+00	6.130031298940812334e+00	-3.243033454819382877e-01	-2.653584470133264706e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.528116738624142101e+00	5.806088271232606957e+00	3.309248141261048382e+00	-5.265214918063325200e+00	8.243022619728066047e+00	8.122615188964253718e+00	-1.030514995029292669e+00	8.177632941832101210e+00	-1.008632674381567396e-01	-3.218377006278871466e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.541044004065486028e+00	8.854216006282836560e+00	9.186598378977404167e+00	-2.514326214323560738e+00	3.338645777343958176e+00	3.254456277528933406e+00	-2.982519729821362819e+00	7.892132806631581232e+00	-2.092526842054618919e-01	-2.115254512034222323e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.406815982355979600e+00	7.685438677713366751e+00	3.224155497018159178e+00	-5.197451105024847529e+00	6.561771932660087181e+00	6.661619102423721905e+00	-1.308182568701453441e+00	2.402061390655216400e+00	-1.331729877711056997e-01	-1.438105914726629075e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.582001279610963262e+00	8.263623406816156702e+00	3.511601371881222011e+00	-4.809392622309029086e+00	6.159233000937312852e+00	6.106430738282858428e+00	-3.713402156758889738e+00	2.417412150410605864e+00	-2.771856169811003912e-01	-1.404528652341678896e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.441575212796904815e+00	6.910603221632432458e+00	7.859177617704199648e+00	-2.699852923971465035e+00	8.472144784187898736e+00	8.493458647583564058e+00	-2.060769940107346088e+01	3.403014414789287567e+00	-2.124957741483297635e-01	-9.574880218386957464e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.670831127393346049e+00	7.272440047796314033e+00	4.996165900213232369e+00	-3.335363843551914176e+00	9.117050609698802432e+00	9.118115379539020182e+00	-1.829939263928998727e+01	4.226837225197885850e+00	-4.066528678391751472e-01	-1.348201778585068622e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.826368883295920398e+00	8.633953293374110771e+00	8.093031614259780682e+00	-2.665539333271705225e+00	1.124830382082945501e+00	1.120744075871787260e+00	-7.442493260190486959e-01	4.751708673098995916e+00	-6.791705413914798928e-02	-9.848359777222037703e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.375943720600571574e+00	3.350933661010814468e+00	1.602622936417902322e+00	7.770899979398675050e+00	7.127943877044821797e+00	7.036439084877355477e+00	3.899759729375470996e-01	7.221414829102775990e+00	7.282948728659199844e-02	-7.786118738898532854e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.391483493138721883e+00	5.404607011014319617e+00	5.389178600223284654e+00	-3.186765107779017558e+00	1.490972375354800095e+00	1.426489706432128690e+00	-6.584070385515990997e-01	1.510633025827053055e+00	-5.364698027348410725e-02	-1.033191386238477394e+00
