G c dx1dt d2x1dt2 Fg p d1 m2 d2 Fc W m1
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 5.50063527e+00 7.05432695e+00 6.14796290e+00 7.88449666e+00 4.54271968e+00 1.48943243e+01 7.61731978e+00
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 5.24042500e+00 8.17013257e+00 8.24889096e+00 1.28605090e+01 5.26092093e+00 1.71089630e+01 5.63620926e+00
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 7.84478522e+00 3.25421109e+00 7.84144837e+00 3.25282688e+00 8.69092654e+00 1.48921546e+01 3.92354428e+00
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 2.73183209e+00 6.62386690e+00 2.38509914e+00 5.78314432e+00 4.06003947e+00 6.83403195e+00 1.86809747e+00
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 1.00356364e+00 6.14571385e+00 2.34324523e+00 1.43497771e+01 8.82684716e+00 5.13890110e+00 9.98178719e+00
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 2.71811484e+00 8.49547339e+00 3.41356931e+00 1.06691177e+01 1.79320988e+00 1.24426521e+00 1.30004482e+00
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 1.06304493e+00 9.15478354e+00 4.24967254e+00 3.65975426e+01 7.99118593e+00 3.36591296e+00 1.76728828e+01
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 8.13168409e+00 1.10941094e+00 4.67610023e+00 6.37963393e-01 8.62792870e+00 1.75609818e+01 2.29624041e+00
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 3.13550709e+00 7.06617927e+00 7.11727495e+00 1.60394920e+01 2.63635888e+00 1.04090484e+01 7.37202115e+00
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 7.34989486e+00 1.46652219e+00 1.51012389e+00 3.01314541e-01 4.87311879e+00 1.32947198e+01 7.40997650e-01
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 5.16177753e-01 5.93972799e+00 1.31205434e+00 1.50979887e+01 2.48949797e+00 1.97313070e+00 8.46300497e+00
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 1.53860387e+00 3.58869456e+00 4.52719507e+00 1.05593913e+01 7.35943716e+00 1.44809921e+01 8.75899088e+00
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 8.18920382e+00 3.76098940e+00 7.27447323e+00 3.34088847e+00 5.81812991e+00 1.04053678e+01 2.17689832e+00
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 4.84130992e+00 4.17662653e+00 2.74091809e+00 2.36460615e+00 6.71791012e+00 2.88685998e+01 1.12289442e+01
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 2.07744779e+00 6.59163204e+00 6.77354033e+00 2.14920854e+01 2.76838270e+00 1.98597476e+00 4.91217635e+00
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 1.33561993e+00 4.00644969e+00 3.33845324e+00 1.00143346e+01 2.90571276e+00 1.65150772e+00 3.11474262e+00
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 4.12608994e+00 5.87543665e+00 7.59429146e+00 8.97477498e+00 1.16003390e+01 1.37347593e+00 3.91158260e+00 3.19672805e+00
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.09850011e+00 8.51982458e+00 4.64074647e+00 9.06120950e+00 4.93563871e+00 3.89860782e+00 7.30130335e+00 2.71379314e+00
1.00000000e+00 1.00000000e+00 4.88750517e+00 9.23939468e+00 1.19641057e+00 6.32883760e-01 1.61517880e+00 3.67558484e+00 9.38043775e+00 6.03770195e+00 6.38771273e+00 1.51806596e+01
1.00000000e+00 1.00000000e+00 3.62106226e+00 1.30551381e+00 6.97410718e+00 1.93438600e+01 8.05383858e+00 3.06994379e+00 1.27817466e+00 8.72141423e+00 4.83806203e+01 4.24084812e+00
1.00000000e+00 1.00000000e+00 6.50667605e+00 7.27678241e+00 9.67054991e+00 8.64710967e+00 3.57182492e+00 4.70173575e+00 1.94212605e+00 7.00234703e+00 1.25225687e+01 2.09291448e+00
1.00000000e+00 1.00000000e+00 2.25544475e+00 3.67614107e+00 6.04151365e+00 3.70668589e+00 4.89490192e+00 3.16478427e+00 4.17928819e+00 4.91856691e+00 6.03543536e+00 4.56945845e+00
1.00000000e+00 1.00000000e+00 3.62930184e+00 9.31956576e+00 9.43140216e+00 3.67285409e+00 7.16899495e+00 7.05145459e+00 1.37636403e+01 9.57808103e+00 7.45994995e+00 7.89255940e+00
1.00000000e+00 1.00000000e+00 4.29725659e+00 9.73952421e+00 1.47032091e+00 6.48732536e-01 3.99210541e+00 8.43458216e+00 5.19038884e+01 7.47320681e+00 6.59463163e+00 3.99049843e+01
1.00000000e+00 1.00000000e+00 5.10462986e+00 9.49839840e+00 4.76913987e+00 2.56303145e+00 1.50927091e+00 7.05782918e+00 4.15608488e+00 9.37148683e+00 1.00728501e+01 1.08676418e+01
1.00000000e+00 1.00000000e+00 8.06658365e+00 5.26792795e+00 3.34142012e+00 5.11659331e+00 4.36528942e+00 8.41915403e+00 7.18291289e+00 5.74829176e+00 1.76042941e+01 7.18201858e+00
1.00000000e+00 1.00000000e+00 2.79706404e+00 8.75838386e+00 7.57738868e+00 2.41990323e+00 9.50003724e+00 4.57292946e+00 1.79523708e+01 3.33013847e+00 2.12701583e+00 2.87405326e+00
1.00000000e+00 1.00000000e+00 5.62810995e+00 8.60094459e+00 9.83167381e+00 6.43344933e+00 6.77560958e+00 2.40685274e+00 2.53486017e+00 1.47544018e+00 1.93093664e+00 2.56708992e-01
1.00000000e+00 1.00000000e+00 6.33173112e+00 3.87190426e+00 3.30877056e+00 5.41083770e+00 7.04331234e+00 7.64155853e+00 9.94705191e+00 7.53476366e+00 2.46432217e+01 1.09931576e+01
1.00000000e+00 1.00000000e+00 1.41805371e+00 8.46023927e+00 6.88757141e+00 1.15445272e+00 6.69053938e+00 4.24427055e+00 2.45973341e+01 2.09172698e+00 7.01205042e-01 3.63587759e+00
1.00000000e+00 1.00000000e+00 6.46790367e+00 1.33306871e+00 2.78287869e+00 1.35022232e+01 2.79092925e+00 7.04143743e+00 1.45547540e+00 3.72497615e+00 3.61463542e+01 5.82890522e+00
1.00000000e+00 1.00000000e+00 2.53471711e+00 6.36642891e+00 6.08797229e+00 2.42385296e+00 4.76500478e+00 3.43579548e+00 6.75436263e+00 5.79223817e+00 4.61221995e+00 5.15859630e+00
1.00000000e+00 1.00000000e+00 1.58546434e+00 3.07007954e+00 5.17539238e+00 2.67269950e+00 7.75845819e+00 1.73106671e+00 5.02503506e+00 6.07974929e+00 6.27946316e+00 5.13050019e+00
1.00000000e+00 1.00000000e+00 9.53996984e+00 2.08510197e+00 9.74804797e+00 4.46002569e+01 1.91235608e+00 9.93323616e+00 4.25914241e-01 6.40524877e+00 5.86118865e+01 2.73666788e+00
1.00000000e+00 1.00000000e+00 9.69068830e+00 1.69257881e+00 6.47674545e+00 3.70819491e+01 3.50067498e+00 2.40581357e+00 2.27117819e-01 2.49629797e+00 2.85846016e+01 3.82742714e-01
1.00000000e+00 1.00000000e+00 8.27557613e+00 7.26659898e+00 4.14555735e+00 4.72117362e+00 3.48687198e+00 9.89578895e+00 7.30863804e+00 4.41763664e+00 1.00620630e+01 5.09705408e+00
1.00000000e+00 1.00000000e+00 3.74152392e+00 4.05887467e+00 2.02686206e+00 1.86838804e+00 4.88817035e+00 9.79551939e+00 2.56275283e+01 6.55474804e+00 1.20845055e+01 3.38665332e+01
1.00000000e+00 1.00000000e+00 1.87904903e+00 7.52290094e+00 2.36122146e+00 5.89779251e-01 9.82331867e+00 8.14436294e+00 1.35651894e+02 9.72836978e+00 4.85984965e+00 7.14302792e+01
1.00000000e+00 1.00000000e+00 7.15809724e+00 1.58820707e+00 3.02785237e+00 1.36466221e+01 1.60752292e+00 6.93480666e+00 8.16895240e-01 7.54868024e+00 6.80442598e+01 9.66124483e+00
1.00000000e+00 1.00000000e+00 4.96137244e+00 3.83761304e+00 3.25869995e+00 4.21293757e+00 5.66830895e+00 6.20026345e+00 8.34216227e+00 9.30343381e+00 2.40554739e+01 1.42714205e+01
1.00000000e+00 1.00000000e+00 2.09834411e+00 5.85542163e+00 8.65554452e+00 3.10179387e+00 2.61428214e+00 8.79491391e+00 7.41260939e+00 7.85990852e+00 5.63334080e+00 1.52243223e+01
1.00000000e+00 1.00000000e+00 5.45659219e+00 8.11650848e+00 6.05100509e+00 4.06798899e+00 9.73608891e+00 3.60495569e+00 8.62789188e+00 6.32545272e+00 8.50499103e+00 2.76250149e+00
1.00000000e+00 1.00000000e+00 1.30949669e+00 3.86877253e+00 5.71051820e+00 1.93288818e+00 2.01973154e+00 5.20913091e+00 5.44317365e+00 2.72821032e+00 1.84688159e+00 7.60191809e+00
1.00000000e+00 1.00000000e+00 9.18388362e+00 6.63302239e+00 2.03291985e+00 2.81471977e+00 4.63240902e+00 6.57450972e+00 1.08201955e+01 7.00017087e+00 1.93844528e+01 9.86019212e+00
1.00000000e+00 1.00000000e+00 3.32901983e+00 8.97379973e+00 8.74125724e+00 3.24275330e+00 7.64096486e+00 4.70071428e+00 1.10763877e+01 6.61041609e+00 4.90454589e+00 4.27132246e+00
1.00000000e+00 1.00000000e+00 6.96270056e+00 6.54276869e+00 7.50532873e+00 7.98704019e+00 7.34098985e+00 4.84737809e+00 4.45528662e+00 6.42222253e+00 1.36688349e+01 2.38289442e+00
1.00000000e+00 1.00000000e+00 3.80539968e+00 3.09663527e+00 1.60901526e+00 1.97729006e+00 4.80455773e+00 3.97256201e+00 9.65280910e+00 5.40807281e+00 1.32917678e+01 1.40350113e+01
1.00000000e+00 1.00000000e+00 5.68061219e+00 1.21960703e+00 7.37051588e+00 3.43299449e+01 4.11871751e+00 6.07808635e+00 7.29215288e-01 5.75790944e+00 5.36376876e+01 3.34347946e+00
1.00000000e+00 1.00000000e+00 5.92039251e+00 8.83088987e+00 5.89184396e+00 3.95000157e+00 4.57851141e+00 8.65517075e+00 1.00323499e+01 4.00998274e+00 5.37673376e+00 3.97993884e+00
1.00000000e+00 1.00000000e+00 2.66369010e+00 1.19142470e+00 1.73552811e+00 3.88015211e+00 3.37848637e+00 2.81375540e+00 2.44996433e+00 5.67381423e+00 2.53701016e+01 1.38135752e+01
1.00000000e+00 1.00000000e+00 9.72626165e+00 8.87231505e+00 5.12470577e+00 5.61795077e+00 2.84799645e+00 9.40989735e+00 4.77030777e+00 2.77800315e+00 6.09076331e+00 2.09779346e+00
1.00000000e+00 1.00000000e+00 7.97619541e+00 5.76043421e+00 5.36226658e+00 7.42487191e+00 5.34735728e+00 7.20178888e+00 5.18669395e+00 8.24656958e+00 2.28372543e+01 5.55430237e+00
1.00000000e+00 1.00000000e+00 9.45549047e+00 9.45160929e+00 2.49197086e+00 2.49299416e+00 3.41680380e+00 8.40945891e+00 1.15256873e+01 2.67199259e+00 5.34617963e+00 3.81448818e+00
1.00000000e+00 1.00000000e+00 9.05344615e+00 8.18904912e+00 9.51128332e+00 1.05152491e+01 3.58715498e+00 6.00571623e+00 2.04878027e+00 1.76469661e+00 3.90193916e+00 4.92313573e-01
1.00000000e+00 1.00000000e+00 6.38109981e+00 9.98140699e+00 8.64977834e+00 5.52979144e+00 6.91080457e+00 8.01565031e+00 1.00174832e+01 4.92621424e+00 6.29864402e+00 2.86161717e+00
1.00000000e+00 1.00000000e+00 9.29686812e+00 4.15640634e+00 7.02120104e+00 1.57047157e+01 9.71683599e+00 1.14580358e+00 7.08932629e-01 6.92476696e+00 3.09780324e+01 4.86213764e-01
1.00000000e+00 1.00000000e+00 1.79643252e+00 7.90469460e+00 5.16066005e+00 1.17281919e+00 6.43273481e+00 8.36542382e+00 4.58830768e+01 4.93945142e+00 2.24509399e+00 1.78283232e+01
1.00000000e+00 1.00000000e+00 2.76384576e+00 4.61737822e+00 4.70588987e+00 2.81682660e+00 1.69281520e+00 1.36124973e+00 8.18063932e-01 3.49078719e+00 4.17899375e+00 1.46138824e+00
1.00000000e+00 1.00000000e+00 1.40704560e+00 5.31888058e+00 6.85876120e+00 1.81440242e+00 1.68025252e+00 9.00922039e+00 8.34311351e+00 6.02354066e+00 3.18690982e+00 2.24928866e+01
1.00000000e+00 1.00000000e+00 3.92797298e+00 6.64754917e+00 5.90888682e+00 3.49150449e+00 9.56280899e+00 9.92766473e+00 2.71906743e+01 4.12302102e+00 4.87250706e+00 7.05421154e+00
1.00000000e+00 1.00000000e+00 4.49809561e+00 8.86309403e+00 1.56045795e+00 7.91945684e-01 3.67561711e+00 3.64660716e+00 1.69248118e+01 9.39580921e+00 9.53690619e+00 1.95255110e+01
1.00000000e+00 1.00000000e+00 3.44214129e+00 9.85675122e+00 5.61252384e+00 1.95998657e+00 1.82860287e+00 2.89286701e+00 2.69894958e+00 9.30380626e+00 6.49808743e+00 5.57265589e+00
1.00000000e+00 1.00000000e+00 8.45863758e+00 7.91446072e+00 8.25763256e+00 8.82540498e+00 6.39140128e+00 7.88827027e+00 5.71272377e+00 5.52134638e+00 1.18019584e+01 2.49419725e+00
1.00000000e+00 1.00000000e+00 4.21077994e+00 4.75990104e+00 5.13315890e+00 4.54097729e+00 6.61283900e+00 3.27723707e+00 4.77250595e+00 3.95095595e+00 6.99031594e+00 2.39619845e+00
