G	c	dx1dt	d2x1dt2	Fg	p	d1	m2	d2	Fc	W	m1
1.000000000000000000e+00	1.000000000000000000e+00	4.368810192862030206e+00	2.700982189449057991e+00	3.280749526426190332e+00	5.515219864899502333e+00	6.994601571740171941e+00	6.140789255783986711e+00	7.842522806091762888e+00	4.537281749503044637e+00	1.500815199391730559e+01	7.633780037020172493e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.625787250571052667e+00	5.878793255867136303e+00	3.176512999284300864e+00	5.337957838489556295e+00	8.183582773658031329e+00	8.216672902784335264e+00	1.309695879424345755e+01	5.287446321586919851e+00	1.712629663286626780e+01	5.640817587540618128e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.590525684356630443e+00	8.944028527010070562e+00	9.178957974553304311e+00	7.870357089760417146e+00	3.198012713017155395e+00	7.906221991973692909e+00	3.381577350154558292e+00	8.733740450173119285e+00	1.486431461019789246e+01	4.011429020305852688e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.298812076367537927e+00	7.675987333820215142e+00	3.246441010656107018e+00	2.778170491803447106e+00	6.585588322463244104e+00	2.308174148307375884e+00	5.761134122056526863e+00	4.003780344361742571e+00	6.794329963409459161e+00	1.833821339232183600e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.427445514021145723e+00	8.283141374496185705e+00	3.430498789817138849e+00	1.121246442486943717e+00	6.164876220969461862e+00	2.471841251952464180e+00	1.445207990833803180e+01	8.927454092900978466e+00	5.045133114202767999e+00	9.818164961895719856e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.360445206380347383e+00	6.946476231649425515e+00	7.784258512904956184e+00	2.742544830403855993e+00	8.363976419575394061e+00	3.461358772457051813e+00	1.052552964134489777e+01	1.820613394834288634e+00	1.434603679629242068e+00	1.269988412324122073e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.456896311481373107e+00	7.234156930255618789e+00	5.134726732598976717e+00	1.053930681071420405e+00	9.243693859914868582e+00	4.152827138894720882e+00	3.662670559447416707e+01	8.019686791583390928e+00	3.367766507463394898e+00	1.753853658108649327e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.750438045007744137e+00	8.495054512148843884e+00	7.944124717829846638e+00	8.070861190551044118e+00	1.111773344208471848e+00	4.663890006816315825e+00	5.286673067252022351e-01	8.536746879701240687e+00	1.737446049302240425e+01	2.330575691549512385e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.439397115138578265e+00	3.169430562296456699e+00	1.602187498104066909e+00	3.285773557837078140e+00	6.996186165567719328e+00	7.108094341767912994e+00	1.584272039008742539e+01	2.679949041009694888e+00	1.035262266422557609e+01	7.233754054221135377e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.440781247615286809e+00	5.410425405035935498e+00	5.361202309009680533e+00	7.389021545477906905e+00	1.411454879117332473e+00	1.531469750517730821e+00	3.927365305343236690e-01	4.900901374905634711e+00	1.331358015063040767e+01	6.593563539344291513e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.211398110789569271e+00	3.025155449615928749e+00	1.304525616118844544e+00	4.460606448915380162e-01	5.993409531392163814e+00	1.258163421028116735e+00	1.520386679921534423e+01	2.578604036322703852e+00	2.105069696071053542e+00	8.433075466893622973e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.763395719687002483e+00	9.905126852799751802e+00	1.589146445340068547e+00	1.451576802762899909e+00	3.621231811907934084e+00	4.528939473769058921e+00	1.061267027787658712e+01	7.342360588812629985e+00	1.439213884798818377e+01	8.886524084104584276e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.517586441780897744e+00	9.446884843863294634e+00	9.082276286008838184e+00	8.282316415415603927e+00	3.836061043367944734e+00	7.267875919483699043e+00	3.319567325013168535e+00	5.763945192276627161e+00	1.032633763572075125e+01	2.088275592247366141e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.916536139892318857e+00	1.406990671470972565e+00	2.252843014053140802e+00	4.764219755414598190e+00	4.139667096590035733e+00	2.700740402066851953e+00	2.217037405368664782e+00	6.680481257969590914e+00	2.887204332099005200e+01	1.122996887478083217e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.674144739339902710e+00	7.432647220173864255e+00	5.857534026723842047e+00	2.215202403883995252e+00	6.607687236569346645e+00	6.725784092712407514e+00	2.135675367613377773e+01	2.740678683033482610e+00	2.114330870471832657e+00	4.960083498672292812e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.519728988191699770e+00	9.379416682349900114e+00	4.797124416340703412e+00	1.130792833270678033e+00	4.029541412528292454e+00	3.388500050437231348e+00	9.901384426477722656e+00	2.844330821586768643e+00	1.450359316190750203e+00	3.237328793970725371e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.744192634813316545e+00	2.680231061971140694e+00	4.118911021450069931e+00	5.981146781292879133e+00	7.631928900030665375e+00	8.882363012910618139e+00	1.157310905674360058e+01	1.444256436386416320e+00	3.985848127337476843e+00	3.260975349438770543e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.666253308517708476e+00	6.080396467885312184e+00	9.100801601018090992e+00	8.556004734757806318e+00	4.701770429361659787e+00	9.087239316689089463e+00	5.061045792827004064e+00	3.971447719962294620e+00	7.233105996292300333e+00	2.804151897659574733e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.950445050361526711e+00	9.299250570975260644e+00	1.318512674117296335e+00	6.416962683308458093e-01	1.576350611953552860e+00	3.719024810937583858e+00	9.504006628083466524e+00	6.026960464062078415e+00	6.340035009659876764e+00	1.525205297761559997e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.613097760201319009e+00	1.313622590119733147e+00	7.036773744015782484e+00	1.933082204357112843e+01	8.047658114776815808e+00	3.058039031172803401e+00	1.086067115913864178e+00	8.699866712125233548e+00	4.867476636912029875e+01	4.140972303880571026e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.508351056160433856e+00	7.305241040781356610e+00	9.636465607106524445e+00	8.787605927013057538e+00	3.538795223587228200e+00	4.704588471295199525e+00	1.861343585376406207e+00	6.902746417058184036e+00	1.249369612285893538e+01	2.122625719733456151e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.173985609795511476e+00	3.696470612563533820e+00	6.007335540782873906e+00	3.759225983534337345e+00	4.892053841774520961e+00	3.228159236488806538e+00	4.095367843118864926e+00	4.956748599998364035e+00	6.146343078872531507e+00	4.639559429976437777e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.684335869516643047e+00	9.312807243112471767e+00	9.484219488039618895e+00	3.605738882364780462e+00	7.206803738618494215e+00	7.013061695416576313e+00	1.346863497684523736e+01	9.668791737219628146e+00	7.565599551202502049e+00	7.813550689298427443e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.331209526187143055e+00	9.691680932885450517e+00	1.414494962789612176e+00	5.210038627873153638e-01	3.902566258627229168e+00	8.401810465640613401e+00	5.196985846079689964e+01	7.438249158295112018e+00	6.421218559500622369e+00	3.985709505117177542e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.134773600249389780e+00	9.493829009481533632e+00	4.829200350861690083e+00	2.576206042258415874e+00	1.569325357967293888e+00	7.030840442022109116e+00	4.127399881390534375e+00	9.365079820233551899e+00	9.801656023002406570e+00	1.080129661603246305e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.022580341163264350e+00	5.322823035626956134e+00	3.359878999079894957e+00	5.116513716263813905e+00	4.303621214783406757e+00	8.482628708291295894e+00	7.169728392834729291e+00	5.772117773040998934e+00	1.772494337140038922e+01	7.245838681926510816e+00
