G	c	dx1dt	d2x1dt2	dx2dt	Fg	d1	Fc	d2	m2	m1	W	p
1.000000000000000000e+00	1.000000000000000000e+00	4.283152144980515885e+00	2.490645869606412877e+00	3.376399776875302461e+00	6.799441963662741450e+00	6.155409693265429638e+00	4.670845477162441028e+00	9.518853552415146524e+00	7.456705782007445826e+00	4.197856516281390071e+01	8.322308579642137261e+01	1.660112473778799995e+03
1.000000000000000000e+00	1.000000000000000000e+00	9.310582733768116626e+00	6.105382675505824253e+00	3.115175040272858187e+00	8.645040579480307130e+00	8.010579521038309281e+00	4.516145004843828303e+00	1.277462823468261277e+01	2.517528135067041095e+00	8.257256829160041889e+01	4.880644781851415104e+01	-5.140456339643344563e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.782164880722317157e+00	9.002053701162409993e+00	8.907560359897386704e+00	2.864685573761724946e+00	7.875931938324740145e+00	8.939534653146541388e+00	3.649305629046473598e+00	8.564632010292248410e+00	7.704440898099682045e+01	3.336047275538359713e+02	-1.761446600472298769e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.363801537248908069e+00	7.401255259408134890e+00	3.139764382278128707e+00	6.591056959128341219e+00	2.071857699709672485e+00	4.279802679661924181e+00	3.539887407284258547e+00	7.150074733611313960e+00	3.111756148114472964e+01	-7.977825846105103480e+00	-3.823260355576990577e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.629331462458243784e+00	8.483153548503052477e+00	2.806648545463557909e+00	6.192665588623008865e+00	2.138907077366533738e+00	8.727461482441022156e+00	7.455416128666468856e-01	2.215435237612591646e+00	7.603894577859983350e+00	1.178405040067280112e+02	-5.033007235181516137e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.499460760738393628e+00	6.883343151772403523e+00	7.625427326758386748e+00	8.256572493528398837e+00	3.621612912603506818e+00	1.251667166978630341e+00	1.629253631967450389e+01	9.450961108014741541e+00	2.627969434169532548e+01	-2.816071094719923167e+02	2.429131421761845559e+03
1.000000000000000000e+00	1.000000000000000000e+00	1.308150852510870044e+00	7.473944796771040622e+00	4.744109408494746383e+00	8.986634797633636040e+00	4.131589023327840948e+00	8.057698742379114876e+00	5.324295601155037971e+00	5.515295270299915842e+00	1.924286142972007951e+01	4.599783089682406398e+02	-2.724179222458850518e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.086317737140978679e+00	9.188217884355069032e+00	7.913115067685398074e+00	1.325033933176859247e+00	4.925910584630344147e+00	8.717534705098049841e+00	6.847293823412818892e-01	1.700862639857561476e+00	4.706844198162883686e+01	1.528937443944792278e+02	-1.192356651306653070e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.174277649495757636e+00	3.288957965749619738e+00	9.588851712299707453e-01	7.456363391866357659e+00	7.075467683919309358e+00	2.515530287514624153e+00	1.926689316706240973e+01	6.894680179847848756e+00	6.014105656773353559e+01	-4.008921764642668251e+01	-4.421467586580318709e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.541876147510704342e+00	5.326627498321507836e+00	5.440842900510779678e+00	8.941632009936625325e-01	1.137323856322220994e+00	4.924332208444362813e+00	7.400204204874472058e-01	2.558348036922809321e+00	1.645973183736110812e+01	2.797491377811590851e+01	-5.915364662960680420e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.532084216383831299e+00	3.283383521335048183e+00	1.553598327027576387e+00	5.988512351030881753e+00	1.630255579430110346e+00	2.783513420901346347e+00	3.172543744851676006e+00	8.485238989813877808e+00	1.911066660282539331e+01	-3.576258250882754908e+01	-1.910286717898065490e+03
1.000000000000000000e+00	1.000000000000000000e+00	9.625111365120737617e+00	1.027750202429465709e+01	1.531495345311459477e+00	3.558025378258921734e+00	4.168969436956037278e+00	8.017098993289536679e+00	2.418743572272402886e+00	8.209571360427782238e+00	6.160766302297172103e+01	2.354562464197799354e+00	-6.219712675415608061e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.804813728117418137e+00	9.250849097205907867e+00	9.295644825670940747e+00	3.790058239639721105e+00	7.110577969524694453e+00	5.858426912571268907e+00	4.907210579090302005e+00	9.698223462517805871e+00	8.210785840034968430e+01	1.678296269662799887e+02	-1.807829530131043896e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.018653258075672863e+00	1.228847758221596420e+00	2.111652366810796266e+00	4.090887737194320195e+00	2.686530565219201971e+00	6.809505654740509506e+00	9.607052993604684454e-01	5.983339047166447600e+00	1.881556662270933344e+01	6.920195755312998642e+01	-1.486810223448157053e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.866973848110053513e+00	7.538050792802163613e+00	5.362582334279530905e+00	6.242337517320528661e+00	7.047475134809385366e+00	2.542409980852664120e+00	1.617129242119414911e+01	5.152629388332185201e+00	2.815472065274394708e+01	4.030737459998547934e+01	-7.066044242907791784e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.424201572952315420e+00	9.290509128127169447e+00	4.700327364338654057e+00	4.423901318327017940e+00	3.195066469951407306e+00	2.768176399166436763e+00	4.006189187515563077e+00	7.903050281908877039e+00	2.256955899297183876e+01	-3.868100015946977521e+01	1.484310364367630370e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.796173143517171944e+00	2.359723228895613367e+00	4.313930555482381912e+00	7.908085778137382782e+00	8.722385974755376026e+00	1.336158209366687499e+00	4.960928486058530495e+01	2.179028094014519024e+00	4.296811193604861501e+01	4.422896347243862181e+01	-6.487533634617007827e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.341759324064843106e+00	6.261905546944643852e+00	8.732859623666460180e+00	4.612599843992571280e+00	9.105513087301417841e+00	4.221666500279190437e+00	1.059812262408668815e+01	6.129941985698106777e+00	6.401871758617151897e+01	2.103329835251886095e+02	-1.669792881495862105e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.350609527317827130e+00	9.426174773531482032e+00	1.067969424779148691e+00	1.483007662675307481e+00	3.617311832626667556e+00	6.262349449585148164e+00	1.375722519849464032e+00	6.356309441602911114e+00	3.091026595502300722e+01	7.167079759023193830e+00	-7.352607878594601232e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.076043199927218197e+00	1.212501808027201422e+00	6.905882647281369913e+00	7.888882033648143555e+00	2.942651177831515863e+00	9.250653255282257348e+00	2.927720647152300959e+00	1.132067633981792110e+00	1.428465799946552472e+01	2.492255784424992839e+02	1.370437835251510528e+00
