G c dx1dt d2x1dt2 dx2dt m1 Fg m2 Fc d1 W p d2
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 1.88082208e+01 6.14796290e+00 -2.38819133e+01 4.54271968e+00 -1.21225026e+01 6.83431259e+00 -2.12974633e+01
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 4.80167558e+01 8.24889096e+00 -1.54430702e+02 5.26092093e+00 -4.12006173e+01 2.55147726e+00 -4.91259386e+00
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 2.88209613e+01 7.84144837e+00 -1.75655590e+02 8.69092654e+00 -1.78949069e+01 8.85155107e+00 -3.67125107e+02
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 5.02753086e+01 2.38509914e+00 -3.85467911e+01 4.06003947e+00 -2.98346716e+00 6.51804615e+00 -1.11063657e+02
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 5.07577600e+01 2.34324523e+00 -1.55092704e+01 8.82684716e+00 -4.98509444e-01 2.41483495e+00 -2.30665349e+02
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 5.88655625e+01 3.41356931e+00 -1.89533830e+01 1.79320988e+00 -5.20703656e+00 9.66104252e+00 -2.95038310e+01
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 6.61935625e+01 4.24967254e+00 -1.55966458e+01 7.99118593e+00 -1.14711713e+00 5.66528917e+00 -1.32542989e+02
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 9.58837348e+00 4.67610023e+00 -1.18489482e+02 8.62792870e+00 -7.43026951e+00 1.65608607e+00 -4.87287673e+02
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 2.29439695e+01 7.11727495e+00 -4.93783759e+01 2.63635888e+00 -4.10546271e+01 6.64149614e+00 -2.45796317e+00
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 7.92629533e+00 1.51012389e+00 -2.00584209e+01 4.87311879e+00 -1.15006056e+00 3.27879016e+00 -1.50533792e+03
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 5.93972799e+00 1.77650432e+01 1.31205434e+00 -1.55040111e+00 2.48949797e+00 -2.73202333e-01 8.23324107e+00 -7.79992871e+01
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 3.58869456e+00 3.54886438e+01 4.52719507e+00 -1.45190261e+02 7.35943716e+00 -9.03169337e+00 8.36039866e+00 -1.15532887e+02
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 3.76098940e+00 3.57163639e+01 7.27447323e+00 -1.95548541e+02 5.81812991e+00 -2.57458708e+01 9.81052620e+00 -1.83371916e+02
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 4.17662653e+00 5.65866613e+00 2.74091809e+00 -3.60340596e+00 6.71791012e+00 -1.08514215e+00 5.51682578e+00 -2.14547020e+02
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 6.59163204e+00 4.84496593e+01 6.77354033e+00 -4.37529772e+01 2.76838270e+00 -1.45646292e+01 5.09461192e+00 -8.97289791e+00
