G	c	dx1dt	d2x1dt2	dx2dt	m1	Fg	m2	Fc	d1	W	p	d2
1.000000000000000000e+00	1.000000000000000000e+00	4.373592022685600433e+00	2.675611147559617375e+00	3.365195733443324233e+00	7.049306731756622924e+00	1.886379766826739868e+01	6.141816882249848675e+00	-2.389914466238635171e+01	4.545384576481003691e+00	-1.211425915164691425e+01	6.839476340461601467e+00	-2.144740623008306812e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.559819779210151580e+00	5.877911440640550822e+00	3.221443462572319838e+00	8.177107344915103937e+00	4.805256244048398173e+01	8.255822110410710124e+00	-1.543870388619149026e+02	5.272479983937445880e+00	-4.120967764536833045e+01	2.548954375259358418e+00	-4.696675494090347236e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.581236585907878300e+00	8.841473373777027689e+00	9.143155232859863091e+00	3.250777522832180910e+00	2.881492544570377490e+01	7.832950200795565365e+00	-1.756086554454703332e+02	8.695800720138109341e+00	-1.784597960490993529e+01	8.858813744798760936e+00	-3.669063911875763893e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.379792359908970312e+00	7.591911869239832633e+00	3.249615580798893344e+00	6.629977775253193428e+00	5.026313687531550300e+01	2.396632094308385419e+00	-3.856256770324662853e+01	4.059553360915796993e+00	-2.993821822180000591e+00	6.523151987354167680e+00	-1.110034749574062403e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.400130490730375321e+00	8.257113476177220690e+00	3.452988573829296914e+00	6.144449247817163950e+00	5.078872661507308095e+01	2.341005115860546049e+00	-1.543606469346474697e+01	8.826864704753441870e+00	-5.064240683201937099e-01	2.417577109320038886e+00	-2.306631721330964808e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.400370213310085266e+00	6.928633471898766771e+00	7.825827872985522404e+00	8.496566886481696557e+00	5.892518773239459762e+01	3.414362478195523742e+00	-1.911514195464617671e+01	1.790330406314633249e+00	-5.222945639176939103e+00	9.661878337391955895e+00	-2.979412175149313313e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.526830248927960598e+00	7.228438393056968891e+00	5.048633064163622564e+00	9.152104111061541758e+00	6.622224801049355847e+01	4.239366731699734991e+00	-1.566464644505884252e+01	7.985974082188767476e+00	-1.123877085074296511e+00	5.667025117030682679e+00	-1.332602561099772345e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.792259236222520258e+00	8.647250584910212368e+00	7.992886522824621309e+00	1.103910975296034547e+00	9.653693111244791680e+00	4.675761778083037612e+00	-1.185404029344473287e+02	8.624896209464457897e+00	-7.437048980526237862e+00	1.662543366578318027e+00	-4.876371962500617201e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.405400287224565226e+00	3.253241077499511746e+00	1.587891746953643990e+00	7.056734226986692171e+00	2.291622865153484767e+01	7.118519480518819442e+00	-4.942396260015347309e+01	2.632122731487372302e+00	-4.106781071924910265e+01	6.648152143615200238e+00	-2.580659835921465639e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.369342849234466364e+00	5.406399338826175516e+00	5.383774378540814531e+00	1.460809324129306308e+00	7.901651265224456822e+00	1.509654569507747679e+00	-2.003972035419957365e+01	4.876703286822879235e+00	-1.137203553927450983e+00	3.286051975918032664e+00	-1.504992932366228160e+03
1.000000000000000000e+00	1.000000000000000000e+00	1.191314833827371578e+00	2.988997339019431099e+00	1.308132051329933043e+00	5.937974549772476962e+00	1.772928433637538248e+01	1.308987266708068642e+00	-1.534271277079848783e+00	2.483621201763360986e+00	-2.983060607108525275e-01	8.233465878855053433e+00	-7.803170661037992772e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.729259264772268878e+00	9.888782104691522079e+00	1.561651507606492073e+00	3.589841541540777392e+00	3.550193029382687371e+01	4.522039182380646949e+00	-1.451683500558596620e+02	7.366751393654422664e+00	-9.020324824652197648e+00	8.363417559037007010e+00	-1.156960487941640849e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.491013608065799190e+00	9.496643095719592864e+00	9.149736399544996956e+00	3.766458962549396716e+00	3.572164539232463909e+01	7.280631149599698482e+00	-1.955153912008844657e+02	5.822255772131677887e+00	-2.571347345271116680e+01	9.817834796815859022e+00	-1.836520076755844286e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.910456616251539952e+00	1.350377256712585794e+00	2.241891856060299837e+00	4.174213477519445270e+00	5.654096013432126533e+00	2.741085894859378147e+00	-3.656243996268476959e+00	6.718022596185877049e+00	-1.074837561666531105e+00	5.513432902266090174e+00	-2.143405454198570226e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.643417729750074052e+00	7.353397220238094611e+00	5.798748111687483053e+00	6.586857655268589795e+00	4.847399874665610042e+01	6.781932727926480275e+00	-4.382072346003243979e+01	2.768384447959975958e+00	-1.455302809043753420e+01	5.092879802509663101e+00	-8.545882476444189635e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.646585841136603001e+00	9.329794147097604906e+00	4.703265423592249306e+00	3.998639733225114234e+00	3.740616099556183372e+01	3.335585518041525699e+00	-2.749031662739110260e+01	2.902655414200440820e+00	-3.373144978282440754e+00	7.781367685911566134e+00	-8.264548936563507198e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.745300127336214313e+00	2.633747824535162874e+00	4.126575699271543662e+00	7.596890224593946250e+00	1.989048153019520981e+01	8.972406675956651867e+00	-2.939270101065240937e+01	1.374957661804591780e+00	-7.304327327042810225e+01	2.197129528821187616e+00	-1.441954063203856884e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.723947151008893286e+00	6.118490776344041926e+00	9.096069066875619669e+00	4.648234221204042171e+00	2.834400023344058539e+01	9.065651999360392566e+00	-1.057258816152436935e+02	3.904577291547904228e+00	-4.015251721691858933e+01	5.927217954753384532e+00	-2.625652449402683786e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.886636930738381679e+00	9.235580163641998297e+00	1.193489625094213302e+00	1.622033921158680725e+00	1.494794122537051706e+01	3.666744579933914672e+00	-5.527283086232605314e+01	6.033844306796789070e+00	-3.637420906009356525e+00	5.914972550128275053e+00	-1.420085459038971294e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.634597906222856167e+00	1.310077257615969604e+00	6.968167337083897905e+00	8.057681712495694981e+00	1.050032968490462970e+01	3.063334118294914088e+00	-4.759977347291837191e+00	8.713001764372226177e+00	-1.287894978953366909e+00	1.797051607135893736e+00	-1.507855251816336875e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.500962602909805099e+00	7.271492108222212813e+00	9.668167562277940164e+00	3.575281594704617039e+00	2.596738567240592843e+01	4.707713693463406734e+00	-7.411880612308591765e+01	7.006205012208567062e+00	-6.863276076403799664e+00	4.763195956386573116e+00	-3.428015727645334891e+02
