G	c	dx1dt	d2x1dt2	dx2dt	d1	d2	p	W	m2	Fc	m1	Fg
1.000000000000000000e+00	1.000000000000000000e+00	4.376050480105588392e+00	2.663655680038583995e+00	3.351366896968903220e+00	7.057219572076340874e+00	-1.198846335278384245e+01	6.144025656528108392e+00	-4.998621705278704752e+00	4.539735691323622646e+00	6.842338735214126721e+00	1.351982686206623097e+00	9.896406000901552602e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.562532146658343279e+00	5.878994403714364658e+00	3.223575904624613297e+00	8.160559473385012197e+00	-1.381426000569553558e+01	8.237040859151074201e+00	-5.679647191998476785e+00	5.265451706732668491e+00	2.543607220274156866e+00	2.679464307947452273e+00	2.513783748644604543e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.577405860840228158e+00	8.859050706963932598e+00	9.160882466994927142e+00	3.259598306187190708e+00	-6.150766374049375429e+00	7.836040265887174172e+00	-3.331151265701367237e+01	8.680706534299238442e+00	8.849729976913222274e+00	8.484217925598203536e+00	3.442233480815967539e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.393222075968081342e+00	7.573086081477681475e+00	3.250322580663896233e+00	6.628941221729101052e+00	-1.121905474543638093e+01	2.382107465669032198e+00	-1.991320103632348903e+00	4.057105612928945781e+00	6.514259426697264210e+00	7.895690987161854579e+00	2.635510787986757819e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.399780928618334030e+00	8.264733845810601665e+00	3.439683782784355159e+00	6.150207825175903587e+00	-1.050865579548732320e+01	2.341899401179778462e+00	-2.200868613503180526e+00	8.824186606393546128e+00	2.408527332221137573e+00	4.156170801915128443e+00	1.082468252057136482e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.408588896394383561e+00	6.937041039083749361e+00	7.845139582574477188e+00	8.497491725068099910e+00	-1.590295407602815381e+01	3.407416070201297220e+00	-5.580969438451683473e+00	1.784232833213798886e+00	9.659519249903276261e+00	4.395540804832704040e+00	9.651181332905790100e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.522382056433097430e+00	7.224646728729810619e+00	5.044118290683420547e+00	9.155975507423443460e+00	-1.649735483693242699e+01	4.246999142746484601e+00	-4.173255367808086369e+00	7.999386293959284799e+00	5.660588264393029867e+00	5.785462262805141087e+00	3.393549644671725787e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.795741052243878144e+00	8.637351813432520231e+00	7.988931413453061126e+00	1.114999651401896497e+00	-2.073254768188649955e+00	4.669939800615845016e+00	-3.431764561700763494e+01	8.620471876636630171e+00	1.656154907495335893e+00	9.997802646249689396e-01	1.546024615563994686e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.409033304329875058e+00	3.244507250278414023e+00	1.583311277167616771e+00	7.076591970652854613e+00	-9.682518497329350993e+00	7.116589618546912632e+00	-2.633243864463241213e+00	2.633131140307516382e+00	6.641643977801026111e+00	3.171078070102508306e+00	1.977408597035739035e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.379213617776896328e+00	5.400618901894805646e+00	5.403039971558833088e+00	1.461363024171929759e+00	-2.665789113719630787e+00	1.504278817439129723e+00	-6.330021293733701704e+00	4.878100130753255215e+00	3.275410252394462596e+00	2.873037809919602559e+00	5.869511686354509372e+00
