G	c	dx1dt	d2x1dt2	dx2dt	m2	m1	d2	W	d1	Fc	p	Fg
1.000000000000000000e+00	1.000000000000000000e+00	2.949269554744754274e+00	2.250963522282682483e+00	3.579351715966657466e+00	7.811997145277723043e+00	1.555194097857943047e+00	7.346935065213071603e+00	6.276956899740929963e+00	4.457625246021713394e+00	-4.175895152671241783e-01	7.115235211132325155e+00	4.638919440834818886e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.921584219382614478e+00	4.400992411125660198e+00	3.835430112276069892e+00	8.939246752125770357e+00	1.821635743571764721e+00	6.538648459947067337e+00	8.456134389649347938e+00	4.803888982108944994e+00	-1.949696862609081593e-01	3.418026436155842340e+00	4.938147802791773699e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.133749106866252632e+00	8.296517884618797467e+00	9.648391671694239946e+00	3.177008918494708123e+00	1.448222430496999058e+00	3.836348214329588391e+00	8.447264251965247439e+00	8.436845141598439568e+00	-8.425906930121572491e-02	8.813945059859401354e+00	1.407284575515826086e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.791392585740104515e+00	7.899929843944668129e+00	3.589050436939168698e+00	6.251134141750118722e+00	1.709710643609912983e+00	3.390699298332978451e+00	1.486535291641520651e+00	4.049025305327529800e+00	-1.526741314015435391e-01	7.135587722666164368e+00	5.186178946004123880e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.130427145303016134e+00	8.417023702423426457e+00	3.599162068973430273e+00	5.868183176820294555e+00	1.623248409651012247e+00	1.243320769084662381e+00	2.724513333007287041e+00	8.327352581620123928e+00	2.191798108576926973e-02	2.669924151848090510e+00	1.312597809326481268e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.723076262366565636e+00	7.466041697172095759e+00	7.513595730670381556e+00	8.720195685027086085e+00	1.662588899833005174e+00	7.742106377019266628e-01	2.843980629949872885e+00	1.778629456141096465e+00	-1.016237405575908692e+00	9.055106754787420442e+00	1.379999667956878451e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.782989032717714473e+00	7.422519152081142657e+00	4.477383065166060661e+00	8.532403973062530511e+00	1.800051116045192856e+00	7.203919913638673345e-01	3.899761158566634744e+00	8.154673016030269395e+00	-3.156658534612862277e-01	6.220471798661908913e+00	9.330155465085560706e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.761965924740298561e+00	9.052218715257829729e+00	7.332762959228524835e+00	8.637893880073793662e-01	4.366553611786221922e-01	3.095264557677749551e+00	4.742054921908260390e+00	9.055229837650980329e+00	-8.754530472065376323e-02	2.096393400591216150e+00	2.469850577339008257e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.379967675465520571e+00	3.672444413719558653e+00	1.805829875817568375e+00	7.714284999175745838e+00	1.695107535161394896e+00	7.821812331221037695e+00	7.341319364785904078e+00	1.952875282193534456e+00	-5.898325836384170628e-01	6.287950497475407907e+00	1.518716256477241622e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.963416606189779756e+00	5.416215326147294284e+00	5.663273631300695499e+00	1.827504450435837535e+00	6.917275713722363939e-01	6.173800177126484101e+00	1.798296869516256447e+00	4.528365090769218781e+00	-1.871233607712164543e-02	3.436278254982120473e+00	1.361699902392113914e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.254075160613299378e-01	3.006182964984958517e+00	1.906759202610530890e+00	4.666156168681741434e+00	1.370509591439807995e+00	2.007972419454658208e+00	7.972513946851689237e-01	2.812382714218002455e+00	-6.305638744660849726e-01	9.379812830737243701e+00	1.369376346802647859e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.841292761111732901e+00	8.270766594421628426e+00	1.874047584422260604e+00	2.867282672439445790e+00	1.380097984706297298e+00	3.996360629302597278e+00	5.415697811398560546e+00	6.546336118203821108e+00	1.422938376744989353e-02	8.097636164361983191e+00	1.071585354001181045e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.343329220679809310e+00	9.131266108360318157e+00	9.738191675024344462e+00	4.929675648383204489e+00	1.433574105083108563e+00	3.467064582767905634e+00	7.046871154202918319e+00	5.876387680798292656e+00	-2.225346948368788214e-01	1.020554589968715753e+01	3.578860583817044194e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.553812117367348478e+00	1.013595809955779137e+00	2.181125039652958009e+00	4.815170652399662465e+00	1.268431869713166682e+00	8.300851109265565242e+00	2.349060742690321391e+00	6.733325102092766024e+00	-1.516311957146906086e-01	4.921235212419649230e+00	4.363962142088868568e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.344248597838594961e+00	7.289647341455507856e+00	6.217418487146091799e+00	6.276071653839675690e+00	1.623420574205439726e+00	9.355391166088760091e-01	6.080723490635024042e+00	1.349196434777480746e+00	-1.042920471076711708e+00	4.784376475007828589e+00	1.307945157482235210e+01
