G	c	dx1dt	d2x1dt2	dx2dt	d1	Fg	W	m2	m1	p	d2	Fc
1.000000000000000000e+00	1.000000000000000000e+00	4.283152144980515885e+00	2.490645869606412877e+00	3.376399776875302461e+00	6.799441963662741450e+00	6.155409693265429638e+00	4.405141496270729817e+01	4.522314055692651102e+00	7.456705782007445826e+00	2.814231537014042051e+00	6.633311133078442223e-01	7.682118595545007977e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.310582733768116626e+00	6.105382675505824253e+00	3.115175040272858187e+00	8.645040579480307130e+00	8.010579521038309281e+00	6.343206142936654857e+01	5.235062822299270557e+00	2.517528135067041095e+00	1.637427530853012625e+00	5.168939039548041681e-01	5.703275519127335969e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.782164880722317157e+00	9.002053701162409993e+00	8.907560359897386704e+00	2.864685573761724946e+00	7.875931938324740145e+00	2.684041130182529855e+01	9.206367075409827905e+00	8.564632010292248410e+00	4.375802417756175622e+00	2.324870145225599316e-01	2.825813212278504238e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.363801537248908069e+00	7.401255259408134890e+00	3.139764382278128707e+00	6.591056959128341219e+00	2.071857699709672485e+00	1.696779731200983576e+01	3.806102907922362277e+00	7.150074733611313960e+00	2.670658859247152961e+00	3.715723691478072244e-01	4.766893869993375610e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.629331462458243784e+00	8.483153548503052477e+00	2.806648545463557909e+00	6.192665588623008865e+00	2.138907077366533738e+00	1.387214763979532250e+01	8.186532768879841271e+00	2.215435237612591646e+00	1.726361217454742691e+00	1.969490817210495459e+00	3.888402314181865549e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.499460760738393628e+00	6.883343151772403523e+00	7.625427326758386748e+00	8.256572493528398837e+00	3.621612912603506818e+00	2.611868840739351683e+01	1.880287731076332181e+00	9.450961108014741541e+00	1.438363089090074931e+00	5.267010206366071756e-01	3.403435254750536210e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.308150852510870044e+00	7.473944796771040622e+00	4.744109408494746383e+00	8.986634797633636040e+00	4.131589023327840948e+00	3.925870388936387201e+01	8.320632854076258411e+00	5.515295270299915842e+00	3.400633632387465521e+00	3.573620118137102786e+00	1.500658924633010205e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.086317737140978679e+00	9.188217884355069032e+00	7.913115067685398074e+00	1.325033933176859247e+00	4.925910584630344147e+00	5.664452413359319038e+00	8.688248328077142091e+00	1.700862639857561476e+00	1.545361064999414724e+00	1.179690886950967299e-01	5.813376767826350289e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.174277649495757636e+00	3.288957965749619738e+00	9.588851712299707453e-01	7.456363391866357659e+00	7.075467683919309358e+00	4.964908984740719688e+01	2.774117844038429315e+00	6.894680179847848756e+00	1.960600163925739770e+00	2.800708971460181829e-01	1.484296355644643484e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.541876147510704342e+00	5.326627498321507836e+00	5.440842900510779678e+00	8.941632009936625325e-01	1.137323856322220994e+00	2.487103701792505728e+00	5.079507081130344659e+00	2.558348036922809321e+00	1.886918803742476225e+00	1.471580882405294777e-01	6.678970286522455169e+00
