G	c	dx1dt	d2x1dt2	dx2dt	m1	m2	W	d2	Fc	Fg	p
1.000000000000000000e+00	1.000000000000000000e+00	4.754306154671096962e+00	2.954795102857464606e+00	1.599537611025468209e+00	5.632455322091463046e+00	8.635729076824675943e+00	6.368932913293668285e+00	-4.393040494915434024e+00	4.530656207932453938e+00	7.624485709059140248e+00	-6.880328983220549333e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.193708014449132548e+00	4.978924504546673013e+00	3.890048901718493823e+00	8.535359980195131868e+00	2.225841020586603136e+01	8.853223599764280749e+00	-1.110530150032744778e+01	6.117204601900348315e+00	2.585985335777877037e+00	-6.194554946563206599e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.545502408391375759e+00	9.162151647861989545e+00	9.653808685360397490e+00	3.800122262881023172e+00	1.950186416047798188e+00	8.326891087001360603e+00	-6.491550091794102695e-01	9.525587495863781839e+00	9.261197029220912924e+00	-4.298692078612464940e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.146693247347147171e+00	7.186625451765987549e+00	2.507212040874460257e+00	7.027412625366961763e+00	1.344888454613664308e+01	2.723591433350957658e+00	-1.853370708108976572e+01	4.751377725642160321e+00	6.542281023207079826e+00	-3.732545375975399082e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.641748283234871097e+00	7.683902744402566931e+00	3.074578064966484892e+00	4.871722255426336190e+00	4.496371062345240865e+00	2.492808532834507318e+00	-5.942169856555375773e+00	9.282206226671606331e+00	2.493844568788785132e+00	5.689383106924793765e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.071062467390601736e+00	6.523587340739246621e+00	8.634407379664661875e+00	7.814464811788345067e+00	3.322690682159598285e+00	3.096923406075631657e+00	-2.983030938451966207e+00	1.967321858044042138e+00	9.046968012878208398e+00	-8.182699103495816928e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.907006926461922713e+00	8.080282737664202131e+00	4.409990278489807736e+00	9.415071340136073275e+00	3.017797240375235557e+00	3.687112407394502078e+00	-3.696793861096727696e+00	8.623174211150132606e+00	5.543168748465693518e+00	-2.686686752796214961e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.496117376471465477e+00	8.828246442591471066e+00	8.254583225584521955e+00	2.075981971913712698e+00	1.767123448742092817e+00	4.027365427147108434e+00	-4.298214930361031749e-01	7.524720170059140401e+00	6.797733655137447872e-01	-6.054532215129347250e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.739627354595851827e+00	2.740522143331960869e+00	1.316620926159381977e+00	7.036105910930396057e+00	2.908486839385293621e+01	7.331866334563707177e+00	-1.340456801672591070e+01	3.179374388345041602e+00	6.566709798891046113e+00	-2.061006059079628017e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.044291166229757373e+00	5.836158305483505337e+00	5.614606836469034690e+00	2.057402001150979043e+00	2.021845517437835138e+00	1.781534448209436405e+00	-5.555707268005025679e-01	4.258115136708986448e+00	3.996864322290631932e+00	-2.385005070909136293e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.475649932941291542e+00	3.452481343700120053e+00	1.330206870356937410e+00	5.379764741748747525e+00	5.425389477406358019e+00	1.908116290688317562e+00	-1.371184174240104703e+01	1.988761637662055159e+00	8.656417433764175939e+00	-1.007976161418747694e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.953416716172428735e+00	9.676884434784422950e+00	1.407488083511695187e+00	3.700820740280154286e+00	2.016839745671643414e+01	4.833167483472248449e+00	-9.685797810984073664e+00	7.741194208086875861e+00	8.421459172513712232e+00	1.568628239863151563e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.681859350000953768e+00	1.003013728643115066e+01	9.372465319781220217e+00	3.612305559550969214e+00	3.000494724848750128e+00	7.846877433636374022e+00	4.543001266746831135e-01	6.327648319350151596e+00	9.700618251834002947e+00	-6.593498999117845472e+01
