G c dx1dt d2x1dt2 dx2dt m1 m2 p Fc Fg d1 d2 W
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 6.14796290e+00 2.29485020e+00 4.54271968e+00 5.83664155e-01 6.83431259e+00 2.49727739e+01 7.50986127e+00
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 8.24889096e+00 1.98090449e+00 5.26092093e+00 -5.07141902e-02 2.55147726e+00 1.38805573e+00 6.09707187e-01
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 7.84144837e+00 8.30002555e-01 8.69092654e+00 -1.22510007e+01 8.85155107e+00 -8.64223375e+01 -2.74096624e+01
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 2.38509914e+00 5.55437447e+00 4.06003947e+00 2.59811447e+00 6.51804615e+00 7.24374380e+00 -9.75356054e+00
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 2.34324523e+00 5.24547220e+00 8.82684716e+00 5.46133617e+00 2.41483495e+00 -9.01494545e+00 1.54367821e+01
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 3.41356931e+00 4.97747233e+00 1.79320988e+00 1.07267955e+00 9.66104252e+00 -2.25383233e+01 2.30740792e+01
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 4.24967254e+00 4.30846540e+00 7.99118593e+00 4.28165821e+00 5.66528917e+00 -1.14037148e+01 1.91493993e+01
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 4.67610023e+00 4.74502636e-01 8.62792870e+00 -2.77382705e+01 1.65608607e+00 2.66984159e+01 1.19497839e+01
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 7.11727495e+00 1.98564179e+00 2.63635888e+00 -1.90635624e-02 6.64149614e+00 2.43237386e-01 4.58900393e-01
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 1.51012389e+00 1.94225415e+00 4.87311879e+00 -1.44884443e-01 3.27879016e+00 1.28478887e+01 2.30741186e+00
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 5.93972799e+00 1.31205434e+00 9.05408841e+00 2.48949797e+00 1.93958110e+00 8.23324107e+00 2.77307452e+01 -2.80298692e+01
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 3.58869456e+00 4.52719507e+00 1.58539427e+00 7.35943716e+00 -1.92460946e+00 8.36039866e+00 1.30810099e-01 2.66323598e-01
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 3.76098940e+00 7.27447323e+00 1.03402385e+00 5.81812991e+00 -5.43524675e+00 9.81052620e+00 -2.25626605e+02 -6.02574358e+01
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 4.17662653e+00 2.74091809e+00 3.04761135e+00 6.71791012e+00 2.30927046e+00 5.51682578e+00 1.26331512e+01 5.20897201e+00
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 6.59163204e+00 6.77354033e+00 1.94628856e+00 2.76838270e+00 -7.63986460e-02 5.09461192e+00 -1.38589415e+01 -3.00509242e+00
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 4.00644969e+00 3.33845324e+00 2.40018320e+00 2.90571276e+00 4.84470281e-01 7.78128045e+00 -2.43009666e+01 -1.83512441e+00
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 4.12608994e+00 7.59429146e+00 8.97477498e+00 1.69236365e+00 1.37347593e+00 -2.49669229e-01 2.19223591e+00 -2.96822065e+01 -1.40989870e+01
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.09850011e+00 4.64074647e+00 9.06120950e+00 1.02431060e+00 3.89860782e+00 -3.71355165e+00 5.92223962e+00 -2.66612804e+01 -7.72834608e+00
1.00000000e+00 1.00000000e+00 4.88750517e+00 9.23939468e+00 1.19641057e+00 1.61517880e+00 3.67558484e+00 8.78869009e-01 6.03770195e+00 -7.70200644e+00 5.91622840e+00 -9.73209629e-01 -3.79563677e+00
1.00000000e+00 1.00000000e+00 3.62106226e+00 1.30551381e+00 6.97410718e+00 8.05383858e+00 3.06994379e+00 5.24689645e+00 8.72141423e+00 5.39700548e+00 1.80525811e+00 -5.89444914e+00 5.82554657e+00
1.00000000e+00 1.00000000e+00 6.50667605e+00 7.27678241e+00 9.67054991e+00 3.57182492e+00 4.70173575e+00 1.51936438e+00 7.00234703e+00 -2.21512193e+00 4.76185677e+00 -2.45945257e+01 -3.83297622e+00
1.00000000e+00 1.00000000e+00 2.25544475e+00 3.67614107e+00 6.04151365e+00 4.89490192e+00 3.16478427e+00 3.09335582e+00 4.91856691e+00 1.73848211e+00 8.67956319e+00 -2.08228406e+01 7.19926824e+00
1.00000000e+00 1.00000000e+00 3.62930184e+00 9.31956576e+00 9.43140216e+00 7.16899495e+00 7.05145459e+00 2.03333790e+00 9.57808103e+00 1.57038901e-01 8.70538260e+00 -2.38003090e+01 -1.26968807e+00
1.00000000e+00 1.00000000e+00 4.29725659e+00 9.73952421e+00 1.47032091e+00 3.99210541e+00 8.43458216e+00 9.46604192e-01 7.47320681e+00 -8.31630030e+00 1.89313898e+00 -3.97509119e-02 -1.19601731e-01
1.00000000e+00 1.00000000e+00 5.10462986e+00 9.49839840e+00 4.76913987e+00 1.50927091e+00 7.05782918e+00 4.27687003e-01 9.37148683e+00 -3.44525562e+01 1.81648794e+00 3.54010755e+01 3.06849429e+01
1.00000000e+00 1.00000000e+00 8.06658365e+00 5.26792795e+00 3.34142012e+00 4.36528942e+00 8.41915403e+00 1.03699004e+00 5.74829176e+00 -5.33820194e+00 3.36425929e+00 2.62213771e+00 2.28130697e+00
1.00000000e+00 1.00000000e+00 2.79706404e+00 8.75838386e+00 7.57738868e+00 9.50003724e+00 4.57292946e+00 4.15490216e+00 3.33013847e+00 1.72714599e+00 8.87289456e+00 -2.25608230e+01 1.48903438e+01
1.00000000e+00 1.00000000e+00 5.62810995e+00 8.60094459e+00 9.83167381e+00 6.77560958e+00 2.40685274e+00 5.63026518e+00 1.47544018e+00 9.51329809e-01 2.16012327e+00 -8.56294469e+00 6.47686930e+00
1.00000000e+00 1.00000000e+00 6.33173112e+00 3.87190426e+00 3.30877056e+00 7.04331234e+00 7.64155853e+00 1.84342299e+00 7.53476366e+00 -6.39989174e-01 7.47997122e+00 8.95119304e+00 4.58585014e+00
1.00000000e+00 1.00000000e+00 1.41805371e+00 8.46023927e+00 6.88757141e+00 6.69053938e+00 4.24427055e+00 3.15273935e+00 2.09172698e+00 7.64800301e-01 1.91049058e+00 -3.76373384e+00 2.57647389e+00
1.00000000e+00 1.00000000e+00 6.46790367e+00 1.33306871e+00 2.78287869e+00 2.79092925e+00 7.04143743e+00 7.92715771e-01 3.72497615e+00 -5.67303582e+00 6.60824068e+00 4.60109294e+00 5.83644830e+00
1.00000000e+00 1.00000000e+00 2.53471711e+00 6.36642891e+00 6.08797229e+00 4.76500478e+00 3.43579548e+00 2.77374181e+00 5.79223817e+00 1.61575847e+00 4.20460569e+00 -1.08579955e+01 1.87419628e+00
1.00000000e+00 1.00000000e+00 1.58546434e+00 3.07007954e+00 5.17539238e+00 7.75845819e+00 1.73106671e+00 8.96378877e+00 6.07974929e+00 4.72323600e+00 8.10022567e+00 -1.65861306e+01 9.08108793e+01
1.00000000e+00 1.00000000e+00 9.53996984e+00 2.08510197e+00 9.74804797e+00 1.91235608e+00 9.93323616e+00 3.85041903e-01 6.40524877e+00 -2.68651497e+01 3.10321404e+00 -2.46017763e+02 -9.32878490e+01
1.00000000e+00 1.00000000e+00 9.69068830e+00 1.69257881e+00 6.47674545e+00 3.50067498e+00 2.40581357e+00 2.91017976e+00 2.49629797e+00 7.80735241e-01 6.75281646e+00 2.09132833e+01 -3.31862037e+00
1.00000000e+00 1.00000000e+00 8.27557613e+00 7.26659898e+00 4.14555735e+00 3.48687198e+00 9.89578895e+00 7.04718339e-01 4.41763664e+00 -8.11967478e+00 3.12114281e+00 3.99860762e+00 3.21518475e+00
1.00000000e+00 1.00000000e+00 3.74152392e+00 4.05887467e+00 2.02686206e+00 4.88817035e+00 9.79551939e+00 9.98042095e-01 6.55474804e+00 -6.58046554e+00 7.42294255e+00 4.56167706e+00 9.18002008e+00
1.00000000e+00 1.00000000e+00 1.87904903e+00 7.52290094e+00 2.36122146e+00 9.82331867e+00 8.14436294e+00 2.41229885e+00 9.72836978e+00 1.66272751e+00 8.86310231e+00 -3.16612622e+01 -3.49302064e+01
1.00000000e+00 1.00000000e+00 7.15809724e+00 1.58820707e+00 3.02785237e+00 1.60752292e+00 6.93480666e+00 4.63610018e-01 7.54868024e+00 -2.50161046e+01 2.14121619e+00 1.58414929e+00 2.05495335e+00
1.00000000e+00 1.00000000e+00 4.96137244e+00 3.83761304e+00 3.25869995e+00 5.66830895e+00 6.20026345e+00 1.82840906e+00 9.30343381e+00 -8.73100523e-01 8.79936120e+00 1.81778189e+01 1.02375428e+01
1.00000000e+00 1.00000000e+00 2.09834411e+00 5.85542163e+00 8.65554452e+00 2.61428214e+00 8.79491391e+00 5.94498631e-01 7.85990852e+00 -1.85822332e+01 6.34217729e+00 -1.38418011e+01 -9.00779778e+00
1.00000000e+00 1.00000000e+00 5.45659219e+00 8.11650848e+00 6.05100509e+00 9.73608891e+00 3.60495569e+00 5.40150267e+00 6.32545272e+00 3.98334420e+00 2.14399442e+00 -3.28301403e+01 3.33324234e+01
1.00000000e+00 1.00000000e+00 1.30949669e+00 3.86877253e+00 5.71051820e+00 2.01973154e+00 5.20913091e+00 7.75458162e-01 2.72821032e+00 -4.30817269e+00 4.84787670e+00 -9.27606149e+00 -1.86987621e+01
1.00000000e+00 1.00000000e+00 9.18388362e+00 6.63302239e+00 2.03291985e+00 4.63240902e+00 6.57450972e+00 1.40920288e+00 7.00017087e+00 -2.93476606e+00 2.44774264e+00 3.64832119e-01 5.17167146e-01
1.00000000e+00 1.00000000e+00 3.32901983e+00 8.97379973e+00 8.74125724e+00 7.64096486e+00 4.70071428e+00 3.25098034e+00 6.61041609e+00 2.54369443e+00 7.30313100e+00 -1.95423246e+01 5.61821103e+00
1.00000000e+00 1.00000000e+00 6.96270056e+00 6.54276869e+00 7.50532873e+00 7.34098985e+00 4.84737809e+00 3.02884971e+00 6.42222253e+00 2.18152184e+00 7.82981321e+00 -1.73306897e+02 3.37203592e+01
1.00000000e+00 1.00000000e+00 3.80539968e+00 3.09663527e+00 1.60901526e+00 4.80455773e+00 3.97256201e+00 2.41887111e+00 5.40807281e+00 9.36505233e-01 1.95216868e+00 1.93787725e-01 3.54333560e-01
1.00000000e+00 1.00000000e+00 5.68061219e+00 1.21960703e+00 7.37051588e+00 4.11871751e+00 6.07808635e+00 1.35526785e+00 5.75790944e+00 -2.73917021e+00 5.55525867e+00 -3.85965597e+01 -1.05322917e+01
1.00000000e+00 1.00000000e+00 5.92039251e+00 8.83088987e+00 5.89184396e+00 4.57851141e+00 8.65517075e+00 1.05798292e+00 4.00998274e+00 -3.57044729e+00 8.33162550e+00 2.56343589e+03 1.17431322e+03
1.00000000e+00 1.00000000e+00 2.66369010e+00 1.19142470e+00 1.73552811e+00 3.37848637e+00 2.81375540e+00 2.40140729e+00 5.67381423e+00 9.48406548e-01 9.42546737e+00 4.78356701e+00 8.66944801e+00
1.00000000e+00 1.00000000e+00 9.72626165e+00 8.87231505e+00 5.12470577e+00 2.84799645e+00 9.40989735e+00 6.05319345e-01 2.77800315e+00 -6.40063347e+00 5.62166080e+00 8.85651154e+00 5.82804053e+00
1.00000000e+00 1.00000000e+00 7.97619541e+00 5.76043421e+00 5.36226658e+00 5.34735728e+00 7.20178888e+00 1.48500806e+00 8.24656958e+00 -2.85986114e+00 9.55251301e+00 2.82290408e+01 9.53324770e+00
1.00000000e+00 1.00000000e+00 9.45549047e+00 9.45160929e+00 2.49197086e+00 3.41680380e+00 8.40945891e+00 8.12609667e-01 2.67199259e+00 -3.90433230e+00 5.82120073e+00 1.65848934e+00 2.25279716e+00
1.00000000e+00 1.00000000e+00 9.05344615e+00 8.18904912e+00 9.51128332e+00 3.58715498e+00 6.00571623e+00 1.19458024e+00 1.76469661e+00 -1.18980832e+00 4.54771445e+00 -1.59152779e+02 -3.50263072e+01
1.00000000e+00 1.00000000e+00 6.38109981e+00 9.98140699e+00 8.64977834e+00 6.91080457e+00 8.01565031e+00 1.72432786e+00 4.92621424e+00 -7.87564858e-01 8.63382816e+00 -5.44193077e+01 -7.08787086e+00
1.00000000e+00 1.00000000e+00 9.29686812e+00 4.15640634e+00 7.02120104e+00 9.71683599e+00 1.14580358e+00 1.69607360e+01 6.92476696e+00 6.10820251e+00 5.43684439e+00 2.63816366e+01 -1.05637128e+02
1.00000000e+00 1.00000000e+00 1.79643252e+00 7.90469460e+00 5.16066005e+00 6.43273481e+00 8.36542382e+00 1.53793399e+00 4.93945142e+00 -1.48403810e+00 5.24712260e+00 -1.14189257e+01 -7.58699103e+00
1.00000000e+00 1.00000000e+00 2.76384576e+00 4.61737822e+00 4.70588987e+00 1.69281520e+00 1.36124973e+00 2.48714863e+00 3.49078719e+00 6.83727614e-01 5.41281240e+00 -1.78707377e+01 -4.92340227e-01
1.00000000e+00 1.00000000e+00 1.40704560e+00 5.31888058e+00 6.85876120e+00 1.68025252e+00 9.00922039e+00 3.73007309e-01 6.02354066e+00 -2.62736316e+01 8.62106502e+00 -1.69481433e+01 -2.87234491e+01
