G	c	dx1dt	d2x1dt2	dx2dt	m1	m2	p	Fc	Fg	d1	d2	W
1.000000000000000000e+00	1.000000000000000000e+00	2.949269554744754274e+00	2.250963522282682483e+00	3.579351715966657466e+00	7.811997145277723043e+00	6.135985695631902992e+00	2.700154406296806364e+00	4.672642779325310691e+00	5.501892862169560638e-01	6.323948441196926673e+00	2.542581525509910989e+01	6.446460261268482483e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.921584219382614478e+00	4.400992411125660198e+00	3.835430112276069892e+00	8.939246752125770357e+00	9.099051218836732957e+00	1.998604748242947871e+00	5.469657063067640657e+00	-2.305036754819151379e-01	2.337894726647884447e+00	2.785531702007036259e+00	3.806085732267330268e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.133749106866252632e+00	8.296517884618797467e+00	9.648391671694239946e+00	3.177008918494708123e+00	8.670140540088056014e+00	1.040122624083620551e+00	9.301105906199204298e+00	-1.235095249560010799e+01	9.264744893715567642e+00	-8.648298437039190389e+01	-3.104894291129517470e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.791392585740104515e+00	7.899929843944668129e+00	3.589050436939168698e+00	6.251134141750118722e+00	3.071493532008065852e+00	5.566805285239063927e+00	3.155003574106554964e+00	2.593781663493996970e+00	5.924496008925136614e+00	8.239647475478422578e+00	-1.102230766482773738e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.130427145303016134e+00	8.417023702423426457e+00	3.599162068973430273e+00	5.868183176820294555e+00	2.795347955637677462e+00	5.285998674592215174e+00	9.210861406523674688e+00	5.264842525381895122e+00	3.894707582614413077e+00	-8.603565415132770511e+00	1.237921640863599926e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.723076262366565636e+00	7.466041697172095759e+00	7.513595730670381556e+00	8.720195685027086085e+00	3.586436187155313871e+00	4.662494542584946444e+00	1.219518647839193282e+00	1.066943830838832374e+00	8.869417053586211352e+00	-2.351551039539456056e+01	1.971513723592655509e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.782989032717714473e+00	7.422519152081142657e+00	4.477383065166060661e+00	8.532403973062530511e+00	4.877141378091901736e+00	4.245826062709548765e+00	7.638754256772346096e+00	4.345971567486835774e+00	6.168825019442506274e+00	-1.050837682613849999e+01	1.781412434806328804e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.761965924740298561e+00	9.052218715257829729e+00	7.332762959228524835e+00	8.637893880073793662e-01	3.580780909845354909e+00	-2.627831471173069922e-02	8.694358440956765577e+00	-2.757017666771289655e+01	1.391381389882268227e+00	2.740849552586663762e+01	9.529850000285447820e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.379967675465520571e+00	3.672444413719558653e+00	1.805829875817568375e+00	7.714284999175745838e+00	7.656407272939711461e+00	1.947281565013988969e+00	2.862017009943805146e+00	-2.879357163386744300e-01	6.201490703149199035e+00	-3.269224549310028038e-01	-3.140243700753028722e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.963416606189779756e+00	5.416215326147294284e+00	5.663273631300695499e+00	1.827504450435837535e+00	8.995182201440498071e-01	2.310576573769601794e+00	5.163367380754266378e+00	-2.805053561982029375e-01	3.571304508944401324e+00	1.310186831785736494e+01	4.110123222573496271e+00
