G c dx1dt d2x1dt2 dx2dt d1 d2 m1 m2 Fg W p Fc
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 7.10092322e+01 6.14796290e+00 -5.53720091e+00 4.54271968e+00 6.83431259e+00 4.32906627e-02 7.38841017e-02
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 7.89923351e+01 8.24889096e+00 -7.39571283e+00 5.26092093e+00 2.55147726e+00 1.23551953e-02 1.08929552e-02
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 8.93895133e+01 7.84144837e+00 -7.55598168e+00 8.69092654e+00 8.85155107e+00 2.30501296e-02 1.19489076e-01
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 6.45015426e+01 2.38509914e+00 -2.14016579e+00 4.06003947e+00 6.51804615e+00 5.10497077e-02 5.13481355e-02
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 6.35629219e+01 2.34324523e+00 -2.11668367e+00 8.82684716e+00 2.41483495e+00 8.64532355e-03 5.44789958e-02
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 1.99675509e+02 3.41356931e+00 -3.26833424e+00 1.79320988e+00 9.66104252e+00 5.54596371e-02 1.57684716e-01
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 1.38630665e+02 4.24967254e+00 -3.96903598e+00 7.99118593e+00 5.66528917e+00 1.02803563e-02 1.35463853e-01
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 2.65938950e+01 4.67610023e+00 -4.48102852e+00 8.62792870e+00 1.65608607e+00 1.45401988e-02 5.65723810e-02
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 3.36695405e+01 7.11727495e+00 -5.62358243e+00 2.63635888e+00 6.64149614e+00 1.61744117e-01 4.88764450e-02
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 2.37054839e+01 1.51012389e+00 -1.41670119e+00 4.87311879e+00 3.27879016e+00 5.84241868e-02 1.01083419e-01
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 5.93972799e+00 2.32098863e+01 1.31205434e+00 -9.76281652e-01 2.48949797e+00 8.23324107e+00 3.32335794e-01 3.89824587e-01
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 3.58869456e+00 1.68368504e+01 4.52719507e+00 -3.56224497e+00 7.35943716e+00 8.36039866e+00 1.44706987e-01 7.98164873e-02
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 3.76098940e+00 1.03328713e+02 7.27447323e+00 -7.00969478e+00 5.81812991e+00 9.81052620e+00 3.31790149e-02 1.02390528e-01
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 4.17662653e+00 2.82324292e+01 2.74091809e+00 -2.33543434e+00 6.71791012e+00 5.51682578e+00 5.99179227e-02 1.51248964e-01
