G	c	dx1dt	d2x1dt2	dx2dt	d1	d2	m1	m2	Fg	W	p	Fc
1.000000000000000000e+00	1.000000000000000000e+00	2.949269554744754274e+00	2.250963522282682483e+00	3.579351715966657466e+00	7.811997145277723043e+00	7.081265597339346130e+01	6.939177281326823987e+00	-5.419355668719219921e+00	4.457625246021713394e+00	6.323948441196926673e+00	4.731724700899384017e-02	6.913855688059589166e-02
1.000000000000000000e+00	1.000000000000000000e+00	9.921584219382614478e+00	4.400992411125660198e+00	3.835430112276069892e+00	8.939246752125770357e+00	9.294561589548499114e+01	8.283444509303071968e+00	-7.206381139999429308e+00	4.803888982108944994e+00	2.337894726647884447e+00	2.477581597346682069e-02	2.515714859628206262e-02
1.000000000000000000e+00	1.000000000000000000e+00	8.133749106866252632e+00	8.296517884618797467e+00	9.648391671694239946e+00	3.177008918494708123e+00	1.029904484437809771e+02	8.251634146218174592e+00	-7.002525558588875931e+00	8.436845141598439568e+00	9.264744893715567642e+00	2.251110654181535248e-02	1.032483835096513480e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.791392585740104515e+00	7.899929843944668129e+00	3.589050436939168698e+00	6.251134141750118722e+00	7.576701118499300946e+01	2.409365949068252188e+00	-2.961068108934692855e+00	4.049025305327529800e+00	5.924496008925136614e+00	5.990119568849373161e-02	4.568621088649773426e-02
1.000000000000000000e+00	1.000000000000000000e+00	1.130427145303016134e+00	8.417023702423426457e+00	3.599162068973430273e+00	5.868183176820294555e+00	7.098307147022131858e+01	2.422358964877834975e+00	-1.768367998869583957e+00	8.327352581620123928e+00	3.894707582614413077e+00	1.230162639031652169e-02	4.083427014382608189e-02
1.000000000000000000e+00	1.000000000000000000e+00	1.723076262366565636e+00	7.466041697172095759e+00	7.513595730670381556e+00	8.720195685027086085e+00	2.025126918159635636e+02	2.798685597150514681e+00	-3.788694222372184228e+00	1.778629456141096465e+00	8.869417053586211352e+00	4.677450012303195626e-02	1.426950653363224519e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.782989032717714473e+00	7.422519152081142657e+00	4.477383065166060661e+00	8.532403973062530511e+00	1.489290161606302831e+02	4.127391192481259630e+00	-4.288705044101604358e+00	8.154673016030269395e+00	6.168825019442506274e+00	1.823802682217197726e-02	1.295050405871718824e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.761965924740298561e+00	9.052218715257829729e+00	7.332762959228524835e+00	8.637893880073793662e-01	8.616933743601702389e+00	3.698500975065342367e+00	-4.420774193464358959e+00	9.055229837650980329e+00	1.391381389882268227e+00	2.085131244883083046e-02	4.577315785953167682e-02
1.000000000000000000e+00	1.000000000000000000e+00	6.379967675465520571e+00	3.672444413719558653e+00	1.805829875817568375e+00	7.714284999175745838e+00	4.251806595118151222e+01	7.042390058088371596e+00	-5.418901838878843691e+00	1.952875282193534456e+00	6.201490703149199035e+00	1.566765958051436203e-01	4.542718260972215122e-02
1.000000000000000000e+00	1.000000000000000000e+00	7.963416606189779756e+00	5.416215326147294284e+00	5.663273631300695499e+00	1.827504450435837535e+00	1.368389999478069363e+01	2.229144305095943857e+00	-1.153434570080478228e+00	4.528365090769218781e+00	3.571304508944401324e+00	6.068153115180865281e-02	1.091282181842195553e-01
