G c dx1dt d2x1dt2 dx2dt Fc m2 m1 Fg p W d1 d2
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 6.14796290e+00 4.54271968e+00 5.21243058e+00 1.52424197e+01 3.70288452e+01 6.83431259e+00 -2.89445612e+01
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 8.24889096e+00 5.26092093e+00 5.21069095e+00 1.69549443e+01 3.61099693e+01 2.55147726e+00 -6.96130703e+00
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 7.84144837e+00 8.69092654e+00 3.60674562e+00 7.95766544e+01 -1.21611841e+03 8.85155107e+00 -2.59851762e+01
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 2.38509914e+00 4.06003947e+00 1.12754898e+01 1.31785463e+01 9.61087342e+00 6.51804615e+00 3.71263413e+00
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 2.34324523e+00 8.82684716e+00 2.31504907e+01 3.04309752e+01 1.12667095e+01 2.41483495e+00 -1.25962315e+01
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 3.41356931e+00 1.79320988e+00 4.46282628e+00 1.40490541e+01 -5.75056811e+02 9.66104252e+00 -3.16463296e+01
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 4.24967254e+00 7.99118593e+00 1.72148741e+01 4.03367783e+01 4.73395080e+01 5.66528917e+00 -3.48786592e+01
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 4.67610023e+00 8.62792870e+00 2.04698746e+00 6.89405584e+01 -6.71525871e+02 1.65608607e+00 -2.79660687e+00
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 7.11727495e+00 2.63635888e+00 2.61743217e+00 4.18731672e+00 -5.89921641e+00 6.64149614e+00 -1.05157915e+00
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 1.51012389e+00 4.87311879e+00 4.73241759e+00 2.62570499e+01 4.16081041e+02 3.27879016e+00 -5.93482026e+00
