G	c	dx1dt	d2x1dt2	dx2dt	Fc	m2	m1	Fg	p	W	d1	d2
1.000000000000000000e+00	1.000000000000000000e+00	4.359198804341400724e+00	2.670183147708707683e+00	3.380940964539272731e+00	7.084670504584518191e+00	6.219227409249849181e+00	4.616981282281581223e+00	5.240517240271496568e+00	1.560413233459462923e+01	5.280596789711859174e+01	6.887009615252392969e+00	-2.885643535433811735e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.586898932817316421e+00	5.915863225391715829e+00	3.226822848851464531e+00	8.118467095624289698e+00	8.240766619925544489e+00	5.260937660889593026e+00	5.213406136372772615e+00	1.721000286977501759e+01	2.351549069532694247e+01	2.530583560764433582e+00	-8.991137471627146383e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.580119997408214516e+00	8.891968349709687303e+00	9.154308875449986616e+00	3.189517433744827990e+00	7.785083071848438507e+00	8.694258633418957771e+00	3.582956353797086102e+00	7.958512058515371734e+01	-1.204952776411230388e+03	8.844070897436219880e+00	-2.524077946323941291e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.486612180838475794e+00	7.599455777073647056e+00	3.264980434393840447e+00	6.626763828577174387e+00	2.298566519770745220e+00	4.017930484268439351e+00	1.136734515912612409e+01	1.369156953839327961e+01	-4.269354252945737116e+00	6.458535548857488706e+00	9.687960837156603944e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.408536236279643639e+00	8.265745583233178095e+00	3.421686957449098454e+00	6.149183962500944567e+00	2.301185821780269869e+00	8.797075804107748809e+00	2.307969598502014819e+01	3.069421819752747282e+01	4.546177169609819657e-01	2.322735519071927879e+00	-1.313979580688457460e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.530637820098621926e+00	6.969130439159263446e+00	7.879946870716355356e+00	8.487501121341773924e+00	3.391229401489571860e+00	1.770807793049666623e+00	4.484360602934374107e+00	1.391692350607630146e+01	-5.887192280598325169e+02	9.659325632409505147e+00	-3.133737989427712378e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.541804464954970033e+00	7.182724591050465790e+00	4.988253419206065686e+00	9.139112723832143459e+00	4.294337465739364923e+00	8.070348225223421323e+00	1.732882451769802046e+01	3.992054346054695912e+01	4.937900048502198302e+01	5.613285861192510495e+00	-3.103502790758270891e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.784020441308214799e+00	8.737085045730905719e+00	7.967675815312704302e+00	1.202021655610217454e+00	4.615048154309911332e+00	8.623985739033633635e+00	1.991634589428698643e+00	6.881541375611767819e+01	-6.810873847346550747e+02	1.706557088781259557e+00	-2.281559376638332193e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.361354206411188983e+00	3.133124997788197419e+00	1.622038569099551575e+00	7.089241603313586992e+00	7.201907005759282221e+00	2.563822086363942265e+00	2.594175751363185789e+00	4.311959287227735693e+00	-1.688337187517328175e+01	6.626206103179740126e+00	-8.259670425005357641e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.294559612136035653e+00	5.485791366242122713e+00	5.325586898746898612e+00	1.573202409845798622e+00	1.437289905690196656e+00	4.887127989874214151e+00	4.916135878968400874e+00	2.643713168857072660e+01	4.177328831848105892e+02	3.295576787634443505e+00	-6.036734664215970270e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.131600530210902678e+00	2.988371238678842801e+00	1.215666349659427325e+00	6.008421830900613436e+00	1.439049172829825807e+00	2.534829736885894302e+00	1.130722859268678349e+01	3.652465783254735587e+00	2.520745336561330596e+00	8.307631456349927390e+00	-3.579142852493887972e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.681581658741173158e+00	9.944787146550597257e+00	1.567361759433568258e+00	3.680899009813482614e+00	4.621183166844911483e+00	7.358043046436238299e+00	5.794152027584199338e+00	1.117921496158021810e+01	-5.262740445926002764e+00	8.279601876392741033e+00	-1.544584948781020650e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.513352649419289264e+00	9.516775070028330674e+00	9.064264572274712606e+00	3.702824696602768029e+00	7.282162482060938302e+00	5.898733609803107569e+00	3.070915759070109274e+00	5.314964333811639818e+01	-6.580586500319506058e+02	9.771108611456785553e+00	-3.433021864419004032e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.882574304372880203e+00	1.374091733215347721e+00	2.181492933621320685e+00	4.208737102683922870e+00	2.651169081558188978e+00	6.760565648132291550e+00	1.019228826874527094e+01	1.478174080751309916e+01	1.723944964377427169e+01	5.526665450424707693e+00	-6.264818984613743424e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.646541769651306719e+00	7.381010589733135951e+00	5.833562630758079237e+00	6.568258953104088249e+00	6.770521410218030667e+00	2.710825605222531465e+00	2.571448874427957332e+00	1.563017462724013917e+01	-2.766250257928175529e+02	5.111612581030673397e+00	-1.701616593150820123e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.720025220027544766e+00	9.372243810175449497e+00	4.688552891680000556e+00	3.916404322463208132e+00	3.317382214550583797e+00	2.875460161112637358e+00	3.594624930229834092e+00	1.346712984456868334e+01	5.622377103733310832e+02	7.841308281447264328e+00	1.312768366081996696e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.733427730699347080e+00	2.606884738974546867e+00	4.197070049890573529e+00	7.675275728011094145e+00	8.905365218824428553e+00	1.385887111917115444e+00	1.075802760603247865e+00	5.777634687045019923e+00	-3.928847388016136932e+01	2.239407128610825914e+00	-2.613765791232521618e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.835338264697727872e+00	6.169074557294291772e+00	9.031974460449967879e+00	4.624847790974027539e+00	9.077060642789202660e+00	3.807197672552654399e+00	2.188746372563434406e+00	3.570409254681246836e+01	-3.389786390814622337e+02	5.927512595552937746e+00	-1.256595059529888658e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.823866646724216167e+00	9.179063890185597430e+00	1.191222847760915027e+00	1.558062187586774394e+00	3.630721427809218582e+00	6.056155087414038185e+00	2.614842957058574946e+00	6.937600584458452069e+00	-1.220465506890215934e+01	5.932732945235422051e+00	-2.138346350960074638e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.612912213089021662e+00	1.305217261903687920e+00	6.996170846615738625e+00	8.031396681685693650e+00	3.031003240954921907e+00	8.624770640099782781e+00	2.304728694824946800e+01	6.058004574419852872e+01	8.316592020364264215e+01	1.823267908624569333e+00	-2.171336668651541402e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.477486768205534595e+00	7.323288718880913706e+00	9.605918154393366493e+00	3.528722318970904936e+00	4.690641480885077819e+00	7.058494435673138945e+00	5.212344159468654148e+00	6.717985259250454533e+01	-2.457786346741939724e+03	4.681907657291656477e+00	-8.400507104259432367e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.306131381137167757e+00	3.731495447658788045e+00	6.098483947037141917e+00	4.857349444663392468e+00	3.133469285610020805e+00	4.968341581093262072e+00	7.687770329856814300e+00	2.978022557872454001e+01	1.814137058001344656e+02	8.671056708756204046e+00	-2.043322047249160889e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.508077396458197939e+00	9.345200161291145946e+00	9.459600068391155858e+00	7.156998726524049559e+00	7.164650698279015906e+00	9.605774246098651048e+00	9.776883413833829195e+00	9.011396249731379271e+01	1.021923006799834866e+03	8.718898995308455468e+00	-2.613018703630630668e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.219150731613230398e+00	9.717639175981688027e+00	1.381461684875688434e+00	4.085800934397087580e+00	8.405402063031177207e+00	7.436126903629286744e+00	3.602708881936399266e+00	1.148948832005167731e+01	-2.525186805219280473e+01	1.918083135858453359e+00	5.439430515915770759e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.098819918288827857e+00	9.548283650301360836e+00	4.767055899530318719e+00	1.473200657514446288e+00	7.081843739005361016e+00	9.380824464008670205e+00	2.079861146537731464e+00	4.481750661020110726e+01	-5.541668411591214181e+02	1.766204606587638004e+00	-3.706510354948851393e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.150549005706675842e+00	5.230690063603534945e+00	3.362731306051983449e+00	4.455111970452214187e+00	8.427080564338005786e+00	5.720126944888456855e+00	2.941470017073457122e+00	1.915575937956544905e+01	1.771195749343331158e+02	3.295239480579399416e+00	-1.501379109296918912e+01
