G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	Fc	m1	m2	Fg	W	p	d1	d2
1.000000000000000000e+00	1.000000000000000000e+00	4.277499528446201182e+00	2.655765226917488064e+00	3.431500875962141706e+00	7.091388271337232929e+00	6.187046413417260915e+00	4.578653053094887682e+00	6.785283872789385384e+00	7.193340893618501042e+00	1.401038316019264984e+00	7.809988744857999932e-02	7.404672076453849172e+00	-3.008977374351826484e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.425220054706203499e+00	5.932490778932617559e+00	3.095029118928811496e+00	8.156929187707664397e+00	8.194842545667579969e+00	5.352989207376953829e+00	2.604327531324650113e+00	1.287122230966597058e+01	2.612003553410115586e+00	2.870676314349671077e-01	7.151304511967071953e+00	-2.580908176314321878e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.510141060580423300e+00	8.859552197237716697e+00	9.087879837890804779e+00	3.238890067944475426e+00	7.806969351422588410e+00	8.569304631315736387e+00	8.795428955747748745e+00	5.435838537473236975e+00	8.453162508228572847e+00	-1.251884554958199725e-01	1.865278713832728030e+00	-4.179247225409010724e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.361917865023468899e+00	7.545929137464372438e+00	3.205857780224382836e+00	6.623376650450167880e+00	2.436496543289440098e+00	4.055787614968923371e+00	6.545481361290602429e+00	3.059550019688645150e+00	7.951913379051558373e+00	7.962578156173474309e-01	9.230488989373661468e+00	-8.916410212603227592e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.435361928497621342e+00	8.185705158889277300e+00	3.388005098216079425e+00	6.098607930769547103e+00	2.424154222671404124e+00	8.773612099017226384e+00	2.446156655453472162e+00	3.037715957697388447e+00	4.188695458903978874e+00	-9.479245405594916019e-01	6.082907410410681948e+00	-1.316537645693629770e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.277181042301050340e+00	6.977206877896204418e+00	7.917960172336392155e+00	8.579556491569666932e+00	3.411661140703674544e+00	1.711440226726353320e+00	9.664033086220587876e+00	8.263124242026719912e+00	4.446629009560892243e+00	-1.006346790904990307e+01	4.401787110214051779e+00	-7.536753804679447555e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.608962585316846106e+00	7.263840824063562351e+00	5.117103120152721729e+00	9.225059650248113030e+00	4.097850364326715678e+00	7.929193415222577812e+00	5.638344613991898235e+00	3.721652179593651688e+00	5.847307908529565168e+00	-7.508409446594576764e+00	7.748110425046714766e+00	-1.263914980978638312e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.804816870383572081e+00	8.701761457802819066e+00	8.023084943491008758e+00	1.197005135022887190e+00	4.665258119274803938e+00	8.648758237802663729e+00	1.663763496929574925e+00	7.909246924905442455e+00	9.839495559716436857e-01	2.510076671638108298e-02	3.295645812975754652e+00	-1.042026396753575890e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.483658478056829821e+00	3.193150343140698677e+00	1.553078101917961806e+00	7.103175210479521162e+00	7.119041183744788448e+00	2.658575836722306462e+00	6.656020913523586380e+00	1.295214732951362890e+01	3.288665145398093514e+00	6.778090992868788245e-01	7.196747294385555271e+00	-6.026697109492216597e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.324701761666847943e+00	5.507099778021335545e+00	5.461857651895617671e+00	1.464926428964207883e+00	1.497444845439213079e+00	4.953232810975576328e+00	3.376158759002188425e+00	2.180220034105544880e+00	2.881399102019428504e+00	1.312890847228407876e-01	1.351115051631474939e+00	-2.966514170146240303e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.212530906463436642e+00	2.893880538829763704e+00	1.214831399563790271e+00	6.027139349348208164e+00	1.330374526231991039e+00	2.489979741518542067e+00	8.185787681523553516e+00	2.342361823969188350e+00	3.091130851331121754e+00	-5.053238976914379288e-01	8.510842199528958929e+00	-7.816143033425845488e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.733799736968334670e+00	9.928488279999106325e+00	1.682151647328733679e+00	3.551831268618987458e+00	4.501218034699014936e+00	7.262977949507293474e+00	8.330158191292531100e+00	3.429241898914554998e+00	8.238071512813709418e+00	5.298787228741657085e-01	5.020454861031159233e+00	-2.365682120147716461e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.536239479749028192e+00	9.390300996553085255e+00	9.120134208295215927e+00	3.713827587186031565e+00	7.320166088755502898e+00	5.805063499241135183e+00	9.826015186614917241e+00	6.452376165193808077e+00	3.492004698819023645e+00	-2.996909121000149168e-02	6.691589391637627671e+00	-1.359887953239918268e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.898398488817123031e+00	1.310873934322885903e+00	2.238739668151004114e+00	4.144064453451488994e+00	2.677367825855670347e+00	6.641850863033933905e+00	5.502897018264193640e+00	2.618269521796411148e+00	2.766168826556297144e+00	2.048012876348353495e-01	3.047890115474701567e+00	-2.661276300663220340e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.662036569251465146e+00	7.437018686858929861e+00	5.768079268688816263e+00	6.619937024693093974e+00	6.840910834729870160e+00	2.702175700579370954e+00	5.089169908084452132e+00	1.253600218489660456e+01	5.514271828324004865e+00	-4.680734451544937613e+00	7.098054233769068411e+00	-5.823206805000515018e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.710294806214111674e+00	9.373484948296979979e+00	4.640607167997436555e+00	3.965194074711236194e+00	3.422885225998300918e+00	2.937563277287990715e+00	7.839505230290308546e+00	5.531824019173737561e+00	8.849505005165362093e+00	-4.194434622202441787e+00	7.896217894246541746e+00	-1.193704151175273509e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.702936516970585235e+00	2.594791017567432245e+00	4.232387978357964542e+00	7.585880536831121290e+00	8.925041091743581845e+00	1.384129044788370511e+00	2.038819629393093358e+00	3.434082711005454058e+01	3.201957290230850184e+00	-3.666109609349575416e-01	5.304140670715510986e+00	1.441183979973454221e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.735918886348375878e+00	6.082643357237450310e+00	9.142060122490086371e+00	4.554032029098449286e+00	9.011446193456498222e+00	3.930842728549369447e+00	5.889712493789613035e+00	1.245765311413231302e+01	1.653408002563032664e+00	-2.272676141401436256e-01	6.508002235348412157e+00	-3.764899918449707616e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.785328232606295806e+00	9.244992444741161108e+00	1.263524617843978293e+00	1.641222422814067050e+00	3.697955199781976177e+00	6.018089247472174108e+00	5.821447355084430342e+00	3.597809132613796645e+00	4.200144809110151201e+00	6.666824030289141279e-01	5.022809722691553347e+00	-6.954884170222243256e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.659083893984975244e+00	1.334116274072463026e+00	6.906540426856177639e+00	7.971712079074876556e+00	3.005276512786215548e+00	8.764784107985638784e+00	1.740208331968258859e+00	4.900263218784818520e+00	7.687442576371850578e+00	-3.106935721018715846e+00	9.046658680719225742e+00	-1.903488851310291636e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.612468426366953089e+00	7.346409720349345918e+00	9.680540666302125175e+00	3.521363542488915144e+00	4.674903928241832318e+00	6.979667001210103194e+00	4.892663041457489648e+00	4.593681073266651538e+00	5.966083479302038306e+00	-4.272895069358768616e-01	5.583404269239418127e+00	-2.205877130462329205e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.188092026038336080e+00	3.650760061755272012e+00	6.070283038622153349e+00	4.960791746621191045e+00	3.224838338935903437e+00	4.979830144729438857e+00	8.712102217846135588e+00	3.407877852145377862e+00	8.309398280420923655e+00	-6.471855082976079032e+00	8.477978008951660982e+00	-5.393751068210192301e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.624356003835894402e+00	9.229899646619866616e+00	9.446352391738647825e+00	7.232890011766217597e+00	7.091631646190875493e+00	9.596988543957118978e+00	8.757145634231303433e+00	4.563722375090375927e+00	9.640305165435329116e+00	-2.753712182277016307e+00	8.140581730895206647e+00	-7.358666200571950355e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.344910958515891153e+00	9.748256619195819539e+00	1.406249131527603558e+00	4.012368382820372226e+00	8.542442423111122451e+00	7.461850588257415318e+00	1.888758344576436654e+00	1.325619326355116812e+01	8.119417526094153459e+00	2.020875004872432434e+00	4.735017758753949479e+00	-8.031657221798587543e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.106330270737694299e+00	9.472950810077024997e+00	4.828525233425470020e+00	1.524193614602809665e+00	7.067131703546553290e+00	9.383122637024930768e+00	1.857760299512556390e+00	1.084509524976161110e+01	6.426096955169282587e+00	1.081781687021555055e-01	3.036213364751421118e+00	-6.681694742272983323e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.075519347851274787e+00	5.195571671313761186e+00	3.348131692011875771e+00	4.336546580918320792e+00	8.385882002243508992e+00	5.747311889723341949e+00	3.268162075121055388e+00	1.093209064608680237e+01	5.549621897792457403e+00	5.470594837167731539e-01	4.687652661502291984e+00	-7.137479108751281665e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.775901942114979093e+00	8.774943645367679679e+00	7.524658893667411697e+00	9.458197062970258528e+00	4.575720667383464502e+00	3.417703752848198384e+00	8.929375704707446459e+00	6.484915280399618176e+00	1.341367054402280212e+00	-1.191696765104233835e+00	8.390912288474225988e+00	-4.539426101349264542e+01
