G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	Fc	m1	Fg	d1	m2	W	d2	p
1.000000000000000000e+00	1.000000000000000000e+00	4.277499528446201182e+00	2.655765226917488064e+00	3.431500875962141706e+00	7.091388271337232929e+00	6.187046413417260915e+00	4.578653053094887682e+00	-3.096908008041136640e+01	6.821922877985904243e+00	1.401038316019264984e+00	7.469610227889885046e+00	-8.938716948240328364e-01	2.413683588771326782e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.425220054706203499e+00	5.932490778932617559e+00	3.095029118928811496e+00	8.156929187707664397e+00	8.194842545667579969e+00	5.352989207376953829e+00	-8.366549453292979877e+01	2.637266653727876164e+00	2.612003553410115586e+00	7.185456825997333929e+00	-3.788856847363000768e-01	4.130640321654739466e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.510141060580423300e+00	8.859552197237716697e+00	9.087879837890804779e+00	3.238890067944475426e+00	7.806969351422588410e+00	8.569304631315736387e+00	-2.239672403703317229e+02	8.886941874317171752e+00	8.453162508228572847e+00	1.932479504423981309e+00	-6.772693241304586498e-02	6.657962836244890923e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.361917865023468899e+00	7.545929137464372438e+00	3.205857780224382836e+00	6.623376650450167880e+00	2.436496543289440098e+00	4.055787614968923371e+00	-8.962487525974799496e+01	6.503821536378128876e+00	7.951913379051558373e+00	9.324815191178252860e+00	-1.879093413326936302e-01	3.929653094784670770e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.435361928497621342e+00	8.185705158889277300e+00	3.388005098216079425e+00	6.098607930769547103e+00	2.424154222671404124e+00	8.773612099017226384e+00	-2.158614987939667174e+02	2.437426108675735392e+00	4.188695458903978874e+00	6.144535937229153255e+00	-2.682063595258102340e-01	8.460368483493196834e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.277181042301050340e+00	6.977206877896204418e+00	7.917960172336392155e+00	8.579556491569666932e+00	3.411661140703674544e+00	1.711440226726353320e+00	-3.381447456420196573e+01	9.623765706658392816e+00	4.446629009560892243e+00	4.264512419228312368e+00	-1.068152014729539939e-01	2.930822888192892037e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.608962585316846106e+00	7.263840824063562351e+00	5.117103120152721729e+00	9.225059650248113030e+00	4.097850364326715678e+00	7.929193415222577812e+00	-1.695204686214375727e+02	5.725871759800668315e+00	5.847307908529565168e+00	7.851480504630683477e+00	-1.552469826321059843e-01	2.376975386303825530e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.804816870383572081e+00	8.701761457802819066e+00	8.023084943491008758e+00	1.197005135022887190e+00	4.665258119274803938e+00	8.648758237802663729e+00	-2.189088670625257862e+02	1.716644963371174004e+00	9.839495559716436857e-01	3.332549468964181028e+00	3.721903462893262127e+00	1.429005427324624833e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.483658478056829821e+00	3.193150343140698677e+00	1.553078101917961806e+00	7.103175210479521162e+00	7.119041183744788448e+00	2.658575836722306462e+00	-1.833201500615903967e+01	6.648073155247787192e+00	3.288665145398093514e+00	7.243956279574440771e+00	-3.428809779473904196e-01	6.480932523290091751e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.324701761666847943e+00	5.507099778021335545e+00	5.461857651895617671e+00	1.464926428964207883e+00	1.497444845439213079e+00	4.953232810975576328e+00	-7.595252666574594969e+01	3.291340066327582026e+00	2.881399102019428504e+00	1.317434309027231798e+00	-3.575711789973535226e-01	4.890795384598038709e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.212530906463436642e+00	2.893880538829763704e+00	1.214831399563790271e+00	6.027139349348208164e+00	1.330374526231991039e+00	2.489979741518542067e+00	-2.178193044592040195e+01	8.178908721812744531e+00	3.091130851331121754e+00	8.548563917663221545e+00	-4.708152241142285477e-01	7.985900012622813904e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.733799736968334670e+00	9.928488279999106325e+00	1.682151647328733679e+00	3.551831268618987458e+00	4.501218034699014936e+00	7.262977949507293474e+00	-2.142876363838680049e+02	8.286850858884896809e+00	8.238071512813709418e+00	4.975475274921676849e+00	-1.744042019772316376e-01	6.820507679541938160e+02
