G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	d1	d2	m1	m2	Fc	Fg	W	p
1.000000000000000000e+00	1.000000000000000000e+00	3.917894199670593380e+00	2.860117714953521961e+00	3.570263080355656982e+00	6.579489190644049579e+00	6.629457337918537085e+00	2.555205397697853442e+01	5.243502262655278301e+00	7.451028074459225436e+00	1.770893450633226784e+00	2.420541947227297985e+00	8.069796957521740310e+00	8.684220626045084934e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.001607215220209035e+01	5.662179649823387173e+00	2.795422951347211526e+00	8.000432588501235287e+00	8.133233300319291814e+00	8.037953068023777803e+01	5.204074968734271778e+00	3.922468445516726021e+00	3.046043545628605909e+00	1.503359212100847664e+00	7.768104378788005526e+00	1.682721438585864648e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.237614246409264318e+00	8.289928473082987637e+00	9.811627599539392008e+00	2.843664392681251929e+00	7.376114916618529804e+00	5.913957056302755433e+01	7.795017908690001995e+00	8.453166983087784914e+00	7.687357351488033785e+00	7.687919843453426161e+00	1.275945089327756854e+00	4.491650233138000381e-02
1.000000000000000000e+00	1.000000000000000000e+00	6.382782150731307169e+00	7.370475261089202590e+00	3.099255429140876483e+00	7.090080717100177843e+00	1.722684062140891426e+00	1.813181877657385499e+01	3.623626062448733087e+00	6.774660486558731876e+00	7.945927402231278691e+00	1.286881813598732904e+01	9.128841769250341187e+00	6.427819741414563248e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.899541470189034520e+00	7.633226709457400005e+00	3.159920299596496562e+00	6.423215920638990717e+00	2.733831897402873246e+00	6.002545892858111465e+00	9.029291954626097905e+00	2.192233641820553025e+00	4.910410914455271225e+00	1.008679982068509284e+00	6.327983310338895606e+00	7.468993184811968611e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.443851245097069302e+00	7.165793724393591191e+00	8.055172301646484456e+00	8.629573104684956419e+00	3.916199565084831136e+00	8.225264568309288649e+00	1.634286561906587831e+00	9.152672806334560818e+00	4.644375627715852772e+00	2.281644433224941437e+01	3.948256460882395125e+00	7.360954314243091101e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.042188263213986499e+00	6.800913183237016213e+00	4.790861639269831329e+00	9.725108313335713461e+00	3.905883305583039533e+00	8.061362070653510514e+00	7.775434142179572738e+00	5.141837251190217728e+00	4.404814923192821752e+00	4.489265134167523819e+00	8.076901178260834868e+00	9.067511203510973061e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.320451322108537440e+00	7.865558109717447621e+00	7.972902679132214843e+00	1.251879897061118907e+00	4.541708676978281289e+00	4.142709265400808505e+01	8.739261260997871261e+00	2.522280199002453038e+00	4.302993734525544234e-01	5.813576685730348359e-01	2.591254631551445531e+00	3.873955868915043954e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.756388524039301124e+00	3.660191465674123457e+00	2.552514212841622054e+00	7.162970109755197434e+00	7.142851822743160106e+00	4.842729775693165095e+01	2.833106718932367762e+00	5.648866595839744598e+00	3.703075310787197427e+00	8.308200509902720299e+00	7.382184019945556841e+00	3.882743033247870179e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.403225300677375387e+00	5.781824642148714943e+00	5.048733237506521476e+00	1.401586735136168382e+00	2.497571911775601450e+00	1.278350658587655708e+01	4.198109490679186706e+00	3.555054455422606452e+00	2.576485707930678881e+00	2.350847183138372376e+00	1.909942390482370467e+00	2.879967959749274997e-01
