G c dx1dt d2x1dt2 dx2dt d2x2dt2 m1 p Fc d2 d1 W m2 Fg
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 6.14796290e+00 6.71797293e+00 4.54271968e+00 1.65401344e+00 6.83431259e+00 6.50342949e+00 1.34919509e+00 2.08001920e+01
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 8.24889096e+00 1.97074847e+01 5.26092093e+00 4.02422970e+00 2.55147726e+00 1.24331808e+02 2.68095275e+00 1.04660763e+02
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 7.84144837e+00 1.48751207e+01 8.69092654e+00 5.22387482e+00 8.85155107e+00 3.51150968e+01 8.48121225e+00 1.04712338e+02
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 2.38509914e+00 3.80895942e+00 4.06003947e+00 1.01506087e+00 6.51804615e+00 2.37268995e+00 7.90091521e+00 1.67154820e+02
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 2.34324523e+00 1.40838866e+00 8.82684716e+00 1.83360558e-01 2.41483495e+00 4.27760795e-01 4.15578422e+00 3.07015357e+01
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 3.41356931e+00 2.05151307e+00 1.79320988e+00 2.98770609e+00 9.66104252e+00 2.53774603e+00 4.39129565e+00 4.48410548e+01
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 4.24967254e+00 1.61779988e+00 7.99118593e+00 3.40629518e-01 5.66528917e+00 3.89085448e-01 5.80198990e+00 4.04412320e+01
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 4.67610023e+00 1.02822596e+01 8.62792870e+00 3.17416145e+00 1.65608607e+00 7.88305700e+01 1.00216904e+00 4.88954197e+00
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 7.11727495e+00 1.14054956e+01 2.63635888e+00 2.29044391e+00 6.64149614e+00 1.57335921e+01 3.17119902e+00 7.18188692e+01
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 1.51012389e+00 2.78340493e+00 4.87311879e+00 1.02585758e+00 3.27879016e+00 3.48345200e+00 2.87408628e+00 1.55375397e+01
