G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	m1	p	Fc	d2	d1	W	m2	Fg
1.000000000000000000e+00	1.000000000000000000e+00	4.953101320985155098e+00	2.652309625404325022e+00	3.336587919305606942e+00	6.954720858298373720e+00	5.851936172245888912e+00	6.596102026979951738e+00	4.388510299454198460e+00	1.958059926369985160e+00	6.875465865244065888e+00	1.033368762325463663e+01	1.668699598710261522e+00	1.758741641009472190e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.467182171412336089e+00	6.280090769320445077e+00	3.343294019449514209e+00	7.871422795494542157e+00	8.608762938662035680e+00	1.952066366302549483e+01	5.079259921489007290e+00	4.116620949860320344e+00	2.797651657555658034e+00	1.210401244335987911e+02	2.856334424932652549e+00	1.094742336652444266e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.322070157367337018e+00	7.965476993311176201e+00	9.212666583300599399e+00	2.767969453029771376e+00	7.562202537672362723e+00	1.501346569017251831e+01	8.331535658024302293e+00	5.392730367367724931e+00	8.700257812840991534e+00	3.570598881058229068e+01	8.556139702264315972e+00	1.045047657911745489e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.506543992904186169e+00	7.935683536034287222e+00	3.165023438443291148e+00	7.155295957953278219e+00	2.044264392227085558e+00	3.761099481467049088e+00	3.830735397848035628e+00	9.750847683880817796e-01	6.843540939645235355e+00	6.090726347918362649e-01	8.013815702060675505e+00	1.628837249763580246e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.538659773660588925e+00	8.515015410968915788e+00	3.953056665215532561e+00	6.158951393277598108e+00	2.297892848909489416e+00	1.130392328522367373e+00	8.827198050713731092e+00	1.610927466135342045e-01	1.941366714130959181e+00	-2.759756271772906722e+00	3.847940394971967937e+00	2.703211216409501461e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.383986603358068557e+00	6.418403607487992879e+00	7.943170589738894449e+00	9.196902544404284896e+00	3.065155968848058077e+00	2.095737874668159861e+00	2.181024823807893309e+00	3.134814567183983769e+00	1.008094694531638780e+01	1.068952599890526933e-01	5.078110264281839648e+00	4.688033863433352622e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.463146479784723120e+00	7.488976443637093361e+00	5.260768953758179656e+00	8.927614369916319959e+00	4.675062976419505745e+00	1.743951995133846689e+00	7.729751787732395130e+00	4.695325934185132222e-01	6.002145901152819540e+00	2.835520951353610597e-01	5.943034734551710940e+00	4.444143043652401559e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.052373380123821534e+00	8.937181822610797965e+00	8.286653630773111345e+00	9.933458406758199910e-01	4.613268795447963200e+00	1.096946807122235690e+01	8.318271002972288386e+00	2.947838014813837226e+00	1.414943461312792916e+00	7.958012722814835627e+01	1.169864193756513293e+00	6.725491494687297234e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.179038262222821487e+00	3.403270969344442065e+00	1.772759822219184267e+00	6.856311092132799878e+00	6.239998372603599464e+00	1.143080151735781413e+01	2.471918181388026436e+00	2.313577549496591335e+00	6.402628507991937390e+00	1.800316391880055988e+01	3.163536236373762911e+00	7.367227334812777428e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.280385958032944416e+00	4.971152356421725038e+00	5.957652967659421428e+00	1.293089533060758578e+00	1.564579348076557519e+00	2.787122581140824007e+00	4.965688863968908962e+00	1.111741566650814805e+00	2.872178618652351023e+00	6.646989790195830139e+00	2.260482169470806824e+00	1.244877011669859890e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.043958630620986039e+00	3.180770149428039151e+00	1.348354008519510261e+00	6.176185242218164895e+00	1.462800253722672306e+00	5.479123628293082193e-01	2.825172082331437018e+00	4.418716229842117177e-02	8.483845945718936576e+00	6.079643710575133309e-01	3.183482063638735315e+00	1.180955748777597414e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.002521344768939393e+01	1.016917171886468196e+01	1.561956923703939237e+00	3.741980772216670914e+00	4.412419094916399054e+00	1.065882338115061501e+01	7.335706986298918153e+00	8.486606252347586032e-01	8.270530560846298229e+00	3.159363266790059299e+00	8.273435536921020628e+00	1.428214621930989381e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.569242912008087742e+00	9.337370367519616465e+00	8.978601544214122043e+00	3.997935393732531928e+00	6.905199296324425973e+00	1.480272781441775898e+01	5.421512327968941669e+00	8.087010983053922075e+00	9.700705237667673231e+00	5.324943311069336715e+01	3.297312064148684385e+00	5.542129813796925930e+01
