G c dx1dt d2x1dt2 dx2dt d2x2dt2 d1 d2 Fc m1 W m2 p Fg
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 6.14796290e+00 1.40657935e+00 4.54271968e+00 -1.03522892e+00 -3.47355655e+00 5.45798917e+01 6.83431259e+00 2.43456707e+02
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 8.24889096e+00 8.63177153e-01 5.26092093e+00 -2.29431564e+00 -7.39414153e+00 3.69569013e+01 2.55147726e+00 4.91168167e+02
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 7.84144837e+00 1.03340863e+00 8.69092654e+00 1.55131362e+00 1.42042793e+01 2.63814623e+01 8.85155107e+00 4.74345906e+02
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 2.38509914e+00 3.73376117e-01 4.06003947e+00 4.20225609e+00 1.36401694e+01 6.75634993e+00 6.51804615e+00 2.73207241e+01
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 2.34324523e+00 9.74659615e-01 8.82684716e+00 4.17673534e+00 1.43994936e+01 6.01132525e+00 2.41483495e+00 1.51505584e+02
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 3.41356931e+00 1.41998309e+00 1.79320988e+00 -1.14478003e+00 -8.96887575e+00 3.27897841e+01 9.66104252e+00 9.53655775e+01
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 4.24967254e+00 2.79078347e+00 7.99118593e+00 -4.15278747e+00 -2.09618533e+01 2.71597548e+01 5.66528917e+00 3.86754135e+02
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 4.67610023e+00 5.31641735e-01 8.62792870e+00 1.14529775e+00 9.15138141e+00 4.79614175e+00 1.65608607e+00 3.99313414e+02
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 7.11727495e+00 1.11033323e+00 2.63635888e+00 -6.90296796e-01 -1.09639524e+00 2.46006042e+01 6.64149614e+00 3.10202759e+01
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 1.51012389e+00 2.04827740e-01 4.87311879e+00 1.23736529e+00 6.66709833e+00 2.20779395e+00 3.27879016e+00 3.53606989e+01
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 5.93972799e+00 1.31205434e+00 1.10697555e+00 2.48949797e+00 -8.44228724e-01 -1.09962683e+00 3.39393772e+00 8.23324107e+00 2.67337579e+00
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 3.58869456e+00 4.52719507e+00 4.65320925e-01 7.35943716e+00 1.16810576e+00 1.82677587e+00 2.56930640e+00 8.36039866e+00 7.07402531e+00
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 3.76098940e+00 7.27447323e+00 8.56628254e-01 5.81812991e+00 1.01439885e+00 9.28980085e+00 2.63837294e+01 9.81052620e+00 2.86585985e+02
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 4.17662653e+00 2.74091809e+00 9.41555867e-01 6.71791012e+00 -2.38073049e+00 -5.36428179e+00 1.90385830e+01 5.51682578e+00 1.04474641e+02
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 6.59163204e+00 6.77354033e+00 2.56921441e+00 2.76838270e+00 3.64959823e+00 2.11376924e+01 3.51822349e+01 5.09461192e+00 2.21452688e+02
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 4.00644969e+00 3.33845324e+00 1.25948922e+00 2.90571276e+00 5.46106010e-01 2.56662202e+00 6.73964528e+00 7.78128045e+00 2.36566698e+01
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 4.12608994e+00 7.59429146e+00 8.97477498e+00 2.40084066e+00 1.37347593e+00 -2.76402616e-01 -1.14046205e+00 1.07124978e+02 2.19223591e+00 5.53851323e+02
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.09850011e+00 4.64074647e+00 9.06120950e+00 1.58335029e+00 3.89860782e+00 2.65074262e+00 2.41177820e+01 6.26030512e+01 5.92223962e+00 7.49926800e+02
1.00000000e+00 1.00000000e+00 4.88750517e+00 9.23939468e+00 1.19641057e+00 1.61517880e+00 3.67558484e+00 7.52037023e-01 6.03770195e+00 7.91911201e-01 9.47450932e-01 7.68747613e-01 5.91622840e+00 1.87724413e+00
1.00000000e+00 1.00000000e+00 3.62106226e+00 1.30551381e+00 6.97410718e+00 8.05383858e+00 3.06994379e+00 8.47801988e-01 8.72141423e+00 -1.29238211e+00 -9.01321136e+00 1.32081044e+02 1.80525811e+00 8.90034242e+03
1.00000000e+00 1.00000000e+00 6.50667605e+00 7.27678241e+00 9.67054991e+00 3.57182492e+00 4.70173575e+00 7.22601788e-01 7.00234703e+00 1.88999390e+00 1.82772803e+01 2.23182512e+01 4.76185677e+00 6.34758653e+02
1.00000000e+00 1.00000000e+00 2.25544475e+00 3.67614107e+00 6.04151365e+00 4.89490192e+00 3.16478427e+00 1.40317526e+00 4.91856691e+00 -4.03571128e+00 -2.43818048e+01 2.54590209e+01 8.67956319e+00 1.74324396e+02
1.00000000e+00 1.00000000e+00 3.62930184e+00 9.31956576e+00 9.43140216e+00 7.16899495e+00 7.05145459e+00 1.94292316e+00 9.57808103e+00 4.45373897e+00 4.20050034e+01 5.11584732e+01 8.70538260e+00 1.06173095e+03
1.00000000e+00 1.00000000e+00 4.29725659e+00 9.73952421e+00 1.47032091e+00 3.99210541e+00 8.43458216e+00 1.96278300e+00 7.47320681e+00 1.30027184e+00 1.91181688e+00 5.08323242e+00 1.89313898e+00 5.90074163e+01
1.00000000e+00 1.00000000e+00 5.10462986e+00 9.49839840e+00 4.76913987e+00 1.50927091e+00 7.05782918e+00 1.38263290e+00 9.37148683e+00 1.17303007e+00 5.59434450e+00 5.34845100e+00 1.81648794e+00 2.63192831e+02
1.00000000e+00 1.00000000e+00 8.06658365e+00 5.26792795e+00 3.34142012e+00 4.36528942e+00 8.41915403e+00 1.04370752e+00 5.74829176e+00 6.36832086e+00 2.12792354e+01 2.33116361e+01 3.36425929e+00 2.66184753e+02
1.00000000e+00 1.00000000e+00 2.79706404e+00 8.75838386e+00 7.57738868e+00 9.50003724e+00 4.57292946e+00 1.63490338e+00 3.33013847e+00 -4.49015475e+00 -3.40236478e+01 3.75850732e+01 8.87289456e+00 2.13777470e+02
