G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	d1	d2	Fc	m1	W	m2	p	Fg
1.000000000000000000e+00	1.000000000000000000e+00	4.391492881248950653e+00	2.404259072480323223e+00	3.362900074314341570e+00	7.180752439391805630e+00	6.127703199374900933e+00	1.567790342537487058e+00	4.737059001425665272e+00	-1.027001909103587129e+00	-3.891342253407806595e+00	4.933930730524726727e+01	6.631300558386715061e+00	2.588785186235641049e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.450926036507983241e+00	6.365156561436586813e+00	2.981229364719349295e+00	7.435240277343846849e+00	8.223217767508671727e+00	8.543837211365037376e-01	5.077085209122704335e+00	-2.319919943370226889e+00	-7.235375689485555206e+00	3.830301794571992247e+01	1.829787391161143972e+00	5.333454017727101473e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.344140115031152938e+00	8.456209392658676549e+00	9.191247722496227013e+00	3.499520021280065674e+00	8.353202912774886357e+00	9.590914507837213776e-01	8.669415356090272695e+00	1.560026396813905203e+00	1.432266071101512317e+01	2.839352409050749060e+01	8.577763357914776066e+00	5.082256439066846951e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.283877006699148282e+00	7.556306235227729040e+00	2.928378325736497256e+00	6.840713717324366172e+00	2.132978516392967983e+00	5.370828486681433755e-01	4.444601035403276335e+00	4.190756510845501381e+00	1.346439910163648257e+01	8.243696178013962594e+00	6.669562632641742539e+00	5.094458285928367758e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.775960173668884590e+00	8.307301155738990417e+00	3.240406936819391515e+00	6.047647081228993748e+00	1.707509823200194177e+00	9.230115154409691547e-01	8.440434373190283779e+00	4.160339754187996952e+00	1.431074766484362470e+01	1.315781476199936684e+00	2.492069918825646102e+00	1.619438197032601465e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.198935480823525968e+00	6.683539359135911795e+00	8.045481232540772965e+00	7.961117280328416257e+00	3.500024454293136245e+00	1.365568238785793254e+00	1.624494014455383217e+00	-1.156338459364252280e+00	-8.778562476150023386e+00	3.027979454987563201e+01	9.923583688704434635e+00	7.326640934180764475e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.225214373741803087e+00	7.057687903641139293e+00	4.927955575182130232e+00	9.220413686637790818e+00	4.576763539673099679e+00	2.751932361479311862e+00	8.185935440517468464e+00	-4.128562618525997152e+00	-2.111358279403436811e+01	2.811909610533573556e+01	5.759174844549126426e+00	3.474922629357609480e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.719835704450410674e+00	8.864349831446467931e+00	8.243631455920654716e+00	1.197827818551031598e+00	4.735988503362951185e+00	5.432396691706476988e-01	8.982975437792347861e+00	1.150585340285385172e+00	9.214243471961600207e+00	8.358627256316667697e+00	1.856274647360300678e+00	3.540372890900055154e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.793088763442104216e+00	3.647992035640410080e+00	1.545914776925378264e+00	6.946954146911637373e+00	7.254048779009343306e+00	1.175912434404334128e+00	2.803404268564209545e+00	-7.047351756915894994e-01	-1.161038618688976509e+00	2.448976298680990382e+01	6.849494820588904354e+00	4.599691394899685548e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.424311725494893821e+00	4.816629330516762231e+00	5.010227840002884570e+00	1.517055975027280734e+00	1.715036267482148657e+00	1.822031688136974137e-02	4.706696902287977657e+00	1.249661208145647739e+00	6.720984631313403845e+00	4.385596401862025928e+00	3.284359180645338938e+00	5.430282791996614122e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.431364443684565613e+00	3.041019134174548721e+00	1.625087695902431850e+00	6.229841675863188044e+00	1.342260681937006428e+00	1.172247528055459176e+00	2.636674442772801719e+00	-8.310701139648168922e-01	-1.093039469972977518e+00	1.330084273021078900e+00	8.240720427915089630e+00	4.427338740457488342e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.697446459563403565e+00	9.857494316086176767e+00	1.200740215173700332e+00	4.237628818122335161e+00	4.678704002151298447e+00	4.262539509745271182e-01	7.473081402891079250e+00	1.162058691502509067e+00	1.789563593993603430e+00	2.982569242499876427e+00	7.569220140853534673e+00	2.842827538331287940e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.626964556776879789e+00	9.526407192646965783e+00	8.991794033898399263e+00	3.800751636676167333e+00	7.421435124993237764e+00	8.275398320720738221e-01	5.914363485152858146e+00	1.029610141340857821e+00	9.340846607176574778e+00	2.583572619161245854e+01	9.631942566409639639e+00	3.265348887876132267e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.772299190265508972e+00	1.266730238044333712e+00	2.198074902884107562e+00	4.267006535917087895e+00	2.207497229802238614e+00	1.062391165003885307e+00	6.691281934791899033e+00	-2.364764702770534299e+00	-5.429060554487023182e+00	2.140806720449734968e+01	5.349986999633812523e+00	9.951190764993182825e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.215720206570725992e+00	6.991217549978403056e+00	6.069477897359486285e+00	6.368658117182733669e+00	6.804551681901757298e+00	2.584241974206119785e+00	2.782919516750946176e+00	3.663099287831745432e+00	2.090327183258859733e+01	3.410515086771958693e+01	5.065018505215866718e+00	2.507562830612710911e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.651098287669113596e+00	9.756236774808613177e+00	4.554507133532437635e+00	3.870738520878405531e+00	2.910109932298193147e+00	1.291029789073124157e+00	2.656777362486140603e+00	5.354211473213832395e-01	2.444733681354380739e+00	1.008562901656978816e+01	7.528238541475465340e+00	-1.441425615364692092e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.922301089975024802e+00	2.947654665850309108e+00	3.870239477867737588e+00	7.557468968366471529e+00	8.964379070014828699e+00	2.397419598922188033e+00	2.053818320685068421e+00	-2.951009010422105949e-01	-1.278134445310504130e+00	1.065110285793199409e+02	2.447242987605563691e+00	5.515633563719972017e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.364407992743712938e+00	6.082581667310877904e+00	9.143411310764069100e+00	4.959517963806089114e+00	8.926321023713436276e+00	1.637148925583686410e+00	3.941674182733353238e+00	2.623895866298572965e+00	2.390702558535529576e+01	6.046845542745468549e+01	5.682478625899173963e+00	6.803028300543074920e+02
1.000000000000000000e+00	1.000000000000000000e+00	4.761607481732980318e+00	9.103566557297584794e+00	1.137338361795631636e+00	1.836845089730007041e+00	3.957195111688549094e+00	8.660259008103596834e-01	6.188163816345141122e+00	7.815155605305493802e-01	9.959843798854204344e-01	-1.298897709304902115e+00	6.216077927147362736e+00	3.077935602735015763e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.554188744214975770e+00	1.135993153130682387e+00	6.845068779069009679e+00	8.576054279401441605e+00	3.136508968313611145e+00	6.734335884105963066e-01	8.661639217745879193e+00	-1.298215130737579770e+00	-9.035910227539424966e+00	1.308391744052894978e+02	1.543834534573183426e+00	8.946902708083845937e+03
1.000000000000000000e+00	1.000000000000000000e+00	7.278311010199412401e+00	6.557562830199731962e+00	9.730317745047591060e+00	3.168467231785104143e+00	4.830608589038346778e+00	7.990131475321970989e-01	7.234223278159112702e+00	1.885451382730472192e+00	1.832378267462551591e+01	2.305760890698880772e+01	4.597635320553347782e+00	6.374277125765086112e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.315892446151896600e+00	3.774558879062042571e+00	5.709221705488919163e+00	4.536608201710134125e+00	3.112643165662330791e+00	1.512163770850473821e+00	4.562395042093629449e+00	-4.036459868668078599e+00	-2.431338613665669612e+01	2.424198593314627459e+01	8.494661723076893267e+00	2.017645906948486356e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.113624190360864574e+00	9.536618843274968782e+00	8.956031986699301228e+00	7.467294384165362509e+00	7.338013416102267428e+00	1.978223076017171511e+00	9.099245686016987023e+00	4.481221996036902411e+00	4.210439168985290337e+01	4.952145281156464307e+01	8.570412419113930369e+00	1.072116092581237581e+03
1.000000000000000000e+00	1.000000000000000000e+00	3.714661876576526911e+00	9.777882757484322340e+00	2.060787028985285652e+00	4.384266668124102040e+00	7.999554764292761355e+00	1.915062803528091218e+00	7.464848200656549082e+00	1.294886571702805966e+00	1.965280094862824400e+00	6.858581704920943878e+00	2.213715509991046826e+00	3.732266511028922196e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.302314128942877680e+00	9.474383248386331502e+00	4.797903835116676063e+00	1.518237657994591538e+00	6.813941419809389721e+00	1.301455282583033668e+00	9.934932719813483359e+00	1.172256573650718448e+00	5.465639101404130784e+00	-1.058587747217177188e+00	1.727524526437415497e+00	2.560974099340360794e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.739071693953718523e+00	5.305029611586073557e+00	3.389508426712557032e+00	3.156589908277545931e+00	8.769476423940126608e+00	1.210099596734587113e+00	6.079745064127086707e+00	6.339496131840611781e+00	2.135537607900996093e+01	2.245393420066270807e+01	3.282212238543310789e+00	3.110304878183712276e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.721028003693356734e+00	8.521052409105550396e+00	7.361495036792318203e+00	9.298787115178530627e+00	4.454281726057947033e+00	1.571147260850277005e+00	3.108374322031833614e+00	-4.454821915402053634e+00	-3.399450609231837461e+01	3.492299485915881974e+01	8.671134053464990998e+00	2.410218517232022748e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.535878903068453205e+00	8.461989413308780072e+00	1.007951281985642389e+01	6.866417234671478909e+00	1.822440982950406241e+00	5.345663725829029600e-01	1.617007611731922978e+00	7.874433491547084829e-01	8.234805690216536078e+00	1.690848512588156183e+01	2.089462308578210248e+00	2.268906065722743506e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.448305267107594219e+00	3.825637432908125746e+00	3.161484574721324048e+00	6.799869331856805310e+00	8.037181597781151154e+00	1.234378720760851200e+00	7.360306009522355808e+00	-2.387051559549446811e+00	-7.860074832770598263e+00	4.648030491464657388e+01	7.538842828816074260e+00	2.538518043190325670e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.202022369023794113e+00	8.654025284516718486e+00	6.118364577154281392e+00	6.740647249469828850e+00	4.537571283783838894e+00	3.137154051940644450e+00	2.208696923700566472e+00	1.193000349554729445e+00	8.191189681944901935e+00	2.270838044394944433e+01	1.851969194064347457e+00	3.565246779226509943e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.779416125077446509e+00	1.716608904148248849e+00	2.626330664249783897e+00	3.304808920960367047e+00	7.235068095925684339e+00	1.066252394944004367e+00	3.863335939953379317e+00	-2.551193426539528186e+00	-7.122985656450978809e+00	4.043559737248601493e+01	6.567363000006324114e+00	1.065902742976124671e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.815416878431401315e+00	6.302689653028689776e+00	6.010279042315750608e+00	5.151014398267766303e+00	3.461506710080328286e+00	1.242240541197868753e+00	6.046379749825860905e+00	3.642988374463246970e+00	2.202619075754024536e+01	1.802883091080975220e+01	4.480954758041694852e+00	2.558526847732414353e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.419527783006215849e+00	2.779464306643210314e+00	5.128435260252570238e+00	7.977400060325763320e+00	2.183366834407784562e+00	1.091988726229156548e+00	5.650273615377234826e+00	-1.285351595979059569e+00	-6.713739646464837563e+00	2.261316588246868520e+01	8.174655304837543213e+00	1.206015340059725673e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.824147957757970673e+00	2.095017402443939858e+00	9.693104317346373122e+00	1.894911672873169417e+00	1.027601761064988040e+01	9.365027536430918786e-01	6.058086568887029344e+00	3.707773273683938697e+01	3.613909801930246886e+02	9.241100142182084198e+01	2.790186054187373976e+00	3.613294785279659664e+03
1.000000000000000000e+00	1.000000000000000000e+00	9.484753518060049515e+00	2.252090727098619460e+00	6.298695760762095475e+00	3.366783784470530616e+00	2.827368138411136211e+00	4.368593089334801838e-01	2.475568284310300182e+00	-1.364064478630841570e+00	-8.918637966015337426e+00	3.364810284552023489e+01	6.729625254369255849e+00	1.506325962898276316e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.308531443256073956e+00	7.000177661318991440e+00	3.940836305123444738e+00	3.691971597604495781e+00	1.008520669417920246e+01	1.240130642704246222e+00	4.134433606432961206e+00	1.187188238286832842e+00	4.926898363002366388e+00	1.775634033488552888e+01	2.974717494517058025e+00	2.330861201367585522e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.972854651285778083e+00	4.305278172143458981e+00	1.944595341855824611e+00	4.895043889394766090e+00	9.828962520224134636e+00	2.672875366001196795e+00	6.250341266364135784e+00	-7.914463300426543668e+00	-1.607542228084449576e+01	2.776961305975889616e+01	7.564655867533028655e+00	5.392681163265464761e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.168702533207610195e+00	7.894508772241980665e+00	1.906934181912262716e+00	9.839478797257688925e+00	8.035651427141539571e+00	4.389164772296389572e+00	9.802942711310160817e+00	-4.213685491121902160e+00	-9.875724820263624082e+00	2.566603451492765586e+01	8.891100802972262684e+00	1.196182746366945935e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.221147572861465136e+00	1.488066133187362805e+00	2.487394140970493162e+00	1.187657295738404617e+00	6.589218556853711384e+00	9.199424678773175934e-01	7.297403421911111465e+00	-3.908058497834293235e+02	-1.183197890685086577e+03	2.498746459089145233e+01	2.448648271756862727e+00	4.583819793859231027e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.010959770183267104e+00	3.642701041938477768e+00	3.285771362321399547e+00	5.474907889247422332e+00	6.336994265621497924e+00	1.240405769113788415e+00	9.922729459395586815e+00	-5.083552099901618604e+00	-1.667607622742618290e+01	2.931238519844610835e+01	8.598078128075448134e+00	1.823297345678763861e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.266046176194766559e+00	6.015350308703757420e+00	8.687220819730050891e+00	2.817787289023922614e+00	8.954334455366748102e+00	4.199134390526523930e+00	7.713656280457965586e+00	2.427311562697644476e+00	2.086346949454395983e+01	3.453074018590405103e+01	6.289841126777745650e+00	7.209555843027372930e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.582203636960338500e+00	8.214758475968753970e+00	6.293792268135873336e+00	9.438064500881248264e+00	3.509693655381019184e+00	7.976076228290660541e-01	6.251325621772894969e+00	-3.911650697314982494e+00	-2.357399758369739473e+01	2.702848145166706573e+01	1.854567099086566584e+00	9.869608853392271612e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.600832900103349887e-01	4.062029376184136176e+00	5.639961070585179037e+00	2.091650153956094993e+00	5.376265339463913939e+00	3.896447029229344938e+00	2.809828374118652938e+00	1.468581079168629566e+00	8.348523166915214233e+00	1.519421349273343580e+01	4.836506762920711466e+00	3.328647571152195894e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.839638482530176589e+00	7.209840817015076730e+00	1.703380173327545544e+00	4.744060861258941664e+00	6.484041952835570832e+00	6.645459281314585187e-01	6.586525106995887668e+00	3.514628778275853183e+00	6.975821455682296168e+00	1.187198301528875888e+01	2.029809540158852066e+00	1.155517155703931564e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.758275853876903660e+00	9.020265029667241308e+00	8.205754549277154197e+00	7.768419486601868762e+00	4.936955952224093558e+00	1.386473036176428364e+00	6.749903464464522607e+00	4.935419175532316238e+00	4.357929203514130023e+01	3.884312887678449044e+01	7.390571258403366706e+00	5.237877902941853563e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.170129466806247187e+00	6.211142064022276088e+00	7.259561103537979676e+00	7.492635877153864143e+00	4.607138466464911986e+00	6.487338171489630545e-01	6.515890186432539366e+00	-8.062504202573490986e+00	-6.051234457660692811e+01	3.624383200772533797e+01	7.814728814083665043e+00	5.533845375828966553e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.698309089606111932e+00	3.115171705550402237e+00	1.725665599666728056e+00	4.974463569638512439e+00	3.685205131841859050e+00	9.411462715727968442e-01	5.312255156350214946e+00	-3.155762294827326286e+00	-5.295063686238294487e+00	1.154304678322368360e+01	1.994377218252186390e+00	8.154130904770953236e+01
