G c dx1dt d2x1dt2 dx2dt d2x2dt2 m1 m2 d2 d1 Fg Fc W p
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 6.14796290e+00 4.54271968e+00 6.83431259e+00 -1.20750726e+00 1.34919509e+00 -1.32858879e+00 -6.82190388e+01 -1.46329867e+02
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 8.24889096e+00 5.26092093e+00 2.55147726e+00 -7.24563026e-01 2.68095275e+00 -4.23289199e-01 -1.44797768e+02 -8.81330624e+01
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 7.84144837e+00 8.69092654e+00 8.85155107e+00 4.32589056e-01 8.48121225e+00 5.40774396e+00 9.14791541e+00 4.48462229e+01
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 2.38509914e+00 4.06003947e+00 6.51804615e+00 1.34448673e+00 7.90091521e+00 -2.51460492e+00 4.18020138e+01 1.37220698e+02
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 2.34324523e+00 8.82684716e+00 2.41483495e+00 8.86886806e-01 4.15578422e+00 3.98300249e+00 8.90661699e+00 6.63825189e+00
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 3.41356931e+00 1.79320988e+00 9.66104252e+00 -4.36489937e+00 4.39129565e+00 8.08615699e-01 -3.88400820e+01 -5.64613077e+02
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 4.24967254e+00 7.99118593e+00 5.66528917e+00 1.32625842e+00 5.80198990e+00 1.64599844e+00 1.55657859e+01 3.63639650e+01
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 4.67610023e+00 8.62792870e+00 1.65608607e+00 3.79266466e-01 1.00216904e+00 -1.24463626e+00 2.16579426e+00 2.15419578e+00
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 7.11727495e+00 2.63635888e+00 6.64149614e+00 -5.64414562e+00 3.17119902e+00 -6.57687729e-01 -1.14558081e+03 -1.23895773e+03
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 1.51012389e+00 4.87311879e+00 3.27879016e+00 1.13136526e+00 2.87408628e+00 -1.44825812e+00 3.42837982e+00 9.48855609e+00
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 5.93972799e+00 1.31205434e+00 2.48949797e+00 8.23324107e+00 1.94701450e+00 3.25434652e+00 2.77527914e+01 1.38075351e+01 3.89503367e+01
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 3.58869456e+00 4.52719507e+00 7.35943716e+00 8.36039866e+00 1.60872853e+00 8.25315258e+00 -1.01075804e+00 1.62600543e+02 1.78851775e+02
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 3.76098940e+00 7.27447323e+00 5.81812991e+00 9.81052620e+00 -1.22784249e+00 3.51706471e+00 5.28124816e+00 -3.11499833e+01 -2.13757702e+02
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 4.17662653e+00 2.74091809e+00 6.71791012e+00 5.51682578e+00 1.63297601e+00 2.72369190e+00 -4.14033315e+00 2.41518342e+01 3.17397425e+01
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 6.59163204e+00 6.77354033e+00 2.76838270e+00 5.09461192e+00 -3.68531485e+00 5.53837115e+00 1.75522559e+00 -7.49007437e+01 -2.31618820e+02
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 4.00644969e+00 3.33845324e+00 2.90571276e+00 7.78128045e+00 -5.79423250e-01 8.79080533e+00 4.28983029e+00 -4.37085896e+00 -2.55993172e+01
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 4.12608994e+00 7.59429146e+00 8.97477498e+00 1.37347593e+00 2.19223591e+00 -6.06630242e+00 3.17214733e+00 8.17753959e+00 -3.74590214e+02 -3.27427728e+02
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.09850011e+00 4.64074647e+00 9.06120950e+00 3.89860782e+00 5.92223962e+00 -3.92116438e+00 1.70682619e+00 5.05622572e-01 -1.03711861e+02 -4.31206528e+02
1.00000000e+00 1.00000000e+00 4.88750517e+00 9.23939468e+00 1.19641057e+00 1.61517880e+00 3.67558484e+00 6.03770195e+00 5.91622840e+00 1.15729664e+00 4.20764262e+00 -1.13994440e+00 2.80671773e+01 2.04530321e+01
