G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	m1	m2	d2	d1	Fg	Fc	W	p
1.000000000000000000e+00	1.000000000000000000e+00	4.376050480105588392e+00	2.663655680038583995e+00	3.351366896968903220e+00	7.057219572076340874e+00	6.158244695692650872e+00	4.538754077912353857e+00	6.841357912569420385e+00	-1.208122142176841773e+00	1.357075985615263880e+00	-1.327751734074773093e+00	-6.830289709050944680e+01	-1.463854959846823078e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.562532146658343279e+00	5.878994403714364658e+00	3.223575904624613297e+00	8.160559473385012197e+00	8.243633489208592735e+00	5.248985476934725725e+00	2.553680051696839204e+00	-7.236294119141888359e-01	2.673225134823267179e+00	-4.237361465300912289e-01	-1.448274732610688602e+02	-8.848470329183192007e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.577405860840228158e+00	8.859050706963932598e+00	9.160882466994927142e+00	3.259598306187190708e+00	7.842748763041559101e+00	8.685479483166165693e+00	8.846988957331053172e+00	4.304831165899859480e-01	8.479424113336673230e+00	5.408646500533959234e+00	9.102618629712198484e+00	4.509684370272185561e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.393222075968081342e+00	7.573086081477681475e+00	3.250322580663896233e+00	6.628941221729101052e+00	2.378160614452956789e+00	4.057026247663830354e+00	6.514342156073490209e+00	1.343882177966450708e+00	7.897197015240675633e+00	-2.516173643142536331e+00	4.179264939513047494e+01	1.374138000705161744e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.399780928618334030e+00	8.264733845810601665e+00	3.439683782784355159e+00	6.150207825175903587e+00	2.343325267972913295e+00	8.825491637635892062e+00	2.418544843204886163e+00	8.863385710130206041e-01	4.149590751532882926e+00	3.983118572337131624e+00	8.844287081385067140e+00	6.508723264007856280e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.408588896394383561e+00	6.937041039083749361e+00	7.845139582574477188e+00	8.497491725068099910e+00	3.415672738796523777e+00	1.787012320523241771e+00	9.666709317072049501e+00	-4.366749184683683893e+00	4.389799946607416459e+00	8.098904288183925715e-01	-3.898290184441157891e+01	-5.643247182462613409e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.522382056433097430e+00	7.224646728729810619e+00	5.044118290683420547e+00	9.155975507423443460e+00	4.248829949825195129e+00	7.988493277182023178e+00	5.668290188847479705e+00	1.327948191037704007e+00	5.797374066944732895e+00	1.641035541639366935e+00	1.581978716783332040e+01	3.669056045732894233e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.795741052243878144e+00	8.637351813432520231e+00	7.988931413453061126e+00	1.114999651401896497e+00	4.679988683247164438e+00	8.621723899153668214e+00	1.666404726625881905e+00	3.777299093038266053e-01	1.002236631739332751e+00	-1.245353558501467006e+00	2.038872346963348292e+00	2.128692976762965650e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.409033304329875058e+00	3.244507250278414023e+00	1.583311277167616771e+00	7.076591970652854613e+00	7.117814276548012131e+00	2.635668612339264083e+00	6.650390218549922849e+00	-5.644810729631314139e+00	3.171344182372071607e+00	-6.577240476849338657e-01	-1.145563917633452093e+03	-1.239059287267996297e+03
1.000000000000000000e+00	1.000000000000000000e+00	7.379213617776896328e+00	5.400618901894805646e+00	5.403039971558833088e+00	1.461363024171929759e+00	1.507278324190710395e+00	4.867231617384105036e+00	3.281189297716768483e+00	1.132391717529882547e+00	2.870767538771447303e+00	-1.448572953292976528e+00	3.263418355066198373e+00	9.997753366663294727e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.178551416668409457e+00	2.992130720075585337e+00	1.303859029888169152e+00	5.945564287527935754e+00	1.308966937387141760e+00	2.484840725910518966e+00	8.228679376074616414e+00	1.947744844593816804e+00	3.252367483833477735e+00	2.775512843047211220e+01	1.362162612870592149e+01	3.911284922713101508e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.732478489723693116e+00	9.878183246667543216e+00	1.559180042139524769e+00	3.588227834480009815e+00	4.531612075073352841e+00	7.352257482767334373e+00	8.353272616718379950e+00	1.607475755087504510e+00	8.251919538199063098e+00	-1.012560653331003646e+00	1.626096498555168353e+02	1.789095373022244360e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.497944509141287739e+00	9.490314854603212780e+00	9.162707364795755538e+00	3.760287431086229759e+00	7.270912331221567548e+00	5.817287777492174961e+00	9.808418928704082163e+00	-1.227070946161178622e+00	3.521390369563273559e+00	5.280251889146557964e+00	-3.113375108724698848e+01	-2.134504293590173631e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.914929053850585650e+00	1.363404093749103430e+00	2.257455239756435361e+00	4.168308712513414171e+00	2.745904242290583497e+00	6.713156631224584281e+00	5.520923095105213285e+00	1.633303607017009274e+00	2.722899088762149589e+00	-4.143405992415313044e+00	2.426926955750245440e+01	3.180778202872991400e+01
