G c dx1dt d2x1dt2 dx2dt d2x2dt2 d2 m1 m2 p Fc d1 Fg W
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 4.75644406e-01 6.14796290e+00 4.54271968e+00 -1.52090935e+02 7.81824581e+01 2.41487164e+02 6.83431259e+00 1.44249868e+04
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 3.94462288e-01 8.24889096e+00 5.26092093e+00 -2.77591858e+02 3.65180311e+02 8.98006135e+02 2.55147726e+00 1.27906217e+04
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 2.81367464e+00 7.84144837e+00 8.69092654e+00 1.21748702e+03 -2.34041506e+03 -2.45326034e+02 8.85155107e+00 -3.53582701e+03
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 4.90033367e-01 2.38509914e+00 4.06003947e+00 7.38630520e+01 -1.18214883e+02 -7.44334313e+01 6.51804615e+00 -2.51704028e+03
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 5.60967793e-01 2.34324523e+00 8.82684716e+00 1.53391668e+01 -1.84980573e+01 -2.68848328e+00 2.41483495e+00 -1.69964293e+02
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 9.22206921e-01 3.41356931e+00 1.79320988e+00 -1.81628517e+01 1.83748608e+01 2.30780385e+00 9.66104252e+00 7.21373309e+01
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 5.51368425e-01 4.24967254e+00 7.99118593e+00 2.76425890e+01 -1.71535180e+01 -2.98456688e+00 5.66528917e+00 -6.43729495e+02
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 7.20237623e+00 4.67610023e+00 8.62792870e+00 1.79592012e+02 -3.43924808e+02 -1.87078110e+01 1.65608607e+00 -1.68784229e+01
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 2.24774288e-01 7.11727495e+00 2.63635888e+00 -5.36836289e+01 3.67794689e+01 2.77295613e+02 6.64149614e+00 1.34792710e+04
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 3.67409424e+00 1.51012389e+00 4.87311879e+00 3.22661515e+01 -3.76847177e+01 -7.76620673e+00 3.27879016e+00 -1.83237966e+01
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 5.93972799e+00 2.19289908e-01 1.31205434e+00 2.48949797e+00 6.57608261e+00 -7.68556676e-01 -3.10860258e+00 8.23324107e+00 -9.80562694e+02
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 3.58869456e+00 4.35779308e-01 4.52719507e+00 7.35943716e+00 2.28902247e+02 -5.07738654e+02 -4.11138277e+02 8.36039866e+00 -2.38658145e+04
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 3.76098940e+00 2.43498083e+00 7.27447323e+00 5.81812991e+00 -4.93583176e+02 1.03383959e+03 1.30191865e+02 9.81052620e+00 1.43752317e+03
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 4.17662653e+00 5.39480445e-01 2.74091809e+00 6.71791012e+00 2.69560022e+01 -5.99385814e+00 -3.96630500e+01 5.51682578e+00 -3.74406938e+03
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 6.59163204e+00 8.78657380e-01 6.77354033e+00 2.76838270e+00 -2.46869594e+01 2.81569778e+01 3.55017181e+00 5.09461192e+00 8.64592895e+01
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 4.00644969e+00 1.17307362e+00 3.33845324e+00 2.90571276e+00 -1.18836894e+02 1.72562288e+02 1.01672068e+01 7.78128045e+00 2.95725850e+02
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 4.12608994e+00 7.59429146e+00 5.43314667e-01 8.97477498e+00 1.37347593e+00 -1.21240308e+01 5.82837657e+00 1.33819590e+01 2.19223591e+00 7.93553781e+01
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.09850011e+00 4.64074647e+00 1.96056823e+00 9.06120950e+00 3.89860782e+00 -7.83188433e+01 9.87519557e+01 2.03930167e+01 5.92223962e+00 1.67859476e+02
1.00000000e+00 1.00000000e+00 4.88750517e+00 9.23939468e+00 1.19641057e+00 1.61517880e+00 7.40729490e-01 3.67558484e+00 6.03770195e+00 9.18362034e+01 -1.68725685e+02 -3.23308908e+01 5.91622840e+00 -1.27599038e+03
1.00000000e+00 1.00000000e+00 3.62106226e+00 1.30551381e+00 6.97410718e+00 8.05383858e+00 8.65935802e-01 3.06994379e+00 8.72141423e+00 3.43100906e+01 -8.10559104e+00 -4.54776883e+01 1.80525811e+00 -9.13403983e+02
1.00000000e+00 1.00000000e+00 6.50667605e+00 7.27678241e+00 9.67054991e+00 3.57182492e+00 2.70745351e+00 4.70173575e+00 7.00234703e+00 1.86229202e+02 -2.86719694e+02 -3.65439329e+01 4.76185677e+00 -2.76678264e+02
1.00000000e+00 1.00000000e+00 2.25544475e+00 3.67614107e+00 6.04151365e+00 4.89490192e+00 1.23424611e+00 3.16478427e+00 4.91856691e+00 4.00376994e+01 -2.04817331e+01 -6.53727663e+00 8.67956319e+00 -4.01013827e+02
1.00000000e+00 1.00000000e+00 3.62930184e+00 9.31956576e+00 9.43140216e+00 7.16899495e+00 1.31558220e+00 7.05145459e+00 9.57808103e+00 1.94030172e+02 -3.27508299e+02 -2.37972351e+01 8.70538260e+00 -1.66230911e+03
1.00000000e+00 1.00000000e+00 4.29725659e+00 9.73952421e+00 1.47032091e+00 3.99210541e+00 3.68307136e-01 8.43458216e+00 7.47320681e+00 -5.63506423e+02 1.05278110e+03 3.07880311e+02 1.89313898e+00 1.10085466e+04
1.00000000e+00 1.00000000e+00 5.10462986e+00 9.49839840e+00 4.76913987e+00 1.50927091e+00 3.15989651e+00 7.05782918e+00 9.37148683e+00 2.91860147e+02 -5.57281891e+02 -2.51436901e+01 1.81648794e+00 -1.06143379e+02
1.00000000e+00 1.00000000e+00 8.06658365e+00 5.26792795e+00 3.34142012e+00 4.36528942e+00 7.65452137e-01 8.41915403e+00 5.74829176e+00 -2.92331357e+02 3.37267972e+02 4.04483460e+02 3.36425929e+00 5.06735511e+03
1.00000000e+00 1.00000000e+00 2.79706404e+00 8.75838386e+00 7.57738868e+00 9.50003724e+00 7.97616735e-01 4.57292946e+00 3.33013847e+00 -6.85474187e+01 9.64309029e+01 9.94405226e+00 8.87289456e+00 5.26810395e+02
1.00000000e+00 1.00000000e+00 5.62810995e+00 8.60094459e+00 9.83167381e+00 6.77560958e+00 1.45103901e+00 2.40685274e+00 1.47544018e+00 -4.29162338e+01 7.58837625e+01 1.04364940e+01 2.16012327e+00 1.62919510e+01
1.00000000e+00 1.00000000e+00 6.33173112e+00 3.87190426e+00 3.30877056e+00 7.04331234e+00 4.69774788e-01 7.64155853e+00 7.53476366e+00 -6.82737369e+03 5.56498590e+03 1.38613030e+04 7.47997122e+00 1.05056140e+06
1.00000000e+00 1.00000000e+00 1.41805371e+00 8.46023927e+00 6.88757141e+00 6.69053938e+00 1.02944935e+00 4.24427055e+00 2.09172698e+00 -1.16971157e+01 7.29358158e+00 5.25889922e-01 1.91049058e+00 5.75846952e+00
1.00000000e+00 1.00000000e+00 6.46790367e+00 1.33306871e+00 2.78287869e+00 2.79092925e+00 9.97115457e-01 7.04143743e+00 3.72497615e+00 -1.02306548e+02 2.88239360e+01 2.94579714e+02 6.60824068e+00 4.49741729e+03
