G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	d2	m1	m2	p	Fc	d1	Fg	W
1.000000000000000000e+00	1.000000000000000000e+00	4.373592022685600433e+00	2.675611147559617375e+00	3.365195733443324233e+00	7.049306731756622924e+00	4.783184288223006342e-01	6.141816882249848675e+00	4.541019814974282198e+00	-1.518897643350070723e+02	7.849437020487630434e+01	2.418347502994527360e+02	6.831717946469522573e+00	1.442113528382184268e+04
1.000000000000000000e+00	1.000000000000000000e+00	9.559819779210151580e+00	5.877911440640550822e+00	3.221443462572319838e+00	8.177107344915103937e+00	3.961850870138526881e-01	8.255822110410710124e+00	5.265228276086735271e+00	-2.767192752997483467e+02	3.648374894920949032e+02	8.978363126630248416e+02	2.555213556142193809e+00	1.280068461290154664e+04
1.000000000000000000e+00	1.000000000000000000e+00	7.581236585907878300e+00	8.841473373777027689e+00	9.143155232859863091e+00	3.250777522832180910e+00	2.813384231190663609e+00	7.832950200795565365e+00	8.695556609634298439e+00	1.217854967523165897e+03	-2.338563769745754144e+03	-2.448371633087840280e+02	8.855335773736305427e+00	-3.538411411152098026e+03
1.000000000000000000e+00	1.000000000000000000e+00	6.379792359908970312e+00	7.591911869239832633e+00	3.249615580798893344e+00	6.629977775253193428e+00	4.894477372117846947e-01	2.396632094308385419e+00	4.058483116214253172e+00	7.382635605761524289e+01	-1.186066783188410625e+02	-7.408974329169294037e+01	6.519087552534819530e+00	-2.484448839653759933e+03
1.000000000000000000e+00	1.000000000000000000e+00	2.400130490730375321e+00	8.257113476177220690e+00	3.452988573829296914e+00	6.144449247817163950e+00	5.624577192591843078e-01	2.341005115860546049e+00	8.834068865250703340e+00	1.534049123783167445e+01	-1.879752750048869814e+01	-2.503900965720911032e+00	2.414872618955946848e+00	-1.685215838766194452e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.400370213310085266e+00	6.928633471898766771e+00	7.825827872985522404e+00	8.496566886481696557e+00	9.250757266232499942e-01	3.414362478195523742e+00	1.777252442425731882e+00	-1.838022060728932061e+01	1.777289980501596034e+01	2.364065026144862358e+00	9.656019268687639823e+00	1.139763340524188351e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.526830248927960598e+00	7.228438393056968891e+00	5.048633064163622564e+00	9.152104111061541758e+00	5.527485983008786352e-01	4.239366731699734991e+00	7.984477701383476678e+00	2.724915124453688975e+01	-1.627417103017484123e+01	-2.867715492829412849e+00	5.652877431310519007e+00	-6.374375003839702458e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.792259236222520258e+00	8.647250584910212368e+00	7.992886522824621309e+00	1.103910975296034547e+00	7.205519015661337789e+00	4.675761778083037612e+00	8.622905376039703640e+00	1.793630919867956095e+02	-3.441813267323572063e+02	-1.827315254025907265e+01	1.650037847259377743e+00	-2.069777328770493341e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.405400287224565226e+00	3.253241077499511746e+00	1.587891746953643990e+00	7.056734226986692171e+00	2.234395661234648556e-01	7.118519480518819442e+00	2.631861775505803358e+00	-5.400341198327127756e+01	3.628063270260489759e+01	2.777436469789761873e+02	6.639372971470027807e+00	1.346319391058801011e+04
1.000000000000000000e+00	1.000000000000000000e+00	7.369342849234466364e+00	5.406399338826175516e+00	5.383774378540814531e+00	1.460809324129306308e+00	3.672908516628056841e+00	1.509654569507747679e+00	4.874963589212926607e+00	3.253674197683986336e+01	-3.719823975354751866e+01	-7.277393852417016973e+00	3.284759897496555947e+00	-4.411455852169588354e+01
