G c dx1dt d2x1dt2 dx2dt d2x2dt2 Fc d1 Fg d2 m2 p W m1
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 6.14796290e+00 4.54271968e+00 6.83431259e+00 5.04986233e+00 1.34919509e+00 -1.37012100e+00 -4.20716833e+00 1.59348004e+02
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 8.24889096e+00 5.26092093e+00 2.55147726e+00 1.62726361e+00 2.68095275e+00 -1.69801348e+01 -2.29055167e+01 2.98383242e+02
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 7.84144837e+00 8.69092654e+00 8.85155107e+00 9.81045548e+00 8.48121225e+00 1.33014732e+01 6.42029716e+01 1.25156264e+03
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 2.38509914e+00 4.06003947e+00 6.51804615e+00 1.10953562e+01 7.90091521e+00 -2.48247590e+01 -5.04571111e+01 1.34575903e+03
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 2.34324523e+00 8.82684716e+00 2.41483495e+00 9.09652084e+00 4.15578422e+00 4.33606119e+00 2.48714375e+01 9.24901621e+02
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 3.41356931e+00 1.79320988e+00 9.66104252e+00 5.07512088e+00 4.39129565e+00 2.38475181e+01 3.10880574e+02 3.86982045e+01
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 4.24967254e+00 7.99118593e+00 5.66528917e+00 1.06531453e+01 5.80198990e+00 2.04514694e+01 2.71172195e+02 3.71386497e+02
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 4.67610023e+00 8.62792870e+00 1.65608607e+00 3.05566429e+00 1.00216904e+00 -8.06936791e-01 -2.93226362e+00 5.01638863e+02
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 7.11727495e+00 2.63635888e+00 6.64149614e+00 2.46012237e+00 3.17119902e+00 -1.52906962e+01 -1.51550763e+01 1.69982520e+02
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 1.51012389e+00 4.87311879e+00 3.27879016e+00 1.05805451e+01 2.87408628e+00 -5.70366002e+00 -1.66735758e+01 7.62625851e+02
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 5.93972799e+00 1.31205434e+00 2.48949797e+00 8.23324107e+00 1.56217897e+01 3.25434652e+00 3.81611029e-01 1.67746056e+00 2.11690253e+02
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 3.58869456e+00 4.52719507e+00 7.35943716e+00 8.36039866e+00 1.35907174e+01 8.25315258e+00 -6.73895480e+01 -4.33290344e+01 1.23067509e+04
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 3.76098940e+00 7.27447323e+00 5.81812991e+00 9.81052620e+00 7.84646725e+00 3.51706471e+00 2.34220089e+00 1.01035183e+01 8.04015102e+02
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 4.17662653e+00 2.74091809e+00 6.71791012e+00 5.51682578e+00 1.35215787e+01 2.72369190e+00 -1.79176344e+00 -5.54743278e+00 3.18001103e+02
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 6.59163204e+00 6.77354033e+00 2.76838270e+00 5.09461192e+00 2.08219555e+00 5.53837115e+00 1.74755627e+01 1.53563607e+02 3.85725421e+01
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 4.00644969e+00 3.33845324e+00 2.90571276e+00 7.78128045e+00 6.77264716e+00 8.79080533e+00 1.80142926e+01 1.27764830e+02 2.07042700e+02
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 4.12608994e+00 7.59429146e+00 8.97477498e+00 1.37347593e+00 2.19223591e+00 3.35494010e-01 3.17214733e+00 1.23050688e+00 5.43278472e+00 2.19187677e+00
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.09850011e+00 4.64074647e+00 9.06120950e+00 3.89860782e+00 5.92223962e+00 2.54805826e+00 1.70682619e+00 5.76171989e+00 3.66414600e+01 7.63724247e+01
1.00000000e+00 1.00000000e+00 4.88750517e+00 9.23939468e+00 1.19641057e+00 1.61517880e+00 3.67558484e+00 6.03770195e+00 5.91622840e+00 9.71829663e+00 4.20764262e+00 -1.55308069e+01 -1.52071218e+01 4.42937372e+03
1.00000000e+00 1.00000000e+00 3.62106226e+00 1.30551381e+00 6.97410718e+00 8.05383858e+00 3.06994379e+00 8.72141423e+00 1.80525811e+00 5.12856418e+00 7.72886642e+00 2.59152362e+01 1.99649298e+02 6.06375364e+01
1.00000000e+00 1.00000000e+00 6.50667605e+00 7.27678241e+00 9.67054991e+00 3.57182492e+00 4.70173575e+00 7.00234703e+00 4.76185677e+00 7.09188593e+00 5.95621490e+00 1.88447126e+01 1.12031847e+02 4.86275927e+02
1.00000000e+00 1.00000000e+00 2.25544475e+00 3.67614107e+00 6.04151365e+00 4.89490192e+00 3.16478427e+00 4.91856691e+00 8.67956319e+00 1.34893910e+01 8.35114033e+00 3.16179927e+01 3.38772271e+02 1.82112401e+02
1.00000000e+00 1.00000000e+00 3.62930184e+00 9.31956576e+00 9.43140216e+00 7.16899495e+00 7.05145459e+00 9.57808103e+00 8.70538260e+00 1.18246326e+01 9.63632933e+00 5.59109495e+01 5.81179162e+02 8.12341537e+02
1.00000000e+00 1.00000000e+00 4.29725659e+00 9.73952421e+00 1.47032091e+00 3.99210541e+00 8.43458216e+00 7.47320681e+00 1.89313898e+00 1.67735863e+00 8.13396229e+00 -2.29941882e+01 -3.14701578e+01 7.13641037e+02
1.00000000e+00 1.00000000e+00 5.10462986e+00 9.49839840e+00 4.76913987e+00 1.50927091e+00 7.05782918e+00 9.37148683e+00 1.81648794e+00 2.41195875e+00 6.43422771e+00 -2.15861897e+00 -8.06699492e+00 4.59603100e+02
1.00000000e+00 1.00000000e+00 8.06658365e+00 5.26792795e+00 3.34142012e+00 4.36528942e+00 8.41915403e+00 5.74829176e+00 3.36425929e+00 2.29699373e+00 5.44007429e+00 -2.57052407e+01 -4.25915168e+01 3.35835802e+02
1.00000000e+00 1.00000000e+00 2.79706404e+00 8.75838386e+00 7.57738868e+00 9.50003724e+00 4.57292946e+00 3.33013847e+00 8.87289456e+00 6.46149647e+00 1.36062178e+00 6.50421381e+00 7.04809836e+01 1.39133663e+02
1.00000000e+00 1.00000000e+00 5.62810995e+00 8.60094459e+00 9.83167381e+00 6.77560958e+00 2.40685274e+00 1.47544018e+00 2.16012327e+00 1.32419097e+00 9.85889781e+00 4.14425066e+01 2.89581555e+02 1.92390438e+01
1.00000000e+00 1.00000000e+00 6.33173112e+00 3.87190426e+00 3.30877056e+00 7.04331234e+00 7.64155853e+00 7.53476366e+00 7.47997122e+00 7.37543463e+00 4.45133010e+00 -1.34561953e+01 -2.81271975e+01 8.23507709e+02
1.00000000e+00 1.00000000e+00 1.41805371e+00 8.46023927e+00 6.88757141e+00 6.69053938e+00 4.24427055e+00 2.09172698e+00 1.91049058e+00 9.41557482e-01 2.37005393e+00 1.29630519e+01 2.51849263e+02 6.86105729e+00
1.00000000e+00 1.00000000e+00 6.46790367e+00 1.33306871e+00 2.78287869e+00 2.79092925e+00 7.04143743e+00 3.72497615e+00 6.60824068e+00 3.49581165e+00 7.00037970e+00 -2.57965740e+01 -4.43969112e+01 8.06906697e+01
1.00000000e+00 1.00000000e+00 2.53471711e+00 6.36642891e+00 6.08797229e+00 4.76500478e+00 3.43579548e+00 5.79223817e+00 4.20460569e+00 7.08833740e+00 3.55859460e+00 1.26445947e+01 1.21480921e+02 2.17657438e+02
1.00000000e+00 1.00000000e+00 1.58546434e+00 3.07007954e+00 5.17539238e+00 7.75845819e+00 1.73106671e+00 6.07974929e+00 8.10022567e+00 2.84491296e+01 6.27200444e+00 2.25160446e+01 2.93994291e+02 3.25347499e+02
1.00000000e+00 1.00000000e+00 9.53996984e+00 2.08510197e+00 9.74804797e+00 1.91235608e+00 9.93323616e+00 6.40524877e+00 3.10321404e+00 2.00104554e+00 6.28091117e+00 1.30692026e+00 5.34170300e+00 5.23093849e+01
1.00000000e+00 1.00000000e+00 9.69068830e+00 1.69257881e+00 6.47674545e+00 3.50067498e+00 2.40581357e+00 2.49629797e+00 6.75281646e+00 7.00679481e+00 5.01156839e+00 -1.61068944e+01 -4.30599980e+01 8.85915940e+01
1.00000000e+00 1.00000000e+00 8.27557613e+00 7.26659898e+00 4.14555735e+00 3.48687198e+00 9.89578895e+00 4.41763664e+00 3.12114281e+00 1.39332750e+00 8.52506754e+00 -3.52086891e+01 -7.05495967e+01 1.78574606e+02
1.00000000e+00 1.00000000e+00 3.74152392e+00 4.05887467e+00 2.02686206e+00 4.88817035e+00 9.79551939e+00 6.55474804e+00 7.42294255e+00 4.96711978e+00 3.38470355e+00 -5.80362209e+00 -1.25757757e+01 4.87888527e+02
1.00000000e+00 1.00000000e+00 1.87904903e+00 7.52290094e+00 2.36122146e+00 9.82331867e+00 8.14436294e+00 9.72836978e+00 8.86310231e+00 1.05868976e+01 5.03769332e+00 2.42903684e+00 1.22093545e+01 1.23317728e+03
1.00000000e+00 1.00000000e+00 7.15809724e+00 1.58820707e+00 3.02785237e+00 1.60752292e+00 6.93480666e+00 7.54868024e+00 2.14121619e+00 2.33075804e+00 5.83922916e+00 -2.41174463e+01 -4.08064123e+01 1.32119900e+02
1.00000000e+00 1.00000000e+00 4.96137244e+00 3.83761304e+00 3.25869995e+00 5.66830895e+00 6.20026345e+00 9.30343381e+00 8.79936120e+00 1.32033542e+01 6.97262249e+00 -1.18720925e+01 -3.11910365e+01 1.43541070e+03
1.00000000e+00 1.00000000e+00 2.09834411e+00 5.85542163e+00 8.65554452e+00 2.61428214e+00 8.79491391e+00 7.85990852e+00 6.34217729e+00 5.66792738e+00 8.05574665e+00 5.28231452e+01 8.71569315e+02 1.26477203e+02
1.00000000e+00 1.00000000e+00 5.45659219e+00 8.11650848e+00 6.05100509e+00 9.73608891e+00 3.60495569e+00 6.32545272e+00 2.14399442e+00 3.76197004e+00 4.55326555e+00 2.70651979e+00 1.20054162e+01 3.48337450e+02
1.00000000e+00 1.00000000e+00 1.30949669e+00 3.86877253e+00 5.71051820e+00 2.01973154e+00 5.20913091e+00 2.72821032e+00 4.84787670e+00 2.53900842e+00 6.81442250e+00 2.99904200e+01 5.23134852e+02 1.22906277e+01
1.00000000e+00 1.00000000e+00 9.18388362e+00 6.63302239e+00 2.03291985e+00 4.63240902e+00 6.57450972e+00 7.00017087e+00 2.44774264e+00 2.60621969e+00 2.35549858e+00 -1.68440850e+01 -1.49142459e+01 1.09337021e+03
1.00000000e+00 1.00000000e+00 3.32901983e+00 8.97379973e+00 8.74125724e+00 7.64096486e+00 4.70071428e+00 6.61041609e+00 7.30313100e+00 1.02700849e+01 9.39383290e+00 5.08416538e+01 5.33994986e+02 4.64036007e+02
1.00000000e+00 1.00000000e+00 6.96270056e+00 6.54276869e+00 7.50532873e+00 7.34098985e+00 4.84737809e+00 6.42222253e+00 7.82981321e+00 1.03736086e+01 4.44752926e+00 2.41335466e+00 1.04057441e+01 8.08750884e+02
1.00000000e+00 1.00000000e+00 3.80539968e+00 3.09663527e+00 1.60901526e+00 4.80455773e+00 3.97256201e+00 5.40807281e+00 1.95216868e+00 2.65759738e+00 7.56569280e+00 -1.66171698e+01 -2.81045693e+01 2.10519284e+02
1.00000000e+00 1.00000000e+00 5.68061219e+00 1.21960703e+00 7.37051588e+00 4.11871751e+00 6.07808635e+00 5.75790944e+00 5.55525867e+00 5.26262289e+00 1.18306974e+00 1.99927391e+00 1.03761211e+01 5.69658067e+01
1.00000000e+00 1.00000000e+00 5.92039251e+00 8.83088987e+00 5.89184396e+00 4.57851141e+00 8.65517075e+00 4.00998274e+00 8.33162550e+00 3.86008266e+00 2.84668429e+00 -8.12687315e-02 -3.23507391e-01 2.74708968e+02
1.00000000e+00 1.00000000e+00 2.66369010e+00 1.19142470e+00 1.73552811e+00 3.37848637e+00 2.81375540e+00 5.67381423e+00 9.42546737e+00 1.90060411e+01 5.38374290e+00 -4.99698551e+00 -1.30231498e+01 3.94380484e+02
