G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	Fc	d1	Fg	d2	m2	p	W	m1
1.000000000000000000e+00	1.000000000000000000e+00	4.953101320985155098e+00	2.652309625404325022e+00	3.336587919305606942e+00	6.954720858298373720e+00	5.851936172245888912e+00	4.452721478598347993e+00	6.681407476846194626e+00	5.686137907569857042e+00	1.389603612120165588e+00	-1.330602528303206356e+00	1.289688654366020870e+00	1.259771597452833873e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.467182171412336089e+00	6.280090769320445077e+00	3.343294019449514209e+00	7.871422795494542157e+00	8.608762938662035680e+00	5.122958898907715053e+00	2.371352698422128924e+00	1.820610017548156989e+00	2.922672115713926377e+00	-1.701409655905854379e+01	-1.988819469514028881e+01	3.483803785566975648e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.322070157367337018e+00	7.965476993311176201e+00	9.212666583300599399e+00	2.767969453029771376e+00	7.562202537672362723e+00	8.793090386988215101e+00	8.495199833256535271e+00	1.016381809309902096e+01	8.332656955378020314e+00	1.330756969490547981e+01	6.549204727208496024e+01	1.249406603993599219e+03
1.000000000000000000e+00	1.000000000000000000e+00	6.506543992904186169e+00	7.935683536034287222e+00	3.165023438443291148e+00	7.155295957953278219e+00	2.044264392227085558e+00	4.024696264358448516e+00	6.290681478830656204e+00	1.101169854144326621e+01	8.220519502231264042e+00	-2.484295502192080107e+01	-4.851473519792826750e+01	1.301395506049279902e+03
1.000000000000000000e+00	1.000000000000000000e+00	2.538659773660588925e+00	8.515015410968915788e+00	3.953056665215532561e+00	6.158951393277598108e+00	2.297892848909489416e+00	8.621554762805496708e+00	2.415182872960962790e+00	9.049921174533388069e+00	3.690884365277776968e+00	4.303174162910972100e+00	1.957519461901512869e+01	8.867876108879873982e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.383986603358068557e+00	6.418403607487992879e+00	7.943170589738894449e+00	9.196902544404284896e+00	3.065155968848058077e+00	1.825868642500668715e+00	1.004557741441305474e+01	5.382973578457960429e+00	4.803601041445102027e+00	2.382243793463992176e+01	3.226967506314960019e+02	5.988008332170497283e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.463146479784723120e+00	7.488976443637093361e+00	5.260768953758179656e+00	8.927614369916319959e+00	4.675062976419505745e+00	8.084345684984278080e+00	5.406066177441365639e+00	1.092289970414279310e+01	6.132750516047883238e+00	2.045038056559950945e+01	2.735987751038113061e+02	4.129362396688116519e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.052373380123821534e+00	8.937181822610797965e+00	8.286653630773111345e+00	9.933458406758199910e-01	4.613268795447963200e+00	9.135412642970512920e+00	1.349047386390826997e+00	2.582039101431184314e+00	7.653904025899314068e-01	-7.992032766844680003e-01	-4.718296529555221497e-02	5.207087245366618617e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.179038262222821487e+00	3.403270969344442065e+00	1.772759822219184267e+00	6.856311092132799878e+00	6.239998372603599464e+00	2.655046581416698359e+00	6.478446242909683406e+00	2.508533946820773242e+00	2.936654188888867534e+00	-1.526728002109904914e+01	-1.528690926181201348e+01	1.892336813206203772e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.280385958032944416e+00	4.971152356421725038e+00	5.957652967659421428e+00	1.293089533060758578e+00	1.564579348076557519e+00	4.875864169806186865e+00	3.370577297622720625e+00	1.076027381143050121e+01	2.474833210458948329e+00	-5.671020397741078689e+00	-2.723021568659628144e+01	7.305430472626571827e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.043958630620986039e+00	3.180770149428039151e+00	1.348354008519510261e+00	6.176185242218164895e+00	1.462800253722672306e+00	2.607011573060979526e+00	8.566076128069616047e+00	1.557236612882262072e+01	3.500416185266076674e+00	3.877515299496386292e-01	4.582859590995795873e-01	2.153677929298715128e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.002521344768939393e+01	1.016917171886468196e+01	1.561956923703939237e+00	3.741980772216670914e+00	4.412419094916399054e+00	7.099007528187420313e+00	8.336869190637752780e+00	1.373444620800913896e+01	8.164910828863236603e+00	-6.739934834106065864e+01	-4.298007997095307076e+01	1.229368097776863033e+04
1.000000000000000000e+00	1.000000000000000000e+00	8.569242912008087742e+00	9.337370367519616465e+00	8.978601544214122043e+00	3.997935393732531928e+00	6.905199296324425973e+00	5.344807062112458595e+00	9.417263118048669668e+00	7.813090664341167724e+00	3.409231183765570883e+00	2.365176698664138044e+00	6.322824027306247707e+00	7.962958859355160257e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.622848144175315088e+00	1.477546117294564976e+00	2.182455571240910608e+00	4.539937532859732450e+00	2.712782693109593524e+00	6.632297701039069793e+00	5.181440842149360293e+00	1.266937668485808821e+01	2.423825325688127474e+00	-1.805355018353689056e+00	-9.368171652000629734e+00	3.135749579848330200e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.375414369327683239e+00	7.251929023317118528e+00	5.589907776794178496e+00	6.891358469413050969e+00	6.642349100768606185e+00	3.062469153050139337e+00	5.145822382416564977e+00	1.584968952729850056e+00	6.022289179682861260e+00	1.744027884681142027e+01	1.520048454582566819e+02	1.244397661760765672e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.157615664832199354e+00	9.573509364629305907e+00	4.886826829946585349e+00	3.733483009807085473e+00	3.072758768839541688e+00	3.244087121720836908e+00	8.051978675332998492e+00	7.142462827280084525e+00	8.531013202820757257e+00	1.803505697870462754e+01	1.313097748268356781e+02	2.368031262294007320e+02
1.000000000000000000e+00	1.000000000000000000e+00	4.031315647264422708e+00	2.537973784125925558e+00	3.874215319630292420e+00	7.452510132885691085e+00	8.685044993258577151e+00	8.579437529206707103e-01	2.686097699856493382e+00	2.427995605190399475e-01	3.178601302804394457e+00	1.259782566930705894e+00	1.120260092105236183e+01	-3.776163704343242244e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.950544387287187043e+00	5.950142880147030411e+00	9.118872842409375679e+00	4.673628072959789215e+00	9.103759899253265786e+00	4.081319429623861517e+00	5.600639625714512349e+00	2.620008846616985743e+00	1.764504524507242600e+00	5.743547154034189361e+00	3.742698376591253151e+01	2.495638029631524546e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.890819381430328683e+00	9.228464040641528143e+00	1.350891729434203326e+00	2.624186871763284579e+00	3.921520475104752546e+00	5.438392150933395008e+00	5.954245491070467189e+00	9.716909589355170240e+00	4.101170791744165101e+00	-1.548744718161509404e+01	-1.781405775068929032e+01	4.398285510805287231e+03
1.000000000000000000e+00	1.000000000000000000e+00	4.029278423173635382e+00	9.323228248084676206e-01	7.015608985958133204e+00	8.262903177572876956e+00	3.195644052028581594e+00	8.847371598059565301e+00	1.525151611157550713e+00	4.815525088930703745e+00	7.568388472689054680e+00	2.592812924656278994e+01	1.979842491665599766e+02	9.561343687464935215e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.208077668418158446e+00	7.238234752181184284e+00	9.423203422604894186e+00	3.600702248703677721e+00	4.231120034379173056e+00	7.111894891801070706e+00	4.517440219197601081e+00	6.914721115186919675e+00	5.857597435836847666e+00	1.885430880913532192e+01	1.124891760413659227e+02	4.997040930063466249e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.459209391394619360e+00	3.776859984629476585e+00	6.234480162864380226e+00	5.077136361813223253e+00	3.332408101316326920e+00	4.445663637377316846e+00	8.412113237204208005e+00	1.361416291020906399e+01	8.502122081635619111e+00	3.160656721087153187e+01	3.397740543653866325e+02	1.115092349522308268e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.509345181003553638e+00	9.561551705428513515e+00	9.407841353368386450e+00	7.005750809821546632e+00	7.261835875000884677e+00	9.852402707608739263e+00	8.614467247517021420e+00	1.198811123404603585e+01	9.543641893852907288e+00	5.593344482509013460e+01	5.831776696770710942e+02	8.359891493771981459e+02
1.000000000000000000e+00	1.000000000000000000e+00	4.229902212549395024e+00	9.808773465558877191e+00	6.772151190251332054e-01	4.063135800671810571e+00	8.814151839730072879e+00	7.951556727353242593e+00	1.653168793383637647e+00	2.507431480627357434e+00	8.568091539087530961e+00	-2.302789680133408368e+01	-3.348888537011423949e+01	7.117204764829529040e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.301039647779093755e+00	9.099909098512023675e+00	4.497653601413253099e+00	1.767668150754797551e+00	6.799129723938269088e+00	9.354347911625218615e+00	2.490706744835320396e+00	2.230749146608995037e+00	6.226706491854306691e+00	-2.166132762321688610e+00	-5.635060096365597460e+00	4.430778389580390808e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.027734770331406366e+00	5.644072697671421501e+00	3.728248318192155519e+00	4.357441193686552694e+00	8.403738448610116762e+00	5.786969297543595125e+00	3.239232543642864837e+00	2.930674139094964659e+00	5.641471150652055400e+00	-2.572145315201161608e+01	-4.052281104835820713e+01	3.262551860978308582e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.679427542353393754e+00	9.157862532378882037e+00	7.987184078730194869e+00	9.295261900156880586e+00	4.727493211257826289e+00	3.735873386301963084e+00	9.141559318540934953e+00	6.135137511950573774e+00	8.915460352673068023e-01	6.475269356217694394e+00	6.866565027173103886e+01	8.633183877548549390e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.494112640738882725e+00	8.632256048651200331e+00	9.976923948531334574e+00	6.754531505829890037e+00	2.263174864507026207e+00	1.166477143386607018e+00	1.980739012028700508e+00	1.509519063809735107e+00	9.651406944252034492e+00	4.146158985734250280e+01	2.816810068156195825e+02	2.609809580904474302e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.794195274217212699e+00	3.662745842464844692e+00	3.525238343507608452e+00	6.956812931952891965e+00	7.791869740102566055e+00	7.232728181510581500e+00	8.087388028617885638e+00	7.442902457358167467e+00	4.233325581354499434e+00	-1.344865169864390175e+01	-3.219321750366873403e+01	7.733220615862835530e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.624588400105653863e+00	8.312365601092372103e+00	6.672698002186089994e+00	6.323207368556177599e+00	4.237727042639397368e+00	1.861476513525378573e+00	2.002712517660991676e+00	8.938161528433320457e-01	2.075235299583003012e+00	1.298084605793399859e+01	2.590518957834638059e+02	-6.996588069881552130e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.195494020876678221e+00	1.276457370179964190e+00	2.711057348547649681e+00	2.636227928955638955e+00	6.810907665567035529e+00	3.735148105697962073e+00	6.835876885496841027e+00	3.493665375579617649e+00	7.076085789144918259e+00	-2.580272805317423135e+01	-5.217836734108747976e+01	6.688432253572695174e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.037631405730874867e+00	6.443942711172796933e+00	6.429035484284549185e+00	4.388013854202107211e+00	3.228473139210288334e+00	5.801678746516639507e+00	4.043839122436482469e+00	6.852176933622005528e+00	3.529167261238031372e+00	1.266637778210316334e+01	1.275345425787414513e+02	2.481401464031309843e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.507631940694931227e+00	2.985384587822677904e+00	5.292980157643212280e+00	7.423696436398766529e+00	2.071307411976948565e+00	5.927976776739585674e+00	8.365806751940688457e+00	2.879198437245912601e+01	5.663405263932030920e+00	2.251775043706466306e+01	2.860519775394183739e+02	3.269210767734319916e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.894324478719068949e+00	1.846334792903973288e+00	9.765979087179220031e+00	1.603538037125761040e+00	9.661864132811938788e+00	6.322824282764372583e+00	3.194300163766290002e+00	1.681438136468882183e+00	6.813852390009289550e+00	1.296479679503705018e+00	1.789308399580901821e+00	8.026139891062865672e+01
